entry,at,order
"""Dick Tator @ UJGOE7pSPS"" shows a 10♠, A♥.",2024-01-20T22:49:35.140Z,170579097514000
"-- ending hand #9 --",2024-01-20T22:49:33.345Z,170579097334502
"""Dick Tator @ UJGOE7pSPS"" collected 0 from pot",2024-01-20T22:49:33.345Z,170579097334501
"Uncalled bet of 40 returned to ""Dick Tator @ UJGOE7pSPS""",2024-01-20T22:49:33.345Z,170579097334500
"""LucasJ @ HrB0s7shXo"" folds",2024-01-20T22:49:32.473Z,170579097247300
"""anitamaxwyn @ L5dLljVGbw"" folds",2024-01-20T22:49:26.620Z,170579096662000
"""EAXX @ NARSZt0aAF"" folds",2024-01-20T22:49:25.746Z,170579096574600
"""EZMONEYSNIPER @ YbvnAYhnMI"" folds",2024-01-20T22:49:24.516Z,170579096451600
"""doobzss @ G53GEfMfXB"" folds",2024-01-20T22:49:20.663Z,170579096066300
"""Dick Tator @ UJGOE7pSPS"" posts a big blind of 40",2024-01-20T22:49:19.379Z,170579095937910
"Dead Small Blind",2024-01-20T22:49:19.379Z,170579095937909
"Player stacks: #1 ""EZMONEYSNIPER @ YbvnAYhnMI"" (1050) | #2 ""EAXX @ NARSZt0aAF"" (2320) | #3 ""anitamaxwyn @ L5dLljVGbw"" (935) | #4 ""LucasJ @ HrB0s7shXo"" (860) | #6 ""Dick Tator @ UJGOE7pSPS"" (1710) | #8 ""doobzss @ G53GEfMfXB"" (970)",2024-01-20T22:49:19.379Z,170579095937902
"-- starting hand #9 (id: lsylmrmsy4s6)  (No Limit Texas Hold'em) (dealer: ""LucasJ @ HrB0s7shXo"") --",2024-01-20T22:49:19.379Z,170579095937901
"The player ""smashthategg @ nL7UOwiHi4"" quits the game with a stack of 155.",2024-01-20T22:49:19.379Z,170579095937900
"""doobzss @ G53GEfMfXB"" shows a 4♠, 9♣.",2024-01-20T22:49:14.337Z,170579095433700
"-- ending hand #8 --",2024-01-20T22:49:12.841Z,170579095284103
"""Dick Tator @ UJGOE7pSPS"" shows a J♥, 8♥.",2024-01-20T22:49:12.841Z,170579095284102
"""EAXX @ NARSZt0aAF"" collected 2320 from pot with Flush, Ah High (combination: A♥, K♥, 10♥, 9♥, 7♥)",2024-01-20T22:49:12.841Z,170579095284101
"""EAXX @ NARSZt0aAF"" shows a 7♥, K♥.",2024-01-20T22:49:12.841Z,170579095284100
"""EAXX @ NARSZt0aAF"" calls 970 and go all in",2024-01-20T22:49:12.037Z,170579095203700
"""Dick Tator @ UJGOE7pSPS"" bets 970",2024-01-20T22:49:10.392Z,170579095039200
"River: 9♥, A♥, 9♠, 2♦ [10♥]",2024-01-20T22:49:06.971Z,170579094697100
"""anitamaxwyn @ L5dLljVGbw"" folds",2024-01-20T22:49:06.159Z,170579094615900
"""EAXX @ NARSZt0aAF"" calls 40",2024-01-20T22:49:05.257Z,170579094525700
"""Dick Tator @ UJGOE7pSPS"" bets 40",2024-01-20T22:49:04.122Z,170579094412200
"Turn: 9♥, A♥, 9♠ [2♦]",2024-01-20T22:49:02.112Z,170579094211200
"""smashthategg @ nL7UOwiHi4"" folds",2024-01-20T22:49:01.270Z,170579094127000
"""anitamaxwyn @ L5dLljVGbw"" calls 40",2024-01-20T22:49:00.460Z,170579094046000
"""EAXX @ NARSZt0aAF"" calls 40",2024-01-20T22:48:59.596Z,170579093959600
"""Dick Tator @ UJGOE7pSPS"" bets 40",2024-01-20T22:48:51.231Z,170579093123100
"""smashthategg @ nL7UOwiHi4"" checks",2024-01-20T22:48:47.755Z,170579092775501
"Flop:  [9♥, A♥, 9♠]",2024-01-20T22:48:47.755Z,170579092775500
"""smashthategg @ nL7UOwiHi4"" checks",2024-01-20T22:48:46.892Z,170579092689200
"""LucasJ @ HrB0s7shXo"" folds",2024-01-20T22:48:46.078Z,170579092607800
"""anitamaxwyn @ L5dLljVGbw"" calls 40",2024-01-20T22:48:36.945Z,170579091694500
"""EAXX @ NARSZt0aAF"" calls 40",2024-01-20T22:48:35.711Z,170579091571100
"""EZMONEYSNIPER @ YbvnAYhnMI"" folds",2024-01-20T22:48:34.522Z,170579091452200
"""doobzss @ G53GEfMfXB"" folds",2024-01-20T22:48:33.634Z,170579091363400
"""Dick Tator @ UJGOE7pSPS"" calls 40",2024-01-20T22:48:07.791Z,170579088779100
"""smashthategg @ nL7UOwiHi4"" posts a big blind of 40",2024-01-20T22:48:01.361Z,170579088136110
"""LucasJ @ HrB0s7shXo"" posts a small blind of 20",2024-01-20T22:48:01.361Z,170579088136109
"Your hand is 6♣, 7♦",2024-01-20T22:48:01.361Z,170579088136106
"Player stacks: #1 ""EZMONEYSNIPER @ YbvnAYhnMI"" (1050) | #2 ""EAXX @ NARSZt0aAF"" (1090) | #3 ""anitamaxwyn @ L5dLljVGbw"" (1015) | #4 ""LucasJ @ HrB0s7shXo"" (880) | #5 ""smashthategg @ nL7UOwiHi4"" (195) | #6 ""Dick Tator @ UJGOE7pSPS"" (2800) | #8 ""doobzss @ G53GEfMfXB"" (970)",2024-01-20T22:48:01.361Z,170579088136101
"-- starting hand #8 (id: ofe1hmdqpuvp)  (No Limit Texas Hold'em) (dealer: ""anitamaxwyn @ L5dLljVGbw"") --",2024-01-20T22:48:01.361Z,170579088136100
"""Dick Tator @ UJGOE7pSPS"" shows a 4♣, Q♦.",2024-01-20T22:47:59.191Z,170579087919100
"-- ending hand #7 --",2024-01-20T22:47:57.681Z,170579087768102
"""LucasJ @ HrB0s7shXo"" collected 40 from pot",2024-01-20T22:47:57.681Z,170579087768101
"Uncalled bet of 20 returned to ""LucasJ @ HrB0s7shXo""",2024-01-20T22:47:57.681Z,170579087768100
"""anitamaxwyn @ L5dLljVGbw"" folds",2024-01-20T22:47:56.818Z,170579087681800
"""EAXX @ NARSZt0aAF"" folds",2024-01-20T22:47:55.972Z,170579087597200
"""EZMONEYSNIPER @ YbvnAYhnMI"" folds",2024-01-20T22:47:54.841Z,170579087484100
"""doobzss @ G53GEfMfXB"" folds",2024-01-20T22:47:53.909Z,170579087390900
"""Dick Tator @ UJGOE7pSPS"" folds",2024-01-20T22:47:52.681Z,170579087268100
"""smashthategg @ nL7UOwiHi4"" folds",2024-01-20T22:47:50.657Z,170579087065700
"""LucasJ @ HrB0s7shXo"" posts a big blind of 40",2024-01-20T22:47:50.380Z,170579087038012
"""anitamaxwyn @ L5dLljVGbw"" posts a small blind of 20",2024-01-20T22:47:50.380Z,170579087038011
"Your hand is 3♦, J♥",2024-01-20T22:47:50.380Z,170579087038008
"Player stacks: #1 ""EZMONEYSNIPER @ YbvnAYhnMI"" (1050) | #2 ""EAXX @ NARSZt0aAF"" (1090) | #3 ""anitamaxwyn @ L5dLljVGbw"" (1035) | #4 ""LucasJ @ HrB0s7shXo"" (860) | #5 ""smashthategg @ nL7UOwiHi4"" (195) | #6 ""Dick Tator @ UJGOE7pSPS"" (2800) | #8 ""doobzss @ G53GEfMfXB"" (970)",2024-01-20T22:47:50.380Z,170579087038003
"-- starting hand #7 (id: 5mbwn7vuviu5)  (No Limit Texas Hold'em) (dealer: ""EAXX @ NARSZt0aAF"") --",2024-01-20T22:47:50.380Z,170579087038002
"The game's big blind was changed from 20 to 40.",2024-01-20T22:47:50.380Z,170579087038001
"The game's small blind was changed from 10 to 20.",2024-01-20T22:47:50.380Z,170579087038000
"""EZMONEYSNIPER @ YbvnAYhnMI"" shows a 2♥, 3♥.",2024-01-20T22:47:44.707Z,170579086470700
"-- ending hand #6 --",2024-01-20T22:47:43.865Z,170579086386502
"""EAXX @ NARSZt0aAF"" collected 160 from pot with A High (combination: A♥, Q♠, J♥, 10♥, 6♥)",2024-01-20T22:47:43.865Z,170579086386501
"""Dick Tator @ UJGOE7pSPS"" collected 2800 from pot with Pair, 2's (combination: 2♦, 2♣, K♣, J♥, 10♥)",2024-01-20T22:47:43.865Z,170579086386500
