entry,at,order
"The player ""huncho3001 @ CM5Ic8CaV2"" quits the game with a stack of 7000.",2024-04-26T20:11:17.969Z,171416227796900
"The player ""risskid_ @ BFYy5J7pfs"" quits the game with a stack of 0.",2024-04-26T20:05:23.884Z,171416192388400
"-- ending hand #30 --",2024-04-26T20:05:17.872Z,171416191787201
"""huncho3001 @ CM5Ic8CaV2"" collected 1040 from pot with Two Pair, 7's & 5's (combination: 7♠, 7♥, 5♠, 5♦, K♣)",2024-04-26T20:05:17.872Z,171416191787200
"River: K♣, 5♠, 7♥, 8♦ [5♦]",2024-04-26T20:05:13.790Z,171416191379000
"Turn: K♣, 5♠, 7♥ [8♦]",2024-04-26T20:05:09.783Z,171416190978300
"Flop:  [K♣, 5♠, 7♥]",2024-04-26T20:05:05.777Z,171416190577700
"""huncho3001 @ CM5Ic8CaV2"" shows a Q♦, 7♠.",2024-04-26T20:05:01.769Z,171416190176901
"""risskid_ @ BFYy5J7pfs"" shows a A♥, 9♠.",2024-04-26T20:05:01.769Z,171416190176900
"""huncho3001 @ CM5Ic8CaV2"" calls 520",2024-04-26T20:05:00.909Z,171416190090900
"""risskid_ @ BFYy5J7pfs"" raises to 520 and go all in",2024-04-26T20:04:59.258Z,171416189925800
"""huncho3001 @ CM5Ic8CaV2"" calls 200",2024-04-26T20:04:54.971Z,171416189497100
"""risskid_ @ BFYy5J7pfs"" posts a big blind of 200",2024-04-26T20:04:52.245Z,171416189224507
"""huncho3001 @ CM5Ic8CaV2"" posts a small blind of 100",2024-04-26T20:04:52.245Z,171416189224506
"Player stacks: #2 ""risskid_ @ BFYy5J7pfs"" (520) | #7 ""huncho3001 @ CM5Ic8CaV2"" (6480)",2024-04-26T20:04:52.245Z,171416189224503
"-- starting hand #30 (id: nkfjsgy7jhi9)  (No Limit Texas Hold'em) (dealer: ""huncho3001 @ CM5Ic8CaV2"") --",2024-04-26T20:04:52.245Z,171416189224502
"The game's big blind was changed from 150 to 200.",2024-04-26T20:04:52.245Z,171416189224501
"The game's small blind was changed from 75 to 100.",2024-04-26T20:04:52.245Z,171416189224500
"-- ending hand #29 --",2024-04-26T20:04:46.229Z,171416188622901
"""huncho3001 @ CM5Ic8CaV2"" collected 6480 from pot with Pair, 10's (combination: 10♦, 10♣, A♥, Q♣, 9♣)",2024-04-26T20:04:46.229Z,171416188622900
"River: 10♦, 10♣, 4♣, 3♥ [9♣]",2024-04-26T20:04:42.210Z,171416188221000
"Turn: 10♦, 10♣, 4♣ [3♥]",2024-04-26T20:04:38.204Z,171416187820400
"Flop:  [10♦, 10♣, 4♣]",2024-04-26T20:04:34.183Z,171416187418300
"""huncho3001 @ CM5Ic8CaV2"" shows a A♥, Q♣.",2024-04-26T20:04:30.178Z,171416187017801
"""risskid_ @ BFYy5J7pfs"" shows a 7♠, K♣.",2024-04-26T20:04:30.178Z,171416187017800
"""risskid_ @ BFYy5J7pfs"" calls 3240",2024-04-26T20:04:29.359Z,171416186935900
"""huncho3001 @ CM5Ic8CaV2"" raises to 3240 and go all in",2024-04-26T20:04:26.181Z,171416186618100
"""risskid_ @ BFYy5J7pfs"" calls 150",2024-04-26T20:04:15.937Z,171416185593700
"""huncho3001 @ CM5Ic8CaV2"" posts a big blind of 150",2024-04-26T20:04:11.520Z,171416185152005
"""risskid_ @ BFYy5J7pfs"" posts a small blind of 75",2024-04-26T20:04:11.520Z,171416185152004
"Player stacks: #2 ""risskid_ @ BFYy5J7pfs"" (3760) | #7 ""huncho3001 @ CM5Ic8CaV2"" (3240)",2024-04-26T20:04:11.520Z,171416185152001
"-- starting hand #29 (id: totkg4rkqmvu)  (No Limit Texas Hold'em) (dealer: ""risskid_ @ BFYy5J7pfs"") --",2024-04-26T20:04:11.520Z,171416185152000
"-- ending hand #28 --",2024-04-26T20:04:08.594Z,171416184859402
"""risskid_ @ BFYy5J7pfs"" collected 900 from pot",2024-04-26T20:04:08.594Z,171416184859401
"Uncalled bet of 600 returned to ""risskid_ @ BFYy5J7pfs""",2024-04-26T20:04:08.594Z,171416184859400
"""huncho3001 @ CM5Ic8CaV2"" folds",2024-04-26T20:04:07.743Z,171416184774300
"""risskid_ @ BFYy5J7pfs"" bets 600",2024-04-26T20:04:04.739Z,171416184473900
"Flop:  [7♥, K♥, 4♠]",2024-04-26T20:03:56.658Z,171416183665800
"""huncho3001 @ CM5Ic8CaV2"" calls 450",2024-04-26T20:03:55.838Z,171416183583800
"""risskid_ @ BFYy5J7pfs"" raises to 450",2024-04-26T20:03:51.560Z,171416183156000
"""huncho3001 @ CM5Ic8CaV2"" calls 150",2024-04-26T20:03:45.837Z,171416182583700
"""risskid_ @ BFYy5J7pfs"" posts a big blind of 150",2024-04-26T20:03:43.034Z,171416182303406
"""huncho3001 @ CM5Ic8CaV2"" posts a small blind of 75",2024-04-26T20:03:43.034Z,171416182303405
"Player stacks: #2 ""risskid_ @ BFYy5J7pfs"" (3310) | #7 ""huncho3001 @ CM5Ic8CaV2"" (3690)",2024-04-26T20:03:43.034Z,171416182303402
"-- starting hand #28 (id: 6imjtmk8fiau)  (No Limit Texas Hold'em) (dealer: ""huncho3001 @ CM5Ic8CaV2"") --",2024-04-26T20:03:43.034Z,171416182303401
"The player ""dr. disrespect @ crFwBVVQqY"" quits the game with a stack of 0.",2024-04-26T20:03:43.034Z,171416182303400
"-- ending hand #27 --",2024-04-26T20:03:37.016Z,171416181701601
"""risskid_ @ BFYy5J7pfs"" collected 2310 from pot with Pair, K's (combination: K♥, K♣, A♠, 10♥, 7♥)",2024-04-26T20:03:37.016Z,171416181701600
"River: A♠, 7♥, 2♦, 10♥ [4♦]",2024-04-26T20:03:32.941Z,171416181294100
"Turn: A♠, 7♥, 2♦ [10♥]",2024-04-26T20:03:28.925Z,171416180892500
"""dr. disrespect @ crFwBVVQqY"" shows a 9♠, Q♠.",2024-04-26T20:03:24.921Z,171416180492101
"""risskid_ @ BFYy5J7pfs"" shows a K♥, K♣.",2024-04-26T20:03:24.921Z,171416180492100
"""risskid_ @ BFYy5J7pfs"" calls 420",2024-04-26T20:03:24.115Z,171416180411500
"""dr. disrespect @ crFwBVVQqY"" bets 420 and go all in",2024-04-26T20:03:21.783Z,171416180178300
"Flop:  [A♠, 7♥, 2♦]",2024-04-26T20:03:16.065Z,171416179606500
"""dr. disrespect @ crFwBVVQqY"" calls 660",2024-04-26T20:03:15.241Z,171416179524100
"""huncho3001 @ CM5Ic8CaV2"" folds",2024-04-26T20:03:10.526Z,171416179052600
"""risskid_ @ BFYy5J7pfs"" raises to 660",2024-04-26T20:03:08.740Z,171416178874000
