entry,at,order
"The player ""OnemoreBB? @ ZJdFRCnDGI"" quits the game with a stack of 8000.",2024-04-26T19:43:42.512Z,171416062251200
"The player ""wide1234 @ kdOt3QP_fm"" quits the game with a stack of 0.",2024-04-26T19:38:13.319Z,171416029331900
"-- ending hand #57 --",2024-04-26T19:38:07.311Z,171416028731101
"""OnemoreBB? @ ZJdFRCnDGI"" collected 7960 from pot with Two Pair, K's & 7's (combination: K♣, K♦, 7♥, 7♠, A♣)",2024-04-26T19:38:07.311Z,171416028731100
"River: A♣, 9♦, Q♥, K♦ [7♠]",2024-04-26T19:38:03.262Z,171416028326200
"Turn: A♣, 9♦, Q♥ [K♦]",2024-04-26T19:37:59.241Z,171416027924100
"Flop:  [A♣, 9♦, Q♥]",2024-04-26T19:37:55.239Z,171416027523900
"""wide1234 @ kdOt3QP_fm"" shows a A♠, 3♥.",2024-04-26T19:37:51.236Z,171416027123601
"""OnemoreBB? @ ZJdFRCnDGI"" shows a 7♥, K♣.",2024-04-26T19:37:51.236Z,171416027123600
"""wide1234 @ kdOt3QP_fm"" calls 3980 and go all in",2024-04-26T19:37:50.429Z,171416027042900
"""OnemoreBB? @ ZJdFRCnDGI"" raises to 3980",2024-04-26T19:37:48.732Z,171416026873200
"""wide1234 @ kdOt3QP_fm"" posts a big blind of 300",2024-04-26T19:37:45.297Z,171416026529705
"""OnemoreBB? @ ZJdFRCnDGI"" posts a small blind of 150",2024-04-26T19:37:45.297Z,171416026529704
"Player stacks: #1 ""OnemoreBB? @ ZJdFRCnDGI"" (4020) | #2 ""wide1234 @ kdOt3QP_fm"" (3980)",2024-04-26T19:37:45.297Z,171416026529701
"-- starting hand #57 (id: 7y6lnayn6cao)  (No Limit Texas Hold'em) (dealer: ""OnemoreBB? @ ZJdFRCnDGI"") --",2024-04-26T19:37:45.297Z,171416026529700
"-- ending hand #56 --",2024-04-26T19:37:42.355Z,171416026235502
"""wide1234 @ kdOt3QP_fm"" collected 600 from pot",2024-04-26T19:37:42.355Z,171416026235501
"Uncalled bet of 300 returned to ""wide1234 @ kdOt3QP_fm""",2024-04-26T19:37:42.355Z,171416026235500
"""OnemoreBB? @ ZJdFRCnDGI"" folds",2024-04-26T19:37:41.492Z,171416026149200
"""wide1234 @ kdOt3QP_fm"" bets 300",2024-04-26T19:37:37.350Z,171416025735000
"""OnemoreBB? @ ZJdFRCnDGI"" checks",2024-04-26T19:37:35.510Z,171416025551000
"Flop:  [K♣, 8♣, 7♦]",2024-04-26T19:37:31.373Z,171416025137300
"""OnemoreBB? @ ZJdFRCnDGI"" checks",2024-04-26T19:37:30.526Z,171416025052600
"""wide1234 @ kdOt3QP_fm"" calls 300",2024-04-26T19:37:27.601Z,171416024760100
"""OnemoreBB? @ ZJdFRCnDGI"" posts a big blind of 300",2024-04-26T19:37:25.518Z,171416024551805
"""wide1234 @ kdOt3QP_fm"" posts a small blind of 150",2024-04-26T19:37:25.518Z,171416024551804
"Player stacks: #1 ""OnemoreBB? @ ZJdFRCnDGI"" (4320) | #2 ""wide1234 @ kdOt3QP_fm"" (3680)",2024-04-26T19:37:25.518Z,171416024551801
"-- starting hand #56 (id: pzi26dlum5qz)  (No Limit Texas Hold'em) (dealer: ""wide1234 @ kdOt3QP_fm"") --",2024-04-26T19:37:25.518Z,171416024551800
"-- ending hand #55 --",2024-04-26T19:37:22.591Z,171416024259102
"""OnemoreBB? @ ZJdFRCnDGI"" collected 600 from pot",2024-04-26T19:37:22.591Z,171416024259101
"Uncalled bet of 3680 returned to ""OnemoreBB? @ ZJdFRCnDGI""",2024-04-26T19:37:22.591Z,171416024259100
"""wide1234 @ kdOt3QP_fm"" folds",2024-04-26T19:37:21.783Z,171416024178300
"""OnemoreBB? @ ZJdFRCnDGI"" raises to 3980",2024-04-26T19:37:20.340Z,171416024034000
"""wide1234 @ kdOt3QP_fm"" posts a big blind of 300",2024-04-26T19:37:16.908Z,171416023690805
"""OnemoreBB? @ ZJdFRCnDGI"" posts a small blind of 150",2024-04-26T19:37:16.908Z,171416023690804
