entry,at,order
"The player ""Roshhhyy @ 1dL2npZW8S"" quits the game with a stack of 5880.",2024-04-26T18:39:02.338Z,171415674233800
"The player ""lfod1691 @ hOHjS1F0TD"" quits the game with a stack of 0.",2024-04-26T18:33:32.120Z,171415641212000
"-- ending hand #49 --",2024-04-26T18:33:26.112Z,171415640611201
"""Roshhhyy @ 1dL2npZW8S"" collected 4676 from pot with Straight, K High (combination: K♥, Q♠, J♦, 10♣, 9♦)",2024-04-26T18:33:26.112Z,171415640611200
"River: 10♣, Q♣, 5♣, 9♦ [J♦]",2024-04-26T18:33:22.019Z,171415640201900
"Turn: 10♣, Q♣, 5♣ [9♦]",2024-04-26T18:33:18.013Z,171415639801300
"Flop:  [10♣, Q♣, 5♣]",2024-04-26T18:33:14.009Z,171415639400900
"""lfod1691 @ hOHjS1F0TD"" shows a 8♠, 6♣.",2024-04-26T18:33:09.995Z,171415638999501
"""Roshhhyy @ 1dL2npZW8S"" shows a K♥, Q♠.",2024-04-26T18:33:09.995Z,171415638999500
"""lfod1691 @ hOHjS1F0TD"" calls 2338 and go all in",2024-04-26T18:33:09.149Z,171415638914900
"""Roshhhyy @ 1dL2npZW8S"" raises to 2338",2024-04-26T18:33:07.477Z,171415638747700
"""lfod1691 @ hOHjS1F0TD"" calls 150",2024-04-26T18:33:04.652Z,171415638465200
"""Roshhhyy @ 1dL2npZW8S"" posts a big blind of 150",2024-04-26T18:33:02.253Z,171415638225305
"""lfod1691 @ hOHjS1F0TD"" posts a small blind of 75",2024-04-26T18:33:02.253Z,171415638225304
"Player stacks: #3 ""Roshhhyy @ 1dL2npZW8S"" (3542) | #7 ""lfod1691 @ hOHjS1F0TD"" (2338)",2024-04-26T18:33:02.253Z,171415638225301
"-- starting hand #49 (id: bttx0yvaprdk)  (No Limit Texas Hold'em) (dealer: ""lfod1691 @ hOHjS1F0TD"") --",2024-04-26T18:33:02.253Z,171415638225300
"-- ending hand #48 --",2024-04-26T18:32:56.212Z,171415637621202
"""lfod1691 @ hOHjS1F0TD"" collected 1200 from pot with Pair, 5's (combination: 5♥, 5♣, K♠, 10♦, 9♦)",2024-04-26T18:32:56.212Z,171415637621201
"""lfod1691 @ hOHjS1F0TD"" shows a 5♥, 10♦.",2024-04-26T18:32:56.212Z,171415637621200
"""Roshhhyy @ 1dL2npZW8S"" calls 150",2024-04-26T18:32:55.405Z,171415637540500
"""lfod1691 @ hOHjS1F0TD"" bets 150",2024-04-26T18:32:54.275Z,171415637427500
"River: K♠, 5♣, 6♠, 9♦ [2♣]",2024-04-26T18:32:52.552Z,171415637255200
"""Roshhhyy @ 1dL2npZW8S"" calls 150",2024-04-26T18:32:51.737Z,171415637173700
"""lfod1691 @ hOHjS1F0TD"" bets 150",2024-04-26T18:32:47.026Z,171415636702600
"Turn: K♠, 5♣, 6♠ [9♦]",2024-04-26T18:32:45.704Z,171415636570400
"""Roshhhyy @ 1dL2npZW8S"" calls 150",2024-04-26T18:32:44.843Z,171415636484300
"""lfod1691 @ hOHjS1F0TD"" bets 150",2024-04-26T18:32:43.745Z,171415636374500
"Flop:  [K♠, 5♣, 6♠]",2024-04-26T18:32:41.498Z,171415636149800
"""lfod1691 @ hOHjS1F0TD"" checks",2024-04-26T18:32:40.634Z,171415636063400
"""Roshhhyy @ 1dL2npZW8S"" calls 150",2024-04-26T18:32:38.052Z,171415635805200
"""lfod1691 @ hOHjS1F0TD"" posts a big blind of 150",2024-04-26T18:32:36.687Z,171415635668705
"""Roshhhyy @ 1dL2npZW8S"" posts a small blind of 75",2024-04-26T18:32:36.687Z,171415635668704
