entry,at,order
"The player ""dooma @ tgjVYJdLwi"" quits the game with a stack of 5180.",2024-04-26T17:01:34.571Z,171415089457100
"The player ""Pumpkineater69 @ B4pEZB-R0t"" quits the game with a stack of 0.",2024-04-26T16:55:57.503Z,171415055750300
"-- ending hand #25 --",2024-04-26T16:55:51.494Z,171415055149401
"""dooma @ tgjVYJdLwi"" collected 1380 from pot with Pair, 4's (combination: 4♥, 4♣, A♣, 10♠, 7♣)",2024-04-26T16:55:51.494Z,171415055149400
"River: 4♣, 10♠, 3♦, A♣ [2♦]",2024-04-26T16:55:47.488Z,171415054748800
"Turn: 4♣, 10♠, 3♦ [A♣]",2024-04-26T16:55:43.445Z,171415054344500
"Flop:  [4♣, 10♠, 3♦]",2024-04-26T16:55:39.440Z,171415053944000
"""dooma @ tgjVYJdLwi"" shows a 7♣, 4♥.",2024-04-26T16:55:35.353Z,171415053535301
"""Pumpkineater69 @ B4pEZB-R0t"" shows a K♦, 2♠.",2024-04-26T16:55:35.353Z,171415053535300
"""Pumpkineater69 @ B4pEZB-R0t"" calls 690 and go all in",2024-04-26T16:55:34.521Z,171415053452100
"""dooma @ tgjVYJdLwi"" raises to 690",2024-04-26T16:55:22.190Z,171415052219000
"""Pumpkineater69 @ B4pEZB-R0t"" posts a big blind of 150",2024-04-26T16:55:17.608Z,171415051760807
"""dooma @ tgjVYJdLwi"" posts a small blind of 75",2024-04-26T16:55:17.608Z,171415051760806
"Player stacks: #1 ""Pumpkineater69 @ B4pEZB-R0t"" (690) | #5 ""dooma @ tgjVYJdLwi"" (4490)",2024-04-26T16:55:17.608Z,171415051760803
"-- starting hand #25 (id: gcewiazq3ilb)  (No Limit Texas Hold'em) (dealer: ""dooma @ tgjVYJdLwi"") --",2024-04-26T16:55:17.608Z,171415051760802
"The game's big blind was changed from 100 to 150.",2024-04-26T16:55:17.608Z,171415051760801
"The game's small blind was changed from 50 to 75.",2024-04-26T16:55:17.608Z,171415051760800
"""dooma @ tgjVYJdLwi"" shows a 7♦, 5♠.",2024-04-26T16:55:14.665Z,171415051466500
"""Pumpkineater69 @ B4pEZB-R0t"" shows a 9♠, Q♣.",2024-04-26T16:55:13.945Z,171415051394500
"-- ending hand #24 --",2024-04-26T16:55:13.281Z,171415051328102
"""dooma @ tgjVYJdLwi"" collected 100 from pot",2024-04-26T16:55:13.281Z,171415051328101
"Uncalled bet of 50 returned to ""dooma @ tgjVYJdLwi""",2024-04-26T16:55:13.281Z,171415051328100
"""Pumpkineater69 @ B4pEZB-R0t"" folds",2024-04-26T16:55:12.444Z,171415051244400
"""dooma @ tgjVYJdLwi"" posts a big blind of 100",2024-04-26T16:55:07.872Z,171415050787205
"""Pumpkineater69 @ B4pEZB-R0t"" posts a small blind of 50",2024-04-26T16:55:07.872Z,171415050787204
"Player stacks: #1 ""Pumpkineater69 @ B4pEZB-R0t"" (740) | #5 ""dooma @ tgjVYJdLwi"" (4440)",2024-04-26T16:55:07.872Z,171415050787201
"-- starting hand #24 (id: xtyundm3moxc)  (No Limit Texas Hold'em) (dealer: ""Pumpkineater69 @ B4pEZB-R0t"") --",2024-04-26T16:55:07.872Z,171415050787200
"""dooma @ tgjVYJdLwi"" shows a 3♠, J♦.",2024-04-26T16:55:04.574Z,171415050457400
"""Pumpkineater69 @ B4pEZB-R0t"" shows a 5♠, 7♠.",2024-04-26T16:55:04.361Z,171415050436100
"-- ending hand #23 --",2024-04-26T16:55:03.536Z,171415050353602
"""dooma @ tgjVYJdLwi"" collected 400 from pot",2024-04-26T16:55:03.536Z,171415050353601
"Uncalled bet of 100 returned to ""dooma @ tgjVYJdLwi""",2024-04-26T16:55:03.536Z,171415050353600
"""Pumpkineater69 @ B4pEZB-R0t"" folds",2024-04-26T16:55:02.684Z,171415050268400
"""dooma @ tgjVYJdLwi"" bets 100",2024-04-26T16:54:54.541Z,171415049454100
"""Pumpkineater69 @ B4pEZB-R0t"" checks",2024-04-26T16:54:50.953Z,171415049095300
"River: 2♠, J♠, 3♣, 4♦ [8♥]",2024-04-26T16:54:48.626Z,171415048862600
"""Pumpkineater69 @ B4pEZB-R0t"" calls 100",2024-04-26T16:54:47.818Z,171415048781800
"""dooma @ tgjVYJdLwi"" bets 100",2024-04-26T16:54:38.673Z,171415047867300
"""Pumpkineater69 @ B4pEZB-R0t"" checks",2024-04-26T16:54:35.483Z,171415047548300
"Turn: 2♠, J♠, 3♣ [4♦]",2024-04-26T16:54:33.798Z,171415047379800
"""dooma @ tgjVYJdLwi"" checks",2024-04-26T16:54:32.970Z,171415047297000
"""Pumpkineater69 @ B4pEZB-R0t"" checks",2024-04-26T16:54:32.062Z,171415047206200
"Flop:  [2♠, J♠, 3♣]",2024-04-26T16:54:29.242Z,171415046924200
"""Pumpkineater69 @ B4pEZB-R0t"" checks",2024-04-26T16:54:28.421Z,171415046842100
"""dooma @ tgjVYJdLwi"" calls 100",2024-04-26T16:54:26.836Z,171415046683600
"""Pumpkineater69 @ B4pEZB-R0t"" posts a big blind of 100",2024-04-26T16:54:24.829Z,171415046482905
"""dooma @ tgjVYJdLwi"" posts a small blind of 50",2024-04-26T16:54:24.829Z,171415046482904
"Player stacks: #1 ""Pumpkineater69 @ B4pEZB-R0t"" (940) | #5 ""dooma @ tgjVYJdLwi"" (4240)",2024-04-26T16:54:24.829Z,171415046482901
"-- starting hand #23 (id: m3celcq62lpj)  (No Limit Texas Hold'em) (dealer: ""dooma @ tgjVYJdLwi"") --",2024-04-26T16:54:24.829Z,171415046482900
"-- ending hand #22 --",2024-04-26T16:54:18.822Z,171415045882201
"""Pumpkineater69 @ B4pEZB-R0t"" collected 940 from pot with Pair, Q's (combination: Q♣, Q♠, A♣, 10♠, 8♠)",2024-04-26T16:54:18.822Z,171415045882200
"River: 8♠, Q♣, 4♠, Q♠ [10♠]",2024-04-26T16:54:14.819Z,171415045481900
"Turn: 8♠, Q♣, 4♠ [Q♠]",2024-04-26T16:54:10.800Z,171415045080000
"Flop:  [8♠, Q♣, 4♠]",2024-04-26T16:54:06.732Z,171415044673200
"""dooma @ tgjVYJdLwi"" shows a K♥, J♥.",2024-04-26T16:54:02.665Z,171415044266501
"""Pumpkineater69 @ B4pEZB-R0t"" shows a 5♦, A♣.",2024-04-26T16:54:02.665Z,171415044266500
"""dooma @ tgjVYJdLwi"" calls 470",2024-04-26T16:54:01.823Z,171415044182300
"""Pumpkineater69 @ B4pEZB-R0t"" raises to 470 and go all in",2024-04-26T16:53:59.851Z,171415043985100
"""dooma @ tgjVYJdLwi"" posts a big blind of 100",2024-04-26T16:53:56.918Z,171415043691805
"""Pumpkineater69 @ B4pEZB-R0t"" posts a small blind of 50",2024-04-26T16:53:56.918Z,171415043691804
"Player stacks: #1 ""Pumpkineater69 @ B4pEZB-R0t"" (470) | #5 ""dooma @ tgjVYJdLwi"" (4710)",2024-04-26T16:53:56.918Z,171415043691801
"-- starting hand #22 (id: somf59qepr18)  (No Limit Texas Hold'em) (dealer: ""Pumpkineater69 @ B4pEZB-R0t"") --",2024-04-26T16:53:56.918Z,171415043691800
"""Pumpkineater69 @ B4pEZB-R0t"" shows a 7♣, 5♥.",2024-04-26T16:53:53.426Z,171415043342600
"""dooma @ tgjVYJdLwi"" shows a 10♣, 6♣.",2024-04-26T16:53:53.369Z,171415043336900
"-- ending hand #21 --",2024-04-26T16:53:52.575Z,171415043257502
"""Pumpkineater69 @ B4pEZB-R0t"" collected 200 from pot",2024-04-26T16:53:52.575Z,171415043257501
"Uncalled bet of 100 returned to ""Pumpkineater69 @ B4pEZB-R0t""",2024-04-26T16:53:52.575Z,171415043257500
"""dooma @ tgjVYJdLwi"" folds",2024-04-26T16:53:51.737Z,171415043173700
"""Pumpkineater69 @ B4pEZB-R0t"" bets 100",2024-04-26T16:53:46.544Z,171415042654400
"River: 8♠, 9♦, 5♦, 5♠ [K♣]",2024-04-26T16:53:43.843Z,171415042384300
"""dooma @ tgjVYJdLwi"" checks",2024-04-26T16:53:43.035Z,171415042303500
"""Pumpkineater69 @ B4pEZB-R0t"" checks",2024-04-26T16:53:42.021Z,171415042202100
"Turn: 8♠, 9♦, 5♦ [5♠]",2024-04-26T16:53:39.770Z,171415041977000
"""dooma @ tgjVYJdLwi"" checks",2024-04-26T16:53:38.941Z,171415041894100
"""Pumpkineater69 @ B4pEZB-R0t"" checks",2024-04-26T16:53:37.099Z,171415041709900
"Flop:  [8♠, 9♦, 5♦]",2024-04-26T16:53:34.490Z,171415041449000
"""Pumpkineater69 @ B4pEZB-R0t"" checks",2024-04-26T16:53:33.660Z,171415041366000
"""dooma @ tgjVYJdLwi"" calls 100",2024-04-26T16:53:32.171Z,171415041217100
