entry,at,order
"The player ""Hariatx @ -VPm1KoJMv"" quits the game with a stack of 8000.",2024-04-17T20:22:42.458Z,171338536245800
"The player ""jman09730 @ hf3bUmNhsL"" quits the game with a stack of 0.",2024-04-17T20:16:52.009Z,171338501200900
"-- ending hand #26 --",2024-04-17T20:16:45.947Z,171338500594703
"""jman09730 @ hf3bUmNhsL"" shows a 5♣, 9♦.",2024-04-17T20:16:45.947Z,171338500594702
"""Hariatx @ -VPm1KoJMv"" collected 3250 from pot with Three of a Kind, Q's (combination: Q♣, Q♦, Q♠, 9♣, 5♦)",2024-04-17T20:16:45.947Z,171338500594701
"""Hariatx @ -VPm1KoJMv"" shows a 5♦, Q♣.",2024-04-17T20:16:45.947Z,171338500594700
"""Hariatx @ -VPm1KoJMv"" calls 1425",2024-04-17T20:16:45.134Z,171338500513400
"""jman09730 @ hf3bUmNhsL"" raises to 1425 and go all in",2024-04-17T20:16:42.338Z,171338500233800
"""Hariatx @ -VPm1KoJMv"" raises to 800",2024-04-17T20:16:31.413Z,171338499141300
"""jman09730 @ hf3bUmNhsL"" bets 400",2024-04-17T20:16:28.028Z,171338498802800
"River: Q♦, Q♠, 9♣, 4♦ [2♦]",2024-04-17T20:16:19.719Z,171338497971900
"""Hariatx @ -VPm1KoJMv"" calls 100",2024-04-17T20:16:18.893Z,171338497889300
"""jman09730 @ hf3bUmNhsL"" bets 100",2024-04-17T20:16:16.994Z,171338497699400
"Turn: Q♦, Q♠, 9♣ [4♦]",2024-04-17T20:16:12.439Z,171338497243900
"""Hariatx @ -VPm1KoJMv"" checks",2024-04-17T20:16:11.608Z,171338497160800
"""jman09730 @ hf3bUmNhsL"" checks",2024-04-17T20:16:09.089Z,171338496908900
"Flop:  [Q♦, Q♠, 9♣]",2024-04-17T20:16:03.781Z,171338496378100
"""jman09730 @ hf3bUmNhsL"" checks",2024-04-17T20:16:02.966Z,171338496296600
"""Hariatx @ -VPm1KoJMv"" calls 100",2024-04-17T20:16:00.138Z,171338496013800
"""jman09730 @ hf3bUmNhsL"" posts a big blind of 100",2024-04-17T20:15:57.203Z,171338495720305
"""Hariatx @ -VPm1KoJMv"" posts a small blind of 50",2024-04-17T20:15:57.203Z,171338495720304
"Player stacks: #1 ""jman09730 @ hf3bUmNhsL"" (1625) | #5 ""Hariatx @ -VPm1KoJMv"" (6375)",2024-04-17T20:15:57.203Z,171338495720301
"-- starting hand #26 (id: po7cthqjfb1d)  (No Limit Texas Hold'em) (dealer: ""Hariatx @ -VPm1KoJMv"") --",2024-04-17T20:15:57.203Z,171338495720300
"-- ending hand #25 --",2024-04-17T20:15:54.290Z,171338495429002
"""jman09730 @ hf3bUmNhsL"" collected 200 from pot",2024-04-17T20:15:54.290Z,171338495429001
"Uncalled bet of 1425 returned to ""jman09730 @ hf3bUmNhsL""",2024-04-17T20:15:54.290Z,171338495429000
"""Hariatx @ -VPm1KoJMv"" folds",2024-04-17T20:15:53.456Z,171338495345600
"""jman09730 @ hf3bUmNhsL"" bets 1425 and go all in",2024-04-17T20:15:46.946Z,171338494694600
"""Hariatx @ -VPm1KoJMv"" checks",2024-04-17T20:15:38.381Z,171338493838100
"Turn: 7♥, 3♣, J♥ [A♥]",2024-04-17T20:15:36.839Z,171338493683900
"""jman09730 @ hf3bUmNhsL"" checks",2024-04-17T20:15:35.976Z,171338493597600
"""Hariatx @ -VPm1KoJMv"" checks",2024-04-17T20:15:31.818Z,171338493181800
"Flop:  [7♥, 3♣, J♥]",2024-04-17T20:15:29.070Z,171338492907000
"""Hariatx @ -VPm1KoJMv"" checks",2024-04-17T20:15:28.222Z,171338492822200
"""jman09730 @ hf3bUmNhsL"" calls 100",2024-04-17T20:15:27.320Z,171338492732000
"""Hariatx @ -VPm1KoJMv"" posts a big blind of 100",2024-04-17T20:15:22.159Z,171338492215905
"""jman09730 @ hf3bUmNhsL"" posts a small blind of 50",2024-04-17T20:15:22.159Z,171338492215904
"Player stacks: #1 ""jman09730 @ hf3bUmNhsL"" (1525) | #5 ""Hariatx @ -VPm1KoJMv"" (6475)",2024-04-17T20:15:22.159Z,171338492215901
"-- starting hand #25 (id: cb3mi8lsiib2)  (No Limit Texas Hold'em) (dealer: ""jman09730 @ hf3bUmNhsL"") --",2024-04-17T20:15:22.159Z,171338492215900
"-- ending hand #24 --",2024-04-17T20:15:19.219Z,171338491921902
"""jman09730 @ hf3bUmNhsL"" collected 400 from pot",2024-04-17T20:15:19.219Z,171338491921901
"Uncalled bet of 1125 returned to ""jman09730 @ hf3bUmNhsL""",2024-04-17T20:15:19.219Z,171338491921900
"""Hariatx @ -VPm1KoJMv"" folds",2024-04-17T20:15:18.412Z,171338491841200
"""jman09730 @ hf3bUmNhsL"" bets 1125 and go all in",2024-04-17T20:15:15.473Z,171338491547300
"Turn: K♥, 4♦, 10♣ [10♠]",2024-04-17T20:15:03.323Z,171338490332300
"""Hariatx @ -VPm1KoJMv"" calls 100",2024-04-17T20:15:02.501Z,171338490250100
