entry,at,order
"The player ""Knew It @ 4W3Bty3Xk1"" quits the game with a stack of 8000.",2024-04-17T20:27:17.668Z,171338563766800
"The player ""stipic14 @ y8xxJARMbT"" quits the game with a stack of 0.",2024-04-17T20:20:41.539Z,171338524153900
"-- ending hand #39 --",2024-04-17T20:20:35.481Z,171338523548101
"""Knew It @ 4W3Bty3Xk1"" collected 5500 from pot with Two Pair, 9's & 8's (combination: 9♥, 9♣, 8♦, 8♠, Q♣)",2024-04-17T20:20:35.481Z,171338523548100
"River: 3♠, 8♠, 4♠, 9♣ [Q♣]",2024-04-17T20:20:31.471Z,171338523147100
"Turn: 3♠, 8♠, 4♠ [9♣]",2024-04-17T20:20:27.398Z,171338522739800
"Flop:  [3♠, 8♠, 4♠]",2024-04-17T20:20:23.362Z,171338522336200
"""Knew It @ 4W3Bty3Xk1"" shows a 8♦, 9♥.",2024-04-17T20:20:19.356Z,171338521935601
"""stipic14 @ y8xxJARMbT"" shows a A♣, 5♣.",2024-04-17T20:20:19.356Z,171338521935600
"""Knew It @ 4W3Bty3Xk1"" calls 2750",2024-04-17T20:20:18.522Z,171338521852200
"""stipic14 @ y8xxJARMbT"" raises to 2750 and go all in",2024-04-17T20:20:14.819Z,171338521481900
"""Knew It @ 4W3Bty3Xk1"" raises to 600",2024-04-17T20:20:12.083Z,171338521208300
"""stipic14 @ y8xxJARMbT"" posts a big blind of 200",2024-04-17T20:20:08.110Z,171338520811005
"""Knew It @ 4W3Bty3Xk1"" posts a small blind of 100",2024-04-17T20:20:08.110Z,171338520811004
"Player stacks: #1 ""stipic14 @ y8xxJARMbT"" (2750) | #8 ""Knew It @ 4W3Bty3Xk1"" (5250)",2024-04-17T20:20:08.110Z,171338520811001
"-- starting hand #39 (id: bts3dzaiqzml)  (No Limit Texas Hold'em) (dealer: ""Knew It @ 4W3Bty3Xk1"") --",2024-04-17T20:20:08.110Z,171338520811000
"-- ending hand #38 --",2024-04-17T20:20:05.149Z,171338520514902
"""Knew It @ 4W3Bty3Xk1"" collected 400 from pot",2024-04-17T20:20:05.149Z,171338520514901
"Uncalled bet of 200 returned to ""Knew It @ 4W3Bty3Xk1""",2024-04-17T20:20:05.149Z,171338520514900
"""stipic14 @ y8xxJARMbT"" folds",2024-04-17T20:20:04.337Z,171338520433700
"""Knew It @ 4W3Bty3Xk1"" bets 200",2024-04-17T20:20:03.343Z,171338520334300
"Flop:  [J♥, 6♥, 5♠]",2024-04-17T20:19:58.744Z,171338519874400
"""Knew It @ 4W3Bty3Xk1"" checks",2024-04-17T20:19:57.913Z,171338519791300
"""stipic14 @ y8xxJARMbT"" calls 200",2024-04-17T20:19:56.226Z,171338519622600
"""Knew It @ 4W3Bty3Xk1"" posts a big blind of 200",2024-04-17T20:19:54.483Z,171338519448305
"""stipic14 @ y8xxJARMbT"" posts a small blind of 100",2024-04-17T20:19:54.483Z,171338519448304
"Player stacks: #1 ""stipic14 @ y8xxJARMbT"" (2950) | #8 ""Knew It @ 4W3Bty3Xk1"" (5050)",2024-04-17T20:19:54.483Z,171338519448301
"-- starting hand #38 (id: y6nns9a0zrkj)  (No Limit Texas Hold'em) (dealer: ""stipic14 @ y8xxJARMbT"") --",2024-04-17T20:19:54.483Z,171338519448300
"-- ending hand #37 --",2024-04-17T20:19:51.554Z,171338519155402
"""stipic14 @ y8xxJARMbT"" collected 1200 from pot",2024-04-17T20:19:51.554Z,171338519155401
"Uncalled bet of 1750 returned to ""stipic14 @ y8xxJARMbT""",2024-04-17T20:19:51.554Z,171338519155400
"""Knew It @ 4W3Bty3Xk1"" folds",2024-04-17T20:19:50.750Z,171338519075000
"""stipic14 @ y8xxJARMbT"" bets 1750 and go all in",2024-04-17T20:19:48.131Z,171338518813100
"Flop:  [Q♦, K♦, J♠]",2024-04-17T20:19:45.877Z,171338518587700
"""stipic14 @ y8xxJARMbT"" calls 600",2024-04-17T20:19:45.014Z,171338518501400
"""Knew It @ 4W3Bty3Xk1"" raises to 600",2024-04-17T20:19:42.734Z,171338518273400
"""stipic14 @ y8xxJARMbT"" posts a big blind of 200",2024-04-17T20:19:37.884Z,171338517788405
"""Knew It @ 4W3Bty3Xk1"" posts a small blind of 100",2024-04-17T20:19:37.884Z,171338517788404
"Player stacks: #1 ""stipic14 @ y8xxJARMbT"" (2350) | #8 ""Knew It @ 4W3Bty3Xk1"" (5650)",2024-04-17T20:19:37.884Z,171338517788401
"-- starting hand #37 (id: duhij6ejajww)  (No Limit Texas Hold'em) (dealer: ""Knew It @ 4W3Bty3Xk1"") --",2024-04-17T20:19:37.884Z,171338517788400
"-- ending hand #36 --",2024-04-17T20:19:34.972Z,171338517497202
"""stipic14 @ y8xxJARMbT"" collected 800 from pot",2024-04-17T20:19:34.972Z,171338517497201
"Uncalled bet of 1550 returned to ""stipic14 @ y8xxJARMbT""",2024-04-17T20:19:34.972Z,171338517497200
"""Knew It @ 4W3Bty3Xk1"" folds",2024-04-17T20:19:34.161Z,171338517416100
"""stipic14 @ y8xxJARMbT"" raises to 1750 and go all in",2024-04-17T20:19:32.051Z,171338517205100
"""Knew It @ 4W3Bty3Xk1"" bets 200",2024-04-17T20:19:29.902Z,171338516990200
"Flop:  [5♠, 5♥, 2♥]",2024-04-17T20:19:24.335Z,171338516433500
"""Knew It @ 4W3Bty3Xk1"" checks",2024-04-17T20:19:23.508Z,171338516350800
"""stipic14 @ y8xxJARMbT"" calls 200",2024-04-17T20:19:20.991Z,171338516099100
"""Knew It @ 4W3Bty3Xk1"" posts a big blind of 200",2024-04-17T20:19:18.577Z,171338515857705
"""stipic14 @ y8xxJARMbT"" posts a small blind of 100",2024-04-17T20:19:18.577Z,171338515857704
