entry,at,order
"The player ""creepyarcher @ _cw-_HfGvT"" quits the game with a stack of 5835.",2024-04-17T20:05:27.252Z,171338432725200
"The player ""tms423 @ UNddA2Wojz"" quits the game with a stack of 0.",2024-04-17T19:59:37.143Z,171338397714300
"-- ending hand #30 --",2024-04-17T19:59:31.134Z,171338397113401
"""creepyarcher @ _cw-_HfGvT"" collected 2330 from pot with Two Pair, K's & 4's (combination: K♠, K♦, 4♣, 4♦, 10♥)",2024-04-17T19:59:31.134Z,171338397113400
"River: 6♠, 4♣, 10♥, 4♦ [3♣]",2024-04-17T19:59:27.131Z,171338396713100
"Turn: 6♠, 4♣, 10♥ [4♦]",2024-04-17T19:59:23.040Z,171338396304000
"Flop:  [6♠, 4♣, 10♥]",2024-04-17T19:59:19.030Z,171338395903000
"""creepyarcher @ _cw-_HfGvT"" shows a K♠, K♦.",2024-04-17T19:59:14.934Z,171338395493401
"""tms423 @ UNddA2Wojz"" shows a K♥, 9♥.",2024-04-17T19:59:14.934Z,171338395493400
"""creepyarcher @ _cw-_HfGvT"" calls 1165",2024-04-17T19:59:14.119Z,171338395411900
"""tms423 @ UNddA2Wojz"" raises to 1165 and go all in",2024-04-17T19:59:10.348Z,171338395034800
"""creepyarcher @ _cw-_HfGvT"" posts a big blind of 150",2024-04-17T19:59:06.314Z,171338394631406
"""tms423 @ UNddA2Wojz"" posts a small blind of 75",2024-04-17T19:59:06.314Z,171338394631405
"Player stacks: #1 ""tms423 @ UNddA2Wojz"" (1165) | #5 ""creepyarcher @ _cw-_HfGvT"" (4670)",2024-04-17T19:59:06.314Z,171338394631402
"-- starting hand #30 (id: fmpqwhpks5cp)  (No Limit Texas Hold'em) (dealer: ""tms423 @ UNddA2Wojz"") --",2024-04-17T19:59:06.314Z,171338394631401
"The player ""shima @ dXZiiXY__q"" quits the game with a stack of 0.",2024-04-17T19:59:06.314Z,171338394631400
"-- ending hand #29 --",2024-04-17T19:59:00.278Z,171338394027801
"""creepyarcher @ _cw-_HfGvT"" collected 3290 from pot with Pair, 10's (combination: 10♦, 10♣, A♦, J♦, 9♠)",2024-04-17T19:59:00.278Z,171338394027800
