entry,at,order
"The player ""dboy @ Dnl0RSM8vi"" quits the game with a stack of 8000.",2024-04-17T21:05:54.733Z,171338795473300
"The player ""WesleyLiao @ jrT6IBugw_"" quits the game with a stack of 0.",2024-04-17T21:00:32.295Z,171338763229500
"-- ending hand #42 --",2024-04-17T21:00:26.266Z,171338762626601
"""dboy @ Dnl0RSM8vi"" collected 1860 from pot with Two Pair, Q's & 8's (combination: Q♥, Q♣, 8♦, 8♥, K♥)",2024-04-17T21:00:26.266Z,171338762626600
"River: K♥, 3♦, 8♥, Q♣ [9♦]",2024-04-17T21:00:22.256Z,171338762225600
"Turn: K♥, 3♦, 8♥ [Q♣]",2024-04-17T21:00:18.189Z,171338761818900
"""dboy @ Dnl0RSM8vi"" shows a 8♦, Q♥.",2024-04-17T21:00:14.158Z,171338761415801
"""WesleyLiao @ jrT6IBugw_"" shows a 2♣, Q♦.",2024-04-17T21:00:14.158Z,171338761415800
"""dboy @ Dnl0RSM8vi"" calls 780",2024-04-17T21:00:13.314Z,171338761331400
"""WesleyLiao @ jrT6IBugw_"" bets 780 and go all in",2024-04-17T21:00:11.111Z,171338761111100
"Flop:  [K♥, 3♦, 8♥]",2024-04-17T21:00:07.446Z,171338760744600
"""WesleyLiao @ jrT6IBugw_"" checks",2024-04-17T21:00:06.622Z,171338760662200
"""dboy @ Dnl0RSM8vi"" calls 150",2024-04-17T21:00:04.933Z,171338760493300
"""WesleyLiao @ jrT6IBugw_"" posts a big blind of 150",2024-04-17T21:00:00.078Z,171338760007805
"""dboy @ Dnl0RSM8vi"" posts a small blind of 75",2024-04-17T21:00:00.078Z,171338760007804
"Player stacks: #3 ""WesleyLiao @ jrT6IBugw_"" (930) | #4 ""dboy @ Dnl0RSM8vi"" (7070)",2024-04-17T21:00:00.078Z,171338760007801
"-- starting hand #42 (id: js1xoo1yyqrd)  (No Limit Texas Hold'em) (dealer: ""dboy @ Dnl0RSM8vi"") --",2024-04-17T21:00:00.078Z,171338760007800
"-- ending hand #41 --",2024-04-17T20:59:57.119Z,171338759711902
"""WesleyLiao @ jrT6IBugw_"" collected 300 from pot",2024-04-17T20:59:57.119Z,171338759711901
"Uncalled bet of 630 returned to ""WesleyLiao @ jrT6IBugw_""",2024-04-17T20:59:57.119Z,171338759711900
"""dboy @ Dnl0RSM8vi"" folds",2024-04-17T20:59:56.300Z,171338759630000
"""WesleyLiao @ jrT6IBugw_"" raises to 780 and go all in",2024-04-17T20:59:54.756Z,171338759475600
"""dboy @ Dnl0RSM8vi"" posts a big blind of 150",2024-04-17T20:59:51.315Z,171338759131505
"""WesleyLiao @ jrT6IBugw_"" posts a small blind of 75",2024-04-17T20:59:51.315Z,171338759131504
"Player stacks: #3 ""WesleyLiao @ jrT6IBugw_"" (780) | #4 ""dboy @ Dnl0RSM8vi"" (7220)",2024-04-17T20:59:51.315Z,171338759131501
"-- starting hand #41 (id: r7eitcxp1w8m)  (No Limit Texas Hold'em) (dealer: ""WesleyLiao @ jrT6IBugw_"") --",2024-04-17T20:59:51.315Z,171338759131500
"-- ending hand #40 --",2024-04-17T20:59:48.405Z,171338758840502
"""dboy @ Dnl0RSM8vi"" collected 300 from pot",2024-04-17T20:59:48.405Z,171338758840501
"Uncalled bet of 780 returned to ""dboy @ Dnl0RSM8vi""",2024-04-17T20:59:48.405Z,171338758840500
"""WesleyLiao @ jrT6IBugw_"" folds",2024-04-17T20:59:47.524Z,171338758752400
"""dboy @ Dnl0RSM8vi"" raises to 930",2024-04-17T20:59:46.057Z,171338758605700
"""WesleyLiao @ jrT6IBugw_"" posts a big blind of 150",2024-04-17T20:59:43.658Z,171338758365805
"""dboy @ Dnl0RSM8vi"" posts a small blind of 75",2024-04-17T20:59:43.658Z,171338758365804
"Player stacks: #3 ""WesleyLiao @ jrT6IBugw_"" (930) | #4 ""dboy @ Dnl0RSM8vi"" (7070)",2024-04-17T20:59:43.658Z,171338758365801
"-- starting hand #40 (id: qjpjesiqt1lm)  (No Limit Texas Hold'em) (dealer: ""dboy @ Dnl0RSM8vi"") --",2024-04-17T20:59:43.658Z,171338758365800
"-- ending hand #39 --",2024-04-17T20:59:40.720Z,171338758072002
"""dboy @ Dnl0RSM8vi"" collected 150 from pot",2024-04-17T20:59:40.720Z,171338758072001
"Uncalled bet of 75 returned to ""dboy @ Dnl0RSM8vi""",2024-04-17T20:59:40.720Z,171338758072000
"""WesleyLiao @ jrT6IBugw_"" folds",2024-04-17T20:59:39.880Z,171338757988000
"""dboy @ Dnl0RSM8vi"" posts a big blind of 150",2024-04-17T20:59:37.000Z,171338757700005
"""WesleyLiao @ jrT6IBugw_"" posts a small blind of 75",2024-04-17T20:59:37.000Z,171338757700004
"Player stacks: #3 ""WesleyLiao @ jrT6IBugw_"" (1005) | #4 ""dboy @ Dnl0RSM8vi"" (6995)",2024-04-17T20:59:37.000Z,171338757700001
"-- starting hand #39 (id: kvdr64wgbco9)  (No Limit Texas Hold'em) (dealer: ""WesleyLiao @ jrT6IBugw_"") --",2024-04-17T20:59:37.000Z,171338757700000
"-- ending hand #38 --",2024-04-17T20:59:34.048Z,171338757404802
"""dboy @ Dnl0RSM8vi"" collected 1800 from pot",2024-04-17T20:59:34.048Z,171338757404801
"Uncalled bet of 1005 returned to ""dboy @ Dnl0RSM8vi""",2024-04-17T20:59:34.048Z,171338757404800
"""WesleyLiao @ jrT6IBugw_"" folds",2024-04-17T20:59:33.216Z,171338757321600
"""dboy @ Dnl0RSM8vi"" raises to 1605",2024-04-17T20:59:31.543Z,171338757154300
"""WesleyLiao @ jrT6IBugw_"" bets 600",2024-04-17T20:59:28.975Z,171338756897500
"River: 7♦, K♠, 6♣, J♣ [2♠]",2024-04-17T20:59:24.106Z,171338756410600
"""dboy @ Dnl0RSM8vi"" calls 150",2024-04-17T20:59:23.278Z,171338756327800
"""WesleyLiao @ jrT6IBugw_"" bets 150",2024-04-17T20:59:21.203Z,171338756120300
"Turn: 7♦, K♠, 6♣ [J♣]",2024-04-17T20:59:18.572Z,171338755857200
"""dboy @ Dnl0RSM8vi"" checks",2024-04-17T20:59:17.722Z,171338755772200
"""WesleyLiao @ jrT6IBugw_"" checks",2024-04-17T20:59:16.813Z,171338755681300
"Flop:  [7♦, K♠, 6♣]",2024-04-17T20:59:13.967Z,171338755396700
"""WesleyLiao @ jrT6IBugw_"" checks",2024-04-17T20:59:13.139Z,171338755313900
"""dboy @ Dnl0RSM8vi"" calls 150",2024-04-17T20:59:11.881Z,171338755188100
"""WesleyLiao @ jrT6IBugw_"" posts a big blind of 150",2024-04-17T20:59:09.768Z,171338754976805
"""dboy @ Dnl0RSM8vi"" posts a small blind of 75",2024-04-17T20:59:09.768Z,171338754976804
"Player stacks: #3 ""WesleyLiao @ jrT6IBugw_"" (1905) | #4 ""dboy @ Dnl0RSM8vi"" (6095)",2024-04-17T20:59:09.768Z,171338754976801
"-- starting hand #38 (id: qjqeicpufzkg)  (No Limit Texas Hold'em) (dealer: ""dboy @ Dnl0RSM8vi"") --",2024-04-17T20:59:09.768Z,171338754976800
"-- ending hand #37 --",2024-04-17T20:59:06.814Z,171338754681402
"""dboy @ Dnl0RSM8vi"" collected 150 from pot",2024-04-17T20:59:06.814Z,171338754681401
"Uncalled bet of 75 returned to ""dboy @ Dnl0RSM8vi""",2024-04-17T20:59:06.814Z,171338754681400
"""WesleyLiao @ jrT6IBugw_"" folds",2024-04-17T20:59:06.008Z,171338754600800
"""dboy @ Dnl0RSM8vi"" posts a big blind of 150",2024-04-17T20:59:03.872Z,171338754387205
"""WesleyLiao @ jrT6IBugw_"" posts a small blind of 75",2024-04-17T20:59:03.872Z,171338754387204
"Player stacks: #3 ""WesleyLiao @ jrT6IBugw_"" (1980) | #4 ""dboy @ Dnl0RSM8vi"" (6020)",2024-04-17T20:59:03.872Z,171338754387201
"-- starting hand #37 (id: duvc57sdejwv)  (No Limit Texas Hold'em) (dealer: ""WesleyLiao @ jrT6IBugw_"") --",2024-04-17T20:59:03.872Z,171338754387200
"-- ending hand #36 --",2024-04-17T20:59:00.946Z,171338754094602
"""dboy @ Dnl0RSM8vi"" collected 300 from pot",2024-04-17T20:59:00.946Z,171338754094601
