entry,at,order
"The player ""Pepsi @ F-7ZqwXZ_u"" quits the game with a stack of 7040.",2024-04-26T16:07:57.451Z,171414767745100
"The player ""forgotmywallet @ 2JV_GWZfzy"" quits the game with a stack of 960.",2024-04-26T16:02:13.102Z,171414733310200
"-- ending hand #60 --",2024-04-26T16:02:10.192Z,171414733019202
"""Pepsi @ F-7ZqwXZ_u"" collected 200 from pot",2024-04-26T16:02:10.192Z,171414733019201
"Uncalled bet of 100 returned to ""Pepsi @ F-7ZqwXZ_u""",2024-04-26T16:02:10.192Z,171414733019200
"""forgotmywallet @ 2JV_GWZfzy"" folds",2024-04-26T16:02:09.307Z,171414732930700
"""Pepsi @ F-7ZqwXZ_u"" raises to 200",2024-04-26T16:02:08.485Z,171414732848500
"""forgotmywallet @ 2JV_GWZfzy"" posts a big blind of 100",2024-04-26T16:02:04.900Z,171414732490005
"""Pepsi @ F-7ZqwXZ_u"" posts a small blind of 50",2024-04-26T16:02:04.900Z,171414732490004
"Player stacks: #2 ""Pepsi @ F-7ZqwXZ_u"" (6940) | #7 ""forgotmywallet @ 2JV_GWZfzy"" (1060)",2024-04-26T16:02:04.900Z,171414732490001
"-- starting hand #60 (id: bpso4bke95rq)  (No Limit Texas Hold'em) (dealer: ""Pepsi @ F-7ZqwXZ_u"") --",2024-04-26T16:02:04.900Z,171414732490000
"-- ending hand #59 --",2024-04-26T16:02:01.967Z,171414732196702
"""Pepsi @ F-7ZqwXZ_u"" collected 100 from pot",2024-04-26T16:02:01.967Z,171414732196701
"Uncalled bet of 50 returned to ""Pepsi @ F-7ZqwXZ_u""",2024-04-26T16:02:01.967Z,171414732196700
"""forgotmywallet @ 2JV_GWZfzy"" folds",2024-04-26T16:02:01.098Z,171414732109806
"""Pepsi @ F-7ZqwXZ_u"" posts a big blind of 100",2024-04-26T16:02:01.098Z,171414732109805
"""forgotmywallet @ 2JV_GWZfzy"" posts a small blind of 50",2024-04-26T16:02:01.098Z,171414732109804
"Player stacks: #2 ""Pepsi @ F-7ZqwXZ_u"" (6890) | #7 ""forgotmywallet @ 2JV_GWZfzy"" (1110)",2024-04-26T16:02:01.098Z,171414732109801
"-- starting hand #59 (id: n7ksulnynff6)  (No Limit Texas Hold'em) (dealer: ""forgotmywallet @ 2JV_GWZfzy"") --",2024-04-26T16:02:01.098Z,171414732109800
"-- ending hand #58 --",2024-04-26T16:01:58.179Z,171414731817902
"""Pepsi @ F-7ZqwXZ_u"" collected 200 from pot",2024-04-26T16:01:58.179Z,171414731817901
"Uncalled bet of 100 returned to ""Pepsi @ F-7ZqwXZ_u""",2024-04-26T16:01:58.179Z,171414731817900
"""forgotmywallet @ 2JV_GWZfzy"" folds",2024-04-26T16:01:57.358Z,171414731735800
"""Pepsi @ F-7ZqwXZ_u"" raises to 200",2024-04-26T16:01:56.507Z,171414731650700
"""forgotmywallet @ 2JV_GWZfzy"" posts a big blind of 100",2024-04-26T16:01:52.558Z,171414731255805
"""Pepsi @ F-7ZqwXZ_u"" posts a small blind of 50",2024-04-26T16:01:52.558Z,171414731255804
"Player stacks: #2 ""Pepsi @ F-7ZqwXZ_u"" (6790) | #7 ""forgotmywallet @ 2JV_GWZfzy"" (1210)",2024-04-26T16:01:52.558Z,171414731255801
"-- starting hand #58 (id: upjyqd5mt6hg)  (No Limit Texas Hold'em) (dealer: ""Pepsi @ F-7ZqwXZ_u"") --",2024-04-26T16:01:52.558Z,171414731255800
"-- ending hand #57 --",2024-04-26T16:01:49.632Z,171414730963202
"""Pepsi @ F-7ZqwXZ_u"" collected 100 from pot",2024-04-26T16:01:49.632Z,171414730963201
"Uncalled bet of 50 returned to ""Pepsi @ F-7ZqwXZ_u""",2024-04-26T16:01:49.632Z,171414730963200
"""forgotmywallet @ 2JV_GWZfzy"" folds",2024-04-26T16:01:48.825Z,171414730882506
"""Pepsi @ F-7ZqwXZ_u"" posts a big blind of 100",2024-04-26T16:01:48.825Z,171414730882505
"""forgotmywallet @ 2JV_GWZfzy"" posts a small blind of 50",2024-04-26T16:01:48.825Z,171414730882504
"Player stacks: #2 ""Pepsi @ F-7ZqwXZ_u"" (6740) | #7 ""forgotmywallet @ 2JV_GWZfzy"" (1260)",2024-04-26T16:01:48.825Z,171414730882501
"-- starting hand #57 (id: rxk1d9ibrpxn)  (No Limit Texas Hold'em) (dealer: ""forgotmywallet @ 2JV_GWZfzy"") --",2024-04-26T16:01:48.825Z,171414730882500
"-- ending hand #56 --",2024-04-26T16:01:45.871Z,171414730587102
"""Pepsi @ F-7ZqwXZ_u"" collected 200 from pot",2024-04-26T16:01:45.871Z,171414730587101
"Uncalled bet of 100 returned to ""Pepsi @ F-7ZqwXZ_u""",2024-04-26T16:01:45.871Z,171414730587100
"""forgotmywallet @ 2JV_GWZfzy"" folds",2024-04-26T16:01:45.025Z,171414730502500
"""Pepsi @ F-7ZqwXZ_u"" raises to 200",2024-04-26T16:01:44.213Z,171414730421300
"""forgotmywallet @ 2JV_GWZfzy"" posts a big blind of 100",2024-04-26T16:01:35.242Z,171414729524205
"""Pepsi @ F-7ZqwXZ_u"" posts a small blind of 50",2024-04-26T16:01:35.242Z,171414729524204
"Player stacks: #2 ""Pepsi @ F-7ZqwXZ_u"" (6640) | #7 ""forgotmywallet @ 2JV_GWZfzy"" (1360)",2024-04-26T16:01:35.242Z,171414729524201
"-- starting hand #56 (id: yxjtahnboara)  (No Limit Texas Hold'em) (dealer: ""Pepsi @ F-7ZqwXZ_u"") --",2024-04-26T16:01:35.242Z,171414729524200
"-- ending hand #55 --",2024-04-26T16:01:32.326Z,171414729232602
"""Pepsi @ F-7ZqwXZ_u"" collected 100 from pot",2024-04-26T16:01:32.326Z,171414729232601
"Uncalled bet of 50 returned to ""Pepsi @ F-7ZqwXZ_u""",2024-04-26T16:01:32.326Z,171414729232600
"""forgotmywallet @ 2JV_GWZfzy"" folds",2024-04-26T16:01:31.514Z,171414729151406
"""Pepsi @ F-7ZqwXZ_u"" posts a big blind of 100",2024-04-26T16:01:31.514Z,171414729151405
"""forgotmywallet @ 2JV_GWZfzy"" posts a small blind of 50",2024-04-26T16:01:31.514Z,171414729151404
"Player stacks: #2 ""Pepsi @ F-7ZqwXZ_u"" (6590) | #7 ""forgotmywallet @ 2JV_GWZfzy"" (1410)",2024-04-26T16:01:31.514Z,171414729151401
"-- starting hand #55 (id: mkw2vzyruqmx)  (No Limit Texas Hold'em) (dealer: ""forgotmywallet @ 2JV_GWZfzy"") --",2024-04-26T16:01:31.514Z,171414729151400
"-- ending hand #54 --",2024-04-26T16:01:28.597Z,171414728859702
"""Pepsi @ F-7ZqwXZ_u"" collected 200 from pot",2024-04-26T16:01:28.597Z,171414728859701
"Uncalled bet of 100 returned to ""Pepsi @ F-7ZqwXZ_u""",2024-04-26T16:01:28.597Z,171414728859700
"""forgotmywallet @ 2JV_GWZfzy"" folds",2024-04-26T16:01:27.793Z,171414728779300
"""Pepsi @ F-7ZqwXZ_u"" raises to 200",2024-04-26T16:01:26.972Z,171414728697200
"""forgotmywallet @ 2JV_GWZfzy"" posts a big blind of 100",2024-04-26T16:01:25.698Z,171414728569805
"""Pepsi @ F-7ZqwXZ_u"" posts a small blind of 50",2024-04-26T16:01:25.698Z,171414728569804
"Player stacks: #2 ""Pepsi @ F-7ZqwXZ_u"" (6490) | #7 ""forgotmywallet @ 2JV_GWZfzy"" (1510)",2024-04-26T16:01:25.698Z,171414728569801
"-- starting hand #54 (id: zur9vqmv1ddi)  (No Limit Texas Hold'em) (dealer: ""Pepsi @ F-7ZqwXZ_u"") --",2024-04-26T16:01:25.698Z,171414728569800
"-- ending hand #53 --",2024-04-26T16:01:22.753Z,171414728275302
