entry,at,order
"The player ""-Linda- @ SlQ0PfdcTW"" quits the game with a stack of 6020.",2024-04-17T21:43:47.726Z,171339022772600
"The player ""Shipland1 @ H0jpzO5Rav"" quits the game with a stack of 0.",2024-04-17T21:38:27.148Z,171338990714800
"-- ending hand #42 --",2024-04-17T21:38:21.142Z,171338990114201
"""-Linda- @ SlQ0PfdcTW"" collected 1166 from pot with Flush, Ks High (combination: K♠, 9♠, 5♠, 4♠, 2♠)",2024-04-17T21:38:21.142Z,171338990114200
"River: K♠, 5♥, 4♠, 9♠ [5♠]",2024-04-17T21:38:17.139Z,171338989713900
"Turn: K♠, 5♥, 4♠ [9♠]",2024-04-17T21:38:13.125Z,171338989312500
"Flop:  [K♠, 5♥, 4♠]",2024-04-17T21:38:09.085Z,171338988908500
"""Shipland1 @ H0jpzO5Rav"" shows a Q♦, Q♣.",2024-04-17T21:38:05.068Z,171338988506801
"""-Linda- @ SlQ0PfdcTW"" shows a 2♠, A♣.",2024-04-17T21:38:05.068Z,171338988506800
"""-Linda- @ SlQ0PfdcTW"" calls 583",2024-04-17T21:38:04.244Z,171338988424400
"""Shipland1 @ H0jpzO5Rav"" raises to 583 and go all in",2024-04-17T21:37:57.926Z,171338987792600
"""-Linda- @ SlQ0PfdcTW"" posts a big blind of 150",2024-04-17T21:37:52.059Z,171338987205905
"""Shipland1 @ H0jpzO5Rav"" posts a small blind of 75",2024-04-17T21:37:52.059Z,171338987205904
"Player stacks: #1 ""-Linda- @ SlQ0PfdcTW"" (5437) | #2 ""Shipland1 @ H0jpzO5Rav"" (583)",2024-04-17T21:37:52.059Z,171338987205901
"-- starting hand #42 (id: y1cg169geo7h)  (No Limit Texas Hold'em) (dealer: ""Shipland1 @ H0jpzO5Rav"") --",2024-04-17T21:37:52.059Z,171338987205900
"-- ending hand #41 --",2024-04-17T21:37:49.144Z,171338986914402
"""-Linda- @ SlQ0PfdcTW"" collected 300 from pot",2024-04-17T21:37:49.144Z,171338986914401
"Uncalled bet of 150 returned to ""-Linda- @ SlQ0PfdcTW""",2024-04-17T21:37:49.144Z,171338986914400
"""Shipland1 @ H0jpzO5Rav"" folds",2024-04-17T21:37:48.290Z,171338986829000
"""-Linda- @ SlQ0PfdcTW"" bets 150",2024-04-17T21:37:46.875Z,171338986687500
"""Shipland1 @ H0jpzO5Rav"" checks",2024-04-17T21:37:45.436Z,171338986543600
"Flop:  [3♠, 6♦, K♠]",2024-04-17T21:37:43.025Z,171338986302500
"""Shipland1 @ H0jpzO5Rav"" checks",2024-04-17T21:37:42.206Z,171338986220600
"""-Linda- @ SlQ0PfdcTW"" calls 150",2024-04-17T21:37:37.612Z,171338985761200
"""Shipland1 @ H0jpzO5Rav"" posts a big blind of 150",2024-04-17T21:37:36.635Z,171338985663505
"""-Linda- @ SlQ0PfdcTW"" posts a small blind of 75",2024-04-17T21:37:36.635Z,171338985663504
"Player stacks: #1 ""-Linda- @ SlQ0PfdcTW"" (5287) | #2 ""Shipland1 @ H0jpzO5Rav"" (733)",2024-04-17T21:37:36.635Z,171338985663501
"-- starting hand #41 (id: 5y7ctzximdgv)  (No Limit Texas Hold'em) (dealer: ""-Linda- @ SlQ0PfdcTW"") --",2024-04-17T21:37:36.635Z,171338985663500
"-- ending hand #40 --",2024-04-17T21:37:30.610Z,171338985061002
"""-Linda- @ SlQ0PfdcTW"" collected 1500 from pot with Two Pair, A's & 10's (combination: A♣, A♥, 10♥, 10♠, 6♥)",2024-04-17T21:37:30.610Z,171338985061001
"""-Linda- @ SlQ0PfdcTW"" shows a 6♥, 10♥.",2024-04-17T21:37:30.610Z,171338985061000
"""Shipland1 @ H0jpzO5Rav"" calls 150",2024-04-17T21:37:29.750Z,171338984975000
"""-Linda- @ SlQ0PfdcTW"" bets 150",2024-04-17T21:37:28.425Z,171338984842500
"River: 6♠, A♣, A♥, 10♠ [5♣]",2024-04-17T21:37:27.197Z,171338984719700
"""Shipland1 @ H0jpzO5Rav"" checks",2024-04-17T21:37:26.362Z,171338984636200
"""-Linda- @ SlQ0PfdcTW"" checks",2024-04-17T21:37:24.555Z,171338984455500
"Turn: 6♠, A♣, A♥ [10♠]",2024-04-17T21:37:21.992Z,171338984199200
"""-Linda- @ SlQ0PfdcTW"" calls 450",2024-04-17T21:37:21.151Z,171338984115100
"""Shipland1 @ H0jpzO5Rav"" raises to 450",2024-04-17T21:37:19.155Z,171338983915500
"""-Linda- @ SlQ0PfdcTW"" bets 150",2024-04-17T21:37:11.457Z,171338983145700
"Flop:  [6♠, A♣, A♥]",2024-04-17T21:37:09.672Z,171338982967200
"""-Linda- @ SlQ0PfdcTW"" checks",2024-04-17T21:37:08.846Z,171338982884600
"""Shipland1 @ H0jpzO5Rav"" calls 150",2024-04-17T21:37:07.642Z,171338982764200
"""-Linda- @ SlQ0PfdcTW"" posts a big blind of 150",2024-04-17T21:36:56.995Z,171338981699506
"""Shipland1 @ H0jpzO5Rav"" posts a small blind of 75",2024-04-17T21:36:56.995Z,171338981699505
"Player stacks: #1 ""-Linda- @ SlQ0PfdcTW"" (4537) | #2 ""Shipland1 @ H0jpzO5Rav"" (1483)",2024-04-17T21:36:56.995Z,171338981699502
"-- starting hand #40 (id: erc6mmgdrbpn)  (No Limit Texas Hold'em) (dealer: ""Shipland1 @ H0jpzO5Rav"") --",2024-04-17T21:36:56.995Z,171338981699501
"The player ""𝐻𝒾𝓇𝒶𝓉𝒾𝒸𝒶𝓁 @ 0U7BjKLLa2"" quits the game with a stack of 0.",2024-04-17T21:36:56.995Z,171338981699500
"-- ending hand #39 --",2024-04-17T21:36:50.988Z,171338981098801
