entry,at,order
"The player ""Bos @ oY_T7ALQal"" quits the game with a stack of 7000.",2024-04-26T18:54:36.367Z,171415767636700
"The player ""Одинокий @ IJTnbMhqJ9"" quits the game with a stack of 0.",2024-04-26T18:31:11.890Z,171415627189000
"-- ending hand #72 --",2024-04-26T18:31:05.884Z,171415626588401
"""Bos @ oY_T7ALQal"" collected 2720 from pot with Pair, 4's (combination: 4♠, 4♣, 10♥, 9♦, 7♥)",2024-04-26T18:31:05.884Z,171415626588400
"River: 9♦, 7♥, 10♥, 3♣ [5♣]",2024-04-26T18:31:01.879Z,171415626187900
"Turn: 9♦, 7♥, 10♥ [3♣]",2024-04-26T18:30:57.870Z,171415625787000
"Flop:  [9♦, 7♥, 10♥]",2024-04-26T18:30:53.864Z,171415625386400
"""Одинокий @ IJTnbMhqJ9"" shows a J♦, 4♥.",2024-04-26T18:30:49.839Z,171415624983901
"""Bos @ oY_T7ALQal"" shows a 4♠, 4♣.",2024-04-26T18:30:49.839Z,171415624983900
"""Одинокий @ IJTnbMhqJ9"" calls 1360 and go all in",2024-04-26T18:30:48.992Z,171415624899200
"""Bos @ oY_T7ALQal"" raises to 1360",2024-04-26T18:30:47.276Z,171415624727600
"""Одинокий @ IJTnbMhqJ9"" posts a big blind of 500",2024-04-26T18:30:41.489Z,171415624148907
"""Bos @ oY_T7ALQal"" posts a small blind of 250",2024-04-26T18:30:41.489Z,171415624148906
"Player stacks: #3 ""Bos @ oY_T7ALQal"" (5640) | #4 ""Одинокий @ IJTnbMhqJ9"" (1360)",2024-04-26T18:30:41.489Z,171415624148903
"-- starting hand #72 (id: iawpt9i4eq5h)  (No Limit Texas Hold'em) (dealer: ""Bos @ oY_T7ALQal"") --",2024-04-26T18:30:41.489Z,171415624148902
"The game's big blind was changed from 300 to 500.",2024-04-26T18:30:41.489Z,171415624148901
"The game's small blind was changed from 150 to 250.",2024-04-26T18:30:41.489Z,171415624148900
"-- ending hand #71 --",2024-04-26T18:30:38.568Z,171415623856802
"""Bos @ oY_T7ALQal"" collected 1200 from pot",2024-04-26T18:30:38.568Z,171415623856801
"Uncalled bet of 1200 returned to ""Bos @ oY_T7ALQal""",2024-04-26T18:30:38.568Z,171415623856800
"""Одинокий @ IJTnbMhqJ9"" folds",2024-04-26T18:30:37.738Z,171415623773800
"""Bos @ oY_T7ALQal"" bets 1200",2024-04-26T18:30:36.147Z,171415623614700
"Flop:  [Q♦, K♠, 6♥]",2024-04-26T18:30:29.922Z,171415622992200
"""Bos @ oY_T7ALQal"" calls 600",2024-04-26T18:30:29.100Z,171415622910000
"""Одинокий @ IJTnbMhqJ9"" raises to 600",2024-04-26T18:30:26.848Z,171415622684800
"""Bos @ oY_T7ALQal"" posts a big blind of 300",2024-04-26T18:30:23.045Z,171415622304505
"""Одинокий @ IJTnbMhqJ9"" posts a small blind of 150",2024-04-26T18:30:23.045Z,171415622304504
"Player stacks: #3 ""Bos @ oY_T7ALQal"" (5040) | #4 ""Одинокий @ IJTnbMhqJ9"" (1960)",2024-04-26T18:30:23.045Z,171415622304501
"-- starting hand #71 (id: 7ilvallkumoz)  (No Limit Texas Hold'em) (dealer: ""Одинокий @ IJTnbMhqJ9"") --",2024-04-26T18:30:23.045Z,171415622304500
"-- ending hand #70 --",2024-04-26T18:30:20.082Z,171415622008202
"""Bos @ oY_T7ALQal"" collected 600 from pot",2024-04-26T18:30:20.082Z,171415622008201
"Uncalled bet of 1200 returned to ""Bos @ oY_T7ALQal""",2024-04-26T18:30:20.082Z,171415622008200
"""Одинокий @ IJTnbMhqJ9"" folds",2024-04-26T18:30:19.269Z,171415621926900
"""Bos @ oY_T7ALQal"" bets 1200",2024-04-26T18:30:18.018Z,171415621801800
