entry,at,order
"The player ""Gia An @ yUNgcw04UV"" quits the game with a stack of 7000.",2024-04-26T16:26:42.263Z,171414880226300
"The player ""PapaJohn$ @ fXqFuKqumd"" quits the game with a stack of 0.",2024-04-26T16:20:56.235Z,171414845623500
"-- ending hand #24 --",2024-04-26T16:20:50.225Z,171414845022501
"""Gia An @ yUNgcw04UV"" collected 532 from pot with Three of a Kind, 10's (combination: 10♠, 10♦, 10♣, 9♥, 7♠)",2024-04-26T16:20:50.225Z,171414845022500
"River: 6♠, 7♠, 10♦, 10♣ [9♥]",2024-04-26T16:20:46.209Z,171414844620900
"Turn: 6♠, 7♠, 10♦ [10♣]",2024-04-26T16:20:42.205Z,171414844220500
"Flop:  [6♠, 7♠, 10♦]",2024-04-26T16:20:38.174Z,171414843817400
"""Gia An @ yUNgcw04UV"" shows a 10♠, 3♣.",2024-04-26T16:20:34.106Z,171414843410601
"""PapaJohn$ @ fXqFuKqumd"" shows a 9♠, Q♠.",2024-04-26T16:20:34.106Z,171414843410600
"""Gia An @ yUNgcw04UV"" calls 266",2024-04-26T16:20:33.295Z,171414843329500
"""PapaJohn$ @ fXqFuKqumd"" raises to 266 and go all in",2024-04-26T16:20:29.330Z,171414842933000
"""Gia An @ yUNgcw04UV"" posts a big blind of 100",2024-04-26T16:20:24.034Z,171414842403406
"""PapaJohn$ @ fXqFuKqumd"" posts a small blind of 50",2024-04-26T16:20:24.034Z,171414842403405
"Player stacks: #5 ""PapaJohn$ @ fXqFuKqumd"" (266) | #6 ""Gia An @ yUNgcw04UV"" (6734)",2024-04-26T16:20:24.034Z,171414842403402
"-- starting hand #24 (id: wg7xdnaqk2cy)  (No Limit Texas Hold'em) (dealer: ""PapaJohn$ @ fXqFuKqumd"") --",2024-04-26T16:20:24.034Z,171414842403401
"The player ""Weak Symmetry @ V-rY4P2uu9"" quits the game with a stack of 0.",2024-04-26T16:20:24.034Z,171414842403400
"-- ending hand #23 --",2024-04-26T16:20:17.938Z,171414841793802
"""Gia An @ yUNgcw04UV"" collected 5900 from pot with Pair, K's (combination: K♦, K♣, Q♥, 10♦, 9♥)",2024-04-26T16:20:17.938Z,171414841793801
"""Gia An @ yUNgcw04UV"" collected 834 from pot with Pair, K's (combination: K♦, K♣, Q♥, 10♦, 9♥)",2024-04-26T16:20:17.938Z,171414841793800
"River: K♣, 9♥, 2♦, 8♠ [10♦]",2024-04-26T16:20:13.882Z,171414841388200
"Turn: K♣, 9♥, 2♦ [8♠]",2024-04-26T16:20:09.858Z,171414840985800
"Flop:  [K♣, 9♥, 2♦]",2024-04-26T16:20:05.848Z,171414840584800
"""Gia An @ yUNgcw04UV"" shows a K♦, Q♥.",2024-04-26T16:20:01.817Z,171414840181702
"""PapaJohn$ @ fXqFuKqumd"" shows a Q♣, A♠.",2024-04-26T16:20:01.817Z,171414840181701
"""Weak Symmetry @ V-rY4P2uu9"" shows a Q♦, 9♣.",2024-04-26T16:20:01.817Z,171414840181700
"""PapaJohn$ @ fXqFuKqumd"" calls 3228",2024-04-26T16:20:00.991Z,171414840099100
"""Gia An @ yUNgcw04UV"" raises to 3228 and go all in",2024-04-26T16:19:54.601Z,171414839460100
"""PapaJohn$ @ fXqFuKqumd"" calls 278",2024-04-26T16:19:51.268Z,171414839126800
"""Weak Symmetry @ V-rY4P2uu9"" raises to 278 and go all in",2024-04-26T16:19:46.967Z,171414838696700
"""Gia An @ yUNgcw04UV"" posts a big blind of 100",2024-04-26T16:19:42.852Z,171414838285206
"""PapaJohn$ @ fXqFuKqumd"" posts a small blind of 50",2024-04-26T16:19:42.852Z,171414838285205
"Player stacks: #3 ""Weak Symmetry @ V-rY4P2uu9"" (278) | #5 ""PapaJohn$ @ fXqFuKqumd"" (3494) | #6 ""Gia An @ yUNgcw04UV"" (3228)",2024-04-26T16:19:42.852Z,171414838285201
"-- starting hand #23 (id: imbo9hc0e4us)  (No Limit Texas Hold'em) (dealer: ""Weak Symmetry @ V-rY4P2uu9"") --",2024-04-26T16:19:42.852Z,171414838285200
"""Weak Symmetry @ V-rY4P2uu9"" shows a 8♦, 6♥.",2024-04-26T16:19:40.155Z,171414838015500
"-- ending hand #22 --",2024-04-26T16:19:39.248Z,171414837924802
"""PapaJohn$ @ fXqFuKqumd"" collected 100 from pot",2024-04-26T16:19:39.248Z,171414837924801
"Uncalled bet of 50 returned to ""PapaJohn$ @ fXqFuKqumd""",2024-04-26T16:19:39.248Z,171414837924800
"""Weak Symmetry @ V-rY4P2uu9"" folds",2024-04-26T16:19:38.420Z,171414837842000
"""Gia An @ yUNgcw04UV"" folds",2024-04-26T16:19:36.538Z,171414837653800
"""PapaJohn$ @ fXqFuKqumd"" posts a big blind of 100",2024-04-26T16:19:33.959Z,171414837395906
"""Weak Symmetry @ V-rY4P2uu9"" posts a small blind of 50",2024-04-26T16:19:33.959Z,171414837395905
"Player stacks: #3 ""Weak Symmetry @ V-rY4P2uu9"" (328) | #5 ""PapaJohn$ @ fXqFuKqumd"" (3444) | #6 ""Gia An @ yUNgcw04UV"" (3228)",2024-04-26T16:19:33.959Z,171414837395901
"-- starting hand #22 (id: graltydkme5v)  (No Limit Texas Hold'em) (dealer: ""Gia An @ yUNgcw04UV"") --",2024-04-26T16:19:33.959Z,171414837395900
"""Weak Symmetry @ V-rY4P2uu9"" shows a 2♣, Q♦.",2024-04-26T16:19:30.697Z,171414837069700
"-- ending hand #21 --",2024-04-26T16:19:30.345Z,171414837034502
"""Gia An @ yUNgcw04UV"" collected 200 from pot",2024-04-26T16:19:30.345Z,171414837034501
"Uncalled bet of 328 returned to ""Gia An @ yUNgcw04UV""",2024-04-26T16:19:30.345Z,171414837034500
"""Weak Symmetry @ V-rY4P2uu9"" folds",2024-04-26T16:19:29.517Z,171414836951700
"""Gia An @ yUNgcw04UV"" raises to 428",2024-04-26T16:19:27.460Z,171414836746000
"""PapaJohn$ @ fXqFuKqumd"" folds",2024-04-26T16:19:24.380Z,171414836438000
"""Weak Symmetry @ V-rY4P2uu9"" posts a big blind of 100",2024-04-26T16:19:22.826Z,171414836282608
"""Gia An @ yUNgcw04UV"" posts a small blind of 50",2024-04-26T16:19:22.826Z,171414836282607
"Player stacks: #3 ""Weak Symmetry @ V-rY4P2uu9"" (428) | #5 ""PapaJohn$ @ fXqFuKqumd"" (3444) | #6 ""Gia An @ yUNgcw04UV"" (3128)",2024-04-26T16:19:22.826Z,171414836282603
"-- starting hand #21 (id: jqh3uwa4u9vy)  (No Limit Texas Hold'em) (dealer: ""PapaJohn$ @ fXqFuKqumd"") --",2024-04-26T16:19:22.826Z,171414836282602
"The game's big blind was changed from 60 to 100.",2024-04-26T16:19:22.826Z,171414836282601
"The game's small blind was changed from 30 to 50.",2024-04-26T16:19:22.826Z,171414836282600
"""Weak Symmetry @ V-rY4P2uu9"" shows a J♥, 9♠.",2024-04-26T16:19:19.644Z,171414835964400
"-- ending hand #20 --",2024-04-26T16:19:19.218Z,171414835921802
"""Gia An @ yUNgcw04UV"" collected 120 from pot",2024-04-26T16:19:19.218Z,171414835921801
"Uncalled bet of 60 returned to ""Gia An @ yUNgcw04UV""",2024-04-26T16:19:19.218Z,171414835921800
"""PapaJohn$ @ fXqFuKqumd"" folds",2024-04-26T16:19:18.360Z,171414835836000
"""Gia An @ yUNgcw04UV"" bets 60",2024-04-26T16:19:15.837Z,171414835583700
"""PapaJohn$ @ fXqFuKqumd"" checks",2024-04-26T16:19:09.276Z,171414834927600
"Turn: Q♥, 10♦, 5♣ [K♠]",2024-04-26T16:19:06.391Z,171414834639100
"""Gia An @ yUNgcw04UV"" checks",2024-04-26T16:19:05.540Z,171414834554000
"""PapaJohn$ @ fXqFuKqumd"" checks",2024-04-26T16:19:01.051Z,171414834105100
"Flop:  [Q♥, 10♦, 5♣]",2024-04-26T16:18:57.353Z,171414833735300
"""Gia An @ yUNgcw04UV"" checks",2024-04-26T16:18:56.453Z,171414833645300
"""PapaJohn$ @ fXqFuKqumd"" calls 60",2024-04-26T16:18:54.265Z,171414833426500
"""Weak Symmetry @ V-rY4P2uu9"" folds",2024-04-26T16:18:50.725Z,171414833072500
"""Gia An @ yUNgcw04UV"" posts a big blind of 60",2024-04-26T16:18:48.938Z,171414832893806
"""PapaJohn$ @ fXqFuKqumd"" posts a small blind of 30",2024-04-26T16:18:48.938Z,171414832893805
"Player stacks: #3 ""Weak Symmetry @ V-rY4P2uu9"" (428) | #5 ""PapaJohn$ @ fXqFuKqumd"" (3504) | #6 ""Gia An @ yUNgcw04UV"" (3068)",2024-04-26T16:18:48.938Z,171414832893801
"-- starting hand #20 (id: v0eu4nitqsdv)  (No Limit Texas Hold'em) (dealer: ""Weak Symmetry @ V-rY4P2uu9"") --",2024-04-26T16:18:48.938Z,171414832893800
"-- ending hand #19 --",2024-04-26T16:18:45.978Z,171414832597802
"""Gia An @ yUNgcw04UV"" collected 270 from pot",2024-04-26T16:18:45.978Z,171414832597801
"Uncalled bet of 90 returned to ""Gia An @ yUNgcw04UV""",2024-04-26T16:18:45.978Z,171414832597800
"""PapaJohn$ @ fXqFuKqumd"" folds",2024-04-26T16:18:45.144Z,171414832514400
"""Gia An @ yUNgcw04UV"" bets 90",2024-04-26T16:18:40.909Z,171414832090900
"""PapaJohn$ @ fXqFuKqumd"" checks",2024-04-26T16:18:33.828Z,171414831382800
"River: 7♦, 5♠, Q♦, 4♠ [10♦]",2024-04-26T16:18:32.026Z,171414831202600
"""Gia An @ yUNgcw04UV"" checks",2024-04-26T16:18:31.204Z,171414831120400
"""PapaJohn$ @ fXqFuKqumd"" checks",2024-04-26T16:18:23.497Z,171414830349700
"Turn: 7♦, 5♠, Q♦ [4♠]",2024-04-26T16:18:18.089Z,171414829808900
"""Gia An @ yUNgcw04UV"" checks",2024-04-26T16:18:17.234Z,171414829723400
"""PapaJohn$ @ fXqFuKqumd"" checks",2024-04-26T16:18:09.585Z,171414828958500
"Flop:  [7♦, 5♠, Q♦]",2024-04-26T16:18:06.753Z,171414828675300
"""PapaJohn$ @ fXqFuKqumd"" calls 120",2024-04-26T16:18:05.941Z,171414828594100
"""Weak Symmetry @ V-rY4P2uu9"" folds",2024-04-26T16:18:02.895Z,171414828289500
"""Gia An @ yUNgcw04UV"" raises to 120",2024-04-26T16:18:01.791Z,171414828179100
"""PapaJohn$ @ fXqFuKqumd"" posts a big blind of 60",2024-04-26T16:17:58.924Z,171414827892406
"""Weak Symmetry @ V-rY4P2uu9"" posts a small blind of 30",2024-04-26T16:17:58.924Z,171414827892405
"Player stacks: #3 ""Weak Symmetry @ V-rY4P2uu9"" (458) | #5 ""PapaJohn$ @ fXqFuKqumd"" (3624) | #6 ""Gia An @ yUNgcw04UV"" (2918)",2024-04-26T16:17:58.924Z,171414827892401
"-- starting hand #19 (id: h6abofhjmx4e)  (No Limit Texas Hold'em) (dealer: ""Gia An @ yUNgcw04UV"") --",2024-04-26T16:17:58.924Z,171414827892400
"""Weak Symmetry @ V-rY4P2uu9"" shows a 2♠, 3♠.",2024-04-26T16:17:56.406Z,171414827640600
"-- ending hand #18 --",2024-04-26T16:17:55.315Z,171414827531502
"""PapaJohn$ @ fXqFuKqumd"" collected 150 from pot",2024-04-26T16:17:55.315Z,171414827531501
"Uncalled bet of 60 returned to ""PapaJohn$ @ fXqFuKqumd""",2024-04-26T16:17:55.315Z,171414827531500
"""Weak Symmetry @ V-rY4P2uu9"" folds",2024-04-26T16:17:54.474Z,171414827447400
"""Gia An @ yUNgcw04UV"" folds",2024-04-26T16:17:52.572Z,171414827257200
"""PapaJohn$ @ fXqFuKqumd"" raises to 120",2024-04-26T16:17:50.961Z,171414827096100
"""Weak Symmetry @ V-rY4P2uu9"" posts a big blind of 60",2024-04-26T16:17:46.899Z,171414826689906
"""Gia An @ yUNgcw04UV"" posts a small blind of 30",2024-04-26T16:17:46.899Z,171414826689905
"Player stacks: #3 ""Weak Symmetry @ V-rY4P2uu9"" (518) | #5 ""PapaJohn$ @ fXqFuKqumd"" (3534) | #6 ""Gia An @ yUNgcw04UV"" (2948)",2024-04-26T16:17:46.899Z,171414826689901
"-- starting hand #18 (id: tya8mdzhvjr6)  (No Limit Texas Hold'em) (dealer: ""PapaJohn$ @ fXqFuKqumd"") --",2024-04-26T16:17:46.899Z,171414826689900
"""Weak Symmetry @ V-rY4P2uu9"" shows a 9♥, 4♥.",2024-04-26T16:17:44.878Z,171414826487800
"-- ending hand #17 --",2024-04-26T16:17:43.287Z,171414826328702
"""Gia An @ yUNgcw04UV"" collected 270 from pot",2024-04-26T16:17:43.287Z,171414826328701
"Uncalled bet of 210 returned to ""Gia An @ yUNgcw04UV""",2024-04-26T16:17:43.287Z,171414826328700
"""Weak Symmetry @ V-rY4P2uu9"" folds",2024-04-26T16:17:42.416Z,171414826241600
"""Gia An @ yUNgcw04UV"" bets 210",2024-04-26T16:17:40.740Z,171414826074000
"River: 8♣, 5♦, 10♠, 6♣ [8♠]",2024-04-26T16:17:29.636Z,171414824963600
"""Weak Symmetry @ V-rY4P2uu9"" calls 60",2024-04-26T16:17:28.767Z,171414824876700
"""Gia An @ yUNgcw04UV"" bets 60",2024-04-26T16:17:26.513Z,171414824651300
"Turn: 8♣, 5♦, 10♠ [6♣]",2024-04-26T16:17:20.475Z,171414824047500
"""Weak Symmetry @ V-rY4P2uu9"" checks",2024-04-26T16:17:19.651Z,171414823965100
"""Gia An @ yUNgcw04UV"" checks",2024-04-26T16:17:17.065Z,171414823706500
"Flop:  [8♣, 5♦, 10♠]",2024-04-26T16:17:14.469Z,171414823446900
"""Gia An @ yUNgcw04UV"" checks",2024-04-26T16:17:13.648Z,171414823364800
"""PapaJohn$ @ fXqFuKqumd"" folds",2024-04-26T16:17:11.885Z,171414823188500
"""Weak Symmetry @ V-rY4P2uu9"" calls 60",2024-04-26T16:17:09.366Z,171414822936600
"""Gia An @ yUNgcw04UV"" posts a big blind of 60",2024-04-26T16:17:05.515Z,171414822551506
"""PapaJohn$ @ fXqFuKqumd"" posts a small blind of 30",2024-04-26T16:17:05.515Z,171414822551505
"Player stacks: #3 ""Weak Symmetry @ V-rY4P2uu9"" (638) | #5 ""PapaJohn$ @ fXqFuKqumd"" (3564) | #6 ""Gia An @ yUNgcw04UV"" (2798)",2024-04-26T16:17:05.515Z,171414822551501
"-- starting hand #17 (id: gebgusowae0s)  (No Limit Texas Hold'em) (dealer: ""Weak Symmetry @ V-rY4P2uu9"") --",2024-04-26T16:17:05.515Z,171414822551500
"""Weak Symmetry @ V-rY4P2uu9"" shows a 10♣, K♠.",2024-04-26T16:17:03.576Z,171414822357600
"-- ending hand #16 --",2024-04-26T16:17:01.862Z,171414822186202
"""Gia An @ yUNgcw04UV"" collected 690 from pot",2024-04-26T16:17:01.862Z,171414822186201
"Uncalled bet of 228 returned to ""Gia An @ yUNgcw04UV""",2024-04-26T16:17:01.862Z,171414822186200
"""PapaJohn$ @ fXqFuKqumd"" folds",2024-04-26T16:17:01.018Z,171414822101800
"""Gia An @ yUNgcw04UV"" bets 228",2024-04-26T16:16:58.724Z,171414821872400
"""PapaJohn$ @ fXqFuKqumd"" checks",2024-04-26T16:16:49.528Z,171414820952800
"Turn: 8♥, 9♣, K♣ [9♠]",2024-04-26T16:16:45.472Z,171414820547200
"""PapaJohn$ @ fXqFuKqumd"" calls 210",2024-04-26T16:16:44.647Z,171414820464700
"""Gia An @ yUNgcw04UV"" raises to 210",2024-04-26T16:16:40.580Z,171414820058000
"""PapaJohn$ @ fXqFuKqumd"" bets 60",2024-04-26T16:16:29.825Z,171414818982500
"Flop:  [8♥, 9♣, K♣]",2024-04-26T16:16:26.794Z,171414818679400
"""PapaJohn$ @ fXqFuKqumd"" calls 120",2024-04-26T16:16:25.946Z,171414818594600
"""Weak Symmetry @ V-rY4P2uu9"" folds",2024-04-26T16:16:22.421Z,171414818242100
"""Gia An @ yUNgcw04UV"" raises to 120",2024-04-26T16:16:21.585Z,171414818158500
"""PapaJohn$ @ fXqFuKqumd"" posts a big blind of 60",2024-04-26T16:16:18.579Z,171414817857906
"""Weak Symmetry @ V-rY4P2uu9"" posts a small blind of 30",2024-04-26T16:16:18.579Z,171414817857905
"Player stacks: #3 ""Weak Symmetry @ V-rY4P2uu9"" (668) | #5 ""PapaJohn$ @ fXqFuKqumd"" (3894) | #6 ""Gia An @ yUNgcw04UV"" (2438)",2024-04-26T16:16:18.579Z,171414817857901
"-- starting hand #16 (id: l5y4wchk88fo)  (No Limit Texas Hold'em) (dealer: ""Gia An @ yUNgcw04UV"") --",2024-04-26T16:16:18.579Z,171414817857900
"-- ending hand #15 --",2024-04-26T16:16:15.612Z,171414817561202
"""PapaJohn$ @ fXqFuKqumd"" collected 150 from pot",2024-04-26T16:16:15.612Z,171414817561201
"Uncalled bet of 60 returned to ""PapaJohn$ @ fXqFuKqumd""",2024-04-26T16:16:15.612Z,171414817561200
"""Weak Symmetry @ V-rY4P2uu9"" folds",2024-04-26T16:16:14.775Z,171414817477500
"""PapaJohn$ @ fXqFuKqumd"" bets 60",2024-04-26T16:16:13.962Z,171414817396200
"""Weak Symmetry @ V-rY4P2uu9"" checks",2024-04-26T16:16:10.447Z,171414817044701
"Flop:  [10♦, 10♥, 2♠]",2024-04-26T16:16:10.447Z,171414817044700
"""Weak Symmetry @ V-rY4P2uu9"" checks",2024-04-26T16:16:09.609Z,171414816960900
"""Gia An @ yUNgcw04UV"" folds",2024-04-26T16:15:53.726Z,171414815372600
"""PapaJohn$ @ fXqFuKqumd"" calls 60",2024-04-26T16:15:52.414Z,171414815241400
"""Weak Symmetry @ V-rY4P2uu9"" posts a big blind of 60",2024-04-26T16:15:49.244Z,171414814924406
"""Gia An @ yUNgcw04UV"" posts a small blind of 30",2024-04-26T16:15:49.244Z,171414814924405
"Player stacks: #3 ""Weak Symmetry @ V-rY4P2uu9"" (728) | #5 ""PapaJohn$ @ fXqFuKqumd"" (3804) | #6 ""Gia An @ yUNgcw04UV"" (2468)",2024-04-26T16:15:49.244Z,171414814924401
"-- starting hand #15 (id: nmvqmw2wpdu7)  (No Limit Texas Hold'em) (dealer: ""PapaJohn$ @ fXqFuKqumd"") --",2024-04-26T16:15:49.244Z,171414814924400
"-- ending hand #14 --",2024-04-26T16:15:46.318Z,171414814631802
"""PapaJohn$ @ fXqFuKqumd"" collected 480 from pot",2024-04-26T16:15:46.318Z,171414814631801
"Uncalled bet of 480 returned to ""PapaJohn$ @ fXqFuKqumd""",2024-04-26T16:15:46.318Z,171414814631800
"""Gia An @ yUNgcw04UV"" folds",2024-04-26T16:15:45.501Z,171414814550100
"""PapaJohn$ @ fXqFuKqumd"" bets 480",2024-04-26T16:15:42.915Z,171414814291500
"River: K♠, 3♦, 3♥, 9♠ [5♠]",2024-04-26T16:15:34.801Z,171414813480100
"""Gia An @ yUNgcw04UV"" checks",2024-04-26T16:15:33.950Z,171414813395000
"""PapaJohn$ @ fXqFuKqumd"" checks",2024-04-26T16:15:29.642Z,171414812964200
"Turn: K♠, 3♦, 3♥ [9♠]",2024-04-26T16:15:24.917Z,171414812491700
"""Gia An @ yUNgcw04UV"" calls 60",2024-04-26T16:15:24.105Z,171414812410500
"""PapaJohn$ @ fXqFuKqumd"" bets 60",2024-04-26T16:15:19.752Z,171414811975200
"Flop:  [K♠, 3♦, 3♥]",2024-04-26T16:15:16.963Z,171414811696300
"""PapaJohn$ @ fXqFuKqumd"" calls 180",2024-04-26T16:15:16.160Z,171414811616000
"""Gia An @ yUNgcw04UV"" raises to 180",2024-04-26T16:15:12.582Z,171414811258200
"""PapaJohn$ @ fXqFuKqumd"" calls 60",2024-04-26T16:15:07.053Z,171414810705300
"""Weak Symmetry @ V-rY4P2uu9"" folds",2024-04-26T16:15:02.637Z,171414810263700
"""Gia An @ yUNgcw04UV"" posts a big blind of 60",2024-04-26T16:14:54.918Z,171414809491806
"""PapaJohn$ @ fXqFuKqumd"" posts a small blind of 30",2024-04-26T16:14:54.918Z,171414809491805
"Player stacks: #3 ""Weak Symmetry @ V-rY4P2uu9"" (728) | #5 ""PapaJohn$ @ fXqFuKqumd"" (3564) | #6 ""Gia An @ yUNgcw04UV"" (2708)",2024-04-26T16:14:54.918Z,171414809491801
"-- starting hand #14 (id: aqxbgmrujjqa)  (No Limit Texas Hold'em) (dealer: ""Weak Symmetry @ V-rY4P2uu9"") --",2024-04-26T16:14:54.918Z,171414809491800
"-- ending hand #13 --",2024-04-26T16:14:48.901Z,171414808890101
"""Gia An @ yUNgcw04UV"" collected 2708 from pot with Two Pair, A's & 7's (combination: A♠, A♦, 7♦, 7♥, 8♦)",2024-04-26T16:14:48.901Z,171414808890100
"River: 3♦, A♠, 3♣, A♦ [8♦]",2024-04-26T16:14:44.852Z,171414808485200
"Turn: 3♦, A♠, 3♣ [A♦]",2024-04-26T16:14:40.828Z,171414808082800
"Flop:  [3♦, A♠, 3♣]",2024-04-26T16:14:36.785Z,171414807678500
"""Gia An @ yUNgcw04UV"" shows a 7♦, 7♥.",2024-04-26T16:14:32.769Z,171414807276901
"""Weak Symmetry @ V-rY4P2uu9"" shows a 5♣, J♣.",2024-04-26T16:14:32.769Z,171414807276900
"""Weak Symmetry @ V-rY4P2uu9"" calls 1324",2024-04-26T16:14:31.903Z,171414807190300
"""Gia An @ yUNgcw04UV"" raises to 1324 and go all in",2024-04-26T16:14:27.987Z,171414806798700
"""PapaJohn$ @ fXqFuKqumd"" folds",2024-04-26T16:14:24.971Z,171414806497100
"""Weak Symmetry @ V-rY4P2uu9"" raises to 320",2024-04-26T16:14:22.671Z,171414806267100
"""Gia An @ yUNgcw04UV"" raises to 120",2024-04-26T16:14:14.644Z,171414805464400
"""PapaJohn$ @ fXqFuKqumd"" posts a big blind of 60",2024-04-26T16:14:09.602Z,171414804960208
"""Weak Symmetry @ V-rY4P2uu9"" posts a small blind of 30",2024-04-26T16:14:09.602Z,171414804960207
"Player stacks: #3 ""Weak Symmetry @ V-rY4P2uu9"" (2052) | #5 ""PapaJohn$ @ fXqFuKqumd"" (3624) | #6 ""Gia An @ yUNgcw04UV"" (1324)",2024-04-26T16:14:09.602Z,171414804960203
"-- starting hand #13 (id: fcsvobyxofct)  (No Limit Texas Hold'em) (dead button) --",2024-04-26T16:14:09.602Z,171414804960202
"The game's big blind was changed from 40 to 60.",2024-04-26T16:14:09.602Z,171414804960201
"The game's small blind was changed from 20 to 30.",2024-04-26T16:14:09.602Z,171414804960200
"-- ending hand #12 --",2024-04-26T16:14:03.583Z,171414804358301
"""PapaJohn$ @ fXqFuKqumd"" collected 3624 from pot with Two Pair, K's & 2's (combination: K♠, K♣, 2♣, 2♦, 8♥)",2024-04-26T16:14:03.583Z,171414804358300
"River: 8♥, 2♣, 4♦, 2♦ [7♠]",2024-04-26T16:13:59.569Z,171414803956900
"Turn: 8♥, 2♣, 4♦ [2♦]",2024-04-26T16:13:55.498Z,171414803549800
"Flop:  [8♥, 2♣, 4♦]",2024-04-26T16:13:51.481Z,171414803148100
"""PapaJohn$ @ fXqFuKqumd"" shows a K♠, K♣.",2024-04-26T16:13:47.459Z,171414802745901
"""Weak Symmetry @ V-rY4P2uu9"" shows a 9♣, A♣.",2024-04-26T16:13:47.459Z,171414802745900
"""PapaJohn$ @ fXqFuKqumd"" calls 1812 and go all in",2024-04-26T16:13:46.578Z,171414802657800
"""Weak Symmetry @ V-rY4P2uu9"" raises to 1812",2024-04-26T16:13:44.903Z,171414802490300
"""PapaJohn$ @ fXqFuKqumd"" raises to 1400",2024-04-26T16:13:38.839Z,171414801883900
"""Weak Symmetry @ V-rY4P2uu9"" raises to 900",2024-04-26T16:13:31.746Z,171414801174600
"""PapaJohn$ @ fXqFuKqumd"" raises to 400",2024-04-26T16:13:25.159Z,171414800515900
"""Weak Symmetry @ V-rY4P2uu9"" raises to 240",2024-04-26T16:13:18.762Z,171414799876200
"""Gia An @ yUNgcw04UV"" folds",2024-04-26T16:13:12.886Z,171414799288600
