entry,at,order
"The player ""JurgBean @ XWESiVcu1R"" quits the game with a stack of 8000.",2024-04-26T18:42:31.023Z,171415695102300
"The player ""CottonBet @ gzP8GfAb7P"" quits the game with a stack of 0.",2024-04-26T18:37:10.456Z,171415663045600
"-- ending hand #29 --",2024-04-26T18:37:04.453Z,171415662445301
"""JurgBean @ XWESiVcu1R"" collected 5860 from pot with Flush, Ad High (combination: A♦, Q♦, J♦, 10♦, 9♦)",2024-04-26T18:37:04.453Z,171415662445300
"River: A♦, Q♦, 7♣, 10♦ [9♦]",2024-04-26T18:37:00.415Z,171415662041500
"Turn: A♦, Q♦, 7♣ [10♦]",2024-04-26T18:36:56.382Z,171415661638200
"Flop:  [A♦, Q♦, 7♣]",2024-04-26T18:36:52.365Z,171415661236500
"""CottonBet @ gzP8GfAb7P"" shows a 2♠, K♠.",2024-04-26T18:36:48.322Z,171415660832201
"""JurgBean @ XWESiVcu1R"" shows a J♦, Q♥.",2024-04-26T18:36:48.322Z,171415660832200
"""JurgBean @ XWESiVcu1R"" calls 2930",2024-04-26T18:36:47.469Z,171415660746900
"""CottonBet @ gzP8GfAb7P"" raises to 2930 and go all in",2024-04-26T18:36:45.245Z,171415660524500
"""JurgBean @ XWESiVcu1R"" raises to 450",2024-04-26T18:36:42.242Z,171415660224200
"""CottonBet @ gzP8GfAb7P"" calls 150",2024-04-26T18:36:40.073Z,171415660007300
"""JurgBean @ XWESiVcu1R"" posts a big blind of 150",2024-04-26T18:36:37.317Z,171415659731705
"""CottonBet @ gzP8GfAb7P"" posts a small blind of 75",2024-04-26T18:36:37.317Z,171415659731704
"Player stacks: #1 ""JurgBean @ XWESiVcu1R"" (5070) | #4 ""CottonBet @ gzP8GfAb7P"" (2930)",2024-04-26T18:36:37.317Z,171415659731701
"-- starting hand #29 (id: zwe1nmy2b6ow)  (No Limit Texas Hold'em) (dealer: ""CottonBet @ gzP8GfAb7P"") --",2024-04-26T18:36:37.317Z,171415659731700
"-- ending hand #28 --",2024-04-26T18:36:34.408Z,171415659440802
"""CottonBet @ gzP8GfAb7P"" collected 150 from pot",2024-04-26T18:36:34.408Z,171415659440801
"Uncalled bet of 75 returned to ""CottonBet @ gzP8GfAb7P""",2024-04-26T18:36:34.408Z,171415659440800
"""JurgBean @ XWESiVcu1R"" folds",2024-04-26T18:36:33.564Z,171415659356400
"""CottonBet @ gzP8GfAb7P"" posts a big blind of 150",2024-04-26T18:36:30.911Z,171415659091106
"""JurgBean @ XWESiVcu1R"" posts a small blind of 75",2024-04-26T18:36:30.911Z,171415659091105
"Player stacks: #1 ""JurgBean @ XWESiVcu1R"" (5145) | #4 ""CottonBet @ gzP8GfAb7P"" (2855)",2024-04-26T18:36:30.911Z,171415659091102
"-- starting hand #28 (id: rbextmm2qpkv)  (No Limit Texas Hold'em) (dealer: ""JurgBean @ XWESiVcu1R"") --",2024-04-26T18:36:30.911Z,171415659091101
"The player ""wide1234 @ kdOt3QP_fm"" quits the game with a stack of 0.",2024-04-26T18:36:30.911Z,171415659091100
"-- ending hand #27 --",2024-04-26T18:36:24.900Z,171415658490002
"""JurgBean @ XWESiVcu1R"" collected 240 from pot with Full House, 10's over 7's (combination: 10♣, 10♦, 10♥, 7♠, 7♦)",2024-04-26T18:36:24.900Z,171415658490001
"""JurgBean @ XWESiVcu1R"" collected 540 from pot with Full House, 10's over 7's (combination: 10♣, 10♦, 10♥, 7♠, 7♦)",2024-04-26T18:36:24.900Z,171415658490000
"River: 7♠, 10♦, 10♥, 7♦ [2♦]",2024-04-26T18:36:20.896Z,171415658089600
"Turn: 7♠, 10♦, 10♥ [7♦]",2024-04-26T18:36:16.843Z,171415657684300
"""wide1234 @ kdOt3QP_fm"" shows a Q♠, J♣.",2024-04-26T18:36:12.776Z,171415657277602
"""JurgBean @ XWESiVcu1R"" shows a 10♣, K♦.",2024-04-26T18:36:12.776Z,171415657277601
"Uncalled bet of 150 returned to ""JurgBean @ XWESiVcu1R""",2024-04-26T18:36:12.776Z,171415657277600
"""CottonBet @ gzP8GfAb7P"" folds",2024-04-26T18:36:11.942Z,171415657194200
"""JurgBean @ XWESiVcu1R"" bets 150",2024-04-26T18:35:50.530Z,171415655053000
"Flop:  [7♠, 10♦, 10♥]",2024-04-26T18:35:47.122Z,171415654712200
"""wide1234 @ kdOt3QP_fm"" calls 180 and go all in",2024-04-26T18:35:46.243Z,171415654624300
"""CottonBet @ gzP8GfAb7P"" calls 300",2024-04-26T18:35:45.309Z,171415654530900
"""JurgBean @ XWESiVcu1R"" raises to 300",2024-04-26T18:35:42.550Z,171415654255000
"""wide1234 @ kdOt3QP_fm"" calls 150",2024-04-26T18:35:40.494Z,171415654049400
"""CottonBet @ gzP8GfAb7P"" calls 150",2024-04-26T18:35:35.875Z,171415653587500
"""JurgBean @ XWESiVcu1R"" posts a big blind of 150",2024-04-26T18:35:32.934Z,171415653293406
"""wide1234 @ kdOt3QP_fm"" posts a small blind of 75",2024-04-26T18:35:32.934Z,171415653293405
"Player stacks: #1 ""JurgBean @ XWESiVcu1R"" (4665) | #4 ""CottonBet @ gzP8GfAb7P"" (3155) | #6 ""wide1234 @ kdOt3QP_fm"" (180)",2024-04-26T18:35:32.934Z,171415653293401
"-- starting hand #27 (id: yxx36kq4967b)  (No Limit Texas Hold'em) (dead button) --",2024-04-26T18:35:32.934Z,171415653293400
"-- ending hand #26 --",2024-04-26T18:35:26.920Z,171415652692001
"""wide1234 @ kdOt3QP_fm"" collected 180 from pot with Straight, 6 High (combination: 6♠, 5♦, 4♥, 3♠, 2♦)",2024-04-26T18:35:26.920Z,171415652692000
"River: 2♦, A♠, 6♠, 4♥ [3♠]",2024-04-26T18:35:22.909Z,171415652290900
"Turn: 2♦, A♠, 6♠ [4♥]",2024-04-26T18:35:18.904Z,171415651890400
"Flop:  [2♦, A♠, 6♠]",2024-04-26T18:35:14.869Z,171415651486900
"""wide1234 @ kdOt3QP_fm"" shows a 5♦, K♠.",2024-04-26T18:35:10.814Z,171415651081402
"""JurgBean @ XWESiVcu1R"" shows a 6♣, 9♣.",2024-04-26T18:35:10.814Z,171415651081401
"Uncalled bet of 60 returned to ""JurgBean @ XWESiVcu1R""",2024-04-26T18:35:10.814Z,171415651081400
"""CottonBet @ gzP8GfAb7P"" folds",2024-04-26T18:35:09.974Z,171415650997400
"""JurgBean @ XWESiVcu1R"" calls 150",2024-04-26T18:35:07.328Z,171415650732800
"""wide1234 @ kdOt3QP_fm"" posts a big blind of 90 and go all in ",2024-04-26T18:35:05.482Z,171415650548207
"Dead Small Blind",2024-04-26T18:35:05.482Z,171415650548206
"Player stacks: #1 ""JurgBean @ XWESiVcu1R"" (4755) | #4 ""CottonBet @ gzP8GfAb7P"" (3155) | #6 ""wide1234 @ kdOt3QP_fm"" (90)",2024-04-26T18:35:05.482Z,171415650548202
