entry,at,order
"The player ""Chubbs8 @ W3bjiNuazD"" quits the game with a stack of 7694.",2024-04-17T21:01:26.309Z,171338768630900
"The player ""Robbydog @ PqE_JpHlix"" quits the game with a stack of 0.",2024-04-17T20:56:03.038Z,171338736303800
"-- ending hand #85 --",2024-04-17T20:55:57.031Z,171338735703101
"""Chubbs8 @ W3bjiNuazD"" collected 1394 from pot with Three of a Kind, 5's (combination: 5♦, 5♠, 5♥, K♥, J♠)",2024-04-17T20:55:57.031Z,171338735703100
"River: K♥, 3♣, 4♦, 5♥ [J♠]",2024-04-17T20:55:52.988Z,171338735298800
"Turn: K♥, 3♣, 4♦ [5♥]",2024-04-17T20:55:48.981Z,171338734898100
"""Robbydog @ PqE_JpHlix"" shows a 8♥, 8♣.",2024-04-17T20:55:44.957Z,171338734495702
"""Chubbs8 @ W3bjiNuazD"" shows a 5♦, 5♠.",2024-04-17T20:55:44.957Z,171338734495701
"Uncalled bet of 203 returned to ""Chubbs8 @ W3bjiNuazD""",2024-04-17T20:55:44.957Z,171338734495700
"""Robbydog @ PqE_JpHlix"" calls 97 and go all in",2024-04-17T20:55:44.083Z,171338734408300
"""Chubbs8 @ W3bjiNuazD"" bets 300",2024-04-17T20:55:42.787Z,171338734278700
"Flop:  [K♥, 3♣, 4♦]",2024-04-17T20:55:40.752Z,171338734075200
"""Robbydog @ PqE_JpHlix"" calls 600",2024-04-17T20:55:39.948Z,171338733994800
"""Chubbs8 @ W3bjiNuazD"" raises to 600",2024-04-17T20:55:32.375Z,171338733237500
"""Robbydog @ PqE_JpHlix"" calls 300",2024-04-17T20:55:28.361Z,171338732836100
"""Chubbs8 @ W3bjiNuazD"" posts a big blind of 300",2024-04-17T20:55:26.257Z,171338732625705
"""Robbydog @ PqE_JpHlix"" posts a small blind of 150",2024-04-17T20:55:26.257Z,171338732625704
"Player stacks: #1 ""Chubbs8 @ W3bjiNuazD"" (6997) | #5 ""Robbydog @ PqE_JpHlix"" (697)",2024-04-17T20:55:26.257Z,171338732625701
"-- starting hand #85 (id: bgrocfd6xmw1)  (No Limit Texas Hold'em) (dealer: ""Robbydog @ PqE_JpHlix"") --",2024-04-17T20:55:26.257Z,171338732625700
"-- ending hand #84 --",2024-04-17T20:55:23.332Z,171338732333202
"""Chubbs8 @ W3bjiNuazD"" collected 600 from pot",2024-04-17T20:55:23.332Z,171338732333201
"Uncalled bet of 300 returned to ""Chubbs8 @ W3bjiNuazD""",2024-04-17T20:55:23.332Z,171338732333200
"""Robbydog @ PqE_JpHlix"" folds",2024-04-17T20:55:22.511Z,171338732251100
"""Chubbs8 @ W3bjiNuazD"" raises to 600",2024-04-17T20:55:21.282Z,171338732128200
"""Robbydog @ PqE_JpHlix"" posts a big blind of 300",2024-04-17T20:55:18.128Z,171338731812805
"""Chubbs8 @ W3bjiNuazD"" posts a small blind of 150",2024-04-17T20:55:18.128Z,171338731812804
