entry,at,order
"The player ""n1cholusc @ YDZPO-2VG6"" quits the game with a stack of 7000.",2024-04-26T19:59:29.671Z,171416156967100
"The player ""Ippei Mizuhara @ cT4HWUuGvq"" quits the game with a stack of 0.",2024-04-26T19:53:46.054Z,171416122605401
"The player ""tanvirsmuct @ PsmMMY2E5F"" quits the game with a stack of 0.",2024-04-26T19:53:46.054Z,171416122605400
"-- ending hand #20 --",2024-04-26T19:53:40.021Z,171416122002105
"""tanvirsmuct @ PsmMMY2E5F"" shows a 6♠, 6♥.",2024-04-26T19:53:40.021Z,171416122002104
"""Ippei Mizuhara @ cT4HWUuGvq"" shows a 2♦, 2♠.",2024-04-26T19:53:40.021Z,171416122002103
"""n1cholusc @ YDZPO-2VG6"" collected 1580 from pot with Two Pair, J's & 9's (combination: J♣, J♠, 9♠, 9♥, 10♦)",2024-04-26T19:53:40.021Z,171416122002102
"""n1cholusc @ YDZPO-2VG6"" collected 300 from pot with Two Pair, J's & 9's (combination: J♣, J♠, 9♠, 9♥, 10♦)",2024-04-26T19:53:40.021Z,171416122002101
"""n1cholusc @ YDZPO-2VG6"" shows a J♣, 9♠.",2024-04-26T19:53:40.021Z,171416122002100
"""tanvirsmuct @ PsmMMY2E5F"" calls 470 and go all in",2024-04-26T19:53:39.206Z,171416121920600
"""n1cholusc @ YDZPO-2VG6"" bets 470",2024-04-26T19:53:36.934Z,171416121693400
"""tanvirsmuct @ PsmMMY2E5F"" checks",2024-04-26T19:53:34.587Z,171416121458700
"River: 5♥, 10♦, 5♣, J♠ [9♥]",2024-04-26T19:53:29.567Z,171416120956700
"""tanvirsmuct @ PsmMMY2E5F"" calls 120",2024-04-26T19:53:28.750Z,171416120875000
"""n1cholusc @ YDZPO-2VG6"" bets 120",2024-04-26T19:53:26.021Z,171416120602100
"""tanvirsmuct @ PsmMMY2E5F"" checks",2024-04-26T19:53:23.764Z,171416120376400
"Turn: 5♥, 10♦, 5♣ [J♠]",2024-04-26T19:53:18.547Z,171416119854700
"""tanvirsmuct @ PsmMMY2E5F"" calls 120",2024-04-26T19:53:17.742Z,171416119774200
"""n1cholusc @ YDZPO-2VG6"" bets 120",2024-04-26T19:53:15.921Z,171416119592100
"""tanvirsmuct @ PsmMMY2E5F"" checks",2024-04-26T19:53:13.123Z,171416119312300
"Flop:  [5♥, 10♦, 5♣]",2024-04-26T19:53:06.616Z,171416118661600
"""tanvirsmuct @ PsmMMY2E5F"" calls 180",2024-04-26T19:53:05.785Z,171416118578500
"""Ippei Mizuhara @ cT4HWUuGvq"" calls 100 and go all in",2024-04-26T19:53:04.070Z,171416118407000
"""n1cholusc @ YDZPO-2VG6"" raises to 180",2024-04-26T19:53:02.953Z,171416118295300
"""tanvirsmuct @ PsmMMY2E5F"" posts a big blind of 60",2024-04-26T19:53:00.566Z,171416118056606
"""Ippei Mizuhara @ cT4HWUuGvq"" posts a small blind of 30",2024-04-26T19:53:00.566Z,171416118056605
"Player stacks: #1 ""Ippei Mizuhara @ cT4HWUuGvq"" (100) | #7 ""tanvirsmuct @ PsmMMY2E5F"" (890) | #8 ""n1cholusc @ YDZPO-2VG6"" (6010)",2024-04-26T19:53:00.566Z,171416118056601
"-- starting hand #20 (id: pzvbgbfomz9w)  (No Limit Texas Hold'em) (dealer: ""n1cholusc @ YDZPO-2VG6"") --",2024-04-26T19:53:00.566Z,171416118056600
"-- ending hand #19 --",2024-04-26T19:52:57.566Z,171416117756602
"""n1cholusc @ YDZPO-2VG6"" collected 1020 from pot",2024-04-26T19:52:57.566Z,171416117756601
"Uncalled bet of 890 returned to ""n1cholusc @ YDZPO-2VG6""",2024-04-26T19:52:57.566Z,171416117756600
"""tanvirsmuct @ PsmMMY2E5F"" folds",2024-04-26T19:52:56.727Z,171416117672700
"""n1cholusc @ YDZPO-2VG6"" bets 890",2024-04-26T19:52:54.934Z,171416117493400
"Turn: 6♦, 4♣, Q♥ [Q♦]",2024-04-26T19:52:52.166Z,171416117216600
"""tanvirsmuct @ PsmMMY2E5F"" calls 240",2024-04-26T19:52:51.321Z,171416117132100
"""n1cholusc @ YDZPO-2VG6"" bets 240",2024-04-26T19:52:49.397Z,171416116939700
"Flop:  [6♦, 4♣, Q♥]",2024-04-26T19:52:45.549Z,171416116554900
"""tanvirsmuct @ PsmMMY2E5F"" calls 240",2024-04-26T19:52:44.717Z,171416116471700
"""Ippei Mizuhara @ cT4HWUuGvq"" folds",2024-04-26T19:52:42.127Z,171416116212700
"""n1cholusc @ YDZPO-2VG6"" raises to 240",2024-04-26T19:52:41.034Z,171416116103400
"""tanvirsmuct @ PsmMMY2E5F"" calls 60",2024-04-26T19:52:37.726Z,171416115772600
"""Ippei Mizuhara @ cT4HWUuGvq"" posts a big blind of 60",2024-04-26T19:52:32.541Z,171416115254106
"""n1cholusc @ YDZPO-2VG6"" posts a small blind of 30",2024-04-26T19:52:32.541Z,171416115254105
"Player stacks: #1 ""Ippei Mizuhara @ cT4HWUuGvq"" (160) | #7 ""tanvirsmuct @ PsmMMY2E5F"" (1370) | #8 ""n1cholusc @ YDZPO-2VG6"" (5470)",2024-04-26T19:52:32.541Z,171416115254101
"-- starting hand #19 (id: iy3bx7ohwtxv)  (No Limit Texas Hold'em) (dealer: ""tanvirsmuct @ PsmMMY2E5F"") --",2024-04-26T19:52:32.541Z,171416115254100
"-- ending hand #18 --",2024-04-26T19:52:29.558Z,171416114955802
"""n1cholusc @ YDZPO-2VG6"" collected 60 from pot",2024-04-26T19:52:29.558Z,171416114955801
"Uncalled bet of 30 returned to ""n1cholusc @ YDZPO-2VG6""",2024-04-26T19:52:29.558Z,171416114955800
"""tanvirsmuct @ PsmMMY2E5F"" folds",2024-04-26T19:52:28.739Z,171416114873900
"""Ippei Mizuhara @ cT4HWUuGvq"" folds",2024-04-26T19:52:25.753Z,171416114575300
"""n1cholusc @ YDZPO-2VG6"" posts a big blind of 60",2024-04-26T19:52:24.504Z,171416114450406
"""tanvirsmuct @ PsmMMY2E5F"" posts a small blind of 30",2024-04-26T19:52:24.504Z,171416114450405
"Player stacks: #1 ""Ippei Mizuhara @ cT4HWUuGvq"" (160) | #7 ""tanvirsmuct @ PsmMMY2E5F"" (1400) | #8 ""n1cholusc @ YDZPO-2VG6"" (5440)",2024-04-26T19:52:24.504Z,171416114450401
"-- starting hand #18 (id: qpbdk2zt6bc0)  (No Limit Texas Hold'em) (dealer: ""Ippei Mizuhara @ cT4HWUuGvq"") --",2024-04-26T19:52:24.504Z,171416114450400
"-- ending hand #17 --",2024-04-26T19:52:21.505Z,171416114150502
"""n1cholusc @ YDZPO-2VG6"" collected 150 from pot",2024-04-26T19:52:21.505Z,171416114150501
"Uncalled bet of 180 returned to ""n1cholusc @ YDZPO-2VG6""",2024-04-26T19:52:21.505Z,171416114150500
"""tanvirsmuct @ PsmMMY2E5F"" folds",2024-04-26T19:52:20.646Z,171416114064600
"""Ippei Mizuhara @ cT4HWUuGvq"" folds",2024-04-26T19:52:19.438Z,171416113943800
"""n1cholusc @ YDZPO-2VG6"" raises to 240",2024-04-26T19:52:15.915Z,171416113591500
"""tanvirsmuct @ PsmMMY2E5F"" posts a big blind of 60",2024-04-26T19:52:13.297Z,171416113329706
"""Ippei Mizuhara @ cT4HWUuGvq"" posts a small blind of 30",2024-04-26T19:52:13.297Z,171416113329705
"Player stacks: #1 ""Ippei Mizuhara @ cT4HWUuGvq"" (190) | #7 ""tanvirsmuct @ PsmMMY2E5F"" (1460) | #8 ""n1cholusc @ YDZPO-2VG6"" (5350)",2024-04-26T19:52:13.297Z,171416113329701
"-- starting hand #17 (id: 94ff7r1umhip)  (No Limit Texas Hold'em) (dealer: ""n1cholusc @ YDZPO-2VG6"") --",2024-04-26T19:52:13.297Z,171416113329700
"-- ending hand #16 --",2024-04-26T19:52:10.380Z,171416113038002
"""n1cholusc @ YDZPO-2VG6"" collected 180 from pot",2024-04-26T19:52:10.380Z,171416113038001
