entry,at,order
"The player ""BryceEYC @ -phKFoTJPD"" quits the game with a stack of 8000.",2024-04-17T19:59:21.728Z,171338396172800
"The player ""Illekso @ zWWIDXT09u"" quits the game with a stack of 0.",2024-04-17T19:53:21.598Z,171338360159801
"The player ""ramenmeister @ 8XW1stEZcr"" quits the game with a stack of 0.",2024-04-17T19:53:21.598Z,171338360159800
"-- ending hand #12 --",2024-04-17T19:53:15.587Z,171338359558702
"""BryceEYC @ -phKFoTJPD"" collected 2020 from pot with Full House, 6's over 7's (combination: 6♣, 6♦, 6♥, 7♣, 7♠)",2024-04-17T19:53:15.587Z,171338359558701
"""BryceEYC @ -phKFoTJPD"" collected 2100 from pot with Full House, 6's over 7's (combination: 6♣, 6♦, 6♥, 7♣, 7♠)",2024-04-17T19:53:15.587Z,171338359558700
"River: 7♣, 6♦, 6♥, 7♠ [Q♥]",2024-04-17T19:53:11.531Z,171338359153100
"Turn: 7♣, 6♦, 6♥ [7♠]",2024-04-17T19:53:07.527Z,171338358752700
"""ramenmeister @ 8XW1stEZcr"" shows a 3♠, 3♥.",2024-04-17T19:53:03.516Z,171338358351602
"""Illekso @ zWWIDXT09u"" shows a 8♣, 8♦.",2024-04-17T19:53:03.516Z,171338358351601
"""BryceEYC @ -phKFoTJPD"" shows a A♥, 6♣.",2024-04-17T19:53:03.516Z,171338358351600
"""ramenmeister @ 8XW1stEZcr"" calls 1010 and go all in",2024-04-17T19:53:02.690Z,171338358269000
"""BryceEYC @ -phKFoTJPD"" bets 1010",2024-04-17T19:52:59.816Z,171338357981600
"Flop:  [7♣, 6♦, 6♥]",2024-04-17T19:52:56.576Z,171338357657600
"""BryceEYC @ -phKFoTJPD"" calls 700",2024-04-17T19:52:55.759Z,171338357575900
"""ramenmeister @ 8XW1stEZcr"" calls 700",2024-04-17T19:52:54.880Z,171338357488000
"""Illekso @ zWWIDXT09u"" raises to 700 and go all in",2024-04-17T19:52:53.707Z,171338357370700
"""BryceEYC @ -phKFoTJPD"" calls 120",2024-04-17T19:52:51.692Z,171338357169200
"""ramenmeister @ 8XW1stEZcr"" raises to 120",2024-04-17T19:52:50.547Z,171338357054700
"""Illekso @ zWWIDXT09u"" posts a big blind of 40",2024-04-17T19:52:45.812Z,171338356581206
"""BryceEYC @ -phKFoTJPD"" posts a small blind of 20",2024-04-17T19:52:45.812Z,171338356581205
"Player stacks: #1 ""BryceEYC @ -phKFoTJPD"" (5590) | #5 ""Illekso @ zWWIDXT09u"" (700) | #7 ""ramenmeister @ 8XW1stEZcr"" (1710)",2024-04-17T19:52:45.812Z,171338356581201
"-- starting hand #12 (id: nectvfhb5zuw)  (No Limit Texas Hold'em) (dealer: ""ramenmeister @ 8XW1stEZcr"") --",2024-04-17T19:52:45.812Z,171338356581200
"""Illekso @ zWWIDXT09u"" shows a A♦, 3♠.",2024-04-17T19:52:43.069Z,171338356306900
"""BryceEYC @ -phKFoTJPD"" shows a 3♦, 7♥.",2024-04-17T19:52:41.788Z,171338356178800
"-- ending hand #11 --",2024-04-17T19:52:41.466Z,171338356146602
"""Illekso @ zWWIDXT09u"" collected 100 from pot",2024-04-17T19:52:41.466Z,171338356146601
"Uncalled bet of 600 returned to ""Illekso @ zWWIDXT09u""",2024-04-17T19:52:41.466Z,171338356146600
"""BryceEYC @ -phKFoTJPD"" folds",2024-04-17T19:52:40.652Z,171338356065200
"""ramenmeister @ 8XW1stEZcr"" folds",2024-04-17T19:52:39.780Z,171338355978000
"""Illekso @ zWWIDXT09u"" raises to 640 and go all in",2024-04-17T19:52:35.688Z,171338355568800
"""BryceEYC @ -phKFoTJPD"" posts a big blind of 40",2024-04-17T19:52:29.845Z,171338354984506
"""ramenmeister @ 8XW1stEZcr"" posts a small blind of 20",2024-04-17T19:52:29.845Z,171338354984505
"Player stacks: #1 ""BryceEYC @ -phKFoTJPD"" (5630) | #5 ""Illekso @ zWWIDXT09u"" (640) | #7 ""ramenmeister @ 8XW1stEZcr"" (1730)",2024-04-17T19:52:29.845Z,171338354984501
"-- starting hand #11 (id: svttevhesah7)  (No Limit Texas Hold'em) (dealer: ""Illekso @ zWWIDXT09u"") --",2024-04-17T19:52:29.845Z,171338354984500
"""BryceEYC @ -phKFoTJPD"" shows a 4♦, Q♠.",2024-04-17T19:52:28.225Z,171338354822500
"""Illekso @ zWWIDXT09u"" shows a 3♣, Q♥.",2024-04-17T19:52:26.986Z,171338354698600
"-- ending hand #10 --",2024-04-17T19:52:25.534Z,171338354553402
"""Illekso @ zWWIDXT09u"" collected 120 from pot",2024-04-17T19:52:25.534Z,171338354553401
"Uncalled bet of 520 returned to ""Illekso @ zWWIDXT09u""",2024-04-17T19:52:25.534Z,171338354553400
"""BryceEYC @ -phKFoTJPD"" folds",2024-04-17T19:52:24.727Z,171338354472700
"""ramenmeister @ 8XW1stEZcr"" folds",2024-04-17T19:52:23.831Z,171338354383100
"""Illekso @ zWWIDXT09u"" raises to 560 and go all in",2024-04-17T19:52:21.445Z,171338354144500
"""BryceEYC @ -phKFoTJPD"" calls 40",2024-04-17T19:52:15.215Z,171338353521500
"""ramenmeister @ 8XW1stEZcr"" posts a big blind of 40",2024-04-17T19:52:14.045Z,171338353404506
"""Illekso @ zWWIDXT09u"" posts a small blind of 20",2024-04-17T19:52:14.045Z,171338353404505
"Player stacks: #1 ""BryceEYC @ -phKFoTJPD"" (5670) | #5 ""Illekso @ zWWIDXT09u"" (560) | #7 ""ramenmeister @ 8XW1stEZcr"" (1770)",2024-04-17T19:52:14.045Z,171338353404501
"-- starting hand #10 (id: 8iswe9rlu6me)  (No Limit Texas Hold'em) (dealer: ""BryceEYC @ -phKFoTJPD"") --",2024-04-17T19:52:14.045Z,171338353404500
"""Illekso @ zWWIDXT09u"" shows a 2♠, 6♣.",2024-04-17T19:52:11.738Z,171338353173800
"-- ending hand #9 --",2024-04-17T19:52:10.430Z,171338353043002
"""Illekso @ zWWIDXT09u"" collected 40 from pot",2024-04-17T19:52:10.430Z,171338353043001
"Uncalled bet of 20 returned to ""Illekso @ zWWIDXT09u""",2024-04-17T19:52:10.430Z,171338353043000
"""BryceEYC @ -phKFoTJPD"" folds",2024-04-17T19:52:09.581Z,171338352958100
"""ramenmeister @ 8XW1stEZcr"" folds",2024-04-17T19:52:08.719Z,171338352871900
"""Illekso @ zWWIDXT09u"" posts a big blind of 40",2024-04-17T19:52:06.625Z,171338352662506
"""BryceEYC @ -phKFoTJPD"" posts a small blind of 20",2024-04-17T19:52:06.625Z,171338352662505
"Player stacks: #1 ""BryceEYC @ -phKFoTJPD"" (5690) | #5 ""Illekso @ zWWIDXT09u"" (540) | #7 ""ramenmeister @ 8XW1stEZcr"" (1770)",2024-04-17T19:52:06.625Z,171338352662501
"-- starting hand #9 (id: exmgk2gsssf5)  (No Limit Texas Hold'em) (dealer: ""ramenmeister @ 8XW1stEZcr"") --",2024-04-17T19:52:06.625Z,171338352662500
"-- ending hand #8 --",2024-04-17T19:52:03.711Z,171338352371102
"""Illekso @ zWWIDXT09u"" collected 100 from pot",2024-04-17T19:52:03.711Z,171338352371101
"Uncalled bet of 440 returned to ""Illekso @ zWWIDXT09u""",2024-04-17T19:52:03.711Z,171338352371100
"""BryceEYC @ -phKFoTJPD"" folds",2024-04-17T19:52:02.869Z,171338352286900
"""Illekso @ zWWIDXT09u"" bets 440 and go all in",2024-04-17T19:52:01.986Z,171338352198600
"""BryceEYC @ -phKFoTJPD"" checks",2024-04-17T19:51:57.393Z,171338351739300
"Flop:  [3♠, Q♠, K♣]",2024-04-17T19:51:56.215Z,171338351621500
"""BryceEYC @ -phKFoTJPD"" checks",2024-04-17T19:51:55.382Z,171338351538200
"""ramenmeister @ 8XW1stEZcr"" folds",2024-04-17T19:51:52.703Z,171338351270300
"""Illekso @ zWWIDXT09u"" calls 40",2024-04-17T19:51:51.848Z,171338351184800
"""BryceEYC @ -phKFoTJPD"" posts a big blind of 40",2024-04-17T19:51:49.315Z,171338350931506
"""ramenmeister @ 8XW1stEZcr"" posts a small blind of 20",2024-04-17T19:51:49.315Z,171338350931505
"Player stacks: #1 ""BryceEYC @ -phKFoTJPD"" (5730) | #5 ""Illekso @ zWWIDXT09u"" (480) | #7 ""ramenmeister @ 8XW1stEZcr"" (1790)",2024-04-17T19:51:49.315Z,171338350931501
"-- starting hand #8 (id: t22zm6yjznwz)  (No Limit Texas Hold'em) (dealer: ""Illekso @ zWWIDXT09u"") --",2024-04-17T19:51:49.315Z,171338350931500
"-- ending hand #7 --",2024-04-17T19:51:43.310Z,171338350331004
"""ramenmeister @ 8XW1stEZcr"" collected 375 from pot with Straight, 10 High (combination: 10♥, 9♣, 8♥, 7♥, 6♣)",2024-04-17T19:51:43.310Z,171338350331003
"""ramenmeister @ 8XW1stEZcr"" shows a 6♣, K♥.",2024-04-17T19:51:43.310Z,171338350331002
"""BryceEYC @ -phKFoTJPD"" collected 375 from pot with Straight, 10 High (combination: 10♥, 9♣, 8♥, 7♥, 6♦)",2024-04-17T19:51:43.310Z,171338350331001
"""BryceEYC @ -phKFoTJPD"" shows a 6♦, K♠.",2024-04-17T19:51:43.310Z,171338350331000
"""ramenmeister @ 8XW1stEZcr"" calls 225",2024-04-17T19:51:42.492Z,171338350249200
"""Illekso @ zWWIDXT09u"" folds",2024-04-17T19:51:41.644Z,171338350164400
"""BryceEYC @ -phKFoTJPD"" bets 225",2024-04-17T19:51:40.488Z,171338350048800
"""ramenmeister @ 8XW1stEZcr"" checks",2024-04-17T19:51:35.871Z,171338349587100
"""Illekso @ zWWIDXT09u"" checks",2024-04-17T19:51:33.214Z,171338349321400
"River: 9♣, 8♥, 7♥, Q♣ [10♥]",2024-04-17T19:51:30.745Z,171338349074500
"""BryceEYC @ -phKFoTJPD"" checks",2024-04-17T19:51:29.942Z,171338348994200
"""ramenmeister @ 8XW1stEZcr"" checks",2024-04-17T19:51:27.873Z,171338348787300
"""Illekso @ zWWIDXT09u"" checks",2024-04-17T19:51:26.978Z,171338348697800
"Turn: 9♣, 8♥, 7♥ [Q♣]",2024-04-17T19:51:18.731Z,171338347873100
"""Illekso @ zWWIDXT09u"" calls 60",2024-04-17T19:51:17.874Z,171338347787400
"""BryceEYC @ -phKFoTJPD"" calls 60",2024-04-17T19:51:07.781Z,171338346778100
"""ramenmeister @ 8XW1stEZcr"" bets 60",2024-04-17T19:51:06.453Z,171338346645300
"""Illekso @ zWWIDXT09u"" checks",2024-04-17T19:51:01.233Z,171338346123300
"Flop:  [9♣, 8♥, 7♥]",2024-04-17T19:50:46.225Z,171338344622500
"""ramenmeister @ 8XW1stEZcr"" checks",2024-04-17T19:50:45.401Z,171338344540100
"""Illekso @ zWWIDXT09u"" calls 40",2024-04-17T19:50:44.567Z,171338344456700
"""BryceEYC @ -phKFoTJPD"" calls 40",2024-04-17T19:50:39.287Z,171338343928700
"""ramenmeister @ 8XW1stEZcr"" posts a big blind of 40",2024-04-17T19:50:36.418Z,171338343641807
"""Illekso @ zWWIDXT09u"" posts a small blind of 20",2024-04-17T19:50:36.418Z,171338343641806
"Player stacks: #1 ""BryceEYC @ -phKFoTJPD"" (5680) | #5 ""Illekso @ zWWIDXT09u"" (580) | #7 ""ramenmeister @ 8XW1stEZcr"" (1740)",2024-04-17T19:50:36.418Z,171338343641802
"-- starting hand #7 (id: 0hx72bgi3ytx)  (No Limit Texas Hold'em) (dead button) --",2024-04-17T19:50:36.418Z,171338343641801
"The player ""Ilekso @ jQ7rcnMw1J"" quits the game with a stack of 0.",2024-04-17T19:50:36.418Z,171338343641800
"""Illekso @ zWWIDXT09u"" shows a 2♠, 6♦.",2024-04-17T19:50:31.630Z,171338343163000
"-- ending hand #6 --",2024-04-17T19:50:29.906Z,171338342990601
"""ramenmeister @ 8XW1stEZcr"" collected 1610 from pot with Two Pair, J's & 10's (combination: J♦, J♠, 10♣, 10♦, 9♦)",2024-04-17T19:50:29.906Z,171338342990600
"River: 10♣, J♠, 4♦, 4♠ [10♦]",2024-04-17T19:50:25.903Z,171338342590300
"Turn: 10♣, J♠, 4♦ [4♠]",2024-04-17T19:50:21.900Z,171338342190000
"Flop:  [10♣, J♠, 4♦]",2024-04-17T19:50:17.897Z,171338341789700
"""ramenmeister @ 8XW1stEZcr"" shows a J♦, 9♦.",2024-04-17T19:50:13.887Z,171338341388701
"""Ilekso @ jQ7rcnMw1J"" shows a 2♦, 2♣.",2024-04-17T19:50:13.887Z,171338341388700
"""BryceEYC @ -phKFoTJPD"" folds",2024-04-17T19:50:13.081Z,171338341308100
"""ramenmeister @ 8XW1stEZcr"" calls 725",2024-04-17T19:50:09.207Z,171338340920700
"""Illekso @ zWWIDXT09u"" folds",2024-04-17T19:50:06.560Z,171338340656000
"""Ilekso @ jQ7rcnMw1J"" raises to 725 and go all in",2024-04-17T19:50:05.144Z,171338340514400
"""BryceEYC @ -phKFoTJPD"" calls 120",2024-04-17T19:50:01.943Z,171338340194300
"""ramenmeister @ 8XW1stEZcr"" raises to 120",2024-04-17T19:50:00.496Z,171338340049600
"""Illekso @ zWWIDXT09u"" posts a big blind of 40",2024-04-17T19:49:51.907Z,171338339190709
"""Ilekso @ jQ7rcnMw1J"" posts a small blind of 20",2024-04-17T19:49:51.907Z,171338339190708
"Player stacks: #1 ""BryceEYC @ -phKFoTJPD"" (5800) | #3 ""Ilekso @ jQ7rcnMw1J"" (725) | #5 ""Illekso @ zWWIDXT09u"" (620) | #7 ""ramenmeister @ 8XW1stEZcr"" (855)",2024-04-17T19:49:51.907Z,171338339190703
"-- starting hand #6 (id: uhoavwoecowx)  (No Limit Texas Hold'em) (dealer: ""BryceEYC @ -phKFoTJPD"") --",2024-04-17T19:49:51.907Z,171338339190702
"The game's big blind was changed from 20 to 40.",2024-04-17T19:49:51.907Z,171338339190701
"The game's small blind was changed from 10 to 20.",2024-04-17T19:49:51.907Z,171338339190700
"""Illekso @ zWWIDXT09u"" shows a A♣, A♦.",2024-04-17T19:49:48.621Z,171338338862100
"-- ending hand #5 --",2024-04-17T19:49:45.386Z,171338338538602
"""BryceEYC @ -phKFoTJPD"" collected 1590 from pot with Flush, Jd High (combination: J♦, 10♦, 9♦, 4♦, 3♦)",2024-04-17T19:49:45.386Z,171338338538601
"""BryceEYC @ -phKFoTJPD"" shows a 4♦, 9♦.",2024-04-17T19:49:45.386Z,171338338538600
"""Illekso @ zWWIDXT09u"" calls 765",2024-04-17T19:49:44.535Z,171338338453500
"""Ilekso @ jQ7rcnMw1J"" folds",2024-04-17T19:49:43.210Z,171338338321000
"""BryceEYC @ -phKFoTJPD"" bets 765",2024-04-17T19:49:42.246Z,171338338224600
"River: 10♦, 7♠, J♦, Q♠ [3♦]",2024-04-17T19:49:30.276Z,171338337027600
"""Illekso @ zWWIDXT09u"" checks",2024-04-17T19:49:29.387Z,171338336938700
"""Ilekso @ jQ7rcnMw1J"" checks",2024-04-17T19:49:27.005Z,171338336700500
"""BryceEYC @ -phKFoTJPD"" checks",2024-04-17T19:49:26.027Z,171338336602700
"Turn: 10♦, 7♠, J♦ [Q♠]",2024-04-17T19:49:21.666Z,171338336166600
"""Illekso @ zWWIDXT09u"" checks",2024-04-17T19:49:20.810Z,171338336081000
"""Ilekso @ jQ7rcnMw1J"" checks",2024-04-17T19:49:19.891Z,171338335989100
"""BryceEYC @ -phKFoTJPD"" checks",2024-04-17T19:49:16.481Z,171338335648100
"Flop:  [10♦, 7♠, J♦]",2024-04-17T19:49:15.062Z,171338335506200
"""Ilekso @ jQ7rcnMw1J"" checks",2024-04-17T19:49:14.213Z,171338335421300
"""BryceEYC @ -phKFoTJPD"" calls 20",2024-04-17T19:49:11.396Z,171338335139600
"""ramenmeister @ 8XW1stEZcr"" folds",2024-04-17T19:49:09.428Z,171338334942800
"""Illekso @ zWWIDXT09u"" calls 20",2024-04-17T19:49:03.083Z,171338334308300
"""Ilekso @ jQ7rcnMw1J"" posts a big blind of 20",2024-04-17T19:48:57.913Z,171338333791311
"""BryceEYC @ -phKFoTJPD"" posts a small blind of 10",2024-04-17T19:48:57.913Z,171338333791310
