entry,at,order
"The player ""Disco @ ybhusRP6U7"" quits the game with a stack of 0.",2024-04-26T19:25:59.137Z,171415955913700
"-- ending hand #38 --",2024-04-26T19:25:53.131Z,171415955313101
"""Hype Viper @ 6p7FG9t3EW"" collected 1206 from pot with Pair, 7's (combination: 7♣, 7♥, Q♣, J♥, 6♠)",2024-04-26T19:25:53.131Z,171415955313100
"River: 6♠, 7♥, 4♠, Q♣ [J♥]",2024-04-26T19:25:49.127Z,171415954912700
"Turn: 6♠, 7♥, 4♠ [Q♣]",2024-04-26T19:25:45.081Z,171415954508100
"""Hype Viper @ 6p7FG9t3EW"" shows a 7♣, 2♦.",2024-04-26T19:25:41.073Z,171415954107301
"""Disco @ ybhusRP6U7"" shows a 4♦, 10♦.",2024-04-26T19:25:41.073Z,171415954107300
"""Disco @ ybhusRP6U7"" calls 403 and go all in",2024-04-26T19:25:40.242Z,171415954024200
"""Hype Viper @ 6p7FG9t3EW"" raises to 403",2024-04-26T19:25:38.065Z,171415953806500
"""Disco @ ybhusRP6U7"" bets 200",2024-04-26T19:25:35.081Z,171415953508100
"Flop:  [6♠, 7♥, 4♠]",2024-04-26T19:25:32.469Z,171415953246900
"""Disco @ ybhusRP6U7"" checks",2024-04-26T19:25:31.597Z,171415953159700
"""Hype Viper @ 6p7FG9t3EW"" calls 200",2024-04-26T19:25:27.201Z,171415952720100
"""Disco @ ybhusRP6U7"" posts a big blind of 200",2024-04-26T19:25:25.667Z,171415952566705
"""Hype Viper @ 6p7FG9t3EW"" posts a small blind of 100",2024-04-26T19:25:25.667Z,171415952566704
"Player stacks: #4 ""Disco @ ybhusRP6U7"" (603) | #7 ""Hype Viper @ 6p7FG9t3EW"" (6397)",2024-04-26T19:25:25.667Z,171415952566701
"-- starting hand #38 (id: wegs6fryazrz)  (No Limit Texas Hold'em) (dealer: ""Hype Viper @ 6p7FG9t3EW"") --",2024-04-26T19:25:25.667Z,171415952566700
"-- ending hand #37 --",2024-04-26T19:25:19.571Z,171415951957103
"""Hype Viper @ 6p7FG9t3EW"" shows a 3♣, 10♠.",2024-04-26T19:25:19.571Z,171415951957102
"""Disco @ ybhusRP6U7"" collected 400 from pot with Pair, 9's (combination: 9♥, 9♣, Q♣, J♦, 7♥)",2024-04-26T19:25:19.571Z,171415951957101
"""Disco @ ybhusRP6U7"" shows a Q♣, 7♥.",2024-04-26T19:25:19.571Z,171415951957100
"""Disco @ ybhusRP6U7"" checks",2024-04-26T19:25:18.757Z,171415951875700
"""Hype Viper @ 6p7FG9t3EW"" checks",2024-04-26T19:25:17.648Z,171415951764800
"River: 9♥, 5♣, 9♣, 6♦ [J♦]",2024-04-26T19:25:15.645Z,171415951564500
"""Disco @ ybhusRP6U7"" checks",2024-04-26T19:25:14.806Z,171415951480600
"""Hype Viper @ 6p7FG9t3EW"" checks",2024-04-26T19:25:13.608Z,171415951360800
"Turn: 9♥, 5♣, 9♣ [6♦]",2024-04-26T19:25:10.647Z,171415951064700
"""Disco @ ybhusRP6U7"" checks",2024-04-26T19:25:09.841Z,171415950984100
"""Hype Viper @ 6p7FG9t3EW"" checks",2024-04-26T19:25:08.488Z,171415950848800
"Flop:  [9♥, 5♣, 9♣]",2024-04-26T19:25:05.664Z,171415950566400
"""Hype Viper @ 6p7FG9t3EW"" checks",2024-04-26T19:25:04.836Z,171415950483600
"""Disco @ ybhusRP6U7"" calls 200",2024-04-26T19:25:03.087Z,171415950308700
"""Hype Viper @ 6p7FG9t3EW"" posts a big blind of 200",2024-04-26T19:24:59.021Z,171415949902105
"""Disco @ ybhusRP6U7"" posts a small blind of 100",2024-04-26T19:24:59.021Z,171415949902104
"Player stacks: #4 ""Disco @ ybhusRP6U7"" (403) | #7 ""Hype Viper @ 6p7FG9t3EW"" (6597)",2024-04-26T19:24:59.021Z,171415949902101
"-- starting hand #37 (id: 225huruutnxk)  (No Limit Texas Hold'em) (dealer: ""Disco @ ybhusRP6U7"") --",2024-04-26T19:24:59.021Z,171415949902100
"-- ending hand #36 --",2024-04-26T19:24:56.102Z,171415949610202
"""Hype Viper @ 6p7FG9t3EW"" collected 1200 from pot",2024-04-26T19:24:56.102Z,171415949610201
"Uncalled bet of 403 returned to ""Hype Viper @ 6p7FG9t3EW""",2024-04-26T19:24:56.102Z,171415949610200
"""Disco @ ybhusRP6U7"" folds",2024-04-26T19:24:55.282Z,171415949528200
"""Hype Viper @ 6p7FG9t3EW"" bets 403",2024-04-26T19:24:53.168Z,171415949316800
"""Disco @ ybhusRP6U7"" checks",2024-04-26T19:24:49.267Z,171415948926700
"Flop:  [Q♣, Q♠, 6♠]",2024-04-26T19:24:46.691Z,171415948669100
