entry,at,order
"The player ""codeyu @ DJmgVyLga0"" quits the game with a stack of 7280.",2024-04-17T21:38:53.741Z,171338993374100
"The player ""dr. disrespect @ crFwBVVQqY"" quits the game with a stack of 0.",2024-04-17T21:33:20.431Z,171338960043100
"-- ending hand #41 --",2024-04-17T21:33:14.426Z,171338959442601
"""codeyu @ DJmgVyLga0"" collected 3070 from pot with Three of a Kind, 9's (combination: 9♣, 9♦, 9♥, A♠, Q♣)",2024-04-17T21:33:14.426Z,171338959442600
"River: 9♦, 4♥, 9♥, 3♣ [Q♣]",2024-04-17T21:33:10.408Z,171338959040800
"Turn: 9♦, 4♥, 9♥ [3♣]",2024-04-17T21:33:06.376Z,171338958637600
"Flop:  [9♦, 4♥, 9♥]",2024-04-17T21:33:02.372Z,171338958237200
"""codeyu @ DJmgVyLga0"" shows a 9♣, A♠.",2024-04-17T21:32:58.309Z,171338957830901
"""dr. disrespect @ crFwBVVQqY"" shows a 10♣, Q♥.",2024-04-17T21:32:58.309Z,171338957830900
"""codeyu @ DJmgVyLga0"" calls 1535",2024-04-17T21:32:57.436Z,171338957743600
"""dr. disrespect @ crFwBVVQqY"" raises to 1535 and go all in",2024-04-17T21:32:53.653Z,171338957365300
"""codeyu @ DJmgVyLga0"" posts a big blind of 300",2024-04-17T21:32:45.885Z,171338956588505
"""dr. disrespect @ crFwBVVQqY"" posts a small blind of 150",2024-04-17T21:32:45.885Z,171338956588504
"Player stacks: #2 ""dr. disrespect @ crFwBVVQqY"" (1535) | #8 ""codeyu @ DJmgVyLga0"" (5745)",2024-04-17T21:32:45.885Z,171338956588501
"-- starting hand #41 (id: vbweliavxh6c)  (No Limit Texas Hold'em) (dealer: ""dr. disrespect @ crFwBVVQqY"") --",2024-04-17T21:32:45.885Z,171338956588500
"-- ending hand #40 --",2024-04-17T21:32:39.875Z,171338955987502
"""codeyu @ DJmgVyLga0"" collected 3600 from pot with Flush, Ks High (combination: K♠, Q♠, J♠, 9♠, 6♠)",2024-04-17T21:32:39.875Z,171338955987501
"""codeyu @ DJmgVyLga0"" shows a 9♠, Q♠.",2024-04-17T21:32:39.875Z,171338955987500
"""dr. disrespect @ crFwBVVQqY"" calls 1200",2024-04-17T21:32:38.995Z,171338955899500
"""codeyu @ DJmgVyLga0"" raises to 1200",2024-04-17T21:32:37.415Z,171338955741500
"""dr. disrespect @ crFwBVVQqY"" bets 600",2024-04-17T21:32:32.648Z,171338955264800
"River: 5♥, J♠, K♠, 6♣ [6♠]",2024-04-17T21:32:30.323Z,171338955032300
"""codeyu @ DJmgVyLga0"" calls 300",2024-04-17T21:32:29.472Z,171338954947200
"""dr. disrespect @ crFwBVVQqY"" bets 300",2024-04-17T21:32:27.655Z,171338954765500
"Turn: 5♥, J♠, K♠ [6♣]",2024-04-17T21:32:27.118Z,171338954711800
"""codeyu @ DJmgVyLga0"" checks",2024-04-17T21:32:26.299Z,171338954629900
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-17T21:32:25.362Z,171338954536200
"Flop:  [5♥, J♠, K♠]",2024-04-17T21:32:22.666Z,171338954266600
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-17T21:32:21.798Z,171338954179800
"""codeyu @ DJmgVyLga0"" calls 300",2024-04-17T21:32:20.618Z,171338954061800
"""dr. disrespect @ crFwBVVQqY"" posts a big blind of 300",2024-04-17T21:32:18.862Z,171338953886205
"""codeyu @ DJmgVyLga0"" posts a small blind of 150",2024-04-17T21:32:18.862Z,171338953886204
"Player stacks: #2 ""dr. disrespect @ crFwBVVQqY"" (3335) | #8 ""codeyu @ DJmgVyLga0"" (3945)",2024-04-17T21:32:18.862Z,171338953886201
"-- starting hand #40 (id: 44ktavn3zi9v)  (No Limit Texas Hold'em) (dealer: ""codeyu @ DJmgVyLga0"") --",2024-04-17T21:32:18.862Z,171338953886200
"-- ending hand #39 --",2024-04-17T21:32:15.901Z,171338953590102
"""codeyu @ DJmgVyLga0"" collected 1200 from pot",2024-04-17T21:32:15.901Z,171338953590101
"Uncalled bet of 300 returned to ""codeyu @ DJmgVyLga0""",2024-04-17T21:32:15.901Z,171338953590100
"""dr. disrespect @ crFwBVVQqY"" folds",2024-04-17T21:32:15.067Z,171338953506700
"""codeyu @ DJmgVyLga0"" bets 300",2024-04-17T21:32:10.992Z,171338953099200
"Turn: 3♠, 2♣, Q♠ [J♠]",2024-04-17T21:32:09.043Z,171338952904300
"""codeyu @ DJmgVyLga0"" calls 300",2024-04-17T21:32:08.184Z,171338952818400
"""dr. disrespect @ crFwBVVQqY"" bets 300",2024-04-17T21:32:06.111Z,171338952611100
"""codeyu @ DJmgVyLga0"" checks",2024-04-17T21:32:04.689Z,171338952468900
"Flop:  [3♠, 2♣, Q♠]",2024-04-17T21:32:02.837Z,171338952283700
"""codeyu @ DJmgVyLga0"" checks",2024-04-17T21:32:02.032Z,171338952203200
"""dr. disrespect @ crFwBVVQqY"" calls 300",2024-04-17T21:32:00.644Z,171338952064400
"""codeyu @ DJmgVyLga0"" posts a big blind of 300",2024-04-17T21:31:58.905Z,171338951890506
"""dr. disrespect @ crFwBVVQqY"" posts a small blind of 150",2024-04-17T21:31:58.905Z,171338951890505
"Player stacks: #2 ""dr. disrespect @ crFwBVVQqY"" (3935) | #8 ""codeyu @ DJmgVyLga0"" (3345)",2024-04-17T21:31:58.905Z,171338951890502
"-- starting hand #39 (id: mg0hl088a5qm)  (No Limit Texas Hold'em) (dealer: ""dr. disrespect @ crFwBVVQqY"") --",2024-04-17T21:31:58.905Z,171338951890501
"The player ""Ekingz1 @ m3OcsLhCIV"" quits the game with a stack of 0.",2024-04-17T21:31:58.905Z,171338951890500
"-- ending hand #38 --",2024-04-17T21:31:52.886Z,171338951288601
"""dr. disrespect @ crFwBVVQqY"" collected 300 from pot with Straight, 9 High (combination: 9♠, 8♣, 7♣, 6♥, 5♦)",2024-04-17T21:31:52.886Z,171338951288600
"River: 4♦, 8♣, 6♥, 5♦ [9♣]",2024-04-17T21:31:48.824Z,171338950882400
"Turn: 4♦, 8♣, 6♥ [5♦]",2024-04-17T21:31:44.820Z,171338950482000
"Flop:  [4♦, 8♣, 6♥]",2024-04-17T21:31:40.814Z,171338950081400
"""Ekingz1 @ m3OcsLhCIV"" shows a Q♥, Q♠.",2024-04-17T21:31:36.800Z,171338949680001
"""dr. disrespect @ crFwBVVQqY"" shows a 7♣, 9♠.",2024-04-17T21:31:36.800Z,171338949680000
"""codeyu @ DJmgVyLga0"" folds",2024-04-17T21:31:35.979Z,171338949597900
"""Ekingz1 @ m3OcsLhCIV"" posts a big blind of 150 and go all in ",2024-04-17T21:31:32.199Z,171338949219906
"""dr. disrespect @ crFwBVVQqY"" posts a small blind of 150",2024-04-17T21:31:32.199Z,171338949219905
"Player stacks: #2 ""dr. disrespect @ crFwBVVQqY"" (3785) | #5 ""Ekingz1 @ m3OcsLhCIV"" (150) | #8 ""codeyu @ DJmgVyLga0"" (3345)",2024-04-17T21:31:32.199Z,171338949219901
"-- starting hand #38 (id: ocodr7ddwkbd)  (No Limit Texas Hold'em) (dead button) --",2024-04-17T21:31:32.199Z,171338949219900
"""dr. disrespect @ crFwBVVQqY"" shows a 10♦, K♣.",2024-04-17T21:31:29.147Z,171338948914700
"""codeyu @ DJmgVyLga0"" shows a K♥, 2♠.",2024-04-17T21:31:28.816Z,171338948881600
"""Ekingz1 @ m3OcsLhCIV"" shows a 10♠, 7♦.",2024-04-17T21:31:28.227Z,171338948822700
"-- ending hand #37 --",2024-04-17T21:31:27.145Z,171338948714502
"""dr. disrespect @ crFwBVVQqY"" collected 1200 from pot",2024-04-17T21:31:27.145Z,171338948714501
"Uncalled bet of 300 returned to ""dr. disrespect @ crFwBVVQqY""",2024-04-17T21:31:27.145Z,171338948714500
"""Ekingz1 @ m3OcsLhCIV"" folds",2024-04-17T21:31:26.303Z,171338948630300
"""dr. disrespect @ crFwBVVQqY"" bets 300",2024-04-17T21:31:24.431Z,171338948443100
"River: K♦, 3♦, 3♥, 9♦ [2♣]",2024-04-17T21:31:23.725Z,171338948372500
"""Ekingz1 @ m3OcsLhCIV"" calls 300",2024-04-17T21:31:22.918Z,171338948291800
"""dr. disrespect @ crFwBVVQqY"" bets 300",2024-04-17T21:31:20.829Z,171338948082900
"Turn: K♦, 3♦, 3♥ [9♦]",2024-04-17T21:31:20.119Z,171338948011900
"""Ekingz1 @ m3OcsLhCIV"" checks",2024-04-17T21:31:19.297Z,171338947929700
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-17T21:31:17.401Z,171338947740100
"Flop:  [K♦, 3♦, 3♥]",2024-04-17T21:31:16.116Z,171338947611600
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-17T21:31:15.288Z,171338947528800
"""codeyu @ DJmgVyLga0"" folds",2024-04-17T21:31:12.246Z,171338947224600
"""Ekingz1 @ m3OcsLhCIV"" calls 300",2024-04-17T21:31:11.297Z,171338947129700
"""dr. disrespect @ crFwBVVQqY"" posts a big blind of 300",2024-04-17T21:31:05.695Z,171338946569507
"Dead Small Blind",2024-04-17T21:31:05.695Z,171338946569506
"Player stacks: #2 ""dr. disrespect @ crFwBVVQqY"" (3185) | #5 ""Ekingz1 @ m3OcsLhCIV"" (750) | #8 ""codeyu @ DJmgVyLga0"" (3345)",2024-04-17T21:31:05.695Z,171338946569502
"-- starting hand #37 (id: f9kn9lxs55zj)  (No Limit Texas Hold'em) (dealer: ""codeyu @ DJmgVyLga0"") --",2024-04-17T21:31:05.695Z,171338946569501
"The player ""CruJones @ AXNvirFFOh"" quits the game with a stack of 0.",2024-04-17T21:31:05.695Z,171338946569500
"""Ekingz1 @ m3OcsLhCIV"" shows a 8♦, 10♣.",2024-04-17T21:31:03.534Z,171338946353400
"""dr. disrespect @ crFwBVVQqY"" shows a 5♠, 4♠.",2024-04-17T21:31:01.577Z,171338946157700
"-- ending hand #36 --",2024-04-17T21:30:58.691Z,171338945869103
"""codeyu @ DJmgVyLga0"" collected 975 from pot with Pair, J's (combination: J♠, J♥, A♦, K♣, 10♦)",2024-04-17T21:30:58.691Z,171338945869102
"""codeyu @ DJmgVyLga0"" collected 700 from pot with Pair, J's (combination: J♠, J♥, A♦, K♣, 10♦)",2024-04-17T21:30:58.691Z,171338945869101
"""codeyu @ DJmgVyLga0"" shows a 10♦, J♠.",2024-04-17T21:30:58.691Z,171338945869100
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-17T21:30:57.810Z,171338945781000
"""codeyu @ DJmgVyLga0"" checks",2024-04-17T21:30:56.811Z,171338945681100
"River: A♦, 3♦, K♣, 4♣ [J♥]",2024-04-17T21:30:52.609Z,171338945260900
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-17T21:30:51.757Z,171338945175700
"""codeyu @ DJmgVyLga0"" checks",2024-04-17T21:30:50.490Z,171338945049000
"Turn: A♦, 3♦, K♣ [4♣]",2024-04-17T21:30:48.887Z,171338944888700
"""Ekingz1 @ m3OcsLhCIV"" folds",2024-04-17T21:30:48.027Z,171338944802700
"""dr. disrespect @ crFwBVVQqY"" calls 300",2024-04-17T21:30:44.001Z,171338944400100
"""codeyu @ DJmgVyLga0"" bets 300",2024-04-17T21:30:40.552Z,171338944055200
"Flop:  [A♦, 3♦, K♣]",2024-04-17T21:30:37.326Z,171338943732600
"""codeyu @ DJmgVyLga0"" calls 300",2024-04-17T21:30:36.521Z,171338943652100
"""Ekingz1 @ m3OcsLhCIV"" calls 300",2024-04-17T21:30:34.457Z,171338943445700
"""dr. disrespect @ crFwBVVQqY"" calls 300",2024-04-17T21:30:32.980Z,171338943298000
"""CruJones @ AXNvirFFOh"" posts a big blind of 175 and go all in ",2024-04-17T21:30:30.388Z,171338943038809
"""codeyu @ DJmgVyLga0"" posts a small blind of 150",2024-04-17T21:30:30.388Z,171338943038808
"Player stacks: #1 ""CruJones @ AXNvirFFOh"" (175) | #2 ""dr. disrespect @ crFwBVVQqY"" (3785) | #5 ""Ekingz1 @ m3OcsLhCIV"" (1050) | #8 ""codeyu @ DJmgVyLga0"" (2270)",2024-04-17T21:30:30.388Z,171338943038803
"-- starting hand #36 (id: 7piv0jqeg26a)  (No Limit Texas Hold'em) (dealer: ""Ekingz1 @ m3OcsLhCIV"") --",2024-04-17T21:30:30.388Z,171338943038802
"The game's big blind was changed from 200 to 300.",2024-04-17T21:30:30.388Z,171338943038801
"The game's small blind was changed from 100 to 150.",2024-04-17T21:30:30.388Z,171338943038800
"""dr. disrespect @ crFwBVVQqY"" shows a 7♠, Q♠.",2024-04-17T21:30:27.434Z,171338942743400
"""Ekingz1 @ m3OcsLhCIV"" shows a 5♣, 4♣.",2024-04-17T21:30:27.258Z,171338942725800
"-- ending hand #35 --",2024-04-17T21:30:26.058Z,171338942605802
"""dr. disrespect @ crFwBVVQqY"" collected 600 from pot",2024-04-17T21:30:26.058Z,171338942605801
