entry,at,order
"The player ""cpncandy @ PH4o4nSumR"" quits the game with a stack of 0.",2024-04-06T19:24:25.222Z,171243146522200
"-- ending hand #31 --",2024-04-06T19:24:19.215Z,171243145921501
"""smashthategg @ nL7UOwiHi4"" collected 2180 from pot with Three of a Kind, J's (combination: J♠, J♥, J♦, 10♦, 9♣)",2024-04-06T19:24:19.215Z,171243145921500
"River: 7♥, 10♦, 3♥, J♦ [9♣]",2024-04-06T19:24:15.201Z,171243145520100
"Turn: 7♥, 10♦, 3♥ [J♦]",2024-04-06T19:24:11.194Z,171243145119400
"Flop:  [7♥, 10♦, 3♥]",2024-04-06T19:24:07.176Z,171243144717600
"""cpncandy @ PH4o4nSumR"" shows a A♠, Q♣.",2024-04-06T19:24:03.103Z,171243144310301
"""smashthategg @ nL7UOwiHi4"" shows a J♠, J♥.",2024-04-06T19:24:03.103Z,171243144310300
"""cpncandy @ PH4o4nSumR"" calls 1090 and go all in",2024-04-06T19:24:02.282Z,171243144228200
"""smashthategg @ nL7UOwiHi4"" raises to 1090",2024-04-06T19:24:00.761Z,171243144076100
"""cpncandy @ PH4o4nSumR"" calls 150",2024-04-06T19:23:48.022Z,171243142802200
"""smashthategg @ nL7UOwiHi4"" posts a big blind of 150",2024-04-06T19:23:45.982Z,171243142598205
"""cpncandy @ PH4o4nSumR"" posts a small blind of 75",2024-04-06T19:23:45.982Z,171243142598204
"Your hand is J♠, J♥",2024-04-06T19:23:45.982Z,171243142598202
"Player stacks: #1 ""smashthategg @ nL7UOwiHi4"" (5930) | #3 ""cpncandy @ PH4o4nSumR"" (1090)",2024-04-06T19:23:45.982Z,171243142598201
"-- starting hand #31 (id: 8ybhvjrw1u4p)  (No Limit Texas Hold'em) (dealer: ""cpncandy @ PH4o4nSumR"") --",2024-04-06T19:23:45.982Z,171243142598200
"-- ending hand #30 --",2024-04-06T19:23:43.067Z,171243142306702
"""cpncandy @ PH4o4nSumR"" collected 300 from pot",2024-04-06T19:23:43.067Z,171243142306701
