entry,at,order
"The player ""ErifMdz @ vSJLgVJzZM"" quits the game with a stack of 8000.",2024-04-26T17:24:46.733Z,171415228673300
"The player ""Jaiiiiiii @ QxWm7nfEki"" quits the game with a stack of 0.",2024-04-26T17:18:56.739Z,171415193673900
"-- ending hand #36 --",2024-04-26T17:18:50.731Z,171415193073101
"""ErifMdz @ vSJLgVJzZM"" collected 4210 from pot with Flush, 10s High (combination: 10♠, 6♠, 5♠, 4♠, 3♠)",2024-04-26T17:18:50.731Z,171415193073100
"River: 5♠, 10♠, 3♠, 6♠ [5♥]",2024-04-26T17:18:46.684Z,171415192668400
"Turn: 5♠, 10♠, 3♠ [6♠]",2024-04-26T17:18:42.677Z,171415192267700
"Flop:  [5♠, 10♠, 3♠]",2024-04-26T17:18:38.670Z,171415191867000
"""ErifMdz @ vSJLgVJzZM"" shows a 4♥, 4♠.",2024-04-26T17:18:34.579Z,171415191457901
"""Jaiiiiiii @ QxWm7nfEki"" shows a Q♦, A♣.",2024-04-26T17:18:34.579Z,171415191457900
"""Jaiiiiiii @ QxWm7nfEki"" calls 2105 and go all in",2024-04-26T17:18:33.772Z,171415191377200
"""ErifMdz @ vSJLgVJzZM"" raises to 2105",2024-04-26T17:18:31.954Z,171415191195400
"""Jaiiiiiii @ QxWm7nfEki"" calls 150",2024-04-26T17:18:28.805Z,171415190880500
"""ErifMdz @ vSJLgVJzZM"" posts a big blind of 150",2024-04-26T17:18:27.246Z,171415190724605
"""Jaiiiiiii @ QxWm7nfEki"" posts a small blind of 75",2024-04-26T17:18:27.246Z,171415190724604
"Player stacks: #4 ""Jaiiiiiii @ QxWm7nfEki"" (2105) | #5 ""ErifMdz @ vSJLgVJzZM"" (5895)",2024-04-26T17:18:27.246Z,171415190724601
"-- starting hand #36 (id: zhyg5ym8ynsz)  (No Limit Texas Hold'em) (dealer: ""Jaiiiiiii @ QxWm7nfEki"") --",2024-04-26T17:18:27.246Z,171415190724600
"-- ending hand #35 --",2024-04-26T17:18:24.277Z,171415190427702
"""ErifMdz @ vSJLgVJzZM"" collected 300 from pot",2024-04-26T17:18:24.277Z,171415190427701
"Uncalled bet of 450 returned to ""ErifMdz @ vSJLgVJzZM""",2024-04-26T17:18:24.277Z,171415190427700
"""Jaiiiiiii @ QxWm7nfEki"" folds",2024-04-26T17:18:23.474Z,171415190347400
"""ErifMdz @ vSJLgVJzZM"" raises to 600",2024-04-26T17:18:21.471Z,171415190147100
"""Jaiiiiiii @ QxWm7nfEki"" posts a big blind of 150",2024-04-26T17:18:17.964Z,171415189796405
"""ErifMdz @ vSJLgVJzZM"" posts a small blind of 75",2024-04-26T17:18:17.964Z,171415189796404
"Player stacks: #4 ""Jaiiiiiii @ QxWm7nfEki"" (2255) | #5 ""ErifMdz @ vSJLgVJzZM"" (5745)",2024-04-26T17:18:17.964Z,171415189796401
"-- starting hand #35 (id: 6mbz9n03jawv)  (No Limit Texas Hold'em) (dealer: ""ErifMdz @ vSJLgVJzZM"") --",2024-04-26T17:18:17.964Z,171415189796400
"-- ending hand #34 --",2024-04-26T17:18:15.020Z,171415189502002
"""ErifMdz @ vSJLgVJzZM"" collected 150 from pot",2024-04-26T17:18:15.020Z,171415189502001
"Uncalled bet of 75 returned to ""ErifMdz @ vSJLgVJzZM""",2024-04-26T17:18:15.020Z,171415189502000
"""Jaiiiiiii @ QxWm7nfEki"" folds",2024-04-26T17:18:14.208Z,171415189420800
"""ErifMdz @ vSJLgVJzZM"" posts a big blind of 150",2024-04-26T17:18:10.066Z,171415189006605
"""Jaiiiiiii @ QxWm7nfEki"" posts a small blind of 75",2024-04-26T17:18:10.066Z,171415189006604
"Player stacks: #4 ""Jaiiiiiii @ QxWm7nfEki"" (2330) | #5 ""ErifMdz @ vSJLgVJzZM"" (5670)",2024-04-26T17:18:10.066Z,171415189006601
"-- starting hand #34 (id: jt2le8ddtol5)  (No Limit Texas Hold'em) (dealer: ""Jaiiiiiii @ QxWm7nfEki"") --",2024-04-26T17:18:10.066Z,171415189006600
"-- ending hand #33 --",2024-04-26T17:18:07.130Z,171415188713002
"""Jaiiiiiii @ QxWm7nfEki"" collected 150 from pot",2024-04-26T17:18:07.130Z,171415188713001
"Uncalled bet of 75 returned to ""Jaiiiiiii @ QxWm7nfEki""",2024-04-26T17:18:07.130Z,171415188713000
"""ErifMdz @ vSJLgVJzZM"" folds",2024-04-26T17:18:06.272Z,171415188627200
"""Jaiiiiiii @ QxWm7nfEki"" posts a big blind of 150",2024-04-26T17:18:03.926Z,171415188392605
"""ErifMdz @ vSJLgVJzZM"" posts a small blind of 75",2024-04-26T17:18:03.926Z,171415188392604
"Player stacks: #4 ""Jaiiiiiii @ QxWm7nfEki"" (2255) | #5 ""ErifMdz @ vSJLgVJzZM"" (5745)",2024-04-26T17:18:03.926Z,171415188392601
"-- starting hand #33 (id: dnavpksf5e0t)  (No Limit Texas Hold'em) (dealer: ""ErifMdz @ vSJLgVJzZM"") --",2024-04-26T17:18:03.926Z,171415188392600
"-- ending hand #32 --",2024-04-26T17:18:00.971Z,171415188097102
"""ErifMdz @ vSJLgVJzZM"" collected 150 from pot",2024-04-26T17:18:00.971Z,171415188097101
"Uncalled bet of 75 returned to ""ErifMdz @ vSJLgVJzZM""",2024-04-26T17:18:00.971Z,171415188097100
"""Jaiiiiiii @ QxWm7nfEki"" folds",2024-04-26T17:18:00.124Z,171415188012400
"""ErifMdz @ vSJLgVJzZM"" posts a big blind of 150",2024-04-26T17:17:58.059Z,171415187805905
"""Jaiiiiiii @ QxWm7nfEki"" posts a small blind of 75",2024-04-26T17:17:58.059Z,171415187805904
"Player stacks: #4 ""Jaiiiiiii @ QxWm7nfEki"" (2330) | #5 ""ErifMdz @ vSJLgVJzZM"" (5670)",2024-04-26T17:17:58.059Z,171415187805901
"-- starting hand #32 (id: 9ogbffg5olrr)  (No Limit Texas Hold'em) (dealer: ""Jaiiiiiii @ QxWm7nfEki"") --",2024-04-26T17:17:58.059Z,171415187805900
"-- ending hand #31 --",2024-04-26T17:17:55.122Z,171415187512202
"""ErifMdz @ vSJLgVJzZM"" collected 300 from pot",2024-04-26T17:17:55.122Z,171415187512201
"Uncalled bet of 300 returned to ""ErifMdz @ vSJLgVJzZM""",2024-04-26T17:17:55.122Z,171415187512200
"""Jaiiiiiii @ QxWm7nfEki"" folds",2024-04-26T17:17:54.278Z,171415187427800
"""ErifMdz @ vSJLgVJzZM"" raises to 450",2024-04-26T17:17:49.802Z,171415186980200
"""Jaiiiiiii @ QxWm7nfEki"" posts a big blind of 150",2024-04-26T17:17:47.047Z,171415186704705
"""ErifMdz @ vSJLgVJzZM"" posts a small blind of 75",2024-04-26T17:17:47.047Z,171415186704704
"Player stacks: #4 ""Jaiiiiiii @ QxWm7nfEki"" (2480) | #5 ""ErifMdz @ vSJLgVJzZM"" (5520)",2024-04-26T17:17:47.047Z,171415186704701
"-- starting hand #31 (id: tut8ol78i5ib)  (No Limit Texas Hold'em) (dealer: ""ErifMdz @ vSJLgVJzZM"") --",2024-04-26T17:17:47.047Z,171415186704700
"-- ending hand #30 --",2024-04-26T17:17:44.140Z,171415186414002
"""ErifMdz @ vSJLgVJzZM"" collected 1200 from pot",2024-04-26T17:17:44.140Z,171415186414001
"Uncalled bet of 1200 returned to ""ErifMdz @ vSJLgVJzZM""",2024-04-26T17:17:44.140Z,171415186414000
"""Jaiiiiiii @ QxWm7nfEki"" folds",2024-04-26T17:17:43.323Z,171415186332300
"""ErifMdz @ vSJLgVJzZM"" bets 1200",2024-04-26T17:17:41.117Z,171415186111700
"Flop:  [J♦, 5♣, 7♣]",2024-04-26T17:17:38.176Z,171415185817600
"""Jaiiiiiii @ QxWm7nfEki"" calls 600",2024-04-26T17:17:37.366Z,171415185736600
"""ErifMdz @ vSJLgVJzZM"" raises to 600",2024-04-26T17:17:35.094Z,171415185509400
"""Jaiiiiiii @ QxWm7nfEki"" calls 150",2024-04-26T17:17:30.627Z,171415185062700
"""ErifMdz @ vSJLgVJzZM"" posts a big blind of 150",2024-04-26T17:17:28.219Z,171415184821906
"""Jaiiiiiii @ QxWm7nfEki"" posts a small blind of 75",2024-04-26T17:17:28.219Z,171415184821905
"Player stacks: #4 ""Jaiiiiiii @ QxWm7nfEki"" (3080) | #5 ""ErifMdz @ vSJLgVJzZM"" (4920)",2024-04-26T17:17:28.219Z,171415184821902
"-- starting hand #30 (id: 0wyfbhtrzr4a)  (No Limit Texas Hold'em) (dealer: ""Jaiiiiiii @ QxWm7nfEki"") --",2024-04-26T17:17:28.219Z,171415184821901
"The player ""Jewnah @ zddMbDnXNe"" quits the game with a stack of 0.",2024-04-26T17:17:28.219Z,171415184821900
"-- ending hand #29 --",2024-04-26T17:17:22.200Z,171415184220002
"""ErifMdz @ vSJLgVJzZM"" collected 140 from pot with Two Pair, J's & 10's (combination: J♣, J♠, 10♣, 10♦, 7♠)",2024-04-26T17:17:22.200Z,171415184220001
"""ErifMdz @ vSJLgVJzZM"" collected 1815 from pot with Two Pair, J's & 10's (combination: J♣, J♠, 10♣, 10♦, 7♠)",2024-04-26T17:17:22.200Z,171415184220000
"River: 10♦, 2♦, J♠, 4♣ [7♠]",2024-04-26T17:17:18.185Z,171415183818500
"Turn: 10♦, 2♦, J♠ [4♣]",2024-04-26T17:17:14.173Z,171415183417300
"""Jewnah @ zddMbDnXNe"" shows a A♠, 9♦.",2024-04-26T17:17:10.168Z,171415183016802
"""ErifMdz @ vSJLgVJzZM"" shows a 10♣, J♣.",2024-04-26T17:17:10.168Z,171415183016801
"Uncalled bet of 150 returned to ""ErifMdz @ vSJLgVJzZM""",2024-04-26T17:17:10.168Z,171415183016800
"""Jaiiiiiii @ QxWm7nfEki"" folds",2024-04-26T17:17:09.309Z,171415182930900
"""ErifMdz @ vSJLgVJzZM"" bets 150",2024-04-26T17:17:06.289Z,171415182628900
"""Jaiiiiiii @ QxWm7nfEki"" checks",2024-04-26T17:17:03.332Z,171415182333200
"Flop:  [10♦, 2♦, J♠]",2024-04-26T17:17:00.452Z,171415182045200
"""Jaiiiiiii @ QxWm7nfEki"" calls 675",2024-04-26T17:16:59.640Z,171415181964000
"""Jewnah @ zddMbDnXNe"" calls 605 and go all in",2024-04-26T17:16:56.844Z,171415181684400
"""ErifMdz @ vSJLgVJzZM"" raises to 675",2024-04-26T17:16:54.752Z,171415181475200
"""Jaiiiiiii @ QxWm7nfEki"" posts a big blind of 150",2024-04-26T17:16:51.673Z,171415181167306
"""Jewnah @ zddMbDnXNe"" posts a small blind of 75",2024-04-26T17:16:51.673Z,171415181167305
"Player stacks: #4 ""Jaiiiiiii @ QxWm7nfEki"" (3755) | #5 ""ErifMdz @ vSJLgVJzZM"" (3640) | #7 ""Jewnah @ zddMbDnXNe"" (605)",2024-04-26T17:16:51.673Z,171415181167301
"-- starting hand #29 (id: adqkhejau2lo)  (No Limit Texas Hold'em) (dealer: ""ErifMdz @ vSJLgVJzZM"") --",2024-04-26T17:16:51.673Z,171415181167300
"-- ending hand #28 --",2024-04-26T17:16:48.724Z,171415180872402
"""Jaiiiiiii @ QxWm7nfEki"" collected 375 from pot",2024-04-26T17:16:48.724Z,171415180872401
"Uncalled bet of 150 returned to ""Jaiiiiiii @ QxWm7nfEki""",2024-04-26T17:16:48.724Z,171415180872400
"""Jewnah @ zddMbDnXNe"" folds",2024-04-26T17:16:47.900Z,171415180790000
"""Jaiiiiiii @ QxWm7nfEki"" bets 150",2024-04-26T17:16:45.697Z,171415180569700
"""Jewnah @ zddMbDnXNe"" checks",2024-04-26T17:16:43.939Z,171415180393900
"Turn: A♦, 7♦, 6♠ [K♦]",2024-04-26T17:16:42.523Z,171415180252300
"""Jaiiiiiii @ QxWm7nfEki"" checks",2024-04-26T17:16:41.718Z,171415180171800
"""Jewnah @ zddMbDnXNe"" checks",2024-04-26T17:16:38.814Z,171415179881400
"Flop:  [A♦, 7♦, 6♠]",2024-04-26T17:16:33.335Z,171415179333500
"""Jewnah @ zddMbDnXNe"" checks",2024-04-26T17:16:32.519Z,171415179251900
"""ErifMdz @ vSJLgVJzZM"" folds",2024-04-26T17:16:27.993Z,171415178799300
"""Jaiiiiiii @ QxWm7nfEki"" calls 150",2024-04-26T17:16:25.334Z,171415178533400
"""Jewnah @ zddMbDnXNe"" posts a big blind of 150",2024-04-26T17:16:23.524Z,171415178352406
"""ErifMdz @ vSJLgVJzZM"" posts a small blind of 75",2024-04-26T17:16:23.524Z,171415178352405
"Player stacks: #4 ""Jaiiiiiii @ QxWm7nfEki"" (3530) | #5 ""ErifMdz @ vSJLgVJzZM"" (3715) | #7 ""Jewnah @ zddMbDnXNe"" (755)",2024-04-26T17:16:23.524Z,171415178352401
"-- starting hand #28 (id: ktg72npllr5k)  (No Limit Texas Hold'em) (dealer: ""Jaiiiiiii @ QxWm7nfEki"") --",2024-04-26T17:16:23.524Z,171415178352400
"-- ending hand #27 --",2024-04-26T17:16:17.518Z,171415177751803
"""Jewnah @ zddMbDnXNe"" shows a Q♥, A♠.",2024-04-26T17:16:17.518Z,171415177751802
"""Jaiiiiiii @ QxWm7nfEki"" collected 1950 from pot with Straight, 10 High (combination: 10♠, 9♥, 8♠, 7♦, 6♥)",2024-04-26T17:16:17.518Z,171415177751801
"""Jaiiiiiii @ QxWm7nfEki"" shows a 10♠, 8♠.",2024-04-26T17:16:17.518Z,171415177751800
"""Jaiiiiiii @ QxWm7nfEki"" calls 450",2024-04-26T17:16:16.696Z,171415177669600
"""Jewnah @ zddMbDnXNe"" raises to 450",2024-04-26T17:16:14.540Z,171415177454000
"""Jaiiiiiii @ QxWm7nfEki"" bets 150",2024-04-26T17:16:06.786Z,171415176678600
"River: 9♥, 7♦, 6♥, 3♣ [Q♠]",2024-04-26T17:16:04.613Z,171415176461300
"""Jewnah @ zddMbDnXNe"" calls 150",2024-04-26T17:16:03.754Z,171415176375400
"""Jaiiiiiii @ QxWm7nfEki"" bets 150",2024-04-26T17:16:00.363Z,171415176036300
"Turn: 9♥, 7♦, 6♥ [3♣]",2024-04-26T17:15:58.712Z,171415175871200
"""Jewnah @ zddMbDnXNe"" calls 150",2024-04-26T17:15:57.874Z,171415175787400
"""ErifMdz @ vSJLgVJzZM"" folds",2024-04-26T17:15:56.908Z,171415175690800
"""Jaiiiiiii @ QxWm7nfEki"" bets 150",2024-04-26T17:15:55.198Z,171415175519800
"Flop:  [9♥, 7♦, 6♥]",2024-04-26T17:15:51.691Z,171415175169100
"""ErifMdz @ vSJLgVJzZM"" checks",2024-04-26T17:15:50.821Z,171415175082100
"""Jaiiiiiii @ QxWm7nfEki"" calls 150",2024-04-26T17:15:48.667Z,171415174866700
"""Jewnah @ zddMbDnXNe"" calls 150",2024-04-26T17:15:47.350Z,171415174735000
"""ErifMdz @ vSJLgVJzZM"" posts a big blind of 150",2024-04-26T17:15:45.518Z,171415174551806
"""Jaiiiiiii @ QxWm7nfEki"" posts a small blind of 75",2024-04-26T17:15:45.518Z,171415174551805
"Player stacks: #4 ""Jaiiiiiii @ QxWm7nfEki"" (2480) | #5 ""ErifMdz @ vSJLgVJzZM"" (3865) | #7 ""Jewnah @ zddMbDnXNe"" (1655)",2024-04-26T17:15:45.518Z,171415174551801
"-- starting hand #27 (id: dyjywi0lgb4f)  (No Limit Texas Hold'em) (dealer: ""Jewnah @ zddMbDnXNe"") --",2024-04-26T17:15:45.518Z,171415174551800
"-- ending hand #26 --",2024-04-26T17:15:42.593Z,171415174259302
"""Jaiiiiiii @ QxWm7nfEki"" collected 150 from pot",2024-04-26T17:15:42.593Z,171415174259301
"Uncalled bet of 75 returned to ""Jaiiiiiii @ QxWm7nfEki""",2024-04-26T17:15:42.593Z,171415174259300
"""Jewnah @ zddMbDnXNe"" folds",2024-04-26T17:15:41.772Z,171415174177200
"""ErifMdz @ vSJLgVJzZM"" folds",2024-04-26T17:15:39.782Z,171415173978200
"""Jaiiiiiii @ QxWm7nfEki"" posts a big blind of 150",2024-04-26T17:15:38.389Z,171415173838906
"""Jewnah @ zddMbDnXNe"" posts a small blind of 75",2024-04-26T17:15:38.389Z,171415173838905
"Player stacks: #4 ""Jaiiiiiii @ QxWm7nfEki"" (2405) | #5 ""ErifMdz @ vSJLgVJzZM"" (3865) | #7 ""Jewnah @ zddMbDnXNe"" (1730)",2024-04-26T17:15:38.389Z,171415173838901
"-- starting hand #26 (id: kroxyibotr3l)  (No Limit Texas Hold'em) (dealer: ""ErifMdz @ vSJLgVJzZM"") --",2024-04-26T17:15:38.389Z,171415173838900
"-- ending hand #25 --",2024-04-26T17:15:32.378Z,171415173237803
"""Jewnah @ zddMbDnXNe"" shows a Q♣, 7♥.",2024-04-26T17:15:32.378Z,171415173237802
"""Jaiiiiiii @ QxWm7nfEki"" collected 375 from pot with Pair, 4's (combination: 4♣, 4♠, K♠, Q♠, J♠)",2024-04-26T17:15:32.378Z,171415173237801
"""Jaiiiiiii @ QxWm7nfEki"" shows a Q♠, 4♣.",2024-04-26T17:15:32.378Z,171415173237800
"""Jaiiiiiii @ QxWm7nfEki"" checks",2024-04-26T17:15:31.567Z,171415173156700
"""Jewnah @ zddMbDnXNe"" checks",2024-04-26T17:15:30.258Z,171415173025800
"River: J♠, 4♠, K♠, 2♣ [5♥]",2024-04-26T17:15:28.066Z,171415172806600
"""Jaiiiiiii @ QxWm7nfEki"" checks",2024-04-26T17:15:27.214Z,171415172721400
"""Jewnah @ zddMbDnXNe"" checks",2024-04-26T17:15:25.562Z,171415172556200
"Turn: J♠, 4♠, K♠ [2♣]",2024-04-26T17:15:24.297Z,171415172429700
"""Jaiiiiiii @ QxWm7nfEki"" checks",2024-04-26T17:15:23.459Z,171415172345900
"""Jewnah @ zddMbDnXNe"" checks",2024-04-26T17:15:20.997Z,171415172099700
"Flop:  [J♠, 4♠, K♠]",2024-04-26T17:15:17.651Z,171415171765100
"""Jewnah @ zddMbDnXNe"" checks",2024-04-26T17:15:16.814Z,171415171681400
"""ErifMdz @ vSJLgVJzZM"" folds",2024-04-26T17:15:14.723Z,171415171472300
"""Jaiiiiiii @ QxWm7nfEki"" calls 150",2024-04-26T17:15:13.186Z,171415171318600
"""Jewnah @ zddMbDnXNe"" posts a big blind of 150",2024-04-26T17:15:06.257Z,171415170625706
"""ErifMdz @ vSJLgVJzZM"" posts a small blind of 75",2024-04-26T17:15:06.257Z,171415170625705
"Player stacks: #4 ""Jaiiiiiii @ QxWm7nfEki"" (2180) | #5 ""ErifMdz @ vSJLgVJzZM"" (3940) | #7 ""Jewnah @ zddMbDnXNe"" (1880)",2024-04-26T17:15:06.257Z,171415170625701
"-- starting hand #25 (id: skjlvebppygt)  (No Limit Texas Hold'em) (dealer: ""Jaiiiiiii @ QxWm7nfEki"") --",2024-04-26T17:15:06.257Z,171415170625700
"-- ending hand #24 --",2024-04-26T17:15:03.352Z,171415170335202
"""ErifMdz @ vSJLgVJzZM"" collected 1950 from pot",2024-04-26T17:15:03.352Z,171415170335201
"Uncalled bet of 975 returned to ""ErifMdz @ vSJLgVJzZM""",2024-04-26T17:15:03.352Z,171415170335200
"""Jewnah @ zddMbDnXNe"" folds",2024-04-26T17:15:02.543Z,171415170254300
"""ErifMdz @ vSJLgVJzZM"" bets 975",2024-04-26T17:14:56.960Z,171415169696000
"River: 3♠, J♥, 10♥, 4♠ [8♦]",2024-04-26T17:14:51.176Z,171415169117600
"""Jewnah @ zddMbDnXNe"" calls 150",2024-04-26T17:14:50.371Z,171415169037100
