entry,at,order
"The player ""Ghost® @ wTXmy1PLC9"" quits the game with a stack of 5020.",2024-04-26T16:53:33.692Z,171415041369200
"The player ""Master'sCat @ WA1MtVSPAo"" quits the game with a stack of 0.",2024-04-26T16:48:10.489Z,171415009048900
"-- ending hand #40 --",2024-04-26T16:48:04.475Z,171415008447501
"""Ghost® @ wTXmy1PLC9"" collected 200 from pot with Two Pair, 9's & 2's (combination: 9♥, 9♦, 2♠, 2♥, Q♥)",2024-04-26T16:48:04.475Z,171415008447500
"River: 2♠, 2♥, 9♦, J♣ [5♠]",2024-04-26T16:48:00.427Z,171415008042700
"Turn: 2♠, 2♥, 9♦ [J♣]",2024-04-26T16:47:56.408Z,171415007640800
"Flop:  [2♠, 2♥, 9♦]",2024-04-26T16:47:52.403Z,171415007240300
"""Ghost® @ wTXmy1PLC9"" shows a 9♥, Q♥.",2024-04-26T16:47:48.344Z,171415006834401
"""Master'sCat @ WA1MtVSPAo"" shows a 5♣, Q♦.",2024-04-26T16:47:48.344Z,171415006834400
"""Ghost® @ wTXmy1PLC9"" raises to 100",2024-04-26T16:47:47.506Z,171415006750600
"""Master'sCat @ WA1MtVSPAo"" posts a big blind of 100 and go all in ",2024-04-26T16:47:45.238Z,171415006523805
"""Ghost® @ wTXmy1PLC9"" posts a small blind of 50",2024-04-26T16:47:45.238Z,171415006523804
"Player stacks: #3 ""Master'sCat @ WA1MtVSPAo"" (100) | #5 ""Ghost® @ wTXmy1PLC9"" (4920)",2024-04-26T16:47:45.238Z,171415006523801
"-- starting hand #40 (id: 0xtctaiguags)  (No Limit Texas Hold'em) (dealer: ""Ghost® @ wTXmy1PLC9"") --",2024-04-26T16:47:45.238Z,171415006523800
"-- ending hand #39 --",2024-04-26T16:47:42.295Z,171415006229502
"""Ghost® @ wTXmy1PLC9"" collected 100 from pot",2024-04-26T16:47:42.295Z,171415006229501
"Uncalled bet of 50 returned to ""Ghost® @ wTXmy1PLC9""",2024-04-26T16:47:42.295Z,171415006229500
"""Master'sCat @ WA1MtVSPAo"" folds",2024-04-26T16:47:41.439Z,171415006143906
"""Ghost® @ wTXmy1PLC9"" posts a big blind of 100",2024-04-26T16:47:41.439Z,171415006143905
"""Master'sCat @ WA1MtVSPAo"" posts a small blind of 50",2024-04-26T16:47:41.439Z,171415006143904
"Player stacks: #3 ""Master'sCat @ WA1MtVSPAo"" (150) | #5 ""Ghost® @ wTXmy1PLC9"" (4870)",2024-04-26T16:47:41.439Z,171415006143901
"-- starting hand #39 (id: qguezpurfiet)  (No Limit Texas Hold'em) (dealer: ""Master'sCat @ WA1MtVSPAo"") --",2024-04-26T16:47:41.439Z,171415006143900
"-- ending hand #38 --",2024-04-26T16:47:38.493Z,171415005849302
"""Ghost® @ wTXmy1PLC9"" collected 200 from pot",2024-04-26T16:47:38.493Z,171415005849301
"Uncalled bet of 100 returned to ""Ghost® @ wTXmy1PLC9""",2024-04-26T16:47:38.493Z,171415005849300
"""Master'sCat @ WA1MtVSPAo"" folds",2024-04-26T16:47:37.624Z,171415005762400
"""Ghost® @ wTXmy1PLC9"" raises to 200",2024-04-26T16:47:36.771Z,171415005677100
"""Master'sCat @ WA1MtVSPAo"" posts a big blind of 100",2024-04-26T16:47:33.569Z,171415005356905
"""Ghost® @ wTXmy1PLC9"" posts a small blind of 50",2024-04-26T16:47:33.569Z,171415005356904
"Player stacks: #3 ""Master'sCat @ WA1MtVSPAo"" (250) | #5 ""Ghost® @ wTXmy1PLC9"" (4770)",2024-04-26T16:47:33.569Z,171415005356901
"-- starting hand #38 (id: mc5skqnytcqh)  (No Limit Texas Hold'em) (dealer: ""Ghost® @ wTXmy1PLC9"") --",2024-04-26T16:47:33.569Z,171415005356900
"-- ending hand #37 --",2024-04-26T16:47:30.608Z,171415005060802
"""Ghost® @ wTXmy1PLC9"" collected 100 from pot",2024-04-26T16:47:30.608Z,171415005060801
