entry,at,order
"The player ""Til-Ted Uphill @ 9XVJnr5eQi"" quits the game with a stack of 8000.",2024-04-26T20:27:32.552Z,171416325255200
"The player ""tenten1010 @ 7bT8XwIUWr"" quits the game with a stack of 0.",2024-04-26T20:22:08.036Z,171416292803600
"-- ending hand #24 --",2024-04-26T20:22:01.962Z,171416292196201
"""Til-Ted Uphill @ 9XVJnr5eQi"" collected 2048 from pot with Pair, 9's (combination: 9♠, 9♣, A♦, J♥, 10♠)",2024-04-26T20:22:01.962Z,171416292196200
"River: 9♣, 10♠, 7♣, 3♥ [A♦]",2024-04-26T20:21:57.951Z,171416291795100
"Turn: 9♣, 10♠, 7♣ [3♥]",2024-04-26T20:21:53.907Z,171416291390700
"""Til-Ted Uphill @ 9XVJnr5eQi"" shows a 9♠, J♥.",2024-04-26T20:21:49.895Z,171416290989501
"""tenten1010 @ 7bT8XwIUWr"" shows a 2♣, 8♣.",2024-04-26T20:21:49.895Z,171416290989500
"""tenten1010 @ 7bT8XwIUWr"" calls 874 and go all in",2024-04-26T20:21:49.077Z,171416290907700
"""Til-Ted Uphill @ 9XVJnr5eQi"" raises to 874",2024-04-26T20:21:46.800Z,171416290680000
"""tenten1010 @ 7bT8XwIUWr"" bets 150",2024-04-26T20:21:43.965Z,171416290396500
"Flop:  [9♣, 10♠, 7♣]",2024-04-26T20:21:40.585Z,171416290058500
"""tenten1010 @ 7bT8XwIUWr"" checks",2024-04-26T20:21:39.748Z,171416289974800
"""Til-Ted Uphill @ 9XVJnr5eQi"" calls 150",2024-04-26T20:21:35.425Z,171416289542500
"""tenten1010 @ 7bT8XwIUWr"" posts a big blind of 150",2024-04-26T20:21:32.384Z,171416289238407
"""Til-Ted Uphill @ 9XVJnr5eQi"" posts a small blind of 75",2024-04-26T20:21:32.384Z,171416289238406
"Player stacks: #4 ""tenten1010 @ 7bT8XwIUWr"" (1024) | #8 ""Til-Ted Uphill @ 9XVJnr5eQi"" (6976)",2024-04-26T20:21:32.384Z,171416289238403
"-- starting hand #24 (id: aoa86h6sfdlp)  (No Limit Texas Hold'em) (dealer: ""Til-Ted Uphill @ 9XVJnr5eQi"") --",2024-04-26T20:21:32.384Z,171416289238402
"The game's big blind was changed from 100 to 150.",2024-04-26T20:21:32.384Z,171416289238401
"The game's small blind was changed from 50 to 75.",2024-04-26T20:21:32.384Z,171416289238400
"-- ending hand #23 --",2024-04-26T20:21:29.471Z,171416288947102
"""tenten1010 @ 7bT8XwIUWr"" collected 200 from pot",2024-04-26T20:21:29.471Z,171416288947101
"Uncalled bet of 100 returned to ""tenten1010 @ 7bT8XwIUWr""",2024-04-26T20:21:29.471Z,171416288947100
"""Til-Ted Uphill @ 9XVJnr5eQi"" folds",2024-04-26T20:21:28.662Z,171416288866200
"""tenten1010 @ 7bT8XwIUWr"" bets 100",2024-04-26T20:21:27.477Z,171416288747700
"""Til-Ted Uphill @ 9XVJnr5eQi"" checks",2024-04-26T20:21:24.744Z,171416288474400
"Flop:  [10♦, K♣, 10♣]",2024-04-26T20:21:20.867Z,171416288086700
"""Til-Ted Uphill @ 9XVJnr5eQi"" checks",2024-04-26T20:21:20.010Z,171416288001000
"""tenten1010 @ 7bT8XwIUWr"" calls 100",2024-04-26T20:21:17.076Z,171416287707600
"""Til-Ted Uphill @ 9XVJnr5eQi"" posts a big blind of 100",2024-04-26T20:21:15.311Z,171416287531105
"""tenten1010 @ 7bT8XwIUWr"" posts a small blind of 50",2024-04-26T20:21:15.311Z,171416287531104
"Player stacks: #4 ""tenten1010 @ 7bT8XwIUWr"" (924) | #8 ""Til-Ted Uphill @ 9XVJnr5eQi"" (7076)",2024-04-26T20:21:15.311Z,171416287531101
"-- starting hand #23 (id: q0gxad1u4upk)  (No Limit Texas Hold'em) (dealer: ""tenten1010 @ 7bT8XwIUWr"") --",2024-04-26T20:21:15.311Z,171416287531100
"-- ending hand #22 --",2024-04-26T20:21:12.368Z,171416287236802
"""Til-Ted Uphill @ 9XVJnr5eQi"" collected 200 from pot",2024-04-26T20:21:12.368Z,171416287236801
"Uncalled bet of 150 returned to ""Til-Ted Uphill @ 9XVJnr5eQi""",2024-04-26T20:21:12.368Z,171416287236800
"""tenten1010 @ 7bT8XwIUWr"" folds",2024-04-26T20:21:11.515Z,171416287151500
"""Til-Ted Uphill @ 9XVJnr5eQi"" bets 150",2024-04-26T20:21:08.760Z,171416286876000
"""tenten1010 @ 7bT8XwIUWr"" checks",2024-04-26T20:21:05.961Z,171416286596100
"Turn: Q♠, A♣, Q♣ [3♣]",2024-04-26T20:21:04.174Z,171416286417400
"""Til-Ted Uphill @ 9XVJnr5eQi"" checks",2024-04-26T20:21:03.358Z,171416286335800
"""tenten1010 @ 7bT8XwIUWr"" checks",2024-04-26T20:21:00.955Z,171416286095500
"Flop:  [Q♠, A♣, Q♣]",2024-04-26T20:20:52.497Z,171416285249700
"""tenten1010 @ 7bT8XwIUWr"" checks",2024-04-26T20:20:51.676Z,171416285167600
"""Til-Ted Uphill @ 9XVJnr5eQi"" calls 100",2024-04-26T20:20:49.945Z,171416284994500
"""tenten1010 @ 7bT8XwIUWr"" posts a big blind of 100",2024-04-26T20:20:47.050Z,171416284705005
"""Til-Ted Uphill @ 9XVJnr5eQi"" posts a small blind of 50",2024-04-26T20:20:47.050Z,171416284705004
"Player stacks: #4 ""tenten1010 @ 7bT8XwIUWr"" (1024) | #8 ""Til-Ted Uphill @ 9XVJnr5eQi"" (6976)",2024-04-26T20:20:47.050Z,171416284705001
"-- starting hand #22 (id: e1yiicx1eqh6)  (No Limit Texas Hold'em) (dealer: ""Til-Ted Uphill @ 9XVJnr5eQi"") --",2024-04-26T20:20:47.050Z,171416284705000
"""tenten1010 @ 7bT8XwIUWr"" shows a Q♣, 4♥.",2024-04-26T20:20:44.957Z,171416284495700
"-- ending hand #21 --",2024-04-26T20:20:43.444Z,171416284344402
"""Til-Ted Uphill @ 9XVJnr5eQi"" collected 400 from pot",2024-04-26T20:20:43.444Z,171416284344401
"Uncalled bet of 300 returned to ""Til-Ted Uphill @ 9XVJnr5eQi""",2024-04-26T20:20:43.444Z,171416284344400
"""tenten1010 @ 7bT8XwIUWr"" folds",2024-04-26T20:20:42.632Z,171416284263200
"""Til-Ted Uphill @ 9XVJnr5eQi"" bets 300",2024-04-26T20:20:38.438Z,171416283843800
"Turn: K♣, 6♣, 8♣ [J♦]",2024-04-26T20:20:34.780Z,171416283478000
"""tenten1010 @ 7bT8XwIUWr"" calls 100",2024-04-26T20:20:33.957Z,171416283395700
"""Til-Ted Uphill @ 9XVJnr5eQi"" bets 100",2024-04-26T20:20:32.700Z,171416283270000
"Flop:  [K♣, 6♣, 8♣]",2024-04-26T20:20:29.139Z,171416282913900
"""Til-Ted Uphill @ 9XVJnr5eQi"" checks",2024-04-26T20:20:28.256Z,171416282825600
"""tenten1010 @ 7bT8XwIUWr"" calls 100",2024-04-26T20:20:26.475Z,171416282647500
"""Til-Ted Uphill @ 9XVJnr5eQi"" posts a big blind of 100",2024-04-26T20:20:23.554Z,171416282355405
"""tenten1010 @ 7bT8XwIUWr"" posts a small blind of 50",2024-04-26T20:20:23.554Z,171416282355404
"Player stacks: #4 ""tenten1010 @ 7bT8XwIUWr"" (1224) | #8 ""Til-Ted Uphill @ 9XVJnr5eQi"" (6776)",2024-04-26T20:20:23.554Z,171416282355401
"-- starting hand #21 (id: 7fg96aeilx6c)  (No Limit Texas Hold'em) (dealer: ""tenten1010 @ 7bT8XwIUWr"") --",2024-04-26T20:20:23.554Z,171416282355400
"""tenten1010 @ 7bT8XwIUWr"" shows a 3♠, 7♦.",2024-04-26T20:20:20.954Z,171416282095400
"-- ending hand #20 --",2024-04-26T20:20:19.933Z,171416281993302
"""tenten1010 @ 7bT8XwIUWr"" collected 200 from pot",2024-04-26T20:20:19.933Z,171416281993301
"Uncalled bet of 100 returned to ""tenten1010 @ 7bT8XwIUWr""",2024-04-26T20:20:19.933Z,171416281993300
"""Til-Ted Uphill @ 9XVJnr5eQi"" folds",2024-04-26T20:20:19.117Z,171416281911700
"""tenten1010 @ 7bT8XwIUWr"" bets 100",2024-04-26T20:20:17.316Z,171416281731600
"Turn: 9♣, 8♣, 6♥ [5♦]",2024-04-26T20:20:15.534Z,171416281553400
"""Til-Ted Uphill @ 9XVJnr5eQi"" checks",2024-04-26T20:20:14.704Z,171416281470400
"""tenten1010 @ 7bT8XwIUWr"" checks",2024-04-26T20:20:12.474Z,171416281247400
"Flop:  [9♣, 8♣, 6♥]",2024-04-26T20:20:09.212Z,171416280921200
"""tenten1010 @ 7bT8XwIUWr"" checks",2024-04-26T20:20:08.396Z,171416280839600
"""Til-Ted Uphill @ 9XVJnr5eQi"" calls 100",2024-04-26T20:20:06.901Z,171416280690100
