entry,at,order
"The player ""NeverMissHIT @ YoZlHqpqQX"" quits the game with a stack of 7020.",2024-04-26T18:04:11.935Z,171415465193500
"The player ""Bobo @ beXOKpVweG"" quits the game with a stack of 0.",2024-04-26T18:03:54.548Z,171415463454800
"-- ending hand #59 --",2024-04-26T18:03:48.523Z,171415462852301
"""NeverMissHIT @ YoZlHqpqQX"" collected 1966 from pot with Full House, 9's over Q's (combination: 9♣, 9♠, 9♦, Q♥, Q♦)",2024-04-26T18:03:48.523Z,171415462852300
"River: 9♠, Q♥, 9♦, 10♦ [Q♦]",2024-04-26T18:03:44.519Z,171415462451900
"Turn: 9♠, Q♥, 9♦ [10♦]",2024-04-26T18:03:40.491Z,171415462049100
"Flop:  [9♠, Q♥, 9♦]",2024-04-26T18:03:36.480Z,171415461648000
"""Bobo @ beXOKpVweG"" shows a 3♥, 3♣.",2024-04-26T18:03:32.432Z,171415461243201
"""NeverMissHIT @ YoZlHqpqQX"" shows a 10♥, 9♣.",2024-04-26T18:03:32.432Z,171415461243200
"""NeverMissHIT @ YoZlHqpqQX"" calls 983",2024-04-26T18:03:31.607Z,171415461160700
"""Bobo @ beXOKpVweG"" raises to 983 and go all in",2024-04-26T18:03:30.595Z,171415461059500
"""NeverMissHIT @ YoZlHqpqQX"" posts a big blind of 300",2024-04-26T18:03:23.987Z,171415460398705
"""Bobo @ beXOKpVweG"" posts a small blind of 150",2024-04-26T18:03:23.987Z,171415460398704
"Player stacks: #4 ""NeverMissHIT @ YoZlHqpqQX"" (6037) | #5 ""Bobo @ beXOKpVweG"" (983)",2024-04-26T18:03:23.987Z,171415460398701
"-- starting hand #59 (id: 5zh2r8noritm)  (No Limit Texas Hold'em) (dealer: ""Bobo @ beXOKpVweG"") --",2024-04-26T18:03:23.987Z,171415460398700
"-- ending hand #58 --",2024-04-26T18:03:21.060Z,171415460106002
"""NeverMissHIT @ YoZlHqpqQX"" collected 1200 from pot",2024-04-26T18:03:21.060Z,171415460106001
