entry,at,order
"The player ""Roahppa @ MtPHp8Ur2_"" quits the game with a stack of 8000.",2024-04-26T17:15:16.451Z,171415171645100
"The player ""blackmore @ 66cp5V_pBX"" quits the game with a stack of 0.",2024-04-26T17:09:47.718Z,171415138771800
"-- ending hand #36 --",2024-04-26T17:09:41.707Z,171415138170701
"""Roahppa @ MtPHp8Ur2_"" collected 38 from pot with Pair, 9's (combination: 9♠, 9♥, Q♥, J♥, 8♥)",2024-04-26T17:09:41.707Z,171415138170700
"River: 6♦, Q♥, 9♥, 8♥ [7♦]",2024-04-26T17:09:37.700Z,171415137770000
"Turn: 6♦, Q♥, 9♥ [8♥]",2024-04-26T17:09:33.694Z,171415137369400
"Flop:  [6♦, Q♥, 9♥]",2024-04-26T17:09:29.665Z,171415136966500
"""blackmore @ 66cp5V_pBX"" shows a 3♣, 9♦.",2024-04-26T17:09:25.617Z,171415136561702
"""Roahppa @ MtPHp8Ur2_"" shows a 9♠, J♥.",2024-04-26T17:09:25.617Z,171415136561701
"Uncalled bet of 31 returned to ""Roahppa @ MtPHp8Ur2_""",2024-04-26T17:09:25.617Z,171415136561700
"""blackmore @ 66cp5V_pBX"" posts a big blind of 19 and go all in ",2024-04-26T17:09:24.736Z,171415136473605
"""Roahppa @ MtPHp8Ur2_"" posts a small blind of 50",2024-04-26T17:09:24.736Z,171415136473604
"Player stacks: #5 ""Roahppa @ MtPHp8Ur2_"" (7981) | #8 ""blackmore @ 66cp5V_pBX"" (19)",2024-04-26T17:09:24.736Z,171415136473601
"-- starting hand #36 (id: ajjd8rjcavap)  (No Limit Texas Hold'em) (dealer: ""Roahppa @ MtPHp8Ur2_"") --",2024-04-26T17:09:24.736Z,171415136473600
"-- ending hand #35 --",2024-04-26T17:09:21.820Z,171415136182002
"""Roahppa @ MtPHp8Ur2_"" collected 100 from pot",2024-04-26T17:09:21.820Z,171415136182001
"Uncalled bet of 50 returned to ""Roahppa @ MtPHp8Ur2_""",2024-04-26T17:09:21.820Z,171415136182000
"""blackmore @ 66cp5V_pBX"" folds",2024-04-26T17:09:20.937Z,171415136093706
"""Roahppa @ MtPHp8Ur2_"" posts a big blind of 100",2024-04-26T17:09:20.937Z,171415136093705
"""blackmore @ 66cp5V_pBX"" posts a small blind of 50",2024-04-26T17:09:20.937Z,171415136093704
"Player stacks: #5 ""Roahppa @ MtPHp8Ur2_"" (7931) | #8 ""blackmore @ 66cp5V_pBX"" (69)",2024-04-26T17:09:20.937Z,171415136093701
"-- starting hand #35 (id: 0nnbrt0dvivl)  (No Limit Texas Hold'em) (dealer: ""blackmore @ 66cp5V_pBX"") --",2024-04-26T17:09:20.937Z,171415136093700
"-- ending hand #34 --",2024-04-26T17:09:18.020Z,171415135802002
"""Roahppa @ MtPHp8Ur2_"" collected 200 from pot",2024-04-26T17:09:18.020Z,171415135802001
"Uncalled bet of 69 returned to ""Roahppa @ MtPHp8Ur2_""",2024-04-26T17:09:18.020Z,171415135802000
"""blackmore @ 66cp5V_pBX"" folds",2024-04-26T17:09:17.205Z,171415135720500
"""Roahppa @ MtPHp8Ur2_"" raises to 169",2024-04-26T17:09:16.390Z,171415135639000
"""blackmore @ 66cp5V_pBX"" posts a big blind of 100",2024-04-26T17:09:14.189Z,171415135418905
"""Roahppa @ MtPHp8Ur2_"" posts a small blind of 50",2024-04-26T17:09:14.189Z,171415135418904
"Player stacks: #5 ""Roahppa @ MtPHp8Ur2_"" (7831) | #8 ""blackmore @ 66cp5V_pBX"" (169)",2024-04-26T17:09:14.189Z,171415135418901
"-- starting hand #34 (id: rjzn4daffswp)  (No Limit Texas Hold'em) (dealer: ""Roahppa @ MtPHp8Ur2_"") --",2024-04-26T17:09:14.189Z,171415135418900
"-- ending hand #33 --",2024-04-26T17:09:11.284Z,171415135128402
"""Roahppa @ MtPHp8Ur2_"" collected 100 from pot",2024-04-26T17:09:11.284Z,171415135128401
"Uncalled bet of 50 returned to ""Roahppa @ MtPHp8Ur2_""",2024-04-26T17:09:11.284Z,171415135128400
"""blackmore @ 66cp5V_pBX"" folds",2024-04-26T17:09:10.469Z,171415135046907
"""Roahppa @ MtPHp8Ur2_"" posts a big blind of 100",2024-04-26T17:09:10.469Z,171415135046906
"""blackmore @ 66cp5V_pBX"" posts a small blind of 50",2024-04-26T17:09:10.469Z,171415135046905
"Player stacks: #5 ""Roahppa @ MtPHp8Ur2_"" (7781) | #8 ""blackmore @ 66cp5V_pBX"" (219)",2024-04-26T17:09:10.469Z,171415135046902
"-- starting hand #33 (id: x0hsjhuzcohf)  (No Limit Texas Hold'em) (dealer: ""blackmore @ 66cp5V_pBX"") --",2024-04-26T17:09:10.469Z,171415135046901
"The player ""Pepsi @ F-7ZqwXZ_u"" quits the game with a stack of 0.",2024-04-26T17:09:10.469Z,171415135046900
"-- ending hand #32 --",2024-04-26T17:09:04.423Z,171415134442301
