entry,at,order
"The player ""creepyarcher @ _cw-_HfGvT"" quits the game with a stack of 7000.",2024-04-17T21:13:37.511Z,171338841751100
"The player ""jexx @ AetKKF8swd"" quits the game with a stack of 0.",2024-04-17T21:08:04.836Z,171338808483600
"-- ending hand #59 --",2024-04-17T21:07:58.834Z,171338807883403
"""jexx @ AetKKF8swd"" shows a A♦, 3♦.",2024-04-17T21:07:58.834Z,171338807883402
"""creepyarcher @ _cw-_HfGvT"" collected 4400 from pot with Two Pair, 9's & 8's (combination: 9♦, 9♥, 8♣, 8♥, K♠)",2024-04-17T21:07:58.834Z,171338807883401
"""creepyarcher @ _cw-_HfGvT"" shows a 8♣, 8♥.",2024-04-17T21:07:58.834Z,171338807883400
"""creepyarcher @ _cw-_HfGvT"" calls 700",2024-04-17T21:07:58.009Z,171338807800900
"""jexx @ AetKKF8swd"" bets 700 and go all in",2024-04-17T21:07:56.687Z,171338807668700
"River: 9♦, 9♥, Q♣, K♠ [3♠]",2024-04-17T21:07:52.630Z,171338807263000
"""creepyarcher @ _cw-_HfGvT"" checks",2024-04-17T21:07:51.808Z,171338807180800
"""jexx @ AetKKF8swd"" checks",2024-04-17T21:07:49.906Z,171338806990600
"Turn: 9♦, 9♥, Q♣ [K♠]",2024-04-17T21:07:46.663Z,171338806666300
"""creepyarcher @ _cw-_HfGvT"" calls 500",2024-04-17T21:07:45.826Z,171338806582600
"""jexx @ AetKKF8swd"" bets 500",2024-04-17T21:07:44.515Z,171338806451500
"Flop:  [9♦, 9♥, Q♣]",2024-04-17T21:07:39.546Z,171338805954600
"""creepyarcher @ _cw-_HfGvT"" calls 1000",2024-04-17T21:07:38.693Z,171338805869300
"""jexx @ AetKKF8swd"" raises to 1000",2024-04-17T21:07:37.361Z,171338805736100
"""creepyarcher @ _cw-_HfGvT"" calls 500",2024-04-17T21:07:33.373Z,171338805337300
"""jexx @ AetKKF8swd"" posts a big blind of 500",2024-04-17T21:07:30.599Z,171338805059905
"""creepyarcher @ _cw-_HfGvT"" posts a small blind of 250",2024-04-17T21:07:30.599Z,171338805059904
"Player stacks: #2 ""jexx @ AetKKF8swd"" (2200) | #7 ""creepyarcher @ _cw-_HfGvT"" (4800)",2024-04-17T21:07:30.599Z,171338805059901
"-- starting hand #59 (id: xt1pgukxpfoq)  (No Limit Texas Hold'em) (dealer: ""creepyarcher @ _cw-_HfGvT"") --",2024-04-17T21:07:30.599Z,171338805059900
"-- ending hand #58 --",2024-04-17T21:07:27.668Z,171338804766802
"""creepyarcher @ _cw-_HfGvT"" collected 1000 from pot",2024-04-17T21:07:27.668Z,171338804766801
"Uncalled bet of 500 returned to ""creepyarcher @ _cw-_HfGvT""",2024-04-17T21:07:27.668Z,171338804766800
"""jexx @ AetKKF8swd"" folds",2024-04-17T21:07:26.847Z,171338804684700
"""creepyarcher @ _cw-_HfGvT"" bets 500",2024-04-17T21:07:25.227Z,171338804522700
"Flop:  [3♠, A♠, J♥]",2024-04-17T21:07:23.136Z,171338804313600
"""creepyarcher @ _cw-_HfGvT"" checks",2024-04-17T21:07:22.265Z,171338804226500
"""jexx @ AetKKF8swd"" calls 500",2024-04-17T21:07:18.633Z,171338803863300
"""creepyarcher @ _cw-_HfGvT"" posts a big blind of 500",2024-04-17T21:07:15.721Z,171338803572105
"""jexx @ AetKKF8swd"" posts a small blind of 250",2024-04-17T21:07:15.721Z,171338803572104
"Player stacks: #2 ""jexx @ AetKKF8swd"" (2700) | #7 ""creepyarcher @ _cw-_HfGvT"" (4300)",2024-04-17T21:07:15.721Z,171338803572101
"-- starting hand #58 (id: 9iciogcl0zqp)  (No Limit Texas Hold'em) (dealer: ""jexx @ AetKKF8swd"") --",2024-04-17T21:07:15.721Z,171338803572100
"-- ending hand #57 --",2024-04-17T21:07:12.777Z,171338803277702
"""jexx @ AetKKF8swd"" collected 1000 from pot",2024-04-17T21:07:12.777Z,171338803277701
"Uncalled bet of 500 returned to ""jexx @ AetKKF8swd""",2024-04-17T21:07:12.777Z,171338803277700
"""creepyarcher @ _cw-_HfGvT"" folds",2024-04-17T21:07:11.921Z,171338803192100
"""jexx @ AetKKF8swd"" bets 500",2024-04-17T21:07:09.568Z,171338802956800
"Flop:  [10♦, K♠, 5♣]",2024-04-17T21:07:04.973Z,171338802497300
"""jexx @ AetKKF8swd"" checks",2024-04-17T21:07:04.164Z,171338802416400
"""creepyarcher @ _cw-_HfGvT"" calls 500",2024-04-17T21:07:01.769Z,171338802176900
"""jexx @ AetKKF8swd"" posts a big blind of 500",2024-04-17T21:06:59.755Z,171338801975505
"""creepyarcher @ _cw-_HfGvT"" posts a small blind of 250",2024-04-17T21:06:59.755Z,171338801975504
"Player stacks: #2 ""jexx @ AetKKF8swd"" (2200) | #7 ""creepyarcher @ _cw-_HfGvT"" (4800)",2024-04-17T21:06:59.755Z,171338801975501
"-- starting hand #57 (id: p00y7ymdnspm)  (No Limit Texas Hold'em) (dealer: ""creepyarcher @ _cw-_HfGvT"") --",2024-04-17T21:06:59.755Z,171338801975500
"""jexx @ AetKKF8swd"" shows a 3♠, 4♣.",2024-04-17T21:06:58.088Z,171338801808800
"""creepyarcher @ _cw-_HfGvT"" shows a 4♦, 2♠.",2024-04-17T21:06:56.330Z,171338801633000
"-- ending hand #56 --",2024-04-17T21:06:55.427Z,171338801542702
"""creepyarcher @ _cw-_HfGvT"" collected 500 from pot",2024-04-17T21:06:55.427Z,171338801542701
"Uncalled bet of 250 returned to ""creepyarcher @ _cw-_HfGvT""",2024-04-17T21:06:55.427Z,171338801542700
"""jexx @ AetKKF8swd"" folds",2024-04-17T21:06:54.618Z,171338801461800
"""creepyarcher @ _cw-_HfGvT"" posts a big blind of 500",2024-04-17T21:06:47.765Z,171338800776505
"""jexx @ AetKKF8swd"" posts a small blind of 250",2024-04-17T21:06:47.765Z,171338800776504
"Player stacks: #2 ""jexx @ AetKKF8swd"" (2450) | #7 ""creepyarcher @ _cw-_HfGvT"" (4550)",2024-04-17T21:06:47.765Z,171338800776501
"-- starting hand #56 (id: i3ppztt7q0jp)  (No Limit Texas Hold'em) (dealer: ""jexx @ AetKKF8swd"") --",2024-04-17T21:06:47.765Z,171338800776500
"-- ending hand #55 --",2024-04-17T21:06:44.821Z,171338800482102
"""jexx @ AetKKF8swd"" collected 500 from pot",2024-04-17T21:06:44.821Z,171338800482101
