entry,at,order
"The player ""Eli. @ iYhHDMhMTQ"" quits the game with a stack of 8000.",2024-04-26T19:12:05.985Z,171415872598500
"The player ""Ballsinmouf @ BGP_sDRVIL"" quits the game with a stack of 0.",2024-04-26T19:08:30.547Z,171415851054700
"-- ending hand #56 --",2024-04-26T19:08:24.541Z,171415850454101
"""Eli. @ iYhHDMhMTQ"" collected 7322 from pot with Three of a Kind, K's (combination: K♦, K♥, K♣, A♥, 8♥)",2024-04-26T19:08:24.541Z,171415850454100
"River: 8♥, 6♦, K♣, 4♦ [A♥]",2024-04-26T19:08:20.535Z,171415850053500
"Turn: 8♥, 6♦, K♣ [4♦]",2024-04-26T19:08:16.480Z,171415849648000
"Flop:  [8♥, 6♦, K♣]",2024-04-26T19:08:12.453Z,171415849245300
"""Eli. @ iYhHDMhMTQ"" shows a K♦, K♥.",2024-04-26T19:08:08.440Z,171415848844001
"""Ballsinmouf @ BGP_sDRVIL"" shows a Q♥, 2♥.",2024-04-26T19:08:08.440Z,171415848844000
"""Ballsinmouf @ BGP_sDRVIL"" calls 3661 and go all in",2024-04-26T19:08:07.588Z,171415848758800
"""Eli. @ iYhHDMhMTQ"" raises to 3661",2024-04-26T19:08:05.783Z,171415848578300
"""Ballsinmouf @ BGP_sDRVIL"" posts a big blind of 200",2024-04-26T19:08:01.848Z,171415848184805
"""Eli. @ iYhHDMhMTQ"" posts a small blind of 100",2024-04-26T19:08:01.848Z,171415848184804
"Player stacks: #1 ""Ballsinmouf @ BGP_sDRVIL"" (3661) | #2 ""Eli. @ iYhHDMhMTQ"" (4339)",2024-04-26T19:08:01.848Z,171415848184801
"-- starting hand #56 (id: 9lymzgg2xx7l)  (No Limit Texas Hold'em) (dealer: ""Eli. @ iYhHDMhMTQ"") --",2024-04-26T19:08:01.848Z,171415848184800
"""Ballsinmouf @ BGP_sDRVIL"" shows a 10♦, 8♠.",2024-04-26T19:07:58.470Z,171415847847000
"-- ending hand #55 --",2024-04-26T19:07:58.232Z,171415847823202
"""Eli. @ iYhHDMhMTQ"" collected 200 from pot",2024-04-26T19:07:58.232Z,171415847823201
"Uncalled bet of 100 returned to ""Eli. @ iYhHDMhMTQ""",2024-04-26T19:07:58.232Z,171415847823200
"""Ballsinmouf @ BGP_sDRVIL"" folds",2024-04-26T19:07:57.404Z,171415847740400
"""Eli. @ iYhHDMhMTQ"" posts a big blind of 200",2024-04-26T19:07:42.381Z,171415846238105
"""Ballsinmouf @ BGP_sDRVIL"" posts a small blind of 100",2024-04-26T19:07:42.381Z,171415846238104
"Player stacks: #1 ""Ballsinmouf @ BGP_sDRVIL"" (3761) | #2 ""Eli. @ iYhHDMhMTQ"" (4239)",2024-04-26T19:07:42.381Z,171415846238101
"-- starting hand #55 (id: h4hvm3a0yhzd)  (No Limit Texas Hold'em) (dealer: ""Ballsinmouf @ BGP_sDRVIL"") --",2024-04-26T19:07:42.381Z,171415846238100
"-- ending hand #54 --",2024-04-26T19:07:39.455Z,171415845945502
"""Eli. @ iYhHDMhMTQ"" collected 400 from pot",2024-04-26T19:07:39.455Z,171415845945501
"Uncalled bet of 3761 returned to ""Eli. @ iYhHDMhMTQ""",2024-04-26T19:07:39.455Z,171415845945500
"""Ballsinmouf @ BGP_sDRVIL"" folds",2024-04-26T19:07:38.621Z,171415845862100
"""Eli. @ iYhHDMhMTQ"" raises to 3961",2024-04-26T19:07:37.280Z,171415845728000
"""Ballsinmouf @ BGP_sDRVIL"" posts a big blind of 200",2024-04-26T19:07:33.450Z,171415845345005
"""Eli. @ iYhHDMhMTQ"" posts a small blind of 100",2024-04-26T19:07:33.450Z,171415845345004
"Player stacks: #1 ""Ballsinmouf @ BGP_sDRVIL"" (3961) | #2 ""Eli. @ iYhHDMhMTQ"" (4039)",2024-04-26T19:07:33.450Z,171415845345001
"-- starting hand #54 (id: ewkbpdnshyoo)  (No Limit Texas Hold'em) (dealer: ""Eli. @ iYhHDMhMTQ"") --",2024-04-26T19:07:33.450Z,171415845345000
"-- ending hand #53 --",2024-04-26T19:07:30.500Z,171415845050002
"""Eli. @ iYhHDMhMTQ"" collected 200 from pot",2024-04-26T19:07:30.500Z,171415845050001
"Uncalled bet of 100 returned to ""Eli. @ iYhHDMhMTQ""",2024-04-26T19:07:30.500Z,171415845050000
"""Ballsinmouf @ BGP_sDRVIL"" folds",2024-04-26T19:07:29.675Z,171415844967500
"""Eli. @ iYhHDMhMTQ"" posts a big blind of 200",2024-04-26T19:07:28.450Z,171415844845005
"""Ballsinmouf @ BGP_sDRVIL"" posts a small blind of 100",2024-04-26T19:07:28.450Z,171415844845004
"Player stacks: #1 ""Ballsinmouf @ BGP_sDRVIL"" (4061) | #2 ""Eli. @ iYhHDMhMTQ"" (3939)",2024-04-26T19:07:28.450Z,171415844845001
"-- starting hand #53 (id: fdohl24sawey)  (No Limit Texas Hold'em) (dealer: ""Ballsinmouf @ BGP_sDRVIL"") --",2024-04-26T19:07:28.450Z,171415844845000
"-- ending hand #52 --",2024-04-26T19:07:25.448Z,171415844544802
