entry,at,order
"The player ""Wiinter @ t22Avs3dKq"" quits the game with a stack of 8000.",2024-04-26T18:13:31.187Z,171415521118700
"The player ""ST3 @ aJZ3vChrDp"" quits the game with a stack of 0.",2024-04-26T18:07:41.089Z,171415486108900
"-- ending hand #45 --",2024-04-26T18:07:35.069Z,171415485506901
"""Wiinter @ t22Avs3dKq"" collected 2820 from pot with Full House, 7's over 10's (combination: 7♦, 7♠, 7♣, 10♥, 10♣)",2024-04-26T18:07:35.069Z,171415485506900
"River: 10♥, 8♥, Q♠, 10♣ [7♣]",2024-04-26T18:07:31.063Z,171415485106300
"Turn: 10♥, 8♥, Q♠ [10♣]",2024-04-26T18:07:27.048Z,171415484704800
"Flop:  [10♥, 8♥, Q♠]",2024-04-26T18:07:23.030Z,171415484303000
"""ST3 @ aJZ3vChrDp"" shows a 10♠, K♥.",2024-04-26T18:07:19.026Z,171415483902601
"""Wiinter @ t22Avs3dKq"" shows a 7♦, 7♠.",2024-04-26T18:07:19.026Z,171415483902600
"""Wiinter @ t22Avs3dKq"" calls 1410",2024-04-26T18:07:18.201Z,171415483820100
"""ST3 @ aJZ3vChrDp"" raises to 1410 and go all in",2024-04-26T18:07:16.430Z,171415483643000
"""Wiinter @ t22Avs3dKq"" calls 300",2024-04-26T18:07:13.319Z,171415483331900
"""ST3 @ aJZ3vChrDp"" posts a big blind of 300",2024-04-26T18:07:11.731Z,171415483173107
"""Wiinter @ t22Avs3dKq"" posts a small blind of 150",2024-04-26T18:07:11.731Z,171415483173106
"Player stacks: #2 ""Wiinter @ t22Avs3dKq"" (6590) | #3 ""ST3 @ aJZ3vChrDp"" (1410)",2024-04-26T18:07:11.731Z,171415483173103
"-- starting hand #45 (id: 84vrjts8xs2c)  (No Limit Texas Hold'em) (dealer: ""Wiinter @ t22Avs3dKq"") --",2024-04-26T18:07:11.731Z,171415483173102
"The game's big blind was changed from 200 to 300.",2024-04-26T18:07:11.731Z,171415483173101
"The game's small blind was changed from 100 to 150.",2024-04-26T18:07:11.731Z,171415483173100
"-- ending hand #44 --",2024-04-26T18:07:08.776Z,171415482877602
"""Wiinter @ t22Avs3dKq"" collected 200 from pot",2024-04-26T18:07:08.776Z,171415482877601
"Uncalled bet of 100 returned to ""Wiinter @ t22Avs3dKq""",2024-04-26T18:07:08.776Z,171415482877600
"""ST3 @ aJZ3vChrDp"" folds",2024-04-26T18:07:07.933Z,171415482793300
"""Wiinter @ t22Avs3dKq"" posts a big blind of 200",2024-04-26T18:07:06.069Z,171415482606905
"""ST3 @ aJZ3vChrDp"" posts a small blind of 100",2024-04-26T18:07:06.069Z,171415482606904
"Player stacks: #2 ""Wiinter @ t22Avs3dKq"" (6490) | #3 ""ST3 @ aJZ3vChrDp"" (1510)",2024-04-26T18:07:06.069Z,171415482606901
"-- starting hand #44 (id: df18qu5pc3ai)  (No Limit Texas Hold'em) (dealer: ""ST3 @ aJZ3vChrDp"") --",2024-04-26T18:07:06.069Z,171415482606900
"-- ending hand #43 --",2024-04-26T18:07:03.129Z,171415482312902
"""Wiinter @ t22Avs3dKq"" collected 400 from pot",2024-04-26T18:07:03.129Z,171415482312901
"Uncalled bet of 200 returned to ""Wiinter @ t22Avs3dKq""",2024-04-26T18:07:03.129Z,171415482312900
"""ST3 @ aJZ3vChrDp"" folds",2024-04-26T18:07:02.277Z,171415482227700
"""Wiinter @ t22Avs3dKq"" bets 200",2024-04-26T18:06:57.300Z,171415481730000
"""ST3 @ aJZ3vChrDp"" checks",2024-04-26T18:06:55.957Z,171415481595700
"Flop:  [J♦, K♣, 10♦]",2024-04-26T18:06:53.758Z,171415481375800
"""ST3 @ aJZ3vChrDp"" checks",2024-04-26T18:06:52.949Z,171415481294900
"""Wiinter @ t22Avs3dKq"" calls 200",2024-04-26T18:06:51.463Z,171415481146300
"""ST3 @ aJZ3vChrDp"" posts a big blind of 200",2024-04-26T18:06:49.718Z,171415480971805
"""Wiinter @ t22Avs3dKq"" posts a small blind of 100",2024-04-26T18:06:49.718Z,171415480971804
"Player stacks: #2 ""Wiinter @ t22Avs3dKq"" (6290) | #3 ""ST3 @ aJZ3vChrDp"" (1710)",2024-04-26T18:06:49.718Z,171415480971801
"-- starting hand #43 (id: 9apkljuky1wa)  (No Limit Texas Hold'em) (dealer: ""Wiinter @ t22Avs3dKq"") --",2024-04-26T18:06:49.718Z,171415480971800
"-- ending hand #42 --",2024-04-26T18:06:43.713Z,171415480371302
"""Wiinter @ t22Avs3dKq"" collected 2000 from pot with Two Pair, K's & 5's (combination: K♦, K♣, 5♣, 5♥, 10♣)",2024-04-26T18:06:43.713Z,171415480371301
"""Wiinter @ t22Avs3dKq"" shows a K♦, K♣.",2024-04-26T18:06:43.713Z,171415480371300
"""ST3 @ aJZ3vChrDp"" calls 200",2024-04-26T18:06:42.848Z,171415480284800
