entry,at,order
"The player ""ObiAceKenobi @ vvVIrimzYv"" quits the game with a stack of 8000.",2024-04-17T21:51:41.031Z,171339070103100
"The player ""brosario @ eTg6K_Fhqa"" quits the game with a stack of 0.",2024-04-17T21:46:16.674Z,171339037667400
"-- ending hand #55 --",2024-04-17T21:46:10.671Z,171339037067101
"""ObiAceKenobi @ vvVIrimzYv"" collected 5540 from pot with Straight, 5 High (combination: 5♣, 4♠, 3♥, 2♠, A♣)",2024-04-17T21:46:10.671Z,171339037067100
"River: 2♠, K♥, 4♣, 3♥ [A♣]",2024-04-17T21:46:06.667Z,171339036666700
"Turn: 2♠, K♥, 4♣ [3♥]",2024-04-17T21:46:02.604Z,171339036260400
"Flop:  [2♠, K♥, 4♣]",2024-04-17T21:45:58.597Z,171339035859700
"""ObiAceKenobi @ vvVIrimzYv"" shows a 5♣, 4♠.",2024-04-17T21:45:54.584Z,171339035458401
"""brosario @ eTg6K_Fhqa"" shows a J♠, 6♠.",2024-04-17T21:45:54.584Z,171339035458400
"""brosario @ eTg6K_Fhqa"" calls 2770 and go all in",2024-04-17T21:45:53.744Z,171339035374400
"""ObiAceKenobi @ vvVIrimzYv"" raises to 2770",2024-04-17T21:45:52.319Z,171339035231900
"""brosario @ eTg6K_Fhqa"" calls 300",2024-04-17T21:45:50.325Z,171339035032500
"""ObiAceKenobi @ vvVIrimzYv"" posts a big blind of 300",2024-04-17T21:45:48.374Z,171339034837405
"""brosario @ eTg6K_Fhqa"" posts a small blind of 150",2024-04-17T21:45:48.374Z,171339034837404
"Player stacks: #2 ""brosario @ eTg6K_Fhqa"" (2770) | #5 ""ObiAceKenobi @ vvVIrimzYv"" (5230)",2024-04-17T21:45:48.374Z,171339034837401
"-- starting hand #55 (id: bkj9ult2vhmy)  (No Limit Texas Hold'em) (dealer: ""brosario @ eTg6K_Fhqa"") --",2024-04-17T21:45:48.374Z,171339034837400
"-- ending hand #54 --",2024-04-17T21:45:45.446Z,171339034544602
"""ObiAceKenobi @ vvVIrimzYv"" collected 600 from pot",2024-04-17T21:45:45.446Z,171339034544601
