entry,at,order
"The player ""Pumpkineater69 @ B4pEZB-R0t"" quits the game with a stack of 8000.",2024-04-26T20:32:50.851Z,171416357085100
"The player ""Homer2000 @ 1F3eQeBdJg"" quits the game with a stack of 0.",2024-04-26T20:26:50.714Z,171416321071400
"-- ending hand #41 --",2024-04-26T20:26:44.706Z,171416320470601
"""Pumpkineater69 @ B4pEZB-R0t"" collected 1530 from pot with Two Pair, Q's & 10's (combination: Q♠, Q♦, 10♠, 10♣, J♥)",2024-04-26T20:26:44.706Z,171416320470600
"River: 2♠, J♥, 10♣, Q♦ [4♠]",2024-04-26T20:26:40.682Z,171416320068200
"Turn: 2♠, J♥, 10♣ [Q♦]",2024-04-26T20:26:36.672Z,171416319667200
"Flop:  [2♠, J♥, 10♣]",2024-04-26T20:26:32.623Z,171416319262300
"""Homer2000 @ 1F3eQeBdJg"" shows a 5♣, A♦.",2024-04-26T20:26:28.618Z,171416318861801
"""Pumpkineater69 @ B4pEZB-R0t"" shows a 10♠, Q♠.",2024-04-26T20:26:28.618Z,171416318861800
"""Pumpkineater69 @ B4pEZB-R0t"" calls 765",2024-04-26T20:26:27.788Z,171416318778800
"""Homer2000 @ 1F3eQeBdJg"" raises to 765 and go all in",2024-04-26T20:26:18.575Z,171416317857500
"""Pumpkineater69 @ B4pEZB-R0t"" raises to 400",2024-04-26T20:26:14.069Z,171416317406900
"""Homer2000 @ 1F3eQeBdJg"" posts a big blind of 200",2024-04-26T20:26:07.940Z,171416316794005
"""Pumpkineater69 @ B4pEZB-R0t"" posts a small blind of 100",2024-04-26T20:26:07.940Z,171416316794004
"Player stacks: #6 ""Pumpkineater69 @ B4pEZB-R0t"" (7235) | #7 ""Homer2000 @ 1F3eQeBdJg"" (765)",2024-04-26T20:26:07.940Z,171416316794001
"-- starting hand #41 (id: oiwmdoegnnsw)  (No Limit Texas Hold'em) (dealer: ""Pumpkineater69 @ B4pEZB-R0t"") --",2024-04-26T20:26:07.940Z,171416316794000
"""Homer2000 @ 1F3eQeBdJg"" shows a J♠, 3♠.",2024-04-26T20:26:05.954Z,171416316595400
"""Pumpkineater69 @ B4pEZB-R0t"" shows a 6♠, 6♣.",2024-04-26T20:26:04.268Z,171416316426800
"-- ending hand #40 --",2024-04-26T20:26:03.540Z,171416316354002
"""Pumpkineater69 @ B4pEZB-R0t"" collected 1200 from pot",2024-04-26T20:26:03.540Z,171416316354001
"Uncalled bet of 200 returned to ""Pumpkineater69 @ B4pEZB-R0t""",2024-04-26T20:26:03.540Z,171416316354000
"""Homer2000 @ 1F3eQeBdJg"" folds",2024-04-26T20:26:02.728Z,171416316272800
"""Pumpkineater69 @ B4pEZB-R0t"" bets 200",2024-04-26T20:26:01.026Z,171416316102600
"Flop:  [9♦, Q♠, 3♣]",2024-04-26T20:25:53.868Z,171416315386800
"""Homer2000 @ 1F3eQeBdJg"" calls 600",2024-04-26T20:25:53.025Z,171416315302500
"""Pumpkineater69 @ B4pEZB-R0t"" raises to 600",2024-04-26T20:25:42.691Z,171416314269100
"""Homer2000 @ 1F3eQeBdJg"" calls 200",2024-04-26T20:25:35.400Z,171416313540000
"""Pumpkineater69 @ B4pEZB-R0t"" posts a big blind of 200",2024-04-26T20:25:32.329Z,171416313232905
"""Homer2000 @ 1F3eQeBdJg"" posts a small blind of 100",2024-04-26T20:25:32.329Z,171416313232904
"Player stacks: #6 ""Pumpkineater69 @ B4pEZB-R0t"" (6635) | #7 ""Homer2000 @ 1F3eQeBdJg"" (1365)",2024-04-26T20:25:32.329Z,171416313232901
"-- starting hand #40 (id: n4gen6fy32us)  (No Limit Texas Hold'em) (dealer: ""Homer2000 @ 1F3eQeBdJg"") --",2024-04-26T20:25:32.329Z,171416313232900
