entry,at,order
"""27 good @ bXK4Qa9INg"" folds",2023-12-30T05:25:48.894Z,170391394889400
"""E.a.s.t.™ @ bndlHwVoWU"" posts a big blind of 150",2023-12-30T05:25:45.887Z,170391394588708
"""r7ch @ aGGTZD9F1c"" posts a small blind of 75",2023-12-30T05:25:45.887Z,170391394588707
"Player stacks: #2 ""r7ch @ aGGTZD9F1c"" (3508) | #3 ""E.a.s.t.™ @ bndlHwVoWU"" (1006) | #4 ""27 good @ bXK4Qa9INg"" (1005) | #8 ""prez.pat @ SLvL3JKg-6"" (2481)",2023-12-30T05:25:45.887Z,170391394588702
"-- starting hand #25 (id: dygaworhkyy3)  (No Limit Texas Hold'em) (dealer: ""prez.pat @ SLvL3JKg-6"") --",2023-12-30T05:25:45.887Z,170391394588701
"The player ""smashthategg @ nL7UOwiHi4"" quits the game with a stack of 0.",2023-12-30T05:25:45.887Z,170391394588700
"""prez.pat @ SLvL3JKg-6"" shows a 9♥, 7♠.",2023-12-30T05:25:41.235Z,170391394123500
"-- ending hand #24 --",2023-12-30T05:25:39.362Z,170391393936201
"""r7ch @ aGGTZD9F1c"" collected 1095 from pot with Pair, 7's (combination: 7♥, 7♣, A♥, K♣, 6♥)",2023-12-30T05:25:39.362Z,170391393936200
"River: 3♦, 7♥, 6♥, 5♥ [7♣]",2023-12-30T05:25:35.281Z,170391393528100
"Turn: 3♦, 7♥, 6♥ [5♥]",2023-12-30T05:25:31.272Z,170391393127200
"""smashthategg @ nL7UOwiHi4"" shows a 9♠, A♣.",2023-12-30T05:25:27.199Z,170391392719901
"""r7ch @ aGGTZD9F1c"" shows a A♥, K♣.",2023-12-30T05:25:27.199Z,170391392719900
"""r7ch @ aGGTZD9F1c"" calls 10",2023-12-30T05:25:26.368Z,170391392636800
"""smashthategg @ nL7UOwiHi4"" bets 10 and go all in",2023-12-30T05:25:23.523Z,170391392352300
"""r7ch @ aGGTZD9F1c"" checks",2023-12-30T05:25:20.533Z,170391392053300
"Flop:  [3♦, 7♥, 6♥]",2023-12-30T05:25:14.720Z,170391391472000
"""r7ch @ aGGTZD9F1c"" calls 500",2023-12-30T05:25:13.865Z,170391391386500
"""prez.pat @ SLvL3JKg-6"" folds",2023-12-30T05:25:12.920Z,170391391292000
"""smashthategg @ nL7UOwiHi4"" raises to 500",2023-12-30T05:24:58.808Z,170391389880800
"""27 good @ bXK4Qa9INg"" folds",2023-12-30T05:24:56.826Z,170391389682600
"""E.a.s.t.™ @ bndlHwVoWU"" folds",2023-12-30T05:24:53.880Z,170391389388000
"""r7ch @ aGGTZD9F1c"" posts a big blind of 150",2023-12-30T05:24:49.553Z,170391388955308
"""prez.pat @ SLvL3JKg-6"" posts a small blind of 75",2023-12-30T05:24:49.553Z,170391388955307
"Your hand is 9♠, A♣",2023-12-30T05:24:49.553Z,170391388955305
"Player stacks: #2 ""r7ch @ aGGTZD9F1c"" (2923) | #3 ""E.a.s.t.™ @ bndlHwVoWU"" (1006) | #4 ""27 good @ bXK4Qa9INg"" (1005) | #7 ""smashthategg @ nL7UOwiHi4"" (510) | #8 ""prez.pat @ SLvL3JKg-6"" (2556)",2023-12-30T05:24:49.553Z,170391388955301
"-- starting hand #24 (id: xnaoxctcpqnd)  (No Limit Texas Hold'em) (dealer: ""smashthategg @ nL7UOwiHi4"") --",2023-12-30T05:24:49.553Z,170391388955300
"-- ending hand #23 --",2023-12-30T05:24:43.483Z,170391388348301
"""27 good @ bXK4Qa9INg"" collected 1005 from pot with Three of a Kind, 7's (combination: 7♠, 7♥, 7♦, A♠, K♣)",2023-12-30T05:24:43.483Z,170391388348300
"River: A♠, K♣, 7♥, 6♣ [7♦]",2023-12-30T05:24:39.472Z,170391387947200
"Turn: A♠, K♣, 7♥ [6♣]",2023-12-30T05:24:35.462Z,170391387546200
"Flop:  [A♠, K♣, 7♥]",2023-12-30T05:24:31.422Z,170391387142200
