entry,at,order
"The player ""Vito23 @ zL8PVFNWfv"" quits the game with a stack of 7160.",2024-04-17T20:13:09.042Z,171338478904200
"The player ""cliffmafe @ Euu9xO9oqu"" quits the game with a stack of 0.",2024-04-17T20:07:14.967Z,171338443496700
"-- ending hand #39 --",2024-04-17T20:07:08.960Z,171338442896001
"""Vito23 @ zL8PVFNWfv"" collected 6500 from pot with Flush, As High (combination: A♠, 9♠, 7♠, 4♠, 2♠)",2024-04-17T20:07:08.960Z,171338442896000
"River: 9♠, 7♠, 9♥, Q♣ [2♠]",2024-04-17T20:07:04.903Z,171338442490300
"Turn: 9♠, 7♠, 9♥ [Q♣]",2024-04-17T20:07:00.892Z,171338442089200
"Flop:  [9♠, 7♠, 9♥]",2024-04-17T20:06:56.870Z,171338441687000
"""cliffmafe @ Euu9xO9oqu"" shows a 8♠, Q♠.",2024-04-17T20:06:52.868Z,171338441286801
"""Vito23 @ zL8PVFNWfv"" shows a 4♠, A♠.",2024-04-17T20:06:52.868Z,171338441286800
"""Vito23 @ zL8PVFNWfv"" calls 3250",2024-04-17T20:06:52.035Z,171338441203500
"""cliffmafe @ Euu9xO9oqu"" raises to 3250 and go all in",2024-04-17T20:06:49.310Z,171338440931000
"""Vito23 @ zL8PVFNWfv"" raises to 500",2024-04-17T20:06:41.042Z,171338440104200
"""cliffmafe @ Euu9xO9oqu"" calls 100",2024-04-17T20:06:35.062Z,171338439506200
"""Vito23 @ zL8PVFNWfv"" posts a big blind of 100",2024-04-17T20:06:32.633Z,171338439263305
"""cliffmafe @ Euu9xO9oqu"" posts a small blind of 50",2024-04-17T20:06:32.633Z,171338439263304
"Player stacks: #2 ""Vito23 @ zL8PVFNWfv"" (3910) | #4 ""cliffmafe @ Euu9xO9oqu"" (3250)",2024-04-17T20:06:32.633Z,171338439263301
"-- starting hand #39 (id: hehkc0ophdpg)  (No Limit Texas Hold'em) (dealer: ""cliffmafe @ Euu9xO9oqu"") --",2024-04-17T20:06:32.633Z,171338439263300
"-- ending hand #38 --",2024-04-17T20:06:29.668Z,171338438966801
"""Vito23 @ zL8PVFNWfv"" collected 200 from pot",2024-04-17T20:06:29.668Z,171338438966800
"""cliffmafe @ Euu9xO9oqu"" folds",2024-04-17T20:06:28.836Z,171338438883600
"Flop:  [J♠, J♣, 7♣]",2024-04-17T20:06:23.306Z,171338438330600
"""cliffmafe @ Euu9xO9oqu"" checks",2024-04-17T20:06:22.467Z,171338438246700
"""Vito23 @ zL8PVFNWfv"" calls 100",2024-04-17T20:06:20.880Z,171338438088000
"""cliffmafe @ Euu9xO9oqu"" posts a big blind of 100",2024-04-17T20:06:19.611Z,171338437961105
"""Vito23 @ zL8PVFNWfv"" posts a small blind of 50",2024-04-17T20:06:19.611Z,171338437961104
"Player stacks: #2 ""Vito23 @ zL8PVFNWfv"" (3810) | #4 ""cliffmafe @ Euu9xO9oqu"" (3350)",2024-04-17T20:06:19.611Z,171338437961101
"-- starting hand #38 (id: wj9vefv0woam)  (No Limit Texas Hold'em) (dealer: ""Vito23 @ zL8PVFNWfv"") --",2024-04-17T20:06:19.611Z,171338437961100
"-- ending hand #37 --",2024-04-17T20:06:16.644Z,171338437664402
"""Vito23 @ zL8PVFNWfv"" collected 100 from pot",2024-04-17T20:06:16.644Z,171338437664401
"Uncalled bet of 50 returned to ""Vito23 @ zL8PVFNWfv""",2024-04-17T20:06:16.644Z,171338437664400
"""cliffmafe @ Euu9xO9oqu"" folds",2024-04-17T20:06:15.824Z,171338437582400
"""Vito23 @ zL8PVFNWfv"" posts a big blind of 100",2024-04-17T20:06:13.410Z,171338437341005
"""cliffmafe @ Euu9xO9oqu"" posts a small blind of 50",2024-04-17T20:06:13.410Z,171338437341004
"Player stacks: #2 ""Vito23 @ zL8PVFNWfv"" (3760) | #4 ""cliffmafe @ Euu9xO9oqu"" (3400)",2024-04-17T20:06:13.410Z,171338437341001
"-- starting hand #37 (id: c6dsuiyrovu3)  (No Limit Texas Hold'em) (dealer: ""cliffmafe @ Euu9xO9oqu"") --",2024-04-17T20:06:13.410Z,171338437341000
"-- ending hand #36 --",2024-04-17T20:06:10.487Z,171338437048702
"""cliffmafe @ Euu9xO9oqu"" collected 200 from pot",2024-04-17T20:06:10.487Z,171338437048701
"Uncalled bet of 100 returned to ""cliffmafe @ Euu9xO9oqu""",2024-04-17T20:06:10.487Z,171338437048700
