entry,at,order
"The player ""robq94 @ ULR2Ksq9EW"" quits the game with a stack of 6040.",2024-04-26T20:33:00.853Z,171416358085300
"The player ""tanvirsmuct @ PsmMMY2E5F"" quits the game with a stack of 0.",2024-04-26T20:29:38.209Z,171416337820900
"-- ending hand #46 --",2024-04-26T20:29:32.200Z,171416337220001
"""robq94 @ ULR2Ksq9EW"" collected 1936 from pot with Two Pair, A's & 3's (combination: A♠, A♣, 3♥, 3♣, K♥)",2024-04-26T20:29:32.200Z,171416337220000
"River: 3♣, 8♦, 5♠, K♥ [A♣]",2024-04-26T20:29:28.127Z,171416336812700
"Turn: 3♣, 8♦, 5♠ [K♥]",2024-04-26T20:29:24.069Z,171416336406900
"""robq94 @ ULR2Ksq9EW"" shows a A♠, 3♥.",2024-04-26T20:29:20.061Z,171416336006101
"""tanvirsmuct @ PsmMMY2E5F"" shows a 5♦, 7♦.",2024-04-26T20:29:20.061Z,171416336006100
"""tanvirsmuct @ PsmMMY2E5F"" calls 368 and go all in",2024-04-26T20:29:19.232Z,171416335923200
"""robq94 @ ULR2Ksq9EW"" bets 368",2024-04-26T20:29:15.475Z,171416335547500
"Flop:  [3♣, 8♦, 5♠]",2024-04-26T20:29:10.052Z,171416335005200
"""tanvirsmuct @ PsmMMY2E5F"" calls 600",2024-04-26T20:29:09.242Z,171416334924200
"""robq94 @ ULR2Ksq9EW"" raises to 600",2024-04-26T20:29:06.647Z,171416334664700
"""tanvirsmuct @ PsmMMY2E5F"" calls 300",2024-04-26T20:29:02.177Z,171416334217700
"""robq94 @ ULR2Ksq9EW"" posts a big blind of 300",2024-04-26T20:28:59.294Z,171416333929407
"""tanvirsmuct @ PsmMMY2E5F"" posts a small blind of 150",2024-04-26T20:28:59.294Z,171416333929406
"Player stacks: #1 ""tanvirsmuct @ PsmMMY2E5F"" (968) | #7 ""robq94 @ ULR2Ksq9EW"" (5072)",2024-04-26T20:28:59.294Z,171416333929403
"-- starting hand #46 (id: sp1yjr1d3qfx)  (No Limit Texas Hold'em) (dealer: ""tanvirsmuct @ PsmMMY2E5F"") --",2024-04-26T20:28:59.294Z,171416333929402
"The game's big blind was changed from 200 to 300.",2024-04-26T20:28:59.294Z,171416333929401
"The game's small blind was changed from 100 to 150.",2024-04-26T20:28:59.294Z,171416333929400
"-- ending hand #45 --",2024-04-26T20:28:56.345Z,171416333634502
"""tanvirsmuct @ PsmMMY2E5F"" collected 400 from pot",2024-04-26T20:28:56.345Z,171416333634501
"Uncalled bet of 200 returned to ""tanvirsmuct @ PsmMMY2E5F""",2024-04-26T20:28:56.345Z,171416333634500
"""robq94 @ ULR2Ksq9EW"" folds",2024-04-26T20:28:55.539Z,171416333553900
"""tanvirsmuct @ PsmMMY2E5F"" bets 200",2024-04-26T20:28:54.026Z,171416333402600
"River: 4♠, 7♥, J♣, 9♥ [Q♠]",2024-04-26T20:28:50.926Z,171416333092600
"""robq94 @ ULR2Ksq9EW"" checks",2024-04-26T20:28:50.119Z,171416333011900
"""tanvirsmuct @ PsmMMY2E5F"" checks",2024-04-26T20:28:46.275Z,171416332627500
"Turn: 4♠, 7♥, J♣ [9♥]",2024-04-26T20:28:40.948Z,171416332094800
"""robq94 @ ULR2Ksq9EW"" checks",2024-04-26T20:28:40.119Z,171416332011900
"""tanvirsmuct @ PsmMMY2E5F"" checks",2024-04-26T20:28:38.118Z,171416331811800
"Flop:  [4♠, 7♥, J♣]",2024-04-26T20:28:31.100Z,171416331110000
"""tanvirsmuct @ PsmMMY2E5F"" checks",2024-04-26T20:28:30.262Z,171416331026200
"""robq94 @ ULR2Ksq9EW"" calls 200",2024-04-26T20:28:28.308Z,171416330830800
"""tanvirsmuct @ PsmMMY2E5F"" posts a big blind of 200",2024-04-26T20:28:26.182Z,171416330618205
"""robq94 @ ULR2Ksq9EW"" posts a small blind of 100",2024-04-26T20:28:26.182Z,171416330618204
