entry,at,order
"The player ""Millionbby @ uFSggHiaBl"" quits the game with a stack of 6000.",2024-04-26T16:39:57.814Z,171414959781400
"The player ""clm307 @ kg1CfxGng9"" quits the game with a stack of 0.",2024-04-26T16:33:57.613Z,171414923761300
"-- ending hand #36 --",2024-04-26T16:33:51.603Z,171414923160301
"""Millionbby @ uFSggHiaBl"" collected 5790 from pot with Full House, 4's over Q's (combination: 4♣, 4♥, 4♠, Q♣, Q♦)",2024-04-26T16:33:51.603Z,171414923160300
"River: Q♣, A♦, Q♦, 4♠ [J♣]",2024-04-26T16:33:47.599Z,171414922759900
"""clm307 @ kg1CfxGng9"" shows a Q♠, 3♦.",2024-04-26T16:33:43.593Z,171414922359301
"""Millionbby @ uFSggHiaBl"" shows a 4♣, 4♥.",2024-04-26T16:33:43.593Z,171414922359300
"""Millionbby @ uFSggHiaBl"" calls 2595",2024-04-26T16:33:42.753Z,171414922275300
"""clm307 @ kg1CfxGng9"" raises to 2595 and go all in",2024-04-26T16:33:40.570Z,171414922057000
"""Millionbby @ uFSggHiaBl"" bets 600",2024-04-26T16:33:37.266Z,171414921726600
"""clm307 @ kg1CfxGng9"" checks",2024-04-26T16:33:30.864Z,171414921086400
"Turn: Q♣, A♦, Q♦ [4♠]",2024-04-26T16:33:29.485Z,171414920948500
"""clm307 @ kg1CfxGng9"" calls 150",2024-04-26T16:33:28.670Z,171414920867000
"""Millionbby @ uFSggHiaBl"" bets 150",2024-04-26T16:33:25.191Z,171414920519100
"""clm307 @ kg1CfxGng9"" checks",2024-04-26T16:33:22.854Z,171414920285400
"Flop:  [Q♣, A♦, Q♦]",2024-04-26T16:33:20.872Z,171414920087200
"""clm307 @ kg1CfxGng9"" checks",2024-04-26T16:33:20.053Z,171414920005300
"""Millionbby @ uFSggHiaBl"" calls 150",2024-04-26T16:33:19.084Z,171414919908400
"""clm307 @ kg1CfxGng9"" posts a big blind of 150",2024-04-26T16:33:17.063Z,171414919706305
"""Millionbby @ uFSggHiaBl"" posts a small blind of 75",2024-04-26T16:33:17.063Z,171414919706304
"Player stacks: #2 ""Millionbby @ uFSggHiaBl"" (3105) | #3 ""clm307 @ kg1CfxGng9"" (2895)",2024-04-26T16:33:17.063Z,171414919706301
"-- starting hand #36 (id: jdrrst1zdx1y)  (No Limit Texas Hold'em) (dealer: ""Millionbby @ uFSggHiaBl"") --",2024-04-26T16:33:17.063Z,171414919706300
"-- ending hand #35 --",2024-04-26T16:33:14.096Z,171414919409602
"""Millionbby @ uFSggHiaBl"" collected 300 from pot",2024-04-26T16:33:14.096Z,171414919409601
"Uncalled bet of 150 returned to ""Millionbby @ uFSggHiaBl""",2024-04-26T16:33:14.096Z,171414919409600
"""clm307 @ kg1CfxGng9"" folds",2024-04-26T16:33:13.269Z,171414919326900
"""Millionbby @ uFSggHiaBl"" bets 150",2024-04-26T16:33:09.554Z,171414918955400
"Flop:  [8♦, 10♥, 8♥]",2024-04-26T16:33:06.319Z,171414918631900
"""Millionbby @ uFSggHiaBl"" checks",2024-04-26T16:33:05.513Z,171414918551300
"""clm307 @ kg1CfxGng9"" calls 150",2024-04-26T16:33:03.046Z,171414918304600
"""Millionbby @ uFSggHiaBl"" posts a big blind of 150",2024-04-26T16:33:01.624Z,171414918162405
"""clm307 @ kg1CfxGng9"" posts a small blind of 75",2024-04-26T16:33:01.624Z,171414918162404
"Player stacks: #2 ""Millionbby @ uFSggHiaBl"" (2955) | #3 ""clm307 @ kg1CfxGng9"" (3045)",2024-04-26T16:33:01.624Z,171414918162401
"-- starting hand #35 (id: 9qukddeayoao)  (No Limit Texas Hold'em) (dealer: ""clm307 @ kg1CfxGng9"") --",2024-04-26T16:33:01.624Z,171414918162400
"-- ending hand #34 --",2024-04-26T16:32:58.606Z,171414917860602
"""Millionbby @ uFSggHiaBl"" collected 300 from pot",2024-04-26T16:32:58.606Z,171414917860601
"Uncalled bet of 150 returned to ""Millionbby @ uFSggHiaBl""",2024-04-26T16:32:58.606Z,171414917860600
"""clm307 @ kg1CfxGng9"" folds",2024-04-26T16:32:57.762Z,171414917776200
"""Millionbby @ uFSggHiaBl"" bets 150",2024-04-26T16:32:53.277Z,171414917327700
"""clm307 @ kg1CfxGng9"" checks",2024-04-26T16:32:51.298Z,171414917129800
"Flop:  [2♠, J♣, Q♣]",2024-04-26T16:32:49.186Z,171414916918600
"""clm307 @ kg1CfxGng9"" checks",2024-04-26T16:32:48.278Z,171414916827800
"""Millionbby @ uFSggHiaBl"" calls 150",2024-04-26T16:32:47.210Z,171414916721000
"""clm307 @ kg1CfxGng9"" posts a big blind of 150",2024-04-26T16:32:45.585Z,171414916558505
"""Millionbby @ uFSggHiaBl"" posts a small blind of 75",2024-04-26T16:32:45.585Z,171414916558504
"Player stacks: #2 ""Millionbby @ uFSggHiaBl"" (2805) | #3 ""clm307 @ kg1CfxGng9"" (3195)",2024-04-26T16:32:45.585Z,171414916558501
"-- starting hand #34 (id: 1vqik8ryce0e)  (No Limit Texas Hold'em) (dealer: ""Millionbby @ uFSggHiaBl"") --",2024-04-26T16:32:45.585Z,171414916558500
"-- ending hand #33 --",2024-04-26T16:32:42.664Z,171414916266402
"""Millionbby @ uFSggHiaBl"" collected 150 from pot",2024-04-26T16:32:42.664Z,171414916266401
"Uncalled bet of 75 returned to ""Millionbby @ uFSggHiaBl""",2024-04-26T16:32:42.664Z,171414916266400
"""clm307 @ kg1CfxGng9"" folds",2024-04-26T16:32:41.837Z,171414916183700
"""Millionbby @ uFSggHiaBl"" posts a big blind of 150",2024-04-26T16:32:40.175Z,171414916017505
"""clm307 @ kg1CfxGng9"" posts a small blind of 75",2024-04-26T16:32:40.175Z,171414916017504
"Player stacks: #2 ""Millionbby @ uFSggHiaBl"" (2730) | #3 ""clm307 @ kg1CfxGng9"" (3270)",2024-04-26T16:32:40.175Z,171414916017501
"-- starting hand #33 (id: stk1pv3pqln9)  (No Limit Texas Hold'em) (dealer: ""clm307 @ kg1CfxGng9"") --",2024-04-26T16:32:40.175Z,171414916017500
