entry,at,order
"The player ""mofa224 @ T6DjGdOAqA"" quits the game with a stack of 6000.",2024-04-26T19:15:57.219Z,171415895721900
"The player ""FDLT33 @ hUrsNTPtuV"" quits the game with a stack of 0.",2024-04-26T19:11:11.185Z,171415867118500
"-- ending hand #36 --",2024-04-26T19:11:05.175Z,171415866517501
"""mofa224 @ T6DjGdOAqA"" collected 5656 from pot with Pair, 4's (combination: 4♣, 4♦, A♦, 8♣, 7♦)",2024-04-26T19:11:05.175Z,171415866517500
"River: 2♠, A♦, 8♣, 3♦ [7♦]",2024-04-26T19:11:01.161Z,171415866116100
"Turn: 2♠, A♦, 8♣ [3♦]",2024-04-26T19:10:57.153Z,171415865715300
"Flop:  [2♠, A♦, 8♣]",2024-04-26T19:10:53.148Z,171415865314800
"""mofa224 @ T6DjGdOAqA"" shows a 4♣, 4♦.",2024-04-26T19:10:49.146Z,171415864914601
"""FDLT33 @ hUrsNTPtuV"" shows a 10♣, K♦.",2024-04-26T19:10:49.146Z,171415864914600
"""FDLT33 @ hUrsNTPtuV"" calls 2828 and go all in",2024-04-26T19:10:48.330Z,171415864833000
"""mofa224 @ T6DjGdOAqA"" raises to 2828",2024-04-26T19:10:46.998Z,171415864699800
"""FDLT33 @ hUrsNTPtuV"" posts a big blind of 100",2024-04-26T19:10:45.268Z,171415864526805
"""mofa224 @ T6DjGdOAqA"" posts a small blind of 50",2024-04-26T19:10:45.268Z,171415864526804
"Player stacks: #2 ""FDLT33 @ hUrsNTPtuV"" (2828) | #5 ""mofa224 @ T6DjGdOAqA"" (3172)",2024-04-26T19:10:45.268Z,171415864526801
"-- starting hand #36 (id: e57hndq2ckg3)  (No Limit Texas Hold'em) (dealer: ""mofa224 @ T6DjGdOAqA"") --",2024-04-26T19:10:45.268Z,171415864526800
"-- ending hand #35 --",2024-04-26T19:10:39.210Z,171415863921003
"""mofa224 @ T6DjGdOAqA"" shows a J♦, Q♠.",2024-04-26T19:10:39.210Z,171415863921002
"""FDLT33 @ hUrsNTPtuV"" collected 1800 from pot with Two Pair, 5's & 2's (combination: 5♦, 5♠, 2♦, 2♣, Q♥)",2024-04-26T19:10:39.210Z,171415863921001
"""FDLT33 @ hUrsNTPtuV"" shows a 5♦, 2♦.",2024-04-26T19:10:39.210Z,171415863921000
"""FDLT33 @ hUrsNTPtuV"" calls 450",2024-04-26T19:10:38.404Z,171415863840400
"""mofa224 @ T6DjGdOAqA"" bets 450",2024-04-26T19:10:37.381Z,171415863738100
"River: 5♠, 4♠, 7♥, Q♥ [2♣]",2024-04-26T19:10:35.603Z,171415863560300
"""FDLT33 @ hUrsNTPtuV"" checks",2024-04-26T19:10:34.775Z,171415863477500
"""mofa224 @ T6DjGdOAqA"" checks",2024-04-26T19:10:33.901Z,171415863390100
"Turn: 5♠, 4♠, 7♥ [Q♥]",2024-04-26T19:10:32.001Z,171415863200100
"""mofa224 @ T6DjGdOAqA"" calls 250",2024-04-26T19:10:31.155Z,171415863115500
"""FDLT33 @ hUrsNTPtuV"" bets 250",2024-04-26T19:10:30.271Z,171415863027100
"""mofa224 @ T6DjGdOAqA"" checks",2024-04-26T19:10:27.865Z,171415862786500
"Flop:  [5♠, 4♠, 7♥]",2024-04-26T19:10:24.844Z,171415862484400
"""FDLT33 @ hUrsNTPtuV"" calls 200",2024-04-26T19:10:24.010Z,171415862401000
"""mofa224 @ T6DjGdOAqA"" raises to 200",2024-04-26T19:10:23.013Z,171415862301300
"""FDLT33 @ hUrsNTPtuV"" calls 100",2024-04-26T19:10:21.450Z,171415862145000
"""mofa224 @ T6DjGdOAqA"" posts a big blind of 100",2024-04-26T19:10:20.236Z,171415862023605
"""FDLT33 @ hUrsNTPtuV"" posts a small blind of 50",2024-04-26T19:10:20.236Z,171415862023604
"Player stacks: #2 ""FDLT33 @ hUrsNTPtuV"" (1928) | #5 ""mofa224 @ T6DjGdOAqA"" (4072)",2024-04-26T19:10:20.236Z,171415862023601
"-- starting hand #35 (id: gmgdpljgvtyr)  (No Limit Texas Hold'em) (dealer: ""FDLT33 @ hUrsNTPtuV"") --",2024-04-26T19:10:20.236Z,171415862023600
"-- ending hand #34 --",2024-04-26T19:10:17.309Z,171415861730902
"""mofa224 @ T6DjGdOAqA"" collected 200 from pot",2024-04-26T19:10:17.309Z,171415861730901
"Uncalled bet of 100 returned to ""mofa224 @ T6DjGdOAqA""",2024-04-26T19:10:17.309Z,171415861730900
"""FDLT33 @ hUrsNTPtuV"" folds",2024-04-26T19:10:16.496Z,171415861649600
"""mofa224 @ T6DjGdOAqA"" raises to 200",2024-04-26T19:10:15.607Z,171415861560700
"""FDLT33 @ hUrsNTPtuV"" posts a big blind of 100",2024-04-26T19:10:13.300Z,171415861330005
"""mofa224 @ T6DjGdOAqA"" posts a small blind of 50",2024-04-26T19:10:13.300Z,171415861330004
"Player stacks: #2 ""FDLT33 @ hUrsNTPtuV"" (2028) | #5 ""mofa224 @ T6DjGdOAqA"" (3972)",2024-04-26T19:10:13.300Z,171415861330001
"-- starting hand #34 (id: h5bbe0tt4kem)  (No Limit Texas Hold'em) (dealer: ""mofa224 @ T6DjGdOAqA"") --",2024-04-26T19:10:13.300Z,171415861330000
"-- ending hand #33 --",2024-04-26T19:10:10.377Z,171415861037702
"""mofa224 @ T6DjGdOAqA"" collected 100 from pot",2024-04-26T19:10:10.377Z,171415861037701
"Uncalled bet of 50 returned to ""mofa224 @ T6DjGdOAqA""",2024-04-26T19:10:10.377Z,171415861037700
"""FDLT33 @ hUrsNTPtuV"" folds",2024-04-26T19:10:09.557Z,171415860955700
"""mofa224 @ T6DjGdOAqA"" posts a big blind of 100",2024-04-26T19:10:08.498Z,171415860849805
"""FDLT33 @ hUrsNTPtuV"" posts a small blind of 50",2024-04-26T19:10:08.498Z,171415860849804
"Player stacks: #2 ""FDLT33 @ hUrsNTPtuV"" (2078) | #5 ""mofa224 @ T6DjGdOAqA"" (3922)",2024-04-26T19:10:08.498Z,171415860849801
"-- starting hand #33 (id: omysbpoqctyu)  (No Limit Texas Hold'em) (dealer: ""FDLT33 @ hUrsNTPtuV"") --",2024-04-26T19:10:08.498Z,171415860849800
"-- ending hand #32 --",2024-04-26T19:10:05.551Z,171415860555102
"""mofa224 @ T6DjGdOAqA"" collected 400 from pot",2024-04-26T19:10:05.551Z,171415860555101
"Uncalled bet of 400 returned to ""mofa224 @ T6DjGdOAqA""",2024-04-26T19:10:05.551Z,171415860555100
"""FDLT33 @ hUrsNTPtuV"" folds",2024-04-26T19:10:04.726Z,171415860472600
"""mofa224 @ T6DjGdOAqA"" bets 400",2024-04-26T19:10:03.760Z,171415860376000
"""FDLT33 @ hUrsNTPtuV"" checks",2024-04-26T19:10:00.943Z,171415860094300
"Flop:  [J♦, 4♠, Q♥]",2024-04-26T19:09:59.214Z,171415859921400
"""FDLT33 @ hUrsNTPtuV"" calls 200",2024-04-26T19:09:58.411Z,171415859841100
"""mofa224 @ T6DjGdOAqA"" raises to 200",2024-04-26T19:09:57.315Z,171415859731500
"""FDLT33 @ hUrsNTPtuV"" posts a big blind of 100",2024-04-26T19:09:55.610Z,171415859561005
"""mofa224 @ T6DjGdOAqA"" posts a small blind of 50",2024-04-26T19:09:55.610Z,171415859561004
"Player stacks: #2 ""FDLT33 @ hUrsNTPtuV"" (2278) | #5 ""mofa224 @ T6DjGdOAqA"" (3722)",2024-04-26T19:09:55.610Z,171415859561001
"-- starting hand #32 (id: gnf2o1rdbpmo)  (No Limit Texas Hold'em) (dealer: ""mofa224 @ T6DjGdOAqA"") --",2024-04-26T19:09:55.610Z,171415859561000
"-- ending hand #31 --",2024-04-26T19:09:52.650Z,171415859265002
"""FDLT33 @ hUrsNTPtuV"" collected 200 from pot",2024-04-26T19:09:52.650Z,171415859265001
"Uncalled bet of 250 returned to ""FDLT33 @ hUrsNTPtuV""",2024-04-26T19:09:52.650Z,171415859265000
"""mofa224 @ T6DjGdOAqA"" folds",2024-04-26T19:09:51.833Z,171415859183300
"""FDLT33 @ hUrsNTPtuV"" bets 250",2024-04-26T19:09:50.925Z,171415859092500
"""mofa224 @ T6DjGdOAqA"" checks",2024-04-26T19:09:47.716Z,171415858771600
"Flop:  [K♣, 10♥, J♥]",2024-04-26T19:09:46.239Z,171415858623900
"""mofa224 @ T6DjGdOAqA"" checks",2024-04-26T19:09:45.423Z,171415858542300
"""FDLT33 @ hUrsNTPtuV"" calls 100",2024-04-26T19:09:44.210Z,171415858421000
"""mofa224 @ T6DjGdOAqA"" posts a big blind of 100",2024-04-26T19:09:43.188Z,171415858318805
"""FDLT33 @ hUrsNTPtuV"" posts a small blind of 50",2024-04-26T19:09:43.188Z,171415858318804
"Player stacks: #2 ""FDLT33 @ hUrsNTPtuV"" (2178) | #5 ""mofa224 @ T6DjGdOAqA"" (3822)",2024-04-26T19:09:43.188Z,171415858318801
"-- starting hand #31 (id: lmshzbwvttdc)  (No Limit Texas Hold'em) (dealer: ""FDLT33 @ hUrsNTPtuV"") --",2024-04-26T19:09:43.188Z,171415858318800
"-- ending hand #30 --",2024-04-26T19:09:40.189Z,171415858018902
"""mofa224 @ T6DjGdOAqA"" collected 200 from pot",2024-04-26T19:09:40.189Z,171415858018901
"Uncalled bet of 100 returned to ""mofa224 @ T6DjGdOAqA""",2024-04-26T19:09:40.189Z,171415858018900
"""FDLT33 @ hUrsNTPtuV"" folds",2024-04-26T19:09:39.377Z,171415857937700
"""mofa224 @ T6DjGdOAqA"" raises to 200",2024-04-26T19:09:37.974Z,171415857797400
"""FDLT33 @ hUrsNTPtuV"" posts a big blind of 100",2024-04-26T19:09:36.554Z,171415857655405
"""mofa224 @ T6DjGdOAqA"" posts a small blind of 50",2024-04-26T19:09:36.554Z,171415857655404
"Player stacks: #2 ""FDLT33 @ hUrsNTPtuV"" (2278) | #5 ""mofa224 @ T6DjGdOAqA"" (3722)",2024-04-26T19:09:36.554Z,171415857655401
"-- starting hand #30 (id: mn2hrvfglaad)  (No Limit Texas Hold'em) (dealer: ""mofa224 @ T6DjGdOAqA"") --",2024-04-26T19:09:36.554Z,171415857655400
"-- ending hand #29 --",2024-04-26T19:09:33.590Z,171415857359002
"""mofa224 @ T6DjGdOAqA"" collected 200 from pot",2024-04-26T19:09:33.590Z,171415857359001
"Uncalled bet of 150 returned to ""mofa224 @ T6DjGdOAqA""",2024-04-26T19:09:33.590Z,171415857359000
"""FDLT33 @ hUrsNTPtuV"" folds",2024-04-26T19:09:32.777Z,171415857277700
"""mofa224 @ T6DjGdOAqA"" raises to 250",2024-04-26T19:09:31.624Z,171415857162400
"""FDLT33 @ hUrsNTPtuV"" calls 100",2024-04-26T19:09:28.207Z,171415856820700
"""mofa224 @ T6DjGdOAqA"" posts a big blind of 100",2024-04-26T19:09:26.852Z,171415856685205
"""FDLT33 @ hUrsNTPtuV"" posts a small blind of 50",2024-04-26T19:09:26.852Z,171415856685204
"Player stacks: #2 ""FDLT33 @ hUrsNTPtuV"" (2378) | #5 ""mofa224 @ T6DjGdOAqA"" (3622)",2024-04-26T19:09:26.852Z,171415856685201
"-- starting hand #29 (id: jrjzztbqukwc)  (No Limit Texas Hold'em) (dealer: ""FDLT33 @ hUrsNTPtuV"") --",2024-04-26T19:09:26.852Z,171415856685200
"-- ending hand #28 --",2024-04-26T19:09:23.938Z,171415856393802
"""FDLT33 @ hUrsNTPtuV"" collected 100 from pot",2024-04-26T19:09:23.938Z,171415856393801
"Uncalled bet of 50 returned to ""FDLT33 @ hUrsNTPtuV""",2024-04-26T19:09:23.938Z,171415856393800
"""mofa224 @ T6DjGdOAqA"" folds",2024-04-26T19:09:23.079Z,171415856307900
"""FDLT33 @ hUrsNTPtuV"" posts a big blind of 100",2024-04-26T19:09:21.849Z,171415856184905
"""mofa224 @ T6DjGdOAqA"" posts a small blind of 50",2024-04-26T19:09:21.849Z,171415856184904
"Player stacks: #2 ""FDLT33 @ hUrsNTPtuV"" (2328) | #5 ""mofa224 @ T6DjGdOAqA"" (3672)",2024-04-26T19:09:21.849Z,171415856184901
"-- starting hand #28 (id: m2w0ohu3tqxi)  (No Limit Texas Hold'em) (dealer: ""mofa224 @ T6DjGdOAqA"") --",2024-04-26T19:09:21.849Z,171415856184900
"-- ending hand #27 --",2024-04-26T19:09:18.937Z,171415855893702
"""FDLT33 @ hUrsNTPtuV"" collected 200 from pot",2024-04-26T19:09:18.937Z,171415855893701
"Uncalled bet of 100 returned to ""FDLT33 @ hUrsNTPtuV""",2024-04-26T19:09:18.937Z,171415855893700
"""mofa224 @ T6DjGdOAqA"" folds",2024-04-26T19:09:18.119Z,171415855811900
"""FDLT33 @ hUrsNTPtuV"" raises to 200",2024-04-26T19:09:16.825Z,171415855682500
"""mofa224 @ T6DjGdOAqA"" posts a big blind of 100",2024-04-26T19:09:15.132Z,171415855513205
"""FDLT33 @ hUrsNTPtuV"" posts a small blind of 50",2024-04-26T19:09:15.132Z,171415855513204
"Player stacks: #2 ""FDLT33 @ hUrsNTPtuV"" (2228) | #5 ""mofa224 @ T6DjGdOAqA"" (3772)",2024-04-26T19:09:15.132Z,171415855513201
"-- starting hand #27 (id: mkpxn0koin7p)  (No Limit Texas Hold'em) (dealer: ""FDLT33 @ hUrsNTPtuV"") --",2024-04-26T19:09:15.132Z,171415855513200
"-- ending hand #26 --",2024-04-26T19:09:12.156Z,171415855215602
"""mofa224 @ T6DjGdOAqA"" collected 200 from pot",2024-04-26T19:09:12.156Z,171415855215601
"Uncalled bet of 100 returned to ""mofa224 @ T6DjGdOAqA""",2024-04-26T19:09:12.156Z,171415855215600
"""FDLT33 @ hUrsNTPtuV"" folds",2024-04-26T19:09:11.341Z,171415855134100
"""mofa224 @ T6DjGdOAqA"" raises to 200",2024-04-26T19:09:10.041Z,171415855004100
"""FDLT33 @ hUrsNTPtuV"" posts a big blind of 100",2024-04-26T19:09:08.413Z,171415854841305
"""mofa224 @ T6DjGdOAqA"" posts a small blind of 50",2024-04-26T19:09:08.413Z,171415854841304
"Player stacks: #2 ""FDLT33 @ hUrsNTPtuV"" (2328) | #5 ""mofa224 @ T6DjGdOAqA"" (3672)",2024-04-26T19:09:08.413Z,171415854841301
"-- starting hand #26 (id: uumifrtc6aoc)  (No Limit Texas Hold'em) (dealer: ""mofa224 @ T6DjGdOAqA"") --",2024-04-26T19:09:08.413Z,171415854841300
"-- ending hand #25 --",2024-04-26T19:09:05.493Z,171415854549302
"""mofa224 @ T6DjGdOAqA"" collected 200 from pot",2024-04-26T19:09:05.493Z,171415854549301
"Uncalled bet of 100 returned to ""mofa224 @ T6DjGdOAqA""",2024-04-26T19:09:05.493Z,171415854549300
"""FDLT33 @ hUrsNTPtuV"" folds",2024-04-26T19:09:04.635Z,171415854463500
"""mofa224 @ T6DjGdOAqA"" bets 100",2024-04-26T19:09:03.537Z,171415854353700
