entry,at,order
"The player ""PhilM_solo @ 4L8lqAdO1e"" quits the game with a stack of 8000.",2024-04-26T20:07:58.093Z,171416207809300
"The player ""mofa224 @ T6DjGdOAqA"" quits the game with a stack of 0.",2024-04-26T20:02:31.622Z,171416175162200
"-- ending hand #18 --",2024-04-26T20:02:25.610Z,171416174561001
"""PhilM_solo @ 4L8lqAdO1e"" collected 4160 from pot with A High (combination: A♥, K♦, Q♣, J♠, 8♥)",2024-04-26T20:02:25.610Z,171416174561000
"River: 8♥, J♠, Q♣, 6♣ [4♦]",2024-04-26T20:02:21.604Z,171416174160400
"Turn: 8♥, J♠, Q♣ [6♣]",2024-04-26T20:02:17.598Z,171416173759800
"Flop:  [8♥, J♠, Q♣]",2024-04-26T20:02:13.594Z,171416173359400
"""mofa224 @ T6DjGdOAqA"" shows a A♠, 7♣.",2024-04-26T20:02:09.586Z,171416172958601
"""PhilM_solo @ 4L8lqAdO1e"" shows a K♦, A♥.",2024-04-26T20:02:09.586Z,171416172958600
"""PhilM_solo @ 4L8lqAdO1e"" calls 2080",2024-04-26T20:02:08.767Z,171416172876700
"""mofa224 @ T6DjGdOAqA"" raises to 2080 and go all in",2024-04-26T20:02:06.435Z,171416172643500
"""PhilM_solo @ 4L8lqAdO1e"" posts a big blind of 100",2024-04-26T20:02:04.830Z,171416172483005
"""mofa224 @ T6DjGdOAqA"" posts a small blind of 50",2024-04-26T20:02:04.830Z,171416172483004
"Player stacks: #1 ""PhilM_solo @ 4L8lqAdO1e"" (5920) | #8 ""mofa224 @ T6DjGdOAqA"" (2080)",2024-04-26T20:02:04.830Z,171416172483001
"-- starting hand #18 (id: uj3d10kvjhlc)  (No Limit Texas Hold'em) (dealer: ""mofa224 @ T6DjGdOAqA"") --",2024-04-26T20:02:04.830Z,171416172483000
"-- ending hand #17 --",2024-04-26T20:01:58.816Z,171416171881603
"""mofa224 @ T6DjGdOAqA"" shows a 2♥, 5♦.",2024-04-26T20:01:58.816Z,171416171881602
"""PhilM_solo @ 4L8lqAdO1e"" collected 3000 from pot with Pair, 8's (combination: 8♠, 8♣, A♠, J♣, 10♦)",2024-04-26T20:01:58.816Z,171416171881601
"""PhilM_solo @ 4L8lqAdO1e"" shows a A♠, 8♠.",2024-04-26T20:01:58.816Z,171416171881600
"""PhilM_solo @ 4L8lqAdO1e"" calls 900",2024-04-26T20:01:57.990Z,171416171799000
"""mofa224 @ T6DjGdOAqA"" bets 900",2024-04-26T20:01:55.829Z,171416171582900
"River: 10♦, J♣, 5♥, 8♣ [3♦]",2024-04-26T20:01:53.415Z,171416171341500
"""mofa224 @ T6DjGdOAqA"" calls 400",2024-04-26T20:01:52.569Z,171416171256900
"""PhilM_solo @ 4L8lqAdO1e"" bets 400",2024-04-26T20:01:51.602Z,171416171160200
"""mofa224 @ T6DjGdOAqA"" checks",2024-04-26T20:01:46.424Z,171416170642400
"Turn: 10♦, J♣, 5♥ [8♣]",2024-04-26T20:01:44.796Z,171416170479600
"""mofa224 @ T6DjGdOAqA"" calls 100",2024-04-26T20:01:43.982Z,171416170398200
"""PhilM_solo @ 4L8lqAdO1e"" bets 100",2024-04-26T20:01:33.576Z,171416169357600
"""mofa224 @ T6DjGdOAqA"" checks",2024-04-26T20:01:29.388Z,171416168938800
"Flop:  [10♦, J♣, 5♥]",2024-04-26T20:01:27.928Z,171416168792800
"""mofa224 @ T6DjGdOAqA"" checks",2024-04-26T20:01:27.108Z,171416168710800
"""PhilM_solo @ 4L8lqAdO1e"" calls 100",2024-04-26T20:01:26.192Z,171416168619200
"""mofa224 @ T6DjGdOAqA"" posts a big blind of 100",2024-04-26T20:01:23.123Z,171416168312305
"""PhilM_solo @ 4L8lqAdO1e"" posts a small blind of 50",2024-04-26T20:01:23.123Z,171416168312304
"Player stacks: #1 ""PhilM_solo @ 4L8lqAdO1e"" (4420) | #8 ""mofa224 @ T6DjGdOAqA"" (3580)",2024-04-26T20:01:23.123Z,171416168312301
"-- starting hand #17 (id: cpyvaumovg7u)  (No Limit Texas Hold'em) (dealer: ""PhilM_solo @ 4L8lqAdO1e"") --",2024-04-26T20:01:23.123Z,171416168312300
"-- ending hand #16 --",2024-04-26T20:01:17.116Z,171416167711601
"""PhilM_solo @ 4L8lqAdO1e"" collected 4420 from pot with Two Pair, A's & K's (combination: A♥, A♣, K♦, K♠, Q♣)",2024-04-26T20:01:17.116Z,171416167711600
"River: Q♣, 8♥, K♦, A♣ [K♠]",2024-04-26T20:01:13.075Z,171416167307500
"""mofa224 @ T6DjGdOAqA"" shows a Q♦, 7♥.",2024-04-26T20:01:09.068Z,171416166906801
"""PhilM_solo @ 4L8lqAdO1e"" shows a J♦, A♥.",2024-04-26T20:01:09.068Z,171416166906800
"""PhilM_solo @ 4L8lqAdO1e"" calls 1710 and go all in",2024-04-26T20:01:08.240Z,171416166824000
"""mofa224 @ T6DjGdOAqA"" raises to 1710",2024-04-26T20:01:05.719Z,171416166571900
"""PhilM_solo @ 4L8lqAdO1e"" bets 500",2024-04-26T20:01:03.431Z,171416166343100
"Turn: Q♣, 8♥, K♦ [A♣]",2024-04-26T20:00:52.783Z,171416165278300
"""PhilM_solo @ 4L8lqAdO1e"" calls 300",2024-04-26T20:00:51.928Z,171416165192800
"""mofa224 @ T6DjGdOAqA"" raises to 300",2024-04-26T20:00:48.603Z,171416164860300
"""PhilM_solo @ 4L8lqAdO1e"" bets 100",2024-04-26T20:00:46.797Z,171416164679700
"Flop:  [Q♣, 8♥, K♦]",2024-04-26T20:00:39.568Z,171416163956800
"""PhilM_solo @ 4L8lqAdO1e"" calls 200",2024-04-26T20:00:38.724Z,171416163872400
"""mofa224 @ T6DjGdOAqA"" raises to 200",2024-04-26T20:00:35.456Z,171416163545600
"""PhilM_solo @ 4L8lqAdO1e"" posts a big blind of 100",2024-04-26T20:00:33.964Z,171416163396405
"""mofa224 @ T6DjGdOAqA"" posts a small blind of 50",2024-04-26T20:00:33.964Z,171416163396404
"Player stacks: #1 ""PhilM_solo @ 4L8lqAdO1e"" (2210) | #8 ""mofa224 @ T6DjGdOAqA"" (5790)",2024-04-26T20:00:33.964Z,171416163396401
"-- starting hand #16 (id: jzxe4b7d0pph)  (No Limit Texas Hold'em) (dealer: ""mofa224 @ T6DjGdOAqA"") --",2024-04-26T20:00:33.964Z,171416163396400
"-- ending hand #15 --",2024-04-26T20:00:30.962Z,171416163096202
"""PhilM_solo @ 4L8lqAdO1e"" collected 1200 from pot",2024-04-26T20:00:30.962Z,171416163096201
"Uncalled bet of 1010 returned to ""PhilM_solo @ 4L8lqAdO1e""",2024-04-26T20:00:30.962Z,171416163096200
"""mofa224 @ T6DjGdOAqA"" folds",2024-04-26T20:00:30.100Z,171416163010000
"""PhilM_solo @ 4L8lqAdO1e"" raises to 1310 and go all in",2024-04-26T20:00:26.933Z,171416162693300
"""mofa224 @ T6DjGdOAqA"" bets 300",2024-04-26T20:00:17.845Z,171416161784500
"Turn: 3♣, K♠, K♣ [10♣]",2024-04-26T20:00:16.896Z,171416161689600
"""PhilM_solo @ 4L8lqAdO1e"" checks",2024-04-26T20:00:16.022Z,171416161602200
"""mofa224 @ T6DjGdOAqA"" checks",2024-04-26T20:00:12.982Z,171416161298200
"Flop:  [3♣, K♠, K♣]",2024-04-26T20:00:12.890Z,171416161289000
"""PhilM_solo @ 4L8lqAdO1e"" calls 300",2024-04-26T20:00:12.016Z,171416161201600
"""mofa224 @ T6DjGdOAqA"" raises to 300",2024-04-26T20:00:07.499Z,171416160749900
"""PhilM_solo @ 4L8lqAdO1e"" calls 100",2024-04-26T20:00:05.735Z,171416160573500
"""mofa224 @ T6DjGdOAqA"" posts a big blind of 100",2024-04-26T20:00:02.217Z,171416160221707
"""PhilM_solo @ 4L8lqAdO1e"" posts a small blind of 50",2024-04-26T20:00:02.217Z,171416160221706
"Player stacks: #1 ""PhilM_solo @ 4L8lqAdO1e"" (1610) | #8 ""mofa224 @ T6DjGdOAqA"" (6390)",2024-04-26T20:00:02.217Z,171416160221703
"-- starting hand #15 (id: o2v5oay1usom)  (No Limit Texas Hold'em) (dealer: ""PhilM_solo @ 4L8lqAdO1e"") --",2024-04-26T20:00:02.217Z,171416160221702
"The game's big blind was changed from 60 to 100.",2024-04-26T20:00:02.217Z,171416160221701
"The game's small blind was changed from 30 to 50.",2024-04-26T20:00:02.217Z,171416160221700
"-- ending hand #14 --",2024-04-26T19:59:59.256Z,171416159925602
"""PhilM_solo @ 4L8lqAdO1e"" collected 60 from pot",2024-04-26T19:59:59.256Z,171416159925601
"Uncalled bet of 30 returned to ""PhilM_solo @ 4L8lqAdO1e""",2024-04-26T19:59:59.256Z,171416159925600
"""mofa224 @ T6DjGdOAqA"" folds",2024-04-26T19:59:58.450Z,171416159845000
"""PhilM_solo @ 4L8lqAdO1e"" posts a big blind of 60",2024-04-26T19:59:57.209Z,171416159720907
"""mofa224 @ T6DjGdOAqA"" posts a small blind of 30",2024-04-26T19:59:57.209Z,171416159720906
"Player stacks: #1 ""PhilM_solo @ 4L8lqAdO1e"" (1580) | #8 ""mofa224 @ T6DjGdOAqA"" (6420)",2024-04-26T19:59:57.209Z,171416159720903
"-- starting hand #14 (id: iijnfkcaocbs)  (No Limit Texas Hold'em) (dealer: ""mofa224 @ T6DjGdOAqA"") --",2024-04-26T19:59:57.209Z,171416159720902
"The player ""Disco @ ybhusRP6U7"" quits the game with a stack of 0.",2024-04-26T19:59:57.209Z,171416159720901
"The player ""Pepsi @ F-7ZqwXZ_u"" quits the game with a stack of 0.",2024-04-26T19:59:57.209Z,171416159720900
"-- ending hand #13 --",2024-04-26T19:59:51.192Z,171416159119202
"""PhilM_solo @ 4L8lqAdO1e"" collected 420 from pot with Three of a Kind, 9's (combination: 9♦, 9♠, 9♣, A♣, J♦)",2024-04-26T19:59:51.192Z,171416159119201
"""PhilM_solo @ 4L8lqAdO1e"" collected 120 from pot with Three of a Kind, 9's (combination: 9♦, 9♠, 9♣, A♣, J♦)",2024-04-26T19:59:51.192Z,171416159119200
"River: 6♦, A♣, 10♠, J♦ [9♣]",2024-04-26T19:59:47.167Z,171416158716700
"Turn: 6♦, A♣, 10♠ [J♦]",2024-04-26T19:59:43.162Z,171416158316200
"Flop:  [6♦, A♣, 10♠]",2024-04-26T19:59:39.149Z,171416157914900
"""Disco @ ybhusRP6U7"" shows a 6♣, 5♣.",2024-04-26T19:59:35.141Z,171416157514102
"""Pepsi @ F-7ZqwXZ_u"" shows a A♥, K♥.",2024-04-26T19:59:35.141Z,171416157514101
"""PhilM_solo @ 4L8lqAdO1e"" shows a 9♦, 9♠.",2024-04-26T19:59:35.141Z,171416157514100
"""PhilM_solo @ 4L8lqAdO1e"" calls 250",2024-04-26T19:59:34.283Z,171416157428300
"""Pepsi @ F-7ZqwXZ_u"" raises to 250 and go all in",2024-04-26T19:59:31.198Z,171416157119800
"""PhilM_solo @ 4L8lqAdO1e"" calls 60",2024-04-26T19:59:29.351Z,171416156935100
"""mofa224 @ T6DjGdOAqA"" folds",2024-04-26T19:59:24.796Z,171416156479600
"""Disco @ ybhusRP6U7"" posts a big blind of 40 and go all in ",2024-04-26T19:59:22.699Z,171416156269908
"Dead Small Blind",2024-04-26T19:59:22.699Z,171416156269907
