entry,at,order
"The player ""ArcticFox @ -kd2dXDMsr"" quits the game with a stack of 7010.",2024-04-26T19:03:54.309Z,171415823430900
"The player ""Zulaikha_24 @ k731JU1UZL"" quits the game with a stack of 0.",2024-04-26T19:00:20.359Z,171415802035900
"-- ending hand #56 --",2024-04-26T19:00:14.344Z,171415801434401
"""ArcticFox @ -kd2dXDMsr"" collected 1750 from pot with Two Pair, J's & 8's (combination: J♠, J♦, 8♣, 8♠, Q♦)",2024-04-26T19:00:14.344Z,171415801434400
"River: J♦, 5♣, Q♦, 3♠ [8♠]",2024-04-26T19:00:10.307Z,171415801030700
"Turn: J♦, 5♣, Q♦ [3♠]",2024-04-26T19:00:06.289Z,171415800628900
"Flop:  [J♦, 5♣, Q♦]",2024-04-26T19:00:02.206Z,171415800220600
"""ArcticFox @ -kd2dXDMsr"" shows a 8♣, J♠.",2024-04-26T18:59:58.135Z,171415799813501
"""Zulaikha_24 @ k731JU1UZL"" shows a 2♣, 3♥.",2024-04-26T18:59:58.135Z,171415799813500
"""Zulaikha_24 @ k731JU1UZL"" calls 875 and go all in",2024-04-26T18:59:57.328Z,171415799732800
"""ArcticFox @ -kd2dXDMsr"" raises to 875",2024-04-26T18:59:54.067Z,171415799406700
"""Zulaikha_24 @ k731JU1UZL"" posts a big blind of 300",2024-04-26T18:59:50.325Z,171415799032505
"""ArcticFox @ -kd2dXDMsr"" posts a small blind of 150",2024-04-26T18:59:50.325Z,171415799032504
"Player stacks: #4 ""Zulaikha_24 @ k731JU1UZL"" (875) | #6 ""ArcticFox @ -kd2dXDMsr"" (6135)",2024-04-26T18:59:50.325Z,171415799032501
"-- starting hand #56 (id: 06odhuxlrk8h)  (No Limit Texas Hold'em) (dealer: ""ArcticFox @ -kd2dXDMsr"") --",2024-04-26T18:59:50.325Z,171415799032500
"""ArcticFox @ -kd2dXDMsr"" shows a 7♦, 2♥.",2024-04-26T18:59:48.042Z,171415798804200
"-- ending hand #55 --",2024-04-26T18:59:46.661Z,171415798666102
"""ArcticFox @ -kd2dXDMsr"" collected 300 from pot",2024-04-26T18:59:46.661Z,171415798666101
"Uncalled bet of 150 returned to ""ArcticFox @ -kd2dXDMsr""",2024-04-26T18:59:46.661Z,171415798666100
"""Zulaikha_24 @ k731JU1UZL"" folds",2024-04-26T18:59:45.829Z,171415798582900
"""ArcticFox @ -kd2dXDMsr"" posts a big blind of 300",2024-04-26T18:59:39.548Z,171415797954805
"""Zulaikha_24 @ k731JU1UZL"" posts a small blind of 150",2024-04-26T18:59:39.548Z,171415797954804
