entry,at,order
"The player ""ilex @ 5_HGdO01b0"" quits the game with a stack of 7340.",2024-04-17T21:04:43.187Z,171338788318700
"The player ""ST3 @ aJZ3vChrDp"" quits the game with a stack of 0.",2024-04-17T20:59:08.079Z,171338754807900
"-- ending hand #62 --",2024-04-17T20:59:02.065Z,171338754206501
"""ilex @ 5_HGdO01b0"" collected 2680 from pot with Pair, A's (combination: A♦, A♥, J♣, 10♣, 9♦)",2024-04-17T20:59:02.065Z,171338754206500
"River: 4♥, 10♣, A♥, J♣ [9♦]",2024-04-17T20:58:58.059Z,171338753805900
"Turn: 4♥, 10♣, A♥ [J♣]",2024-04-17T20:58:54.013Z,171338753401300
"Flop:  [4♥, 10♣, A♥]",2024-04-17T20:58:49.999Z,171338752999900
"""ST3 @ aJZ3vChrDp"" shows a 10♠, 3♣.",2024-04-17T20:58:45.984Z,171338752598401
"""ilex @ 5_HGdO01b0"" shows a A♦, 3♦.",2024-04-17T20:58:45.984Z,171338752598400
"""ST3 @ aJZ3vChrDp"" calls 1340 and go all in",2024-04-17T20:58:45.178Z,171338752517800
"""ilex @ 5_HGdO01b0"" raises to 1340",2024-04-17T20:58:43.111Z,171338752311100
"""ST3 @ aJZ3vChrDp"" posts a big blind of 500",2024-04-17T20:58:39.722Z,171338751972205
"""ilex @ 5_HGdO01b0"" posts a small blind of 250",2024-04-17T20:58:39.722Z,171338751972204
"Player stacks: #5 ""ilex @ 5_HGdO01b0"" (6000) | #7 ""ST3 @ aJZ3vChrDp"" (1340)",2024-04-17T20:58:39.722Z,171338751972201
"-- starting hand #62 (id: dkbofrim4xou)  (No Limit Texas Hold'em) (dealer: ""ilex @ 5_HGdO01b0"") --",2024-04-17T20:58:39.722Z,171338751972200
"""ST3 @ aJZ3vChrDp"" shows a 9♣, 5♠.",2024-04-17T20:58:37.709Z,171338751770900
"""ilex @ 5_HGdO01b0"" shows a 7♠, Q♦.",2024-04-17T20:58:35.909Z,171338751590900
"-- ending hand #61 --",2024-04-17T20:58:35.378Z,171338751537802
"""ST3 @ aJZ3vChrDp"" collected 1000 from pot",2024-04-17T20:58:35.378Z,171338751537801
"Uncalled bet of 340 returned to ""ST3 @ aJZ3vChrDp""",2024-04-17T20:58:35.378Z,171338751537800
"""ilex @ 5_HGdO01b0"" folds",2024-04-17T20:58:34.544Z,171338751454400
"""ST3 @ aJZ3vChrDp"" raises to 840 and go all in",2024-04-17T20:58:29.115Z,171338750911500
