entry,at,order
"The player ""Alex Starburns @ rT4CAYhtN-"" quits the game with a stack of 7000.",2024-04-26T17:43:12.570Z,171415339257000
"The player ""celebryt @ iulPdFFF8R"" quits the game with a stack of 0.",2024-04-26T17:38:58.096Z,171415313809600
"-- ending hand #38 --",2024-04-26T17:38:52.071Z,171415313207101
"""Alex Starburns @ rT4CAYhtN-"" collected 6380 from pot with Pair, Q's (combination: Q♣, Q♥, K♣, J♥, 10♥)",2024-04-26T17:38:52.071Z,171415313207100
"River: 7♠, 3♦, J♥, Q♥ [10♥]",2024-04-26T17:38:48.065Z,171415312806500
"Turn: 7♠, 3♦, J♥ [Q♥]",2024-04-26T17:38:43.997Z,171415312399700
"Flop:  [7♠, 3♦, J♥]",2024-04-26T17:38:39.993Z,171415311999300
"""Alex Starburns @ rT4CAYhtN-"" shows a K♣, Q♣.",2024-04-26T17:38:35.986Z,171415311598601
"""celebryt @ iulPdFFF8R"" shows a K♠, 8♣.",2024-04-26T17:38:35.986Z,171415311598600
"""Alex Starburns @ rT4CAYhtN-"" calls 3190",2024-04-26T17:38:35.132Z,171415311513200
"""celebryt @ iulPdFFF8R"" raises to 3190 and go all in",2024-04-26T17:38:33.317Z,171415311331700
"""Alex Starburns @ rT4CAYhtN-"" raises to 600",2024-04-26T17:38:31.113Z,171415311111300
"""celebryt @ iulPdFFF8R"" posts a big blind of 200",2024-04-26T17:38:27.040Z,171415310704005
"""Alex Starburns @ rT4CAYhtN-"" posts a small blind of 100",2024-04-26T17:38:27.040Z,171415310704004
"Player stacks: #2 ""celebryt @ iulPdFFF8R"" (3190) | #8 ""Alex Starburns @ rT4CAYhtN-"" (3810)",2024-04-26T17:38:27.040Z,171415310704001
"-- starting hand #38 (id: ktl4khxn8i29)  (No Limit Texas Hold'em) (dealer: ""Alex Starburns @ rT4CAYhtN-"") --",2024-04-26T17:38:27.040Z,171415310704000
"-- ending hand #37 --",2024-04-26T17:38:21.022Z,171415310102201
"""Alex Starburns @ rT4CAYhtN-"" collected 3810 from pot with Two Pair, Q's & 9's (combination: Q♦, Q♣, 9♣, 9♠, A♥)",2024-04-26T17:38:21.022Z,171415310102200
"River: Q♣, K♠, 9♣, 6♠ [9♠]",2024-04-26T17:38:17.006Z,171415309700600
"Turn: Q♣, K♠, 9♣ [6♠]",2024-04-26T17:38:12.970Z,171415309297000
"Flop:  [Q♣, K♠, 9♣]",2024-04-26T17:38:08.939Z,171415308893900
"""Alex Starburns @ rT4CAYhtN-"" shows a A♥, Q♦.",2024-04-26T17:38:04.927Z,171415308492701
"""celebryt @ iulPdFFF8R"" shows a 4♣, 4♥.",2024-04-26T17:38:04.927Z,171415308492700
"""Alex Starburns @ rT4CAYhtN-"" calls 1905 and go all in",2024-04-26T17:38:04.052Z,171415308405200
"""celebryt @ iulPdFFF8R"" raises to 1905",2024-04-26T17:38:02.237Z,171415308223700
"""Alex Starburns @ rT4CAYhtN-"" posts a big blind of 200",2024-04-26T17:37:56.271Z,171415307627105
"""celebryt @ iulPdFFF8R"" posts a small blind of 100",2024-04-26T17:37:56.271Z,171415307627104
"Player stacks: #2 ""celebryt @ iulPdFFF8R"" (5095) | #8 ""Alex Starburns @ rT4CAYhtN-"" (1905)",2024-04-26T17:37:56.271Z,171415307627101
"-- starting hand #37 (id: j31slh90aw61)  (No Limit Texas Hold'em) (dealer: ""celebryt @ iulPdFFF8R"") --",2024-04-26T17:37:56.271Z,171415307627100
"-- ending hand #36 --",2024-04-26T17:37:53.272Z,171415307327202
"""celebryt @ iulPdFFF8R"" collected 200 from pot",2024-04-26T17:37:53.272Z,171415307327201
"Uncalled bet of 100 returned to ""celebryt @ iulPdFFF8R""",2024-04-26T17:37:53.272Z,171415307327200
"""Alex Starburns @ rT4CAYhtN-"" folds",2024-04-26T17:37:52.434Z,171415307243400
