entry,at,order
"The player ""vacancco @ RyvdIvf-DZ"" quits the game with a stack of 7930.",2024-04-26T17:52:39.005Z,171415395900500
"The player ""MasterFifi @ d-CGcNrOit"" quits the game with a stack of 0.",2024-04-26T17:46:44.820Z,171415360482000
"-- ending hand #57 --",2024-04-26T17:46:38.814Z,171415359881401
"""vacancco @ RyvdIvf-DZ"" collected 440 from pot with Three of a Kind, 8's (combination: 8♣, 8♦, 8♥, A♥, 10♠)",2024-04-26T17:46:38.814Z,171415359881400
"River: 8♦, 10♠, 8♥, A♥ [9♠]",2024-04-26T17:46:34.807Z,171415359480700
"Turn: 8♦, 10♠, 8♥ [A♥]",2024-04-26T17:46:30.748Z,171415359074800
"Flop:  [8♦, 10♠, 8♥]",2024-04-26T17:46:26.703Z,171415358670300
"""MasterFifi @ d-CGcNrOit"" shows a 4♥, 9♦.",2024-04-26T17:46:22.692Z,171415358269202
"""vacancco @ RyvdIvf-DZ"" shows a 5♦, 8♣.",2024-04-26T17:46:22.692Z,171415358269201
"Uncalled bet of 80 returned to ""vacancco @ RyvdIvf-DZ""",2024-04-26T17:46:22.692Z,171415358269200
"""vacancco @ RyvdIvf-DZ"" calls 300",2024-04-26T17:46:21.852Z,171415358185200
"""MasterFifi @ d-CGcNrOit"" posts a big blind of 220 and go all in ",2024-04-26T17:46:17.882Z,171415357788205
"""vacancco @ RyvdIvf-DZ"" posts a small blind of 150",2024-04-26T17:46:17.882Z,171415357788204
"Player stacks: #2 ""vacancco @ RyvdIvf-DZ"" (7710) | #7 ""MasterFifi @ d-CGcNrOit"" (220)",2024-04-26T17:46:17.882Z,171415357788201
"-- starting hand #57 (id: wm75gj4ir8u0)  (No Limit Texas Hold'em) (dealer: ""vacancco @ RyvdIvf-DZ"") --",2024-04-26T17:46:17.882Z,171415357788200
"-- ending hand #56 --",2024-04-26T17:46:14.929Z,171415357492902
"""vacancco @ RyvdIvf-DZ"" collected 600 from pot",2024-04-26T17:46:14.929Z,171415357492901
"Uncalled bet of 220 returned to ""vacancco @ RyvdIvf-DZ""",2024-04-26T17:46:14.929Z,171415357492900
"""MasterFifi @ d-CGcNrOit"" folds",2024-04-26T17:46:14.104Z,171415357410400
"""vacancco @ RyvdIvf-DZ"" bets 220",2024-04-26T17:46:08.792Z,171415356879200
"Turn: A♦, Q♥, J♣ [8♣]",2024-04-26T17:46:06.528Z,171415356652800
"""MasterFifi @ d-CGcNrOit"" checks",2024-04-26T17:46:05.719Z,171415356571900
"""vacancco @ RyvdIvf-DZ"" checks",2024-04-26T17:46:03.293Z,171415356329300
"Flop:  [A♦, Q♥, J♣]",2024-04-26T17:46:00.916Z,171415356091600
"""vacancco @ RyvdIvf-DZ"" checks",2024-04-26T17:46:00.045Z,171415356004500
"""MasterFifi @ d-CGcNrOit"" calls 300",2024-04-26T17:45:58.697Z,171415355869700
"""vacancco @ RyvdIvf-DZ"" posts a big blind of 300",2024-04-26T17:45:52.710Z,171415355271007
"""MasterFifi @ d-CGcNrOit"" posts a small blind of 150",2024-04-26T17:45:52.710Z,171415355271006
"Player stacks: #2 ""vacancco @ RyvdIvf-DZ"" (7410) | #7 ""MasterFifi @ d-CGcNrOit"" (520)",2024-04-26T17:45:52.710Z,171415355271003
"-- starting hand #56 (id: 2py50b72zayi)  (No Limit Texas Hold'em) (dealer: ""MasterFifi @ d-CGcNrOit"") --",2024-04-26T17:45:52.710Z,171415355271002
"The game's big blind was changed from 200 to 300.",2024-04-26T17:45:52.710Z,171415355271001
"The game's small blind was changed from 100 to 150.",2024-04-26T17:45:52.710Z,171415355271000
"-- ending hand #55 --",2024-04-26T17:45:46.685Z,171415354668502
"""MasterFifi @ d-CGcNrOit"" collected 400 from pot with Pair, J's (combination: J♦, J♥, A♣, K♦, Q♦)",2024-04-26T17:45:46.685Z,171415354668501
"""MasterFifi @ d-CGcNrOit"" shows a A♣, 3♣.",2024-04-26T17:45:46.685Z,171415354668500
"""vacancco @ RyvdIvf-DZ"" checks",2024-04-26T17:45:45.833Z,171415354583300
"""MasterFifi @ d-CGcNrOit"" checks",2024-04-26T17:45:44.822Z,171415354482200
"River: Q♦, J♦, J♥, 6♥ [K♦]",2024-04-26T17:45:42.791Z,171415354279100
"""vacancco @ RyvdIvf-DZ"" checks",2024-04-26T17:45:41.952Z,171415354195200
"""MasterFifi @ d-CGcNrOit"" checks",2024-04-26T17:45:40.609Z,171415354060900
"Turn: Q♦, J♦, J♥ [6♥]",2024-04-26T17:45:39.309Z,171415353930900
"""vacancco @ RyvdIvf-DZ"" checks",2024-04-26T17:45:38.482Z,171415353848200
"""MasterFifi @ d-CGcNrOit"" checks",2024-04-26T17:45:37.578Z,171415353757800
"Flop:  [Q♦, J♦, J♥]",2024-04-26T17:45:35.021Z,171415353502100
"""MasterFifi @ d-CGcNrOit"" checks",2024-04-26T17:45:34.182Z,171415353418200
"""vacancco @ RyvdIvf-DZ"" calls 200",2024-04-26T17:45:31.017Z,171415353101700
"""MasterFifi @ d-CGcNrOit"" posts a big blind of 200",2024-04-26T17:45:29.374Z,171415352937405
