entry,at,order
"The player ""Powel @ 97PJp0u7AV"" quits the game with a stack of 4210.",2024-04-26T19:12:42.607Z,171415876260700
"The player ""joinmatrix @ PLlBwSpVjY"" quits the game with a stack of 0.",2024-04-26T19:06:45.493Z,171415840549300
"-- ending hand #44 --",2024-04-26T19:06:39.476Z,171415839947601
"""Powel @ 97PJp0u7AV"" collected 1330 from pot with Pair, 9's (combination: 9♦, 9♥, K♦, 10♠, 7♠)",2024-04-26T19:06:39.476Z,171415839947600
"River: 9♥, K♦, 5♦, 3♠ [7♠]",2024-04-26T19:06:35.470Z,171415839547000
"Turn: 9♥, K♦, 5♦ [3♠]",2024-04-26T19:06:31.463Z,171415839146300
"""joinmatrix @ PLlBwSpVjY"" shows a 4♦, 5♣.",2024-04-26T19:06:27.453Z,171415838745301
"""Powel @ 97PJp0u7AV"" shows a 9♦, 10♠.",2024-04-26T19:06:27.453Z,171415838745300
"""Powel @ 97PJp0u7AV"" calls 465",2024-04-26T19:06:26.636Z,171415838663600
"""joinmatrix @ PLlBwSpVjY"" bets 465 and go all in",2024-04-26T19:06:25.693Z,171415838569300
"Flop:  [9♥, K♦, 5♦]",2024-04-26T19:06:21.772Z,171415838177200
"""joinmatrix @ PLlBwSpVjY"" checks",2024-04-26T19:06:20.948Z,171415838094800
"""Powel @ 97PJp0u7AV"" calls 200",2024-04-26T19:06:20.016Z,171415838001600
"""joinmatrix @ PLlBwSpVjY"" posts a big blind of 200",2024-04-26T19:06:17.897Z,171415837789705
"""Powel @ 97PJp0u7AV"" posts a small blind of 100",2024-04-26T19:06:17.897Z,171415837789704
"Player stacks: #2 ""Powel @ 97PJp0u7AV"" (3545) | #6 ""joinmatrix @ PLlBwSpVjY"" (665)",2024-04-26T19:06:17.897Z,171415837789701
"-- starting hand #44 (id: hk5nm5gqjecl)  (No Limit Texas Hold'em) (dealer: ""Powel @ 97PJp0u7AV"") --",2024-04-26T19:06:17.897Z,171415837789700
"-- ending hand #43 --",2024-04-26T19:06:11.875Z,171415837187503
"""joinmatrix @ PLlBwSpVjY"" shows a 3♦, K♦.",2024-04-26T19:06:11.875Z,171415837187502
"""Powel @ 97PJp0u7AV"" collected 2200 from pot with Two Pair, 9's & 7's (combination: 9♥, 9♦, 7♣, 7♠, 10♠)",2024-04-26T19:06:11.875Z,171415837187501
"""Powel @ 97PJp0u7AV"" shows a 7♣, 10♠.",2024-04-26T19:06:11.875Z,171415837187500
"""Powel @ 97PJp0u7AV"" calls 500",2024-04-26T19:06:11.034Z,171415837103400
"""joinmatrix @ PLlBwSpVjY"" bets 500",2024-04-26T19:06:09.919Z,171415836991900
"""Powel @ 97PJp0u7AV"" checks",2024-04-26T19:06:07.073Z,171415836707300
"River: 7♠, 9♥, 5♥, 3♠ [9♦]",2024-04-26T19:06:05.265Z,171415836526500
"""joinmatrix @ PLlBwSpVjY"" calls 200",2024-04-26T19:06:04.393Z,171415836439300
"""Powel @ 97PJp0u7AV"" bets 200",2024-04-26T19:06:03.377Z,171415836337700
"Turn: 7♠, 9♥, 5♥ [3♠]",2024-04-26T19:06:00.729Z,171415836072900
"""joinmatrix @ PLlBwSpVjY"" calls 200",2024-04-26T19:05:59.872Z,171415835987200
"""Powel @ 97PJp0u7AV"" bets 200",2024-04-26T19:05:58.692Z,171415835869200
"Flop:  [7♠, 9♥, 5♥]",2024-04-26T19:05:56.436Z,171415835643600
"""Powel @ 97PJp0u7AV"" checks",2024-04-26T19:05:55.633Z,171415835563300
"""joinmatrix @ PLlBwSpVjY"" calls 200",2024-04-26T19:05:51.646Z,171415835164600
"""Powel @ 97PJp0u7AV"" posts a big blind of 200",2024-04-26T19:05:50.164Z,171415835016405
"""joinmatrix @ PLlBwSpVjY"" posts a small blind of 100",2024-04-26T19:05:50.164Z,171415835016404
"Player stacks: #2 ""Powel @ 97PJp0u7AV"" (2445) | #6 ""joinmatrix @ PLlBwSpVjY"" (1765)",2024-04-26T19:05:50.164Z,171415835016401
"-- starting hand #43 (id: 8ckgevntyfyc)  (No Limit Texas Hold'em) (dealer: ""joinmatrix @ PLlBwSpVjY"") --",2024-04-26T19:05:50.164Z,171415835016400
"-- ending hand #42 --",2024-04-26T19:05:47.227Z,171415834722702
"""Powel @ 97PJp0u7AV"" collected 400 from pot",2024-04-26T19:05:47.227Z,171415834722701
"Uncalled bet of 200 returned to ""Powel @ 97PJp0u7AV""",2024-04-26T19:05:47.227Z,171415834722700
"""joinmatrix @ PLlBwSpVjY"" folds",2024-04-26T19:05:46.421Z,171415834642100
"""Powel @ 97PJp0u7AV"" bets 200",2024-04-26T19:05:44.879Z,171415834487900
"""joinmatrix @ PLlBwSpVjY"" checks",2024-04-26T19:05:42.338Z,171415834233800
"Flop:  [A♦, 8♥, 4♦]",2024-04-26T19:05:40.961Z,171415834096100
