entry,at,order
"""BotayLiquer @ 4By2BeU5sr"" folds",2023-12-19T04:51:33.070Z,170296149307000
"""Dustygnome @ gLoN-nlgCO"" calls 40",2023-12-19T04:51:32.134Z,170296149213400
"""Æsop @ HIeZpQn0Lq"" folds",2023-12-19T04:51:30.242Z,170296149024200
"""josh-26 @ RpWqlYQWi3"" calls 40",2023-12-19T04:51:29.187Z,170296148918700
"""Kester Okenya @ JNBa1WUmVp"" calls 40",2023-12-19T04:51:28.143Z,170296148814300
"""vsq4 @ PUcpd0XX6E"" posts a big blind of 40",2023-12-19T04:51:26.067Z,170296148606713
"""smashthategg @ nL7UOwiHi4"" posts a small blind of 20",2023-12-19T04:51:26.067Z,170296148606712
"Your hand is 4♠, 7♣",2023-12-19T04:51:26.067Z,170296148606706
"Player stacks: #2 ""BotayLiquer @ 4By2BeU5sr"" (1200) | #3 ""smashthategg @ nL7UOwiHi4"" (785) | #4 ""vsq4 @ PUcpd0XX6E"" (1620) | #5 ""Kester Okenya @ JNBa1WUmVp"" (1475) | #6 ""josh-26 @ RpWqlYQWi3"" (1080) | #7 ""Æsop @ HIeZpQn0Lq"" (990) | #8 ""Dustygnome @ gLoN-nlgCO"" (850)",2023-12-19T04:51:26.067Z,170296148606704
"-- starting hand #5 (id: v9kuq1u6zls0)  (No Limit Texas Hold'em) (dealer: ""BotayLiquer @ 4By2BeU5sr"") --",2023-12-19T04:51:26.067Z,170296148606703
"The game's big blind was changed from 20 to 40.",2023-12-19T04:51:26.067Z,170296148606702
"The game's small blind was changed from 10 to 20.",2023-12-19T04:51:26.067Z,170296148606701
"The player ""Ynd @ AxO_0soWA5"" quits the game with a stack of 0.",2023-12-19T04:51:26.067Z,170296148606700
"-- ending hand #4 --",2023-12-19T04:51:20.060Z,170296148006001
"""vsq4 @ PUcpd0XX6E"" collected 1480 from pot with Two Pair, A's & J's (combination: A♥, A♠, J♦, J♠, Q♣)",2023-12-19T04:51:20.060Z,170296148006000
"River: A♥, 9♥, 8♣, A♠ [J♠]",2023-12-19T04:51:16.054Z,170296147605400
"Turn: A♥, 9♥, 8♣ [A♠]",2023-12-19T04:51:11.976Z,170296147197600
"Flop:  [A♥, 9♥, 8♣]",2023-12-19T04:51:07.919Z,170296146791900
"""vsq4 @ PUcpd0XX6E"" shows a J♦, Q♣.",2023-12-19T04:51:03.837Z,170296146383702
"""Ynd @ AxO_0soWA5"" shows a Q♥, K♥.",2023-12-19T04:51:03.837Z,170296146383701
"Uncalled bet of 140 returned to ""vsq4 @ PUcpd0XX6E""",2023-12-19T04:51:03.837Z,170296146383700
"""Ynd @ AxO_0soWA5"" calls 665 and go all in",2023-12-19T04:51:02.991Z,170296146299100
"""Dustygnome @ gLoN-nlgCO"" folds",2023-12-19T04:51:02.136Z,170296146213600
"""Kester Okenya @ JNBa1WUmVp"" folds",2023-12-19T04:50:47.437Z,170296144743700
"""vsq4 @ PUcpd0XX6E"" raises to 805 and go all in",2023-12-19T04:50:46.134Z,170296144613400
"""smashthategg @ nL7UOwiHi4"" folds",2023-12-19T04:50:42.847Z,170296144284700
"""BotayLiquer @ 4By2BeU5sr"" folds",2023-12-19T04:50:41.093Z,170296144109300
"""Ynd @ AxO_0soWA5"" raises to 330",2023-12-19T04:50:40.165Z,170296144016500
"""Dustygnome @ gLoN-nlgCO"" calls 60",2023-12-19T04:50:34.974Z,170296143497400
"""Æsop @ HIeZpQn0Lq"" folds",2023-12-19T04:50:34.018Z,170296143401800
"""josh-26 @ RpWqlYQWi3"" folds",2023-12-19T04:50:16.147Z,170296141614700
"""Kester Okenya @ JNBa1WUmVp"" calls 60",2023-12-19T04:50:15.242Z,170296141524200
"""vsq4 @ PUcpd0XX6E"" raises to 60",2023-12-19T04:50:12.920Z,170296141292000
"""smashthategg @ nL7UOwiHi4"" posts a big blind of 20",2023-12-19T04:50:08.096Z,170296140809611
"""BotayLiquer @ 4By2BeU5sr"" posts a small blind of 10",2023-12-19T04:50:08.096Z,170296140809610
"Your hand is K♠, 4♣",2023-12-19T04:50:08.096Z,170296140809604
"Player stacks: #1 ""Ynd @ AxO_0soWA5"" (665) | #2 ""BotayLiquer @ 4By2BeU5sr"" (1210) | #3 ""smashthategg @ nL7UOwiHi4"" (805) | #4 ""vsq4 @ PUcpd0XX6E"" (805) | #5 ""Kester Okenya @ JNBa1WUmVp"" (1535) | #6 ""josh-26 @ RpWqlYQWi3"" (1080) | #7 ""Æsop @ HIeZpQn0Lq"" (990) | #8 ""Dustygnome @ gLoN-nlgCO"" (910)",2023-12-19T04:50:08.096Z,170296140809601
"-- starting hand #4 (id: 3gmbnwhqn9ua)  (No Limit Texas Hold'em) (dealer: ""Ynd @ AxO_0soWA5"") --",2023-12-19T04:50:08.096Z,170296140809600
"-- ending hand #3 --",2023-12-19T04:50:02.021Z,170296140202103
"""Ynd @ AxO_0soWA5"" shows a 8♥, 10♥.",2023-12-19T04:50:02.021Z,170296140202102
"""josh-26 @ RpWqlYQWi3"" collected 220 from pot with Two Pair, A's & 7's (combination: A♥, A♣, 7♦, 7♥, 5♣)",2023-12-19T04:50:02.021Z,170296140202101
"""josh-26 @ RpWqlYQWi3"" shows a A♥, 5♣.",2023-12-19T04:50:02.021Z,170296140202100
"""Dustygnome @ gLoN-nlgCO"" checks",2023-12-19T04:50:01.189Z,170296140118900
"""josh-26 @ RpWqlYQWi3"" checks",2023-12-19T04:49:59.965Z,170296139996500
"""Ynd @ AxO_0soWA5"" checks",2023-12-19T04:49:59.078Z,170296139907800
"River: 7♦, A♣, 7♥, 4♥ [3♦]",2023-12-19T04:49:56.262Z,170296139626200
"""josh-26 @ RpWqlYQWi3"" calls 20",2023-12-19T04:49:55.432Z,170296139543200
"""BotayLiquer @ 4By2BeU5sr"" folds",2023-12-19T04:49:53.306Z,170296139330600
"""Ynd @ AxO_0soWA5"" calls 20",2023-12-19T04:49:52.352Z,170296139235200
"""Dustygnome @ gLoN-nlgCO"" bets 20",2023-12-19T04:49:50.351Z,170296139035100
"""josh-26 @ RpWqlYQWi3"" checks",2023-12-19T04:49:48.836Z,170296138883600
"""BotayLiquer @ 4By2BeU5sr"" checks",2023-12-19T04:49:47.879Z,170296138787900
"""Ynd @ AxO_0soWA5"" checks",2023-12-19T04:49:46.893Z,170296138689300
"Turn: 7♦, A♣, 7♥ [4♥]",2023-12-19T04:49:42.232Z,170296138223200
"""BotayLiquer @ 4By2BeU5sr"" calls 20",2023-12-19T04:49:41.416Z,170296138141600
"""Ynd @ AxO_0soWA5"" calls 20",2023-12-19T04:49:25.830Z,170296136583000
"""Dustygnome @ gLoN-nlgCO"" calls 20",2023-12-19T04:49:24.966Z,170296136496600
"""josh-26 @ RpWqlYQWi3"" bets 20",2023-12-19T04:49:24.033Z,170296136403300
"""BotayLiquer @ 4By2BeU5sr"" checks",2023-12-19T04:49:16.861Z,170296135686100
"""Ynd @ AxO_0soWA5"" checks",2023-12-19T04:49:15.929Z,170296135592900
"Flop:  [7♦, A♣, 7♥]",2023-12-19T04:49:13.141Z,170296135314100
"""BotayLiquer @ 4By2BeU5sr"" checks",2023-12-19T04:49:12.272Z,170296135227200
"""Ynd @ AxO_0soWA5"" calls 20",2023-12-19T04:49:10.374Z,170296135037400
"""Dustygnome @ gLoN-nlgCO"" calls 20",2023-12-19T04:49:09.476Z,170296134947600
"""Æsop @ HIeZpQn0Lq"" folds",2023-12-19T04:49:08.495Z,170296134849500
"""josh-26 @ RpWqlYQWi3"" calls 20",2023-12-19T04:49:07.463Z,170296134746300
"""Kester Okenya @ JNBa1WUmVp"" folds",2023-12-19T04:48:56.915Z,170296133691500
"""vsq4 @ PUcpd0XX6E"" folds",2023-12-19T04:48:55.752Z,170296133575200
"""smashthategg @ nL7UOwiHi4"" folds",2023-12-19T04:48:52.227Z,170296133222700
"""BotayLiquer @ 4By2BeU5sr"" posts a big blind of 20",2023-12-19T04:48:50.612Z,170296133061211
"""Ynd @ AxO_0soWA5"" posts a small blind of 10",2023-12-19T04:48:50.612Z,170296133061210
"Your hand is J♥, 4♦",2023-12-19T04:48:50.612Z,170296133061204
"Player stacks: #1 ""Ynd @ AxO_0soWA5"" (725) | #2 ""BotayLiquer @ 4By2BeU5sr"" (1250) | #3 ""smashthategg @ nL7UOwiHi4"" (805) | #4 ""vsq4 @ PUcpd0XX6E"" (805) | #5 ""Kester Okenya @ JNBa1WUmVp"" (1535) | #6 ""josh-26 @ RpWqlYQWi3"" (920) | #7 ""Æsop @ HIeZpQn0Lq"" (990) | #8 ""Dustygnome @ gLoN-nlgCO"" (970)",2023-12-19T04:48:50.612Z,170296133061201
"-- starting hand #3 (id: s1zlklkzhcht)  (No Limit Texas Hold'em) (dealer: ""Dustygnome @ gLoN-nlgCO"") --",2023-12-19T04:48:50.612Z,170296133061200
"-- ending hand #2 --",2023-12-19T04:48:47.697Z,170296132769702
"""BotayLiquer @ 4By2BeU5sr"" collected 330 from pot",2023-12-19T04:48:47.697Z,170296132769701
"Uncalled bet of 165 returned to ""BotayLiquer @ 4By2BeU5sr""",2023-12-19T04:48:47.697Z,170296132769700
"""Ynd @ AxO_0soWA5"" folds",2023-12-19T04:48:46.824Z,170296132682400
"""josh-26 @ RpWqlYQWi3"" folds",2023-12-19T04:48:40.212Z,170296132021200
"""Kester Okenya @ JNBa1WUmVp"" folds",2023-12-19T04:48:33.389Z,170296131338900
"""BotayLiquer @ 4By2BeU5sr"" bets 165",2023-12-19T04:48:32.190Z,170296131219000
"""Ynd @ AxO_0soWA5"" checks",2023-12-19T04:48:29.756Z,170296130975600
"Turn: 5♦, 8♦, Q♠ [Q♥]",2023-12-19T04:48:25.578Z,170296130557800
"""josh-26 @ RpWqlYQWi3"" checks",2023-12-19T04:48:24.739Z,170296130473900
"""Kester Okenya @ JNBa1WUmVp"" checks",2023-12-19T04:48:18.764Z,170296129876400
"""BotayLiquer @ 4By2BeU5sr"" checks",2023-12-19T04:48:16.956Z,170296129695600
"""Ynd @ AxO_0soWA5"" checks",2023-12-19T04:48:15.944Z,170296129594400
"Flop:  [5♦, 8♦, Q♠]",2023-12-19T04:48:14.173Z,170296129417300
"""Ynd @ AxO_0soWA5"" calls 80",2023-12-19T04:48:13.317Z,170296129331700
"""Dustygnome @ gLoN-nlgCO"" folds",2023-12-19T04:48:12.422Z,170296129242200
"""Æsop @ HIeZpQn0Lq"" folds",2023-12-19T04:48:11.481Z,170296129148100
"""josh-26 @ RpWqlYQWi3"" calls 80",2023-12-19T04:47:45.562Z,170296126556200
"""Kester Okenya @ JNBa1WUmVp"" calls 80",2023-12-19T04:47:39.675Z,170296125967500
"""vsq4 @ PUcpd0XX6E"" folds",2023-12-19T04:47:34.630Z,170296125463000
"""smashthategg @ nL7UOwiHi4"" folds",2023-12-19T04:47:33.508Z,170296125350800
"""BotayLiquer @ 4By2BeU5sr"" raises to 80",2023-12-19T04:47:30.502Z,170296125050200
"""Ynd @ AxO_0soWA5"" posts a big blind of 20",2023-12-19T04:47:25.376Z,170296124537611
"""Dustygnome @ gLoN-nlgCO"" posts a small blind of 10",2023-12-19T04:47:25.376Z,170296124537610
"Your hand is 9♠, 10♣",2023-12-19T04:47:25.376Z,170296124537604
