entry,at,order
"The player ""DaveRave @ BZFIKILR57"" quits the game with a stack of 8000.",2024-04-26T20:22:59.693Z,171416297969300
"The player ""CollectorAnt @ r3Izx81xsd"" quits the game with a stack of 0.",2024-04-26T20:17:05.515Z,171416262551500
"-- ending hand #35 --",2024-04-26T20:16:59.510Z,171416261951001
"""DaveRave @ BZFIKILR57"" collected 3988 from pot with Two Pair, 9's & 7's (combination: 9♣, 9♦, 7♠, 7♦, Q♠)",2024-04-26T20:16:59.510Z,171416261951000
"River: 7♠, 4♥, 6♣, Q♠ [7♦]",2024-04-26T20:16:55.457Z,171416261545700
"Turn: 7♠, 4♥, 6♣ [Q♠]",2024-04-26T20:16:51.452Z,171416261145200
"""DaveRave @ BZFIKILR57"" shows a 9♣, 9♦.",2024-04-26T20:16:47.399Z,171416260739901
"""CollectorAnt @ r3Izx81xsd"" shows a 4♠, 3♠.",2024-04-26T20:16:47.399Z,171416260739900
"""DaveRave @ BZFIKILR57"" calls 1394",2024-04-26T20:16:46.557Z,171416260655700
"""CollectorAnt @ r3Izx81xsd"" raises to 1394 and go all in",2024-04-26T20:16:45.275Z,171416260527500
"""DaveRave @ BZFIKILR57"" bets 900",2024-04-26T20:16:36.513Z,171416259651300
"Flop:  [7♠, 4♥, 6♣]",2024-04-26T20:16:32.670Z,171416259267000
"""CollectorAnt @ r3Izx81xsd"" calls 600",2024-04-26T20:16:31.858Z,171416259185800
"""DaveRave @ BZFIKILR57"" raises to 600",2024-04-26T20:16:27.284Z,171416258728400
"""CollectorAnt @ r3Izx81xsd"" calls 200",2024-04-26T20:16:23.676Z,171416258367600
"""DaveRave @ BZFIKILR57"" posts a big blind of 200",2024-04-26T20:16:20.828Z,171416258082805
"""CollectorAnt @ r3Izx81xsd"" posts a small blind of 100",2024-04-26T20:16:20.828Z,171416258082804
"Player stacks: #3 ""CollectorAnt @ r3Izx81xsd"" (1994) | #5 ""DaveRave @ BZFIKILR57"" (6006)",2024-04-26T20:16:20.828Z,171416258082801
"-- starting hand #35 (id: d5ygixrjibgp)  (No Limit Texas Hold'em) (dealer: ""CollectorAnt @ r3Izx81xsd"") --",2024-04-26T20:16:20.828Z,171416258082800
"-- ending hand #34 --",2024-04-26T20:16:17.821Z,171416257782102
"""CollectorAnt @ r3Izx81xsd"" collected 400 from pot",2024-04-26T20:16:17.821Z,171416257782101
"Uncalled bet of 800 returned to ""CollectorAnt @ r3Izx81xsd""",2024-04-26T20:16:17.821Z,171416257782100
"""DaveRave @ BZFIKILR57"" folds",2024-04-26T20:16:16.923Z,171416257692300
"""CollectorAnt @ r3Izx81xsd"" raises to 1000",2024-04-26T20:16:15.567Z,171416257556700
"""DaveRave @ BZFIKILR57"" calls 200",2024-04-26T20:16:09.063Z,171416256906300
"""CollectorAnt @ r3Izx81xsd"" posts a big blind of 200",2024-04-26T20:16:07.215Z,171416256721506
"""DaveRave @ BZFIKILR57"" posts a small blind of 100",2024-04-26T20:16:07.215Z,171416256721505
"Player stacks: #3 ""CollectorAnt @ r3Izx81xsd"" (1794) | #5 ""DaveRave @ BZFIKILR57"" (6206)",2024-04-26T20:16:07.215Z,171416256721502
"-- starting hand #34 (id: eaa2xfntexwa)  (No Limit Texas Hold'em) (dealer: ""DaveRave @ BZFIKILR57"") --",2024-04-26T20:16:07.215Z,171416256721501
"The player ""aic @ oKzmrGv1VB"" quits the game with a stack of 0.",2024-04-26T20:16:07.215Z,171416256721500
"-- ending hand #33 --",2024-04-26T20:16:01.201Z,171416256120101
"""DaveRave @ BZFIKILR57"" collected 2690 from pot with Flush, Jh High (combination: J♥, 10♥, 9♥, 7♥, 4♥)",2024-04-26T20:16:01.201Z,171416256120100
"River: J♥, 3♣, 7♥, 4♥ [7♣]",2024-04-26T20:15:57.156Z,171416255715600
"Turn: J♥, 3♣, 7♥ [4♥]",2024-04-26T20:15:53.091Z,171416255309100
"Flop:  [J♥, 3♣, 7♥]",2024-04-26T20:15:49.078Z,171416254907800
"""DaveRave @ BZFIKILR57"" shows a 9♥, 10♥.",2024-04-26T20:15:45.073Z,171416254507301
"""aic @ oKzmrGv1VB"" shows a 8♣, 8♥.",2024-04-26T20:15:45.073Z,171416254507300
"""DaveRave @ BZFIKILR57"" calls 1345",2024-04-26T20:15:44.211Z,171416254421100
"""aic @ oKzmrGv1VB"" raises to 1345 and go all in",2024-04-26T20:15:42.975Z,171416254297500
"""CollectorAnt @ r3Izx81xsd"" folds",2024-04-26T20:15:40.060Z,171416254006000
"""DaveRave @ BZFIKILR57"" posts a big blind of 200",2024-04-26T20:15:38.507Z,171416253850706
"""aic @ oKzmrGv1VB"" posts a small blind of 100",2024-04-26T20:15:38.507Z,171416253850705
"Player stacks: #3 ""CollectorAnt @ r3Izx81xsd"" (1794) | #4 ""aic @ oKzmrGv1VB"" (1345) | #5 ""DaveRave @ BZFIKILR57"" (4861)",2024-04-26T20:15:38.507Z,171416253850701
"-- starting hand #33 (id: kczkqoyrrqhf)  (No Limit Texas Hold'em) (dealer: ""CollectorAnt @ r3Izx81xsd"") --",2024-04-26T20:15:38.507Z,171416253850700
"-- ending hand #32 --",2024-04-26T20:15:35.583Z,171416253558302
"""CollectorAnt @ r3Izx81xsd"" collected 1000 from pot",2024-04-26T20:15:35.583Z,171416253558301
"Uncalled bet of 794 returned to ""CollectorAnt @ r3Izx81xsd""",2024-04-26T20:15:35.583Z,171416253558300
"""DaveRave @ BZFIKILR57"" folds",2024-04-26T20:15:34.772Z,171416253477200
"""CollectorAnt @ r3Izx81xsd"" bets 794 and go all in",2024-04-26T20:15:33.478Z,171416253347800
"Flop:  [6♦, 3♥, 4♣]",2024-04-26T20:15:28.294Z,171416252829400
"""DaveRave @ BZFIKILR57"" calls 400",2024-04-26T20:15:27.482Z,171416252748200
"""aic @ oKzmrGv1VB"" folds",2024-04-26T20:15:26.568Z,171416252656800
"""CollectorAnt @ r3Izx81xsd"" raises to 400",2024-04-26T20:15:24.798Z,171416252479800
