entry,at,order
"The player ""Hype Viper @ 6p7FG9t3EW"" quits the game with a stack of 6994.",2024-04-26T18:21:07.287Z,171415566728700
"The player ""akarvat @ oDlSGRCrSp"" quits the game with a stack of 0.",2024-04-26T18:15:13.166Z,171415531316600
"-- ending hand #34 --",2024-04-26T18:15:07.140Z,171415530714001
"""Hype Viper @ 6p7FG9t3EW"" collected 4384 from pot with A High (combination: A♦, K♥, J♣, 9♦, 7♦)",2024-04-26T18:15:07.140Z,171415530714000
"River: K♥, 7♦, 6♥, J♣ [5♠]",2024-04-26T18:15:03.120Z,171415530312000
"Turn: K♥, 7♦, 6♥ [J♣]",2024-04-26T18:14:59.079Z,171415529907900
"Flop:  [K♥, 7♦, 6♥]",2024-04-26T18:14:55.049Z,171415529504900
"""Hype Viper @ 6p7FG9t3EW"" shows a A♦, 9♦.",2024-04-26T18:14:50.997Z,171415529099701
"""akarvat @ oDlSGRCrSp"" shows a A♥, 4♦.",2024-04-26T18:14:50.997Z,171415529099700
"""Hype Viper @ 6p7FG9t3EW"" calls 2192",2024-04-26T18:14:50.152Z,171415529015200
"""akarvat @ oDlSGRCrSp"" raises to 2192 and go all in",2024-04-26T18:14:48.515Z,171415528851500
"""Hype Viper @ 6p7FG9t3EW"" calls 100",2024-04-26T18:14:45.607Z,171415528560700
"""akarvat @ oDlSGRCrSp"" posts a big blind of 100",2024-04-26T18:14:43.656Z,171415528365605
"""Hype Viper @ 6p7FG9t3EW"" posts a small blind of 50",2024-04-26T18:14:43.656Z,171415528365604
"Player stacks: #3 ""akarvat @ oDlSGRCrSp"" (2192) | #6 ""Hype Viper @ 6p7FG9t3EW"" (4802)",2024-04-26T18:14:43.656Z,171415528365601
"-- starting hand #34 (id: dvmm0s4gtur3)  (No Limit Texas Hold'em) (dealer: ""Hype Viper @ 6p7FG9t3EW"") --",2024-04-26T18:14:43.656Z,171415528365600
"-- ending hand #33 --",2024-04-26T18:14:40.727Z,171415528072702
"""akarvat @ oDlSGRCrSp"" collected 200 from pot",2024-04-26T18:14:40.727Z,171415528072701
"Uncalled bet of 1992 returned to ""akarvat @ oDlSGRCrSp""",2024-04-26T18:14:40.727Z,171415528072700
"""Hype Viper @ 6p7FG9t3EW"" folds",2024-04-26T18:14:39.869Z,171415527986900
"""akarvat @ oDlSGRCrSp"" raises to 2092 and go all in",2024-04-26T18:14:38.330Z,171415527833000
"""Hype Viper @ 6p7FG9t3EW"" posts a big blind of 100",2024-04-26T18:14:35.162Z,171415527516205
"""akarvat @ oDlSGRCrSp"" posts a small blind of 50",2024-04-26T18:14:35.162Z,171415527516204
"Player stacks: #3 ""akarvat @ oDlSGRCrSp"" (2092) | #6 ""Hype Viper @ 6p7FG9t3EW"" (4902)",2024-04-26T18:14:35.162Z,171415527516201
"-- starting hand #33 (id: ch5etl6f9oev)  (No Limit Texas Hold'em) (dealer: ""akarvat @ oDlSGRCrSp"") --",2024-04-26T18:14:35.162Z,171415527516200
"""akarvat @ oDlSGRCrSp"" shows a 6♣, 8♦.",2024-04-26T18:14:30.280Z,171415527028000
"-- ending hand #32 --",2024-04-26T18:14:28.644Z,171415526864402
"""Hype Viper @ 6p7FG9t3EW"" collected 800 from pot with Two Pair, K's & 6's (combination: K♠, K♣, 6♥, 6♦, 10♥)",2024-04-26T18:14:28.644Z,171415526864401
"""Hype Viper @ 6p7FG9t3EW"" shows a 10♥, 6♥.",2024-04-26T18:14:28.644Z,171415526864400
"""akarvat @ oDlSGRCrSp"" calls 100",2024-04-26T18:14:27.805Z,171415526780500
"""Hype Viper @ 6p7FG9t3EW"" bets 100",2024-04-26T18:14:26.657Z,171415526665700
"""akarvat @ oDlSGRCrSp"" checks",2024-04-26T18:14:24.499Z,171415526449900
"River: K♠, K♣, 6♦, 2♥ [5♥]",2024-04-26T18:14:24.046Z,171415526404600
"""akarvat @ oDlSGRCrSp"" calls 100",2024-04-26T18:14:23.220Z,171415526322000
"""Hype Viper @ 6p7FG9t3EW"" bets 100",2024-04-26T18:14:21.736Z,171415526173600
"""akarvat @ oDlSGRCrSp"" checks",2024-04-26T18:14:19.271Z,171415525927100
"Turn: K♠, K♣, 6♦ [2♥]",2024-04-26T18:14:18.527Z,171415525852700
"""Hype Viper @ 6p7FG9t3EW"" calls 100",2024-04-26T18:14:17.720Z,171415525772000
"""akarvat @ oDlSGRCrSp"" bets 100",2024-04-26T18:14:12.804Z,171415525280400
"Flop:  [K♠, K♣, 6♦]",2024-04-26T18:14:10.071Z,171415525007100
"""akarvat @ oDlSGRCrSp"" checks",2024-04-26T18:14:09.264Z,171415524926400
"""Hype Viper @ 6p7FG9t3EW"" calls 100",2024-04-26T18:14:07.778Z,171415524777800
"""akarvat @ oDlSGRCrSp"" posts a big blind of 100",2024-04-26T18:14:06.266Z,171415524626605
"""Hype Viper @ 6p7FG9t3EW"" posts a small blind of 50",2024-04-26T18:14:06.266Z,171415524626604
"Player stacks: #3 ""akarvat @ oDlSGRCrSp"" (2492) | #6 ""Hype Viper @ 6p7FG9t3EW"" (4502)",2024-04-26T18:14:06.266Z,171415524626601
"-- starting hand #32 (id: noes5mk5wi3w)  (No Limit Texas Hold'em) (dealer: ""Hype Viper @ 6p7FG9t3EW"") --",2024-04-26T18:14:06.266Z,171415524626600
"-- ending hand #31 --",2024-04-26T18:14:03.313Z,171415524331302
"""akarvat @ oDlSGRCrSp"" collected 200 from pot",2024-04-26T18:14:03.313Z,171415524331301
"Uncalled bet of 2292 returned to ""akarvat @ oDlSGRCrSp""",2024-04-26T18:14:03.313Z,171415524331300
"""Hype Viper @ 6p7FG9t3EW"" folds",2024-04-26T18:14:02.508Z,171415524250800
"""akarvat @ oDlSGRCrSp"" raises to 2392 and go all in",2024-04-26T18:14:01.063Z,171415524106300
"""Hype Viper @ 6p7FG9t3EW"" posts a big blind of 100",2024-04-26T18:13:57.255Z,171415523725505
"""akarvat @ oDlSGRCrSp"" posts a small blind of 50",2024-04-26T18:13:57.255Z,171415523725504
"Player stacks: #3 ""akarvat @ oDlSGRCrSp"" (2392) | #6 ""Hype Viper @ 6p7FG9t3EW"" (4602)",2024-04-26T18:13:57.255Z,171415523725501
"-- starting hand #31 (id: pbys0hfmffzo)  (No Limit Texas Hold'em) (dealer: ""akarvat @ oDlSGRCrSp"") --",2024-04-26T18:13:57.255Z,171415523725500
"-- ending hand #30 --",2024-04-26T18:13:54.254Z,171415523425402
"""Hype Viper @ 6p7FG9t3EW"" collected 200 from pot",2024-04-26T18:13:54.254Z,171415523425401
"Uncalled bet of 200 returned to ""Hype Viper @ 6p7FG9t3EW""",2024-04-26T18:13:54.254Z,171415523425400
"""akarvat @ oDlSGRCrSp"" folds",2024-04-26T18:13:53.385Z,171415523338500
"""Hype Viper @ 6p7FG9t3EW"" bets 200",2024-04-26T18:13:52.232Z,171415523223200
"""akarvat @ oDlSGRCrSp"" checks",2024-04-26T18:13:46.993Z,171415522699300
"Flop:  [J♥, A♦, 8♠]",2024-04-26T18:13:45.797Z,171415522579700
"""akarvat @ oDlSGRCrSp"" checks",2024-04-26T18:13:44.971Z,171415522497100
"""Hype Viper @ 6p7FG9t3EW"" calls 100",2024-04-26T18:13:43.584Z,171415522358400
"""akarvat @ oDlSGRCrSp"" posts a big blind of 100",2024-04-26T18:13:41.394Z,171415522139405
"""Hype Viper @ 6p7FG9t3EW"" posts a small blind of 50",2024-04-26T18:13:41.394Z,171415522139404
"Player stacks: #3 ""akarvat @ oDlSGRCrSp"" (2492) | #6 ""Hype Viper @ 6p7FG9t3EW"" (4502)",2024-04-26T18:13:41.394Z,171415522139401
"-- starting hand #30 (id: znyc5yq4m02v)  (No Limit Texas Hold'em) (dealer: ""Hype Viper @ 6p7FG9t3EW"") --",2024-04-26T18:13:41.394Z,171415522139400
"-- ending hand #29 --",2024-04-26T18:13:38.391Z,171415521839102
"""akarvat @ oDlSGRCrSp"" collected 200 from pot",2024-04-26T18:13:38.391Z,171415521839101
"Uncalled bet of 2292 returned to ""akarvat @ oDlSGRCrSp""",2024-04-26T18:13:38.391Z,171415521839100
"""Hype Viper @ 6p7FG9t3EW"" folds",2024-04-26T18:13:37.514Z,171415521751400
"""akarvat @ oDlSGRCrSp"" raises to 2392 and go all in",2024-04-26T18:13:36.217Z,171415521621700
