entry,at,order
"The player ""fedgames @ kAmBH56ZPo"" quits the game with a stack of 7000.",2024-04-26T18:14:41.052Z,171415528105200
"The player ""JurgBean @ XWESiVcu1R"" quits the game with a stack of 0.",2024-04-26T18:09:10.163Z,171415495016300
"-- ending hand #47 --",2024-04-26T18:09:04.150Z,171415494415001
"""fedgames @ kAmBH56ZPo"" collected 3110 from pot with Pair, K's (combination: K♣, K♦, Q♥, 10♠, 7♦)",2024-04-26T18:09:04.150Z,171415494415000
"River: K♦, 2♥, 10♠, 4♣ [7♦]",2024-04-26T18:09:00.106Z,171415494010600
"""fedgames @ kAmBH56ZPo"" shows a K♣, Q♥.",2024-04-26T18:08:56.036Z,171415493603601
"""JurgBean @ XWESiVcu1R"" shows a K♥, 8♠.",2024-04-26T18:08:56.036Z,171415493603600
"""JurgBean @ XWESiVcu1R"" calls 955 and go all in",2024-04-26T18:08:55.174Z,171415493517400
"""fedgames @ kAmBH56ZPo"" raises to 955",2024-04-26T18:08:54.108Z,171415493410800
"""JurgBean @ XWESiVcu1R"" bets 600",2024-04-26T18:08:51.753Z,171415493175300
"Turn: K♦, 2♥, 10♠ [4♣]",2024-04-26T18:08:47.816Z,171415492781600
"""fedgames @ kAmBH56ZPo"" calls 400",2024-04-26T18:08:46.999Z,171415492699900
"""JurgBean @ XWESiVcu1R"" bets 400",2024-04-26T18:08:41.005Z,171415492100500
"Flop:  [K♦, 2♥, 10♠]",2024-04-26T18:08:36.799Z,171415491679900
"""JurgBean @ XWESiVcu1R"" checks",2024-04-26T18:08:35.955Z,171415491595500
"""fedgames @ kAmBH56ZPo"" calls 200",2024-04-26T18:08:35.105Z,171415491510500
"""JurgBean @ XWESiVcu1R"" posts a big blind of 200",2024-04-26T18:08:32.459Z,171415491245905
"""fedgames @ kAmBH56ZPo"" posts a small blind of 100",2024-04-26T18:08:32.459Z,171415491245904
"Player stacks: #3 ""JurgBean @ XWESiVcu1R"" (1555) | #6 ""fedgames @ kAmBH56ZPo"" (5445)",2024-04-26T18:08:32.459Z,171415491245901
"-- starting hand #47 (id: 2axoytd992ou)  (No Limit Texas Hold'em) (dealer: ""fedgames @ kAmBH56ZPo"") --",2024-04-26T18:08:32.459Z,171415491245900
"-- ending hand #46 --",2024-04-26T18:08:29.539Z,171415490953902
"""fedgames @ kAmBH56ZPo"" collected 200 from pot",2024-04-26T18:08:29.539Z,171415490953901
