entry,at,order
"The player ""Shawnkemp40 @ QXdSGW8z2a"" quits the game with a stack of 8000.",2024-04-17T20:21:50.406Z,171338531040600
"The player ""CottonBet @ gzP8GfAb7P"" quits the game with a stack of 0.",2024-04-17T20:16:08.388Z,171338496838800
"-- ending hand #112 --",2024-04-17T20:16:02.338Z,171338496233801
"""Shawnkemp40 @ QXdSGW8z2a"" collected 2184 from pot with Straight, 5 High (combination: 5♠, 4♦, 3♥, 2♣, A♦)",2024-04-17T20:16:02.338Z,171338496233800
"River: K♥, J♦, 5♠, 4♦ [3♥]",2024-04-17T20:15:58.323Z,171338495832300
"Turn: K♥, J♦, 5♠ [4♦]",2024-04-17T20:15:54.319Z,171338495431900
"Flop:  [K♥, J♦, 5♠]",2024-04-17T20:15:50.317Z,171338495031700
"""CottonBet @ gzP8GfAb7P"" shows a 4♥, 5♦.",2024-04-17T20:15:46.313Z,171338494631301
"""Shawnkemp40 @ QXdSGW8z2a"" shows a 2♣, A♦.",2024-04-17T20:15:46.313Z,171338494631300
"""CottonBet @ gzP8GfAb7P"" calls 1092 and go all in",2024-04-17T20:15:45.508Z,171338494550800
"""Shawnkemp40 @ QXdSGW8z2a"" raises to 1092",2024-04-17T20:15:36.077Z,171338493607700
"""CottonBet @ gzP8GfAb7P"" posts a big blind of 600",2024-04-17T20:15:32.974Z,171338493297405
"""Shawnkemp40 @ QXdSGW8z2a"" posts a small blind of 300",2024-04-17T20:15:32.974Z,171338493297404
"Player stacks: #5 ""Shawnkemp40 @ QXdSGW8z2a"" (6908) | #8 ""CottonBet @ gzP8GfAb7P"" (1092)",2024-04-17T20:15:32.974Z,171338493297401
"-- starting hand #112 (id: vveabodnrg61)  (No Limit Texas Hold'em) (dealer: ""Shawnkemp40 @ QXdSGW8z2a"") --",2024-04-17T20:15:32.974Z,171338493297400
"""Shawnkemp40 @ QXdSGW8z2a"" shows a 4♦, 3♦.",2024-04-17T20:15:29.813Z,171338492981300
"-- ending hand #111 --",2024-04-17T20:15:29.368Z,171338492936802
"""Shawnkemp40 @ QXdSGW8z2a"" collected 600 from pot",2024-04-17T20:15:29.368Z,171338492936801
"Uncalled bet of 300 returned to ""Shawnkemp40 @ QXdSGW8z2a""",2024-04-17T20:15:29.368Z,171338492936800
"""CottonBet @ gzP8GfAb7P"" folds",2024-04-17T20:15:28.495Z,171338492849500
"""Shawnkemp40 @ QXdSGW8z2a"" posts a big blind of 600",2024-04-17T20:15:18.547Z,171338491854705
"""CottonBet @ gzP8GfAb7P"" posts a small blind of 300",2024-04-17T20:15:18.547Z,171338491854704
"Player stacks: #5 ""Shawnkemp40 @ QXdSGW8z2a"" (6608) | #8 ""CottonBet @ gzP8GfAb7P"" (1392)",2024-04-17T20:15:18.547Z,171338491854701
"-- starting hand #111 (id: se6f0u6w59ik)  (No Limit Texas Hold'em) (dealer: ""CottonBet @ gzP8GfAb7P"") --",2024-04-17T20:15:18.547Z,171338491854700
"-- ending hand #110 --",2024-04-17T20:15:15.619Z,171338491561902
"""CottonBet @ gzP8GfAb7P"" collected 600 from pot",2024-04-17T20:15:15.619Z,171338491561901
"Uncalled bet of 300 returned to ""CottonBet @ gzP8GfAb7P""",2024-04-17T20:15:15.619Z,171338491561900
"""Shawnkemp40 @ QXdSGW8z2a"" folds",2024-04-17T20:15:14.799Z,171338491479900
"""CottonBet @ gzP8GfAb7P"" posts a big blind of 600",2024-04-17T20:15:12.340Z,171338491234005
"""Shawnkemp40 @ QXdSGW8z2a"" posts a small blind of 300",2024-04-17T20:15:12.340Z,171338491234004
"Player stacks: #5 ""Shawnkemp40 @ QXdSGW8z2a"" (6908) | #8 ""CottonBet @ gzP8GfAb7P"" (1092)",2024-04-17T20:15:12.340Z,171338491234001
"-- starting hand #110 (id: ikmgisefkkk6)  (No Limit Texas Hold'em) (dealer: ""Shawnkemp40 @ QXdSGW8z2a"") --",2024-04-17T20:15:12.340Z,171338491234000
"""Shawnkemp40 @ QXdSGW8z2a"" shows a Q♦, J♥.",2024-04-17T20:15:09.097Z,171338490909700
"-- ending hand #109 --",2024-04-17T20:15:08.680Z,171338490868002
"""Shawnkemp40 @ QXdSGW8z2a"" collected 600 from pot",2024-04-17T20:15:08.680Z,171338490868001
"Uncalled bet of 300 returned to ""Shawnkemp40 @ QXdSGW8z2a""",2024-04-17T20:15:08.680Z,171338490868000
"""CottonBet @ gzP8GfAb7P"" folds",2024-04-17T20:15:07.865Z,171338490786500
"""Shawnkemp40 @ QXdSGW8z2a"" posts a big blind of 600",2024-04-17T20:15:05.526Z,171338490552605
"""CottonBet @ gzP8GfAb7P"" posts a small blind of 300",2024-04-17T20:15:05.526Z,171338490552604
"Player stacks: #5 ""Shawnkemp40 @ QXdSGW8z2a"" (6608) | #8 ""CottonBet @ gzP8GfAb7P"" (1392)",2024-04-17T20:15:05.526Z,171338490552601
"-- starting hand #109 (id: ym0prmv9ccwi)  (No Limit Texas Hold'em) (dealer: ""CottonBet @ gzP8GfAb7P"") --",2024-04-17T20:15:05.526Z,171338490552600
"-- ending hand #108 --",2024-04-17T20:15:02.596Z,171338490259602
"""CottonBet @ gzP8GfAb7P"" collected 600 from pot",2024-04-17T20:15:02.596Z,171338490259601
"Uncalled bet of 300 returned to ""CottonBet @ gzP8GfAb7P""",2024-04-17T20:15:02.596Z,171338490259600
"""Shawnkemp40 @ QXdSGW8z2a"" folds",2024-04-17T20:15:01.784Z,171338490178400
"""CottonBet @ gzP8GfAb7P"" posts a big blind of 600",2024-04-17T20:15:00.467Z,171338490046705
"""Shawnkemp40 @ QXdSGW8z2a"" posts a small blind of 300",2024-04-17T20:15:00.467Z,171338490046704
"Player stacks: #5 ""Shawnkemp40 @ QXdSGW8z2a"" (6908) | #8 ""CottonBet @ gzP8GfAb7P"" (1092)",2024-04-17T20:15:00.467Z,171338490046701
"-- starting hand #108 (id: rfql4bjkbbwc)  (No Limit Texas Hold'em) (dealer: ""Shawnkemp40 @ QXdSGW8z2a"") --",2024-04-17T20:15:00.467Z,171338490046700
"-- ending hand #107 --",2024-04-17T20:14:54.456Z,171338489445602
"""Shawnkemp40 @ QXdSGW8z2a"" collected 2400 from pot with Pair, 3's (combination: 3♥, 3♣, A♣, J♠, 6♠)",2024-04-17T20:14:54.456Z,171338489445601
"""Shawnkemp40 @ QXdSGW8z2a"" shows a A♣, 2♥.",2024-04-17T20:14:54.456Z,171338489445600
"""CottonBet @ gzP8GfAb7P"" checks",2024-04-17T20:14:53.645Z,171338489364500
"""Shawnkemp40 @ QXdSGW8z2a"" checks",2024-04-17T20:14:52.182Z,171338489218200
"River: 3♥, J♠, 3♣, 6♠ [4♣]",2024-04-17T20:14:51.312Z,171338489131200
"""Shawnkemp40 @ QXdSGW8z2a"" calls 600",2024-04-17T20:14:50.468Z,171338489046800
"""CottonBet @ gzP8GfAb7P"" bets 600",2024-04-17T20:14:39.240Z,171338487924000
"""Shawnkemp40 @ QXdSGW8z2a"" checks",2024-04-17T20:14:37.796Z,171338487779600
"Turn: 3♥, J♠, 3♣ [6♠]",2024-04-17T20:14:36.488Z,171338487648800
"""CottonBet @ gzP8GfAb7P"" checks",2024-04-17T20:14:35.670Z,171338487567000
"""Shawnkemp40 @ QXdSGW8z2a"" checks",2024-04-17T20:14:33.760Z,171338487376000
"Flop:  [3♥, J♠, 3♣]",2024-04-17T20:14:31.408Z,171338487140800
"""Shawnkemp40 @ QXdSGW8z2a"" checks",2024-04-17T20:14:30.568Z,171338487056800
"""CottonBet @ gzP8GfAb7P"" calls 600",2024-04-17T20:14:29.569Z,171338486956900
"""Shawnkemp40 @ QXdSGW8z2a"" posts a big blind of 600",2024-04-17T20:14:25.954Z,171338486595407
"""CottonBet @ gzP8GfAb7P"" posts a small blind of 300",2024-04-17T20:14:25.954Z,171338486595406
"Player stacks: #5 ""Shawnkemp40 @ QXdSGW8z2a"" (5708) | #8 ""CottonBet @ gzP8GfAb7P"" (2292)",2024-04-17T20:14:25.954Z,171338486595403
"-- starting hand #107 (id: czlzc2lkfmmd)  (No Limit Texas Hold'em) (dealer: ""CottonBet @ gzP8GfAb7P"") --",2024-04-17T20:14:25.954Z,171338486595402
"The game's big blind was changed from 500 to 600.",2024-04-17T20:14:25.954Z,171338486595401
"The game's small blind was changed from 250 to 300.",2024-04-17T20:14:25.954Z,171338486595400
"-- ending hand #106 --",2024-04-17T20:14:19.941Z,171338485994101
"""Shawnkemp40 @ QXdSGW8z2a"" collected 5708 from pot with Pair, A's (combination: A♠, A♥, K♠, J♥, 9♣)",2024-04-17T20:14:19.941Z,171338485994100
"River: 2♦, A♥, 4♦, J♥ [9♣]",2024-04-17T20:14:15.912Z,171338485591200
"Turn: 2♦, A♥, 4♦ [J♥]",2024-04-17T20:14:11.909Z,171338485190900
"""CottonBet @ gzP8GfAb7P"" shows a 5♣, 5♠.",2024-04-17T20:14:07.841Z,171338484784101
"""Shawnkemp40 @ QXdSGW8z2a"" shows a K♠, A♠.",2024-04-17T20:14:07.841Z,171338484784100
"""CottonBet @ gzP8GfAb7P"" calls 1854",2024-04-17T20:14:07.015Z,171338484701500
"""Shawnkemp40 @ QXdSGW8z2a"" bets 1854 and go all in",2024-04-17T20:14:00.972Z,171338484097200
"""CottonBet @ gzP8GfAb7P"" checks",2024-04-17T20:13:54.566Z,171338483456600
"Flop:  [2♦, A♥, 4♦]",2024-04-17T20:13:48.131Z,171338482813100
"""CottonBet @ gzP8GfAb7P"" calls 1000",2024-04-17T20:13:47.285Z,171338482728500
"""Shawnkemp40 @ QXdSGW8z2a"" raises to 1000",2024-04-17T20:13:46.046Z,171338482604600
"""CottonBet @ gzP8GfAb7P"" posts a big blind of 500",2024-04-17T20:13:43.915Z,171338482391505
"""Shawnkemp40 @ QXdSGW8z2a"" posts a small blind of 250",2024-04-17T20:13:43.915Z,171338482391504
"Player stacks: #5 ""Shawnkemp40 @ QXdSGW8z2a"" (2854) | #8 ""CottonBet @ gzP8GfAb7P"" (5146)",2024-04-17T20:13:43.915Z,171338482391501
"-- starting hand #106 (id: ekyjpguswyus)  (No Limit Texas Hold'em) (dealer: ""Shawnkemp40 @ QXdSGW8z2a"") --",2024-04-17T20:13:43.915Z,171338482391500
"-- ending hand #105 --",2024-04-17T20:13:40.986Z,171338482098602
"""Shawnkemp40 @ QXdSGW8z2a"" collected 500 from pot",2024-04-17T20:13:40.986Z,171338482098601
"Uncalled bet of 250 returned to ""Shawnkemp40 @ QXdSGW8z2a""",2024-04-17T20:13:40.986Z,171338482098600
"""CottonBet @ gzP8GfAb7P"" folds",2024-04-17T20:13:40.136Z,171338482013600
"""Shawnkemp40 @ QXdSGW8z2a"" posts a big blind of 500",2024-04-17T20:13:37.183Z,171338481718305
"""CottonBet @ gzP8GfAb7P"" posts a small blind of 250",2024-04-17T20:13:37.183Z,171338481718304
"Player stacks: #5 ""Shawnkemp40 @ QXdSGW8z2a"" (2604) | #8 ""CottonBet @ gzP8GfAb7P"" (5396)",2024-04-17T20:13:37.183Z,171338481718301
"-- starting hand #105 (id: dgtkskc2youi)  (No Limit Texas Hold'em) (dealer: ""CottonBet @ gzP8GfAb7P"") --",2024-04-17T20:13:37.183Z,171338481718300
"""Shawnkemp40 @ QXdSGW8z2a"" shows a 10♣, A♦.",2024-04-17T20:13:34.682Z,171338481468200
