entry,at,order
"The player ""mr. lambert @ cv4vc9wMU_"" quits the game with a stack of 7010.",2024-04-17T20:12:18.192Z,171338473819200
"The player ""Lyrialas @ PYUbhE9YTm"" quits the game with a stack of 0.",2024-04-17T20:06:37.168Z,171338439716800
"-- ending hand #53 --",2024-04-17T20:06:31.138Z,171338439113801
"""mr. lambert @ cv4vc9wMU_"" collected 2428 from pot with Pair, A's (combination: A♠, A♦, Q♣, 9♣, 8♠)",2024-04-17T20:06:31.138Z,171338439113800
"River: 7♣, 2♦, 8♠, 9♣ [Q♣]",2024-04-17T20:06:27.110Z,171338438711000
"Turn: 7♣, 2♦, 8♠ [9♣]",2024-04-17T20:06:23.063Z,171338438306300
"""Lyrialas @ PYUbhE9YTm"" shows a 8♥, 4♠.",2024-04-17T20:06:19.016Z,171338437901601
"""mr. lambert @ cv4vc9wMU_"" shows a A♠, A♦.",2024-04-17T20:06:19.016Z,171338437901600
"""mr. lambert @ cv4vc9wMU_"" calls 914",2024-04-17T20:06:18.115Z,171338437811500
"""Lyrialas @ PYUbhE9YTm"" bets 914 and go all in",2024-04-17T20:06:12.257Z,171338437225700
"Flop:  [7♣, 2♦, 8♠]",2024-04-17T20:06:09.407Z,171338436940700
"""Lyrialas @ PYUbhE9YTm"" calls 300",2024-04-17T20:06:08.511Z,171338436851100
"""mr. lambert @ cv4vc9wMU_"" raises to 300",2024-04-17T20:06:03.617Z,171338436361700
"""Lyrialas @ PYUbhE9YTm"" posts a big blind of 150",2024-04-17T20:06:01.229Z,171338436122905
"""mr. lambert @ cv4vc9wMU_"" posts a small blind of 75",2024-04-17T20:06:01.229Z,171338436122904
"Player stacks: #3 ""mr. lambert @ cv4vc9wMU_"" (5796) | #7 ""Lyrialas @ PYUbhE9YTm"" (1214)",2024-04-17T20:06:01.229Z,171338436122901
"-- starting hand #53 (id: h6hy0l48u8hz)  (No Limit Texas Hold'em) (dealer: ""mr. lambert @ cv4vc9wMU_"") --",2024-04-17T20:06:01.229Z,171338436122900
"-- ending hand #52 --",2024-04-17T20:05:58.281Z,171338435828102
"""mr. lambert @ cv4vc9wMU_"" collected 300 from pot",2024-04-17T20:05:58.281Z,171338435828101
"Uncalled bet of 150 returned to ""mr. lambert @ cv4vc9wMU_""",2024-04-17T20:05:58.281Z,171338435828100
"""Lyrialas @ PYUbhE9YTm"" folds",2024-04-17T20:05:57.450Z,171338435745000
"""mr. lambert @ cv4vc9wMU_"" bets 150",2024-04-17T20:05:54.571Z,171338435457100
"Flop:  [3♠, Q♠, J♣]",2024-04-17T20:05:51.998Z,171338435199800
"""mr. lambert @ cv4vc9wMU_"" checks",2024-04-17T20:05:51.183Z,171338435118300
"""Lyrialas @ PYUbhE9YTm"" calls 150",2024-04-17T20:05:48.531Z,171338434853100
"""mr. lambert @ cv4vc9wMU_"" posts a big blind of 150",2024-04-17T20:05:46.875Z,171338434687505
"""Lyrialas @ PYUbhE9YTm"" posts a small blind of 75",2024-04-17T20:05:46.875Z,171338434687504
"Player stacks: #3 ""mr. lambert @ cv4vc9wMU_"" (5646) | #7 ""Lyrialas @ PYUbhE9YTm"" (1364)",2024-04-17T20:05:46.875Z,171338434687501
"-- starting hand #52 (id: ujwrzvaigbig)  (No Limit Texas Hold'em) (dealer: ""Lyrialas @ PYUbhE9YTm"") --",2024-04-17T20:05:46.875Z,171338434687500
"-- ending hand #51 --",2024-04-17T20:05:43.938Z,171338434393802
"""mr. lambert @ cv4vc9wMU_"" collected 900 from pot",2024-04-17T20:05:43.938Z,171338434393801
"Uncalled bet of 150 returned to ""mr. lambert @ cv4vc9wMU_""",2024-04-17T20:05:43.938Z,171338434393800
"""Lyrialas @ PYUbhE9YTm"" folds",2024-04-17T20:05:43.084Z,171338434308400
"""mr. lambert @ cv4vc9wMU_"" raises to 300",2024-04-17T20:05:35.442Z,171338433544200
"""Lyrialas @ PYUbhE9YTm"" bets 150",2024-04-17T20:05:25.939Z,171338432593900
"Turn: 7♣, J♣, 3♥ [J♥]",2024-04-17T20:05:24.316Z,171338432431600
"""mr. lambert @ cv4vc9wMU_"" calls 150",2024-04-17T20:05:23.487Z,171338432348700
"""Lyrialas @ PYUbhE9YTm"" bets 150",2024-04-17T20:05:17.610Z,171338431761000
"Flop:  [7♣, J♣, 3♥]",2024-04-17T20:05:14.801Z,171338431480100
"""Lyrialas @ PYUbhE9YTm"" checks",2024-04-17T20:05:13.977Z,171338431397700
"""mr. lambert @ cv4vc9wMU_"" calls 150",2024-04-17T20:05:12.476Z,171338431247600
"""Lyrialas @ PYUbhE9YTm"" posts a big blind of 150",2024-04-17T20:05:09.922Z,171338430992205
"""mr. lambert @ cv4vc9wMU_"" posts a small blind of 75",2024-04-17T20:05:09.922Z,171338430992204
"Player stacks: #3 ""mr. lambert @ cv4vc9wMU_"" (5196) | #7 ""Lyrialas @ PYUbhE9YTm"" (1814)",2024-04-17T20:05:09.922Z,171338430992201
"-- starting hand #51 (id: 1nzovosv5vnx)  (No Limit Texas Hold'em) (dealer: ""mr. lambert @ cv4vc9wMU_"") --",2024-04-17T20:05:09.922Z,171338430992200
"-- ending hand #50 --",2024-04-17T20:05:06.997Z,171338430699702
"""mr. lambert @ cv4vc9wMU_"" collected 150 from pot",2024-04-17T20:05:06.997Z,171338430699701
"Uncalled bet of 75 returned to ""mr. lambert @ cv4vc9wMU_""",2024-04-17T20:05:06.997Z,171338430699700
"""Lyrialas @ PYUbhE9YTm"" folds",2024-04-17T20:05:06.153Z,171338430615300
"""mr. lambert @ cv4vc9wMU_"" posts a big blind of 150",2024-04-17T20:05:04.401Z,171338430440105
"""Lyrialas @ PYUbhE9YTm"" posts a small blind of 75",2024-04-17T20:05:04.401Z,171338430440104
"Player stacks: #3 ""mr. lambert @ cv4vc9wMU_"" (5121) | #7 ""Lyrialas @ PYUbhE9YTm"" (1889)",2024-04-17T20:05:04.401Z,171338430440101
"-- starting hand #50 (id: cdydsebeku4r)  (No Limit Texas Hold'em) (dealer: ""Lyrialas @ PYUbhE9YTm"") --",2024-04-17T20:05:04.401Z,171338430440100
"-- ending hand #49 --",2024-04-17T20:05:01.492Z,171338430149202
"""mr. lambert @ cv4vc9wMU_"" collected 300 from pot",2024-04-17T20:05:01.492Z,171338430149201
"Uncalled bet of 300 returned to ""mr. lambert @ cv4vc9wMU_""",2024-04-17T20:05:01.492Z,171338430149200
"""Lyrialas @ PYUbhE9YTm"" folds",2024-04-17T20:05:00.677Z,171338430067700
"""mr. lambert @ cv4vc9wMU_"" raises to 450",2024-04-17T20:04:59.177Z,171338429917700
"""Lyrialas @ PYUbhE9YTm"" posts a big blind of 150",2024-04-17T20:04:54.325Z,171338429432505
"""mr. lambert @ cv4vc9wMU_"" posts a small blind of 75",2024-04-17T20:04:54.325Z,171338429432504
"Player stacks: #3 ""mr. lambert @ cv4vc9wMU_"" (4971) | #7 ""Lyrialas @ PYUbhE9YTm"" (2039)",2024-04-17T20:04:54.325Z,171338429432501
"-- starting hand #49 (id: begtgncfubof)  (No Limit Texas Hold'em) (dealer: ""mr. lambert @ cv4vc9wMU_"") --",2024-04-17T20:04:54.325Z,171338429432500
"-- ending hand #48 --",2024-04-17T20:04:51.378Z,171338429137802
