entry,at,order
"The player ""Voice @ wYIAdQziQD"" quits the game with a stack of 8000.",2024-04-17T21:25:25.583Z,171338912558300
"The player ""ancher @ 5hPrAv6Lsh"" quits the game with a stack of 0.",2024-04-17T21:19:25.510Z,171338876551000
"-- ending hand #29 --",2024-04-17T21:19:19.497Z,171338875949701
"""Voice @ wYIAdQziQD"" collected 4420 from pot with Full House, K's over A's (combination: K♥, K♦, K♣, A♥, A♠)",2024-04-17T21:19:19.497Z,171338875949700
"River: K♦, 10♣, A♥, K♣ [A♠]",2024-04-17T21:19:15.450Z,171338875545000
"Turn: K♦, 10♣, A♥ [K♣]",2024-04-17T21:19:11.425Z,171338875142500
"Flop:  [K♦, 10♣, A♥]",2024-04-17T21:19:07.422Z,171338874742200
"""Voice @ wYIAdQziQD"" shows a K♥, 8♦.",2024-04-17T21:19:03.419Z,171338874341901
"""ancher @ 5hPrAv6Lsh"" shows a 3♦, 3♣.",2024-04-17T21:19:03.419Z,171338874341900
"""Voice @ wYIAdQziQD"" calls 2210",2024-04-17T21:19:02.586Z,171338874258600
"""ancher @ 5hPrAv6Lsh"" raises to 2210 and go all in",2024-04-17T21:19:01.591Z,171338874159100
"""Voice @ wYIAdQziQD"" posts a big blind of 60",2024-04-17T21:18:59.815Z,171338873981505
"""ancher @ 5hPrAv6Lsh"" posts a small blind of 30",2024-04-17T21:18:59.815Z,171338873981504
"Player stacks: #2 ""ancher @ 5hPrAv6Lsh"" (2210) | #4 ""Voice @ wYIAdQziQD"" (5790)",2024-04-17T21:18:59.815Z,171338873981501
"-- starting hand #29 (id: dytnjfqf10pj)  (No Limit Texas Hold'em) (dealer: ""ancher @ 5hPrAv6Lsh"") --",2024-04-17T21:18:59.815Z,171338873981500
"""ancher @ 5hPrAv6Lsh"" shows a J♣, A♠.",2024-04-17T21:18:57.654Z,171338873765400
"-- ending hand #28 --",2024-04-17T21:18:56.206Z,171338873620602
"""ancher @ 5hPrAv6Lsh"" collected 60 from pot",2024-04-17T21:18:56.206Z,171338873620601
"Uncalled bet of 30 returned to ""ancher @ 5hPrAv6Lsh""",2024-04-17T21:18:56.206Z,171338873620600
"""Voice @ wYIAdQziQD"" folds",2024-04-17T21:18:55.372Z,171338873537200
"""ancher @ 5hPrAv6Lsh"" posts a big blind of 60",2024-04-17T21:18:54.205Z,171338873420505
"""Voice @ wYIAdQziQD"" posts a small blind of 30",2024-04-17T21:18:54.205Z,171338873420504
"Player stacks: #2 ""ancher @ 5hPrAv6Lsh"" (2180) | #4 ""Voice @ wYIAdQziQD"" (5820)",2024-04-17T21:18:54.205Z,171338873420501
"-- starting hand #28 (id: 5mexofmcojwv)  (No Limit Texas Hold'em) (dealer: ""Voice @ wYIAdQziQD"") --",2024-04-17T21:18:54.205Z,171338873420500
"-- ending hand #27 --",2024-04-17T21:18:48.162Z,171338872816201
"""ancher @ 5hPrAv6Lsh"" collected 2180 from pot with Pair, 3's (combination: 3♠, 3♥, A♠, K♥, 9♣)",2024-04-17T21:18:48.162Z,171338872816200
"River: 3♠, 7♦, K♥, 9♣ [3♥]",2024-04-17T21:18:44.132Z,171338872413200
"Turn: 3♠, 7♦, K♥ [9♣]",2024-04-17T21:18:40.122Z,171338872012200
"Flop:  [3♠, 7♦, K♥]",2024-04-17T21:18:36.078Z,171338871607800
"""Voice @ wYIAdQziQD"" shows a Q♠, 6♥.",2024-04-17T21:18:32.067Z,171338871206701
"""ancher @ 5hPrAv6Lsh"" shows a A♠, 8♣.",2024-04-17T21:18:32.067Z,171338871206700
"""Voice @ wYIAdQziQD"" calls 1090",2024-04-17T21:18:31.240Z,171338871124000
"""ancher @ 5hPrAv6Lsh"" raises to 1090 and go all in",2024-04-17T21:18:29.894Z,171338870989400
"""Voice @ wYIAdQziQD"" posts a big blind of 60",2024-04-17T21:18:27.953Z,171338870795305
"""ancher @ 5hPrAv6Lsh"" posts a small blind of 30",2024-04-17T21:18:27.953Z,171338870795304
"Player stacks: #2 ""ancher @ 5hPrAv6Lsh"" (1090) | #4 ""Voice @ wYIAdQziQD"" (6910)",2024-04-17T21:18:27.953Z,171338870795301
"-- starting hand #27 (id: ukwrkr3xx5lp)  (No Limit Texas Hold'em) (dealer: ""ancher @ 5hPrAv6Lsh"") --",2024-04-17T21:18:27.953Z,171338870795300
"""Voice @ wYIAdQziQD"" shows a 3♦, 6♠.",2024-04-17T21:18:25.904Z,171338870590400
"-- ending hand #26 --",2024-04-17T21:18:24.350Z,171338870435002
"""Voice @ wYIAdQziQD"" collected 120 from pot",2024-04-17T21:18:24.350Z,171338870435001
"Uncalled bet of 1090 returned to ""Voice @ wYIAdQziQD""",2024-04-17T21:18:24.350Z,171338870435000
"""ancher @ 5hPrAv6Lsh"" folds",2024-04-17T21:18:23.529Z,171338870352900
"""Voice @ wYIAdQziQD"" raises to 1150",2024-04-17T21:18:22.461Z,171338870246100
"""ancher @ 5hPrAv6Lsh"" posts a big blind of 60",2024-04-17T21:18:18.545Z,171338869854505
"""Voice @ wYIAdQziQD"" posts a small blind of 30",2024-04-17T21:18:18.545Z,171338869854504
"Player stacks: #2 ""ancher @ 5hPrAv6Lsh"" (1150) | #4 ""Voice @ wYIAdQziQD"" (6850)",2024-04-17T21:18:18.545Z,171338869854501
"-- starting hand #26 (id: kaukkazftzhy)  (No Limit Texas Hold'em) (dealer: ""Voice @ wYIAdQziQD"") --",2024-04-17T21:18:18.545Z,171338869854500
"-- ending hand #25 --",2024-04-17T21:18:15.600Z,171338869560002
"""Voice @ wYIAdQziQD"" collected 60 from pot",2024-04-17T21:18:15.600Z,171338869560001
"Uncalled bet of 30 returned to ""Voice @ wYIAdQziQD""",2024-04-17T21:18:15.600Z,171338869560000
"""ancher @ 5hPrAv6Lsh"" folds",2024-04-17T21:18:14.785Z,171338869478500
"""Voice @ wYIAdQziQD"" posts a big blind of 60",2024-04-17T21:18:13.000Z,171338869300005
"""ancher @ 5hPrAv6Lsh"" posts a small blind of 30",2024-04-17T21:18:13.000Z,171338869300004
"Player stacks: #2 ""ancher @ 5hPrAv6Lsh"" (1180) | #4 ""Voice @ wYIAdQziQD"" (6820)",2024-04-17T21:18:13.000Z,171338869300001
"-- starting hand #25 (id: bnqsavimhiwx)  (No Limit Texas Hold'em) (dealer: ""ancher @ 5hPrAv6Lsh"") --",2024-04-17T21:18:13.000Z,171338869300000
"""Voice @ wYIAdQziQD"" shows a 4♠, 9♠.",2024-04-17T21:18:11.778Z,171338869177800
"""ancher @ 5hPrAv6Lsh"" shows a Q♥, K♦.",2024-04-17T21:18:09.779Z,171338868977900
"-- ending hand #24 --",2024-04-17T21:18:08.644Z,171338868864402
"""ancher @ 5hPrAv6Lsh"" collected 60 from pot",2024-04-17T21:18:08.644Z,171338868864401
"Uncalled bet of 30 returned to ""ancher @ 5hPrAv6Lsh""",2024-04-17T21:18:08.644Z,171338868864400
"""Voice @ wYIAdQziQD"" folds",2024-04-17T21:18:07.803Z,171338868780300
"""ancher @ 5hPrAv6Lsh"" posts a big blind of 60",2024-04-17T21:18:06.198Z,171338868619805
