entry,at,order
"The player ""aic @ oKzmrGv1VB"" quits the game with a stack of 4030.",2024-04-26T16:44:06.212Z,171414984621200
"The player ""celebryt @ iulPdFFF8R"" quits the game with a stack of 0.",2024-04-26T16:38:44.878Z,171414952487800
"-- ending hand #56 --",2024-04-26T16:38:38.870Z,171414951887001
"""aic @ oKzmrGv1VB"" collected 1880 from pot with Pair, A's (combination: A♣, A♠, K♠, Q♦, J♦)",2024-04-26T16:38:38.870Z,171414951887000
"River: K♠, J♦, Q♦, 3♠ [A♠]",2024-04-26T16:38:34.849Z,171414951484900
"Turn: K♠, J♦, Q♦ [3♠]",2024-04-26T16:38:30.780Z,171414951078000
"Flop:  [K♠, J♦, Q♦]",2024-04-26T16:38:26.765Z,171414950676500
"""aic @ oKzmrGv1VB"" shows a A♣, 4♦.",2024-04-26T16:38:22.682Z,171414950268201
"""celebryt @ iulPdFFF8R"" shows a 6♣, K♣.",2024-04-26T16:38:22.682Z,171414950268200
"""aic @ oKzmrGv1VB"" calls 940",2024-04-26T16:38:21.862Z,171414950186200
"""celebryt @ iulPdFFF8R"" raises to 940 and go all in",2024-04-26T16:38:19.010Z,171414949901000
"""aic @ oKzmrGv1VB"" posts a big blind of 100",2024-04-26T16:38:16.596Z,171414949659605
"""celebryt @ iulPdFFF8R"" posts a small blind of 50",2024-04-26T16:38:16.596Z,171414949659604
"Player stacks: #5 ""celebryt @ iulPdFFF8R"" (940) | #7 ""aic @ oKzmrGv1VB"" (3090)",2024-04-26T16:38:16.596Z,171414949659601
"-- starting hand #56 (id: ofbpnk3ppl3f)  (No Limit Texas Hold'em) (dealer: ""celebryt @ iulPdFFF8R"") --",2024-04-26T16:38:16.596Z,171414949659600
"-- ending hand #55 --",2024-04-26T16:38:13.667Z,171414949366702
"""celebryt @ iulPdFFF8R"" collected 100 from pot",2024-04-26T16:38:13.667Z,171414949366701
"Uncalled bet of 50 returned to ""celebryt @ iulPdFFF8R""",2024-04-26T16:38:13.667Z,171414949366700
"""aic @ oKzmrGv1VB"" folds",2024-04-26T16:38:12.857Z,171414949285700
"""celebryt @ iulPdFFF8R"" posts a big blind of 100",2024-04-26T16:38:11.063Z,171414949106305
"""aic @ oKzmrGv1VB"" posts a small blind of 50",2024-04-26T16:38:11.063Z,171414949106304
