entry,at,order
"The player ""ForteTom @ Jgxg9PnnXh"" quits the game with a stack of 8000.",2024-04-26T19:55:37.973Z,171416133797300
"The player ""shithead @ 13O2rEpkcI"" quits the game with a stack of 0.",2024-04-26T19:50:09.381Z,171416100938100
"-- ending hand #30 --",2024-04-26T19:50:03.370Z,171416100337001
"""ForteTom @ Jgxg9PnnXh"" collected 4300 from pot with Full House, 4's over 8's (combination: 4♦, 4♥, 4♠, 8♦, 8♠)",2024-04-26T19:50:03.370Z,171416100337000
"River: 4♥, J♥, 5♦, 8♠ [4♠]",2024-04-26T19:49:59.356Z,171416099935600
"""ForteTom @ Jgxg9PnnXh"" shows a 4♦, 8♦.",2024-04-26T19:49:55.334Z,171416099533401
"""shithead @ 13O2rEpkcI"" shows a 7♣, K♠.",2024-04-26T19:49:55.334Z,171416099533400
"""ForteTom @ Jgxg9PnnXh"" calls 150",2024-04-26T19:49:54.504Z,171416099450400
"""shithead @ 13O2rEpkcI"" bets 150 and go all in",2024-04-26T19:49:52.972Z,171416099297200
"Turn: 4♥, J♥, 5♦ [8♠]",2024-04-26T19:49:50.449Z,171416099044900
"""shithead @ 13O2rEpkcI"" calls 1800",2024-04-26T19:49:49.645Z,171416098964500
"""ForteTom @ Jgxg9PnnXh"" raises to 1800",2024-04-26T19:49:48.238Z,171416098823800
"""shithead @ 13O2rEpkcI"" raises to 600",2024-04-26T19:49:37.002Z,171416097700200
"""ForteTom @ Jgxg9PnnXh"" bets 200",2024-04-26T19:49:33.800Z,171416097380000
"""shithead @ 13O2rEpkcI"" checks",2024-04-26T19:49:28.503Z,171416096850300
"Flop:  [4♥, J♥, 5♦]",2024-04-26T19:49:26.417Z,171416096641700
"""shithead @ 13O2rEpkcI"" checks",2024-04-26T19:49:25.612Z,171416096561200
"""ForteTom @ Jgxg9PnnXh"" calls 200",2024-04-26T19:49:23.610Z,171416096361000
"""shithead @ 13O2rEpkcI"" posts a big blind of 200",2024-04-26T19:49:15.791Z,171416095579108
"""ForteTom @ Jgxg9PnnXh"" posts a small blind of 100",2024-04-26T19:49:15.791Z,171416095579107
"Player stacks: #7 ""shithead @ 13O2rEpkcI"" (2150) | #8 ""ForteTom @ Jgxg9PnnXh"" (5850)",2024-04-26T19:49:15.791Z,171416095579104
"-- starting hand #30 (id: jz03hqbzsq9l)  (No Limit Texas Hold'em) (dealer: ""ForteTom @ Jgxg9PnnXh"") --",2024-04-26T19:49:15.791Z,171416095579103
"The game's big blind was changed from 150 to 200.",2024-04-26T19:49:15.791Z,171416095579102
"The game's small blind was changed from 75 to 100.",2024-04-26T19:49:15.791Z,171416095579101
"The player ""Bazzeratti @ iUaaJ1_oTR"" quits the game with a stack of 0.",2024-04-26T19:49:15.791Z,171416095579100
"-- ending hand #29 --",2024-04-26T19:49:09.739Z,171416094973902
"""ForteTom @ Jgxg9PnnXh"" collected 1710 from pot with Straight, 6 High (combination: 6♦, 5♦, 4♣, 3♦, 2♠)",2024-04-26T19:49:09.739Z,171416094973901
"""ForteTom @ Jgxg9PnnXh"" collected 4140 from pot with Straight, 6 High (combination: 6♦, 5♦, 4♣, 3♦, 2♠)",2024-04-26T19:49:09.739Z,171416094973900
"River: 4♣, 3♦, 8♦, 2♠ [6♦]",2024-04-26T19:49:05.649Z,171416094564900
"Turn: 4♣, 3♦, 8♦ [2♠]",2024-04-26T19:49:01.635Z,171416094163500
"Flop:  [4♣, 3♦, 8♦]",2024-04-26T19:48:57.627Z,171416093762700
"""ForteTom @ Jgxg9PnnXh"" shows a 5♦, 5♣.",2024-04-26T19:48:53.585Z,171416093358502
"""shithead @ 13O2rEpkcI"" shows a A♥, K♥.",2024-04-26T19:48:53.585Z,171416093358501
"""Bazzeratti @ iUaaJ1_oTR"" shows a A♣, J♦.",2024-04-26T19:48:53.585Z,171416093358500
"""Bazzeratti @ iUaaJ1_oTR"" calls 1380 and go all in",2024-04-26T19:48:52.778Z,171416093277800
"""ForteTom @ Jgxg9PnnXh"" calls 2235 and go all in",2024-04-26T19:48:49.981Z,171416092998100
"""shithead @ 13O2rEpkcI"" raises to 2235",2024-04-26T19:48:33.519Z,171416091351900
"""Bazzeratti @ iUaaJ1_oTR"" calls 450",2024-04-26T19:48:15.339Z,171416089533900
"""ForteTom @ Jgxg9PnnXh"" raises to 450",2024-04-26T19:48:11.359Z,171416089135900
"""shithead @ 13O2rEpkcI"" calls 150",2024-04-26T19:48:08.069Z,171416088806900
"""Bazzeratti @ iUaaJ1_oTR"" posts a big blind of 150",2024-04-26T19:48:05.909Z,171416088590906
"""ForteTom @ Jgxg9PnnXh"" posts a small blind of 75",2024-04-26T19:48:05.909Z,171416088590905
"Player stacks: #6 ""Bazzeratti @ iUaaJ1_oTR"" (1380) | #7 ""shithead @ 13O2rEpkcI"" (4385) | #8 ""ForteTom @ Jgxg9PnnXh"" (2235)",2024-04-26T19:48:05.909Z,171416088590901
"-- starting hand #29 (id: 2p5i0eb36ayv)  (No Limit Texas Hold'em) (dealer: ""shithead @ 13O2rEpkcI"") --",2024-04-26T19:48:05.909Z,171416088590900
"-- ending hand #28 --",2024-04-26T19:48:02.965Z,171416088296502
"""ForteTom @ Jgxg9PnnXh"" collected 300 from pot",2024-04-26T19:48:02.965Z,171416088296501
"Uncalled bet of 300 returned to ""ForteTom @ Jgxg9PnnXh""",2024-04-26T19:48:02.965Z,171416088296500
"""shithead @ 13O2rEpkcI"" folds",2024-04-26T19:48:02.132Z,171416088213200
"""ForteTom @ Jgxg9PnnXh"" bets 300",2024-04-26T19:48:00.574Z,171416088057400
"""shithead @ 13O2rEpkcI"" checks",2024-04-26T19:47:55.561Z,171416087556100
"Flop:  [Q♣, K♥, 3♣]",2024-04-26T19:47:48.960Z,171416086896000
"""ForteTom @ Jgxg9PnnXh"" checks",2024-04-26T19:47:48.134Z,171416086813400
"""shithead @ 13O2rEpkcI"" calls 150",2024-04-26T19:47:45.832Z,171416086583200
"""Bazzeratti @ iUaaJ1_oTR"" folds",2024-04-26T19:47:40.679Z,171416086067900
"""ForteTom @ Jgxg9PnnXh"" posts a big blind of 150",2024-04-26T19:47:39.241Z,171416085924106
"""shithead @ 13O2rEpkcI"" posts a small blind of 75",2024-04-26T19:47:39.241Z,171416085924105
"Player stacks: #6 ""Bazzeratti @ iUaaJ1_oTR"" (1380) | #7 ""shithead @ 13O2rEpkcI"" (4535) | #8 ""ForteTom @ Jgxg9PnnXh"" (2085)",2024-04-26T19:47:39.241Z,171416085924101
"-- starting hand #28 (id: 6rljxvqi6je6)  (No Limit Texas Hold'em) (dealer: ""Bazzeratti @ iUaaJ1_oTR"") --",2024-04-26T19:47:39.241Z,171416085924100
"-- ending hand #27 --",2024-04-26T19:47:36.288Z,171416085628802
"""ForteTom @ Jgxg9PnnXh"" collected 450 from pot",2024-04-26T19:47:36.288Z,171416085628801
"Uncalled bet of 200 returned to ""ForteTom @ Jgxg9PnnXh""",2024-04-26T19:47:36.288Z,171416085628800
"""shithead @ 13O2rEpkcI"" folds",2024-04-26T19:47:35.460Z,171416085546000
"""Bazzeratti @ iUaaJ1_oTR"" folds",2024-04-26T19:47:26.534Z,171416084653400
"""ForteTom @ Jgxg9PnnXh"" bets 200",2024-04-26T19:47:21.214Z,171416084121400
"""shithead @ 13O2rEpkcI"" checks",2024-04-26T19:47:12.965Z,171416083296500
"""Bazzeratti @ iUaaJ1_oTR"" checks",2024-04-26T19:47:08.657Z,171416082865700
"Flop:  [A♣, Q♦, 3♠]",2024-04-26T19:47:04.811Z,171416082481100
"""shithead @ 13O2rEpkcI"" checks",2024-04-26T19:47:03.977Z,171416082397700
"""Bazzeratti @ iUaaJ1_oTR"" calls 150",2024-04-26T19:47:01.279Z,171416082127900
"""ForteTom @ Jgxg9PnnXh"" calls 150",2024-04-26T19:46:58.792Z,171416081879200
"""shithead @ 13O2rEpkcI"" posts a big blind of 150",2024-04-26T19:46:55.069Z,171416081506906
"""Bazzeratti @ iUaaJ1_oTR"" posts a small blind of 75",2024-04-26T19:46:55.069Z,171416081506905
"Player stacks: #6 ""Bazzeratti @ iUaaJ1_oTR"" (1530) | #7 ""shithead @ 13O2rEpkcI"" (4685) | #8 ""ForteTom @ Jgxg9PnnXh"" (1785)",2024-04-26T19:46:55.069Z,171416081506901
"-- starting hand #27 (id: v0ikvjvuxi1f)  (No Limit Texas Hold'em) (dealer: ""ForteTom @ Jgxg9PnnXh"") --",2024-04-26T19:46:55.069Z,171416081506900
"-- ending hand #26 --",2024-04-26T19:46:49.047Z,171416080904701
"""Bazzeratti @ iUaaJ1_oTR"" collected 1530 from pot with Flush, Ad High (combination: A♦, 10♦, 9♦, 4♦, 3♦)",2024-04-26T19:46:49.047Z,171416080904700
"River: 10♥, 10♦, 9♦, 4♦ [3♦]",2024-04-26T19:46:45.008Z,171416080500800
"""shithead @ 13O2rEpkcI"" shows a 9♥, 7♥.",2024-04-26T19:46:40.998Z,171416080099802
"""Bazzeratti @ iUaaJ1_oTR"" shows a A♦, 3♠.",2024-04-26T19:46:40.998Z,171416080099801
"Uncalled bet of 385 returned to ""shithead @ 13O2rEpkcI""",2024-04-26T19:46:40.998Z,171416080099800
"""Bazzeratti @ iUaaJ1_oTR"" calls 15 and go all in",2024-04-26T19:46:40.177Z,171416080017700
"""ForteTom @ Jgxg9PnnXh"" folds",2024-04-26T19:46:39.134Z,171416079913400
"""shithead @ 13O2rEpkcI"" bets 400",2024-04-26T19:46:31.868Z,171416079186800
"""Bazzeratti @ iUaaJ1_oTR"" checks",2024-04-26T19:46:23.137Z,171416078313700
"""ForteTom @ Jgxg9PnnXh"" checks",2024-04-26T19:46:21.446Z,171416078144600
"Turn: 10♥, 10♦, 9♦ [4♦]",2024-04-26T19:46:14.493Z,171416077449300
"""Bazzeratti @ iUaaJ1_oTR"" calls 150",2024-04-26T19:46:13.663Z,171416077366300
"""ForteTom @ Jgxg9PnnXh"" calls 150",2024-04-26T19:46:11.650Z,171416077165000
"""shithead @ 13O2rEpkcI"" bets 150",2024-04-26T19:46:08.388Z,171416076838800
"""Bazzeratti @ iUaaJ1_oTR"" checks",2024-04-26T19:46:06.367Z,171416076636700
"""ForteTom @ Jgxg9PnnXh"" checks",2024-04-26T19:46:04.328Z,171416076432800
"Flop:  [10♥, 10♦, 9♦]",2024-04-26T19:45:58.333Z,171416075833300
"""shithead @ 13O2rEpkcI"" calls 350",2024-04-26T19:45:57.510Z,171416075751000
