entry,at,order
"The player ""clm307 @ kg1CfxGng9"" quits the game with a stack of 8000.",2024-04-26T17:45:17.782Z,171415351778200
"The player ""tanvirsmuct @ PsmMMY2E5F"" quits the game with a stack of 0.",2024-04-26T17:40:31.275Z,171415323127500
"-- ending hand #43 --",2024-04-26T17:40:25.272Z,171415322527201
"""clm307 @ kg1CfxGng9"" collected 5368 from pot with Pair, 10's (combination: 10♠, 10♥, Q♠, 9♦, 7♦)",2024-04-26T17:40:25.272Z,171415322527200
"River: 7♦, 9♦, 10♥, 5♦ [2♠]",2024-04-26T17:40:21.259Z,171415322125900
"Turn: 7♦, 9♦, 10♥ [5♦]",2024-04-26T17:40:17.250Z,171415321725000
"""tanvirsmuct @ PsmMMY2E5F"" shows a J♥, Q♥.",2024-04-26T17:40:13.242Z,171415321324201
"""clm307 @ kg1CfxGng9"" shows a 10♠, Q♠.",2024-04-26T17:40:13.242Z,171415321324200
"""tanvirsmuct @ PsmMMY2E5F"" calls 1684 and go all in",2024-04-26T17:40:12.429Z,171415321242900
"""clm307 @ kg1CfxGng9"" bets 1684",2024-04-26T17:40:09.437Z,171415320943700
"Flop:  [7♦, 9♦, 10♥]",2024-04-26T17:40:03.241Z,171415320324100
"""clm307 @ kg1CfxGng9"" calls 1000",2024-04-26T17:40:02.411Z,171415320241100
"""tanvirsmuct @ PsmMMY2E5F"" raises to 1000",2024-04-26T17:39:59.618Z,171415319961800
"""clm307 @ kg1CfxGng9"" raises to 400",2024-04-26T17:39:53.283Z,171415319328300
"""tanvirsmuct @ PsmMMY2E5F"" calls 200",2024-04-26T17:39:50.066Z,171415319006600
"""clm307 @ kg1CfxGng9"" posts a big blind of 200",2024-04-26T17:39:46.171Z,171415318617105
"""tanvirsmuct @ PsmMMY2E5F"" posts a small blind of 100",2024-04-26T17:39:46.171Z,171415318617104
"Player stacks: #7 ""clm307 @ kg1CfxGng9"" (5316) | #8 ""tanvirsmuct @ PsmMMY2E5F"" (2684)",2024-04-26T17:39:46.171Z,171415318617101
"-- starting hand #43 (id: 1d57ztn5wrep)  (No Limit Texas Hold'em) (dealer: ""tanvirsmuct @ PsmMMY2E5F"") --",2024-04-26T17:39:46.171Z,171415318617100
"-- ending hand #42 --",2024-04-26T17:39:43.255Z,171415318325502
"""tanvirsmuct @ PsmMMY2E5F"" collected 400 from pot",2024-04-26T17:39:43.255Z,171415318325501
"Uncalled bet of 200 returned to ""tanvirsmuct @ PsmMMY2E5F""",2024-04-26T17:39:43.255Z,171415318325500
"""clm307 @ kg1CfxGng9"" folds",2024-04-26T17:39:42.441Z,171415318244100
"""tanvirsmuct @ PsmMMY2E5F"" bets 200",2024-04-26T17:39:37.510Z,171415317751000
"Flop:  [10♠, A♦, 7♠]",2024-04-26T17:39:32.038Z,171415317203800
"""tanvirsmuct @ PsmMMY2E5F"" checks",2024-04-26T17:39:31.235Z,171415317123500
"""clm307 @ kg1CfxGng9"" calls 200",2024-04-26T17:39:27.810Z,171415316781000
"""tanvirsmuct @ PsmMMY2E5F"" posts a big blind of 200",2024-04-26T17:39:25.826Z,171415316582605
"""clm307 @ kg1CfxGng9"" posts a small blind of 100",2024-04-26T17:39:25.826Z,171415316582604
"Player stacks: #7 ""clm307 @ kg1CfxGng9"" (5516) | #8 ""tanvirsmuct @ PsmMMY2E5F"" (2484)",2024-04-26T17:39:25.826Z,171415316582601
"-- starting hand #42 (id: bmcz5qkhiyak)  (No Limit Texas Hold'em) (dealer: ""clm307 @ kg1CfxGng9"") --",2024-04-26T17:39:25.826Z,171415316582600
"-- ending hand #41 --",2024-04-26T17:39:22.918Z,171415316291802
"""clm307 @ kg1CfxGng9"" collected 200 from pot",2024-04-26T17:39:22.918Z,171415316291801
"Uncalled bet of 100 returned to ""clm307 @ kg1CfxGng9""",2024-04-26T17:39:22.918Z,171415316291800
"""tanvirsmuct @ PsmMMY2E5F"" folds",2024-04-26T17:39:22.104Z,171415316210400
"""clm307 @ kg1CfxGng9"" posts a big blind of 200",2024-04-26T17:39:18.212Z,171415315821205
"""tanvirsmuct @ PsmMMY2E5F"" posts a small blind of 100",2024-04-26T17:39:18.212Z,171415315821204
"Player stacks: #7 ""clm307 @ kg1CfxGng9"" (5416) | #8 ""tanvirsmuct @ PsmMMY2E5F"" (2584)",2024-04-26T17:39:18.212Z,171415315821201
"-- starting hand #41 (id: clxxwzvcwkix)  (No Limit Texas Hold'em) (dealer: ""tanvirsmuct @ PsmMMY2E5F"") --",2024-04-26T17:39:18.212Z,171415315821200
"-- ending hand #40 --",2024-04-26T17:39:15.307Z,171415315530702
"""tanvirsmuct @ PsmMMY2E5F"" collected 200 from pot",2024-04-26T17:39:15.307Z,171415315530701
"Uncalled bet of 100 returned to ""tanvirsmuct @ PsmMMY2E5F""",2024-04-26T17:39:15.307Z,171415315530700
"""clm307 @ kg1CfxGng9"" folds",2024-04-26T17:39:14.500Z,171415315450000
"""tanvirsmuct @ PsmMMY2E5F"" posts a big blind of 200",2024-04-26T17:39:12.798Z,171415315279805
"""clm307 @ kg1CfxGng9"" posts a small blind of 100",2024-04-26T17:39:12.798Z,171415315279804
"Player stacks: #7 ""clm307 @ kg1CfxGng9"" (5516) | #8 ""tanvirsmuct @ PsmMMY2E5F"" (2484)",2024-04-26T17:39:12.798Z,171415315279801
"-- starting hand #40 (id: kvftqd3c3xnx)  (No Limit Texas Hold'em) (dealer: ""clm307 @ kg1CfxGng9"") --",2024-04-26T17:39:12.798Z,171415315279800
"-- ending hand #39 --",2024-04-26T17:39:06.790Z,171415314679001
"""clm307 @ kg1CfxGng9"" collected 5516 from pot with Two Pair, 9's & 3's (combination: 9♠, 9♣, 3♣, 3♥, A♠)",2024-04-26T17:39:06.790Z,171415314679000
"River: 6♥, 3♣, 3♥, 9♣ [Q♥]",2024-04-26T17:39:02.787Z,171415314278700
"Turn: 6♥, 3♣, 3♥ [9♣]",2024-04-26T17:38:58.772Z,171415313877200
"""tanvirsmuct @ PsmMMY2E5F"" shows a J♠, 10♦.",2024-04-26T17:38:54.755Z,171415313475501
"""clm307 @ kg1CfxGng9"" shows a A♠, 9♠.",2024-04-26T17:38:54.755Z,171415313475500
"""tanvirsmuct @ PsmMMY2E5F"" calls 2158",2024-04-26T17:38:53.941Z,171415313394100
"""clm307 @ kg1CfxGng9"" bets 2158 and go all in",2024-04-26T17:38:47.740Z,171415312774000
"Flop:  [6♥, 3♣, 3♥]",2024-04-26T17:38:43.284Z,171415312328400
"""tanvirsmuct @ PsmMMY2E5F"" calls 600",2024-04-26T17:38:42.458Z,171415312245800
"""clm307 @ kg1CfxGng9"" raises to 600",2024-04-26T17:38:39.054Z,171415311905400
"""tanvirsmuct @ PsmMMY2E5F"" calls 200",2024-04-26T17:38:36.048Z,171415311604800
"""clm307 @ kg1CfxGng9"" posts a big blind of 200",2024-04-26T17:38:34.188Z,171415311418805
"""tanvirsmuct @ PsmMMY2E5F"" posts a small blind of 100",2024-04-26T17:38:34.188Z,171415311418804
"Player stacks: #7 ""clm307 @ kg1CfxGng9"" (2758) | #8 ""tanvirsmuct @ PsmMMY2E5F"" (5242)",2024-04-26T17:38:34.188Z,171415311418801
"-- starting hand #39 (id: tvbqgerdch8j)  (No Limit Texas Hold'em) (dealer: ""tanvirsmuct @ PsmMMY2E5F"") --",2024-04-26T17:38:34.188Z,171415311418800
"-- ending hand #38 --",2024-04-26T17:38:31.244Z,171415311124402
"""tanvirsmuct @ PsmMMY2E5F"" collected 200 from pot",2024-04-26T17:38:31.244Z,171415311124401
"Uncalled bet of 100 returned to ""tanvirsmuct @ PsmMMY2E5F""",2024-04-26T17:38:31.244Z,171415311124400
"""clm307 @ kg1CfxGng9"" folds",2024-04-26T17:38:30.395Z,171415311039500
"""tanvirsmuct @ PsmMMY2E5F"" posts a big blind of 200",2024-04-26T17:38:28.381Z,171415310838105
"""clm307 @ kg1CfxGng9"" posts a small blind of 100",2024-04-26T17:38:28.381Z,171415310838104
"Player stacks: #7 ""clm307 @ kg1CfxGng9"" (2858) | #8 ""tanvirsmuct @ PsmMMY2E5F"" (5142)",2024-04-26T17:38:28.381Z,171415310838101
"-- starting hand #38 (id: wj8kehrvs6bd)  (No Limit Texas Hold'em) (dealer: ""clm307 @ kg1CfxGng9"") --",2024-04-26T17:38:28.381Z,171415310838100
"-- ending hand #37 --",2024-04-26T17:38:22.369Z,171415310236903
"""clm307 @ kg1CfxGng9"" shows a 4♥, 5♠.",2024-04-26T17:38:22.369Z,171415310236902
"""tanvirsmuct @ PsmMMY2E5F"" collected 400 from pot with K High (combination: K♠, Q♣, J♦, 10♣, 7♦)",2024-04-26T17:38:22.369Z,171415310236901
"""tanvirsmuct @ PsmMMY2E5F"" shows a 10♣, 6♣.",2024-04-26T17:38:22.369Z,171415310236900
"""tanvirsmuct @ PsmMMY2E5F"" checks",2024-04-26T17:38:21.487Z,171415310148700
"""clm307 @ kg1CfxGng9"" checks",2024-04-26T17:38:20.389Z,171415310038900
"River: K♠, J♦, 7♦, Q♣ [3♣]",2024-04-26T17:38:15.949Z,171415309594900
"""tanvirsmuct @ PsmMMY2E5F"" checks",2024-04-26T17:38:15.030Z,171415309503000
"""clm307 @ kg1CfxGng9"" checks",2024-04-26T17:38:13.830Z,171415309383000
"Turn: K♠, J♦, 7♦ [Q♣]",2024-04-26T17:38:09.730Z,171415308973000
"""tanvirsmuct @ PsmMMY2E5F"" checks",2024-04-26T17:38:08.818Z,171415308881800
"""clm307 @ kg1CfxGng9"" checks",2024-04-26T17:38:02.681Z,171415308268100
"Flop:  [K♠, J♦, 7♦]",2024-04-26T17:37:58.119Z,171415307811900
"""clm307 @ kg1CfxGng9"" checks",2024-04-26T17:37:57.290Z,171415307729000
"""tanvirsmuct @ PsmMMY2E5F"" calls 200",2024-04-26T17:37:56.136Z,171415307613600
"""clm307 @ kg1CfxGng9"" posts a big blind of 200",2024-04-26T17:37:53.572Z,171415307357207
"""tanvirsmuct @ PsmMMY2E5F"" posts a small blind of 100",2024-04-26T17:37:53.572Z,171415307357206
"Player stacks: #7 ""clm307 @ kg1CfxGng9"" (3058) | #8 ""tanvirsmuct @ PsmMMY2E5F"" (4942)",2024-04-26T17:37:53.572Z,171415307357203
"-- starting hand #37 (id: jqof45mpujgw)  (No Limit Texas Hold'em) (dealer: ""tanvirsmuct @ PsmMMY2E5F"") --",2024-04-26T17:37:53.572Z,171415307357202
"The game's big blind was changed from 150 to 200.",2024-04-26T17:37:53.572Z,171415307357201
"The game's small blind was changed from 75 to 100.",2024-04-26T17:37:53.572Z,171415307357200
"-- ending hand #36 --",2024-04-26T17:37:50.670Z,171415307067002
"""tanvirsmuct @ PsmMMY2E5F"" collected 600 from pot",2024-04-26T17:37:50.670Z,171415307067001
"Uncalled bet of 300 returned to ""tanvirsmuct @ PsmMMY2E5F""",2024-04-26T17:37:50.670Z,171415307067000
"""clm307 @ kg1CfxGng9"" folds",2024-04-26T17:37:49.774Z,171415306977400
"""tanvirsmuct @ PsmMMY2E5F"" bets 300",2024-04-26T17:37:47.137Z,171415306713700
