entry,at,order
"The player ""Jiriakel @ -FdGHJB8zI"" quits the game with a stack of 7010.",2024-04-17T21:46:05.380Z,171339036538000
"The player ""creepyarcher @ _cw-_HfGvT"" quits the game with a stack of 0.",2024-04-17T21:40:19.343Z,171339001934300
"-- ending hand #43 --",2024-04-17T21:40:13.331Z,171339001333101
"""Jiriakel @ -FdGHJB8zI"" collected 5570 from pot with Full House, 4's over 2's (combination: 4♦, 4♣, 4♠, 2♣, 2♠)",2024-04-17T21:40:13.331Z,171339001333100
"River: 9♣, 5♦, 4♠, 2♣ [2♠]",2024-04-17T21:40:09.306Z,171339000930600
"Turn: 9♣, 5♦, 4♠ [2♣]",2024-04-17T21:40:05.296Z,171339000529600
"""Jiriakel @ -FdGHJB8zI"" shows a 4♦, 4♣.",2024-04-17T21:40:01.244Z,171339000124401
"""creepyarcher @ _cw-_HfGvT"" shows a A♣, 9♦.",2024-04-17T21:40:01.244Z,171339000124400
"""Jiriakel @ -FdGHJB8zI"" calls 2385",2024-04-17T21:40:00.423Z,171339000042300
"""creepyarcher @ _cw-_HfGvT"" raises to 2385 and go all in",2024-04-17T21:39:59.090Z,171338999909000
"""Jiriakel @ -FdGHJB8zI"" raises to 800",2024-04-17T21:39:55.597Z,171338999559700
"""creepyarcher @ _cw-_HfGvT"" bets 200",2024-04-17T21:39:51.971Z,171338999197100
"Flop:  [9♣, 5♦, 4♠]",2024-04-17T21:39:49.023Z,171338998902300
"""creepyarcher @ _cw-_HfGvT"" calls 400",2024-04-17T21:39:48.188Z,171338998818800
"""Jiriakel @ -FdGHJB8zI"" raises to 400",2024-04-17T21:39:46.420Z,171338998642000
"""creepyarcher @ _cw-_HfGvT"" posts a big blind of 200",2024-04-17T21:39:43.880Z,171338998388005
"""Jiriakel @ -FdGHJB8zI"" posts a small blind of 100",2024-04-17T21:39:43.880Z,171338998388004
"Player stacks: #7 ""creepyarcher @ _cw-_HfGvT"" (2785) | #8 ""Jiriakel @ -FdGHJB8zI"" (4225)",2024-04-17T21:39:43.880Z,171338998388001
"-- starting hand #43 (id: x7rtd1bynliq)  (No Limit Texas Hold'em) (dealer: ""Jiriakel @ -FdGHJB8zI"") --",2024-04-17T21:39:43.880Z,171338998388000
"-- ending hand #42 --",2024-04-17T21:39:40.971Z,171338998097102
"""Jiriakel @ -FdGHJB8zI"" collected 200 from pot",2024-04-17T21:39:40.971Z,171338998097101
"Uncalled bet of 100 returned to ""Jiriakel @ -FdGHJB8zI""",2024-04-17T21:39:40.971Z,171338998097100
"""creepyarcher @ _cw-_HfGvT"" folds",2024-04-17T21:39:40.110Z,171338998011000
"""Jiriakel @ -FdGHJB8zI"" posts a big blind of 200",2024-04-17T21:39:36.973Z,171338997697305
"""creepyarcher @ _cw-_HfGvT"" posts a small blind of 100",2024-04-17T21:39:36.973Z,171338997697304
"Player stacks: #7 ""creepyarcher @ _cw-_HfGvT"" (2885) | #8 ""Jiriakel @ -FdGHJB8zI"" (4125)",2024-04-17T21:39:36.973Z,171338997697301
"-- starting hand #42 (id: ko48pmy6inxb)  (No Limit Texas Hold'em) (dealer: ""creepyarcher @ _cw-_HfGvT"") --",2024-04-17T21:39:36.973Z,171338997697300
"-- ending hand #41 --",2024-04-17T21:39:34.064Z,171338997406402
"""creepyarcher @ _cw-_HfGvT"" collected 400 from pot",2024-04-17T21:39:34.064Z,171338997406401
"Uncalled bet of 200 returned to ""creepyarcher @ _cw-_HfGvT""",2024-04-17T21:39:34.064Z,171338997406400
"""Jiriakel @ -FdGHJB8zI"" folds",2024-04-17T21:39:33.206Z,171338997320600
"""creepyarcher @ _cw-_HfGvT"" bets 200",2024-04-17T21:39:31.135Z,171338997113500
"Turn: J♠, 7♣, 8♥ [K♥]",2024-04-17T21:39:29.260Z,171338996926000
"""Jiriakel @ -FdGHJB8zI"" checks",2024-04-17T21:39:28.438Z,171338996843800
"""creepyarcher @ _cw-_HfGvT"" checks",2024-04-17T21:39:27.425Z,171338996742500
"Flop:  [J♠, 7♣, 8♥]",2024-04-17T21:39:25.391Z,171338996539100
"""creepyarcher @ _cw-_HfGvT"" checks",2024-04-17T21:39:24.552Z,171338996455200
"""Jiriakel @ -FdGHJB8zI"" calls 200",2024-04-17T21:39:23.579Z,171338996357900
"""creepyarcher @ _cw-_HfGvT"" posts a big blind of 200",2024-04-17T21:39:13.572Z,171338995357205
"""Jiriakel @ -FdGHJB8zI"" posts a small blind of 100",2024-04-17T21:39:13.572Z,171338995357204
"Player stacks: #7 ""creepyarcher @ _cw-_HfGvT"" (2685) | #8 ""Jiriakel @ -FdGHJB8zI"" (4325)",2024-04-17T21:39:13.572Z,171338995357201
"-- starting hand #41 (id: zejcgb9qwdzu)  (No Limit Texas Hold'em) (dealer: ""Jiriakel @ -FdGHJB8zI"") --",2024-04-17T21:39:13.572Z,171338995357200
"-- ending hand #40 --",2024-04-17T21:39:10.640Z,171338995064002
"""Jiriakel @ -FdGHJB8zI"" collected 800 from pot",2024-04-17T21:39:10.640Z,171338995064001
"Uncalled bet of 800 returned to ""Jiriakel @ -FdGHJB8zI""",2024-04-17T21:39:10.640Z,171338995064000
"""creepyarcher @ _cw-_HfGvT"" folds",2024-04-17T21:39:09.769Z,171338994976900
"""Jiriakel @ -FdGHJB8zI"" raises to 1000",2024-04-17T21:39:02.703Z,171338994270300
"""creepyarcher @ _cw-_HfGvT"" bets 200",2024-04-17T21:38:55.711Z,171338993571100
"""Jiriakel @ -FdGHJB8zI"" checks",2024-04-17T21:38:54.146Z,171338993414600
"Flop:  [7♥, 4♣, 7♣]",2024-04-17T21:38:52.343Z,171338993234300
"""Jiriakel @ -FdGHJB8zI"" checks",2024-04-17T21:38:51.496Z,171338993149600
"""creepyarcher @ _cw-_HfGvT"" calls 200",2024-04-17T21:38:50.131Z,171338993013100
"""Jiriakel @ -FdGHJB8zI"" posts a big blind of 200",2024-04-17T21:38:48.577Z,171338992857705
"""creepyarcher @ _cw-_HfGvT"" posts a small blind of 100",2024-04-17T21:38:48.577Z,171338992857704
"Player stacks: #7 ""creepyarcher @ _cw-_HfGvT"" (3085) | #8 ""Jiriakel @ -FdGHJB8zI"" (3925)",2024-04-17T21:38:48.577Z,171338992857701
"-- starting hand #40 (id: r8odm6l3fm4j)  (No Limit Texas Hold'em) (dealer: ""creepyarcher @ _cw-_HfGvT"") --",2024-04-17T21:38:48.577Z,171338992857700
"-- ending hand #39 --",2024-04-17T21:38:45.652Z,171338992565202
"""creepyarcher @ _cw-_HfGvT"" collected 200 from pot",2024-04-17T21:38:45.652Z,171338992565201
"Uncalled bet of 100 returned to ""creepyarcher @ _cw-_HfGvT""",2024-04-17T21:38:45.652Z,171338992565200
"""Jiriakel @ -FdGHJB8zI"" folds",2024-04-17T21:38:44.840Z,171338992484000
"""creepyarcher @ _cw-_HfGvT"" posts a big blind of 200",2024-04-17T21:38:42.998Z,171338992299806
"""Jiriakel @ -FdGHJB8zI"" posts a small blind of 100",2024-04-17T21:38:42.998Z,171338992299805
"Player stacks: #7 ""creepyarcher @ _cw-_HfGvT"" (2985) | #8 ""Jiriakel @ -FdGHJB8zI"" (4025)",2024-04-17T21:38:42.998Z,171338992299802
"-- starting hand #39 (id: nia1bmxiscgo)  (No Limit Texas Hold'em) (dealer: ""Jiriakel @ -FdGHJB8zI"") --",2024-04-17T21:38:42.998Z,171338992299801
"The player ""damonachey @ RxhhJpWi-r"" quits the game with a stack of 0.",2024-04-17T21:38:42.998Z,171338992299800
"-- ending hand #38 --",2024-04-17T21:38:36.987Z,171338991698701
"""creepyarcher @ _cw-_HfGvT"" collected 1190 from pot with Pair, 9's (combination: 9♠, 9♥, A♦, Q♠, 7♥)",2024-04-17T21:38:36.987Z,171338991698700
"River: A♦, 7♥, Q♠, 2♣ [3♣]",2024-04-17T21:38:32.979Z,171338991297900
"""creepyarcher @ _cw-_HfGvT"" shows a 9♠, 9♥.",2024-04-17T21:38:28.967Z,171338990896701
"""damonachey @ RxhhJpWi-r"" shows a K♦, 6♥.",2024-04-17T21:38:28.967Z,171338990896700
"""creepyarcher @ _cw-_HfGvT"" calls 345",2024-04-17T21:38:28.151Z,171338990815100
"""damonachey @ RxhhJpWi-r"" bets 345 and go all in",2024-04-17T21:38:27.055Z,171338990705500
"Turn: A♦, 7♥, Q♠ [2♣]",2024-04-17T21:38:22.897Z,171338990289700
"""creepyarcher @ _cw-_HfGvT"" checks",2024-04-17T21:38:22.078Z,171338990207800
"""damonachey @ RxhhJpWi-r"" checks",2024-04-17T21:38:20.360Z,171338990036000
"Flop:  [A♦, 7♥, Q♠]",2024-04-17T21:38:17.900Z,171338989790000
"""damonachey @ RxhhJpWi-r"" checks",2024-04-17T21:38:17.081Z,171338989708100
"""Jiriakel @ -FdGHJB8zI"" folds",2024-04-17T21:38:16.158Z,171338989615800
"""creepyarcher @ _cw-_HfGvT"" calls 200",2024-04-17T21:38:14.489Z,171338989448900
"""damonachey @ RxhhJpWi-r"" posts a big blind of 200",2024-04-17T21:38:10.884Z,171338989088406
"""Jiriakel @ -FdGHJB8zI"" posts a small blind of 100",2024-04-17T21:38:10.884Z,171338989088405
"Player stacks: #4 ""damonachey @ RxhhJpWi-r"" (545) | #7 ""creepyarcher @ _cw-_HfGvT"" (2340) | #8 ""Jiriakel @ -FdGHJB8zI"" (4125)",2024-04-17T21:38:10.884Z,171338989088401
"-- starting hand #38 (id: 5l682fwqca1w)  (No Limit Texas Hold'em) (dealer: ""creepyarcher @ _cw-_HfGvT"") --",2024-04-17T21:38:10.884Z,171338989088400
"-- ending hand #37 --",2024-04-17T21:38:07.883Z,171338988788302
"""Jiriakel @ -FdGHJB8zI"" collected 400 from pot",2024-04-17T21:38:07.883Z,171338988788301
"Uncalled bet of 200 returned to ""Jiriakel @ -FdGHJB8zI""",2024-04-17T21:38:07.883Z,171338988788300
"""creepyarcher @ _cw-_HfGvT"" folds",2024-04-17T21:38:07.027Z,171338988702700
"""Jiriakel @ -FdGHJB8zI"" bets 200",2024-04-17T21:38:03.207Z,171338988320700
"""creepyarcher @ _cw-_HfGvT"" checks",2024-04-17T21:38:00.441Z,171338988044100
"Flop:  [3♥, 4♦, 4♥]",2024-04-17T21:37:57.663Z,171338987766300
"""Jiriakel @ -FdGHJB8zI"" checks",2024-04-17T21:37:56.756Z,171338987675600
"""creepyarcher @ _cw-_HfGvT"" calls 200",2024-04-17T21:37:54.966Z,171338987496600
"""damonachey @ RxhhJpWi-r"" folds",2024-04-17T21:37:53.985Z,171338987398500
"""Jiriakel @ -FdGHJB8zI"" posts a big blind of 200",2024-04-17T21:37:51.745Z,171338987174508
"""creepyarcher @ _cw-_HfGvT"" posts a small blind of 100",2024-04-17T21:37:51.745Z,171338987174507
"Player stacks: #4 ""damonachey @ RxhhJpWi-r"" (545) | #7 ""creepyarcher @ _cw-_HfGvT"" (2540) | #8 ""Jiriakel @ -FdGHJB8zI"" (3925)",2024-04-17T21:37:51.745Z,171338987174503
"-- starting hand #37 (id: uevztrg1m3yp)  (No Limit Texas Hold'em) (dealer: ""damonachey @ RxhhJpWi-r"") --",2024-04-17T21:37:51.745Z,171338987174502
"The game's big blind was changed from 150 to 200.",2024-04-17T21:37:51.745Z,171338987174501
"The game's small blind was changed from 75 to 100.",2024-04-17T21:37:51.745Z,171338987174500
"-- ending hand #36 --",2024-04-17T21:37:45.738Z,171338986573803
"""creepyarcher @ _cw-_HfGvT"" shows a 4♥, A♦.",2024-04-17T21:37:45.738Z,171338986573802
"""Jiriakel @ -FdGHJB8zI"" collected 1575 from pot with Two Pair, Q's & J's (combination: Q♥, Q♦, J♣, J♦, K♥)",2024-04-17T21:37:45.738Z,171338986573801
"""Jiriakel @ -FdGHJB8zI"" shows a J♣, K♥.",2024-04-17T21:37:45.738Z,171338986573800
"""Jiriakel @ -FdGHJB8zI"" checks",2024-04-17T21:37:44.928Z,171338986492800
"""creepyarcher @ _cw-_HfGvT"" checks",2024-04-17T21:37:40.457Z,171338986045700
"River: Q♥, J♦, 10♠, Q♦ [3♣]",2024-04-17T21:37:37.055Z,171338985705500
"""Jiriakel @ -FdGHJB8zI"" calls 150",2024-04-17T21:37:36.218Z,171338985621800
"""creepyarcher @ _cw-_HfGvT"" bets 150",2024-04-17T21:37:34.582Z,171338985458200
"Turn: Q♥, J♦, 10♠ [Q♦]",2024-04-17T21:37:32.125Z,171338985212500
"""Jiriakel @ -FdGHJB8zI"" calls 150",2024-04-17T21:37:31.277Z,171338985127700
"""creepyarcher @ _cw-_HfGvT"" bets 150",2024-04-17T21:37:29.424Z,171338984942400
"Flop:  [Q♥, J♦, 10♠]",2024-04-17T21:37:26.917Z,171338984691700
"""creepyarcher @ _cw-_HfGvT"" calls 450",2024-04-17T21:37:26.092Z,171338984609200
"""damonachey @ RxhhJpWi-r"" folds",2024-04-17T21:37:24.856Z,171338984485600
"""Jiriakel @ -FdGHJB8zI"" raises to 450",2024-04-17T21:37:23.927Z,171338984392700
"""creepyarcher @ _cw-_HfGvT"" posts a big blind of 150",2024-04-17T21:37:21.229Z,171338984122906
"""damonachey @ RxhhJpWi-r"" posts a small blind of 75",2024-04-17T21:37:21.229Z,171338984122905
"Player stacks: #4 ""damonachey @ RxhhJpWi-r"" (620) | #7 ""creepyarcher @ _cw-_HfGvT"" (3290) | #8 ""Jiriakel @ -FdGHJB8zI"" (3100)",2024-04-17T21:37:21.229Z,171338984122901
"-- starting hand #36 (id: mirq61k1lzm0)  (No Limit Texas Hold'em) (dead button) --",2024-04-17T21:37:21.229Z,171338984122900
"-- ending hand #35 --",2024-04-17T21:37:18.317Z,171338983831702
"""damonachey @ RxhhJpWi-r"" collected 0 from pot",2024-04-17T21:37:18.317Z,171338983831701
"Uncalled bet of 150 returned to ""damonachey @ RxhhJpWi-r""",2024-04-17T21:37:18.317Z,171338983831700
"""Jiriakel @ -FdGHJB8zI"" folds",2024-04-17T21:37:17.479Z,171338983747900
"""creepyarcher @ _cw-_HfGvT"" folds",2024-04-17T21:37:15.033Z,171338983503300
"""damonachey @ RxhhJpWi-r"" posts a big blind of 150",2024-04-17T21:37:10.273Z,171338983027307
"Dead Small Blind",2024-04-17T21:37:10.273Z,171338983027306
"Player stacks: #4 ""damonachey @ RxhhJpWi-r"" (620) | #7 ""creepyarcher @ _cw-_HfGvT"" (3290) | #8 ""Jiriakel @ -FdGHJB8zI"" (3100)",2024-04-17T21:37:10.273Z,171338983027302
"-- starting hand #35 (id: fwwa0r4bc8l2)  (No Limit Texas Hold'em) (dealer: ""Jiriakel @ -FdGHJB8zI"") --",2024-04-17T21:37:10.273Z,171338983027301
