entry,at,order
"The player ""Jiriakel @ -FdGHJB8zI"" quits the game with a stack of 8000.",2024-04-17T21:17:02.658Z,171338862265800
"The player ""medmes @ tuvKKdahh_"" quits the game with a stack of 0.",2024-04-17T21:07:47.317Z,171338806731700
"-- ending hand #49 --",2024-04-17T21:07:41.291Z,171338806129101
"""Jiriakel @ -FdGHJB8zI"" collected 130 from pot with Pair, 6's (combination: 6♠, 6♦, Q♦, 7♥, 5♠)",2024-04-17T21:07:41.291Z,171338806129100
"River: 5♠, 3♣, Q♦, 6♦ [2♠]",2024-04-17T21:07:37.289Z,171338805728900
"Turn: 5♠, 3♣, Q♦ [6♦]",2024-04-17T21:07:33.251Z,171338805325100
"Flop:  [5♠, 3♣, Q♦]",2024-04-17T21:07:29.247Z,171338804924700
"""medmes @ tuvKKdahh_"" shows a 8♣, 3♦.",2024-04-17T21:07:25.236Z,171338804523602
"""Jiriakel @ -FdGHJB8zI"" shows a 6♠, 7♥.",2024-04-17T21:07:25.236Z,171338804523601
"Uncalled bet of 10 returned to ""Jiriakel @ -FdGHJB8zI""",2024-04-17T21:07:25.236Z,171338804523600
"""medmes @ tuvKKdahh_"" posts a big blind of 65 and go all in ",2024-04-17T21:07:24.399Z,171338804439906
"""Jiriakel @ -FdGHJB8zI"" posts a small blind of 75",2024-04-17T21:07:24.399Z,171338804439905
"Player stacks: #2 ""Jiriakel @ -FdGHJB8zI"" (7935) | #6 ""medmes @ tuvKKdahh_"" (65)",2024-04-17T21:07:24.399Z,171338804439902
"-- starting hand #49 (id: m9r4hvjx4lwb)  (No Limit Texas Hold'em) (dealer: ""Jiriakel @ -FdGHJB8zI"") --",2024-04-17T21:07:24.399Z,171338804439901
"The player ""ishida1xyz @ G2B_K3NxuU"" quits the game with a stack of 0.",2024-04-17T21:07:24.399Z,171338804439900
"-- ending hand #48 --",2024-04-17T21:07:18.385Z,171338803838501
"""Jiriakel @ -FdGHJB8zI"" collected 6300 from pot with Straight, Q High (combination: Q♠, J♠, 10♣, 9♦, 8♥)",2024-04-17T21:07:18.385Z,171338803838500
"River: 8♥, J♠, 3♥, Q♠ [3♣]",2024-04-17T21:07:14.380Z,171338803438000
"""ishida1xyz @ G2B_K3NxuU"" shows a 2♠, Q♥.",2024-04-17T21:07:10.321Z,171338803032101
"""Jiriakel @ -FdGHJB8zI"" shows a 9♦, 10♣.",2024-04-17T21:07:10.321Z,171338803032100
"""Jiriakel @ -FdGHJB8zI"" calls 2850",2024-04-17T21:07:09.473Z,171338802947300
"""ishida1xyz @ G2B_K3NxuU"" raises to 2850 and go all in",2024-04-17T21:07:07.842Z,171338802784200
"""Jiriakel @ -FdGHJB8zI"" raises to 900",2024-04-17T21:07:04.561Z,171338802456100
"""ishida1xyz @ G2B_K3NxuU"" bets 300",2024-04-17T21:06:59.998Z,171338801999800
"""Jiriakel @ -FdGHJB8zI"" checks",2024-04-17T21:06:57.552Z,171338801755200
"Turn: 8♥, J♠, 3♥ [Q♠]",2024-04-17T21:06:55.511Z,171338801551100
"""ishida1xyz @ G2B_K3NxuU"" checks",2024-04-17T21:06:54.630Z,171338801463000
"""Jiriakel @ -FdGHJB8zI"" checks",2024-04-17T21:06:52.962Z,171338801296200
"Flop:  [8♥, J♠, 3♥]",2024-04-17T21:06:50.710Z,171338801071000
"""ishida1xyz @ G2B_K3NxuU"" calls 300",2024-04-17T21:06:49.881Z,171338800988100
"""Jiriakel @ -FdGHJB8zI"" raises to 300",2024-04-17T21:06:46.244Z,171338800624400
"""medmes @ tuvKKdahh_"" folds",2024-04-17T21:06:43.088Z,171338800308807
"""ishida1xyz @ G2B_K3NxuU"" posts a big blind of 150",2024-04-17T21:06:43.088Z,171338800308806
"""Jiriakel @ -FdGHJB8zI"" posts a small blind of 75",2024-04-17T21:06:43.088Z,171338800308805
"Player stacks: #2 ""Jiriakel @ -FdGHJB8zI"" (4785) | #4 ""ishida1xyz @ G2B_K3NxuU"" (3150) | #6 ""medmes @ tuvKKdahh_"" (65)",2024-04-17T21:06:43.088Z,171338800308801
"-- starting hand #48 (id: cmojgnj7gfmr)  (No Limit Texas Hold'em) (dealer: ""medmes @ tuvKKdahh_"") --",2024-04-17T21:06:43.088Z,171338800308800
"-- ending hand #47 --",2024-04-17T21:06:40.154Z,171338800015402
"""Jiriakel @ -FdGHJB8zI"" collected 150 from pot",2024-04-17T21:06:40.154Z,171338800015401
"Uncalled bet of 75 returned to ""Jiriakel @ -FdGHJB8zI""",2024-04-17T21:06:40.154Z,171338800015400
"""medmes @ tuvKKdahh_"" folds",2024-04-17T21:06:39.283Z,171338799928300
"""ishida1xyz @ G2B_K3NxuU"" folds",2024-04-17T21:06:38.460Z,171338799846000
"""Jiriakel @ -FdGHJB8zI"" posts a big blind of 150",2024-04-17T21:06:37.211Z,171338799721106
"""medmes @ tuvKKdahh_"" posts a small blind of 75",2024-04-17T21:06:37.211Z,171338799721105
"Player stacks: #2 ""Jiriakel @ -FdGHJB8zI"" (4710) | #4 ""ishida1xyz @ G2B_K3NxuU"" (3150) | #6 ""medmes @ tuvKKdahh_"" (140)",2024-04-17T21:06:37.211Z,171338799721101
"-- starting hand #47 (id: owc0dkvyqubt)  (No Limit Texas Hold'em) (dealer: ""ishida1xyz @ G2B_K3NxuU"") --",2024-04-17T21:06:37.211Z,171338799721100
"-- ending hand #46 --",2024-04-17T21:06:34.294Z,171338799429402
"""ishida1xyz @ G2B_K3NxuU"" collected 300 from pot",2024-04-17T21:06:34.294Z,171338799429401
"Uncalled bet of 140 returned to ""ishida1xyz @ G2B_K3NxuU""",2024-04-17T21:06:34.294Z,171338799429400
"""medmes @ tuvKKdahh_"" folds",2024-04-17T21:06:33.469Z,171338799346900
"""ishida1xyz @ G2B_K3NxuU"" raises to 290",2024-04-17T21:06:32.663Z,171338799266300
"""Jiriakel @ -FdGHJB8zI"" folds",2024-04-17T21:06:30.194Z,171338799019400
"""medmes @ tuvKKdahh_"" posts a big blind of 150",2024-04-17T21:06:24.331Z,171338798433106
"""ishida1xyz @ G2B_K3NxuU"" posts a small blind of 75",2024-04-17T21:06:24.331Z,171338798433105
"Player stacks: #2 ""Jiriakel @ -FdGHJB8zI"" (4710) | #4 ""ishida1xyz @ G2B_K3NxuU"" (3000) | #6 ""medmes @ tuvKKdahh_"" (290)",2024-04-17T21:06:24.331Z,171338798433101
"-- starting hand #46 (id: zaekcka1qsss)  (No Limit Texas Hold'em) (dealer: ""Jiriakel @ -FdGHJB8zI"") --",2024-04-17T21:06:24.331Z,171338798433100
"-- ending hand #45 --",2024-04-17T21:06:21.384Z,171338798138402
"""Jiriakel @ -FdGHJB8zI"" collected 300 from pot",2024-04-17T21:06:21.384Z,171338798138401
"Uncalled bet of 150 returned to ""Jiriakel @ -FdGHJB8zI""",2024-04-17T21:06:21.384Z,171338798138400
"""ishida1xyz @ G2B_K3NxuU"" folds",2024-04-17T21:06:20.554Z,171338798055400
"""Jiriakel @ -FdGHJB8zI"" raises to 300",2024-04-17T21:06:18.943Z,171338797894300
"""medmes @ tuvKKdahh_"" folds",2024-04-17T21:06:14.818Z,171338797481807
"""ishida1xyz @ G2B_K3NxuU"" posts a big blind of 150",2024-04-17T21:06:14.818Z,171338797481806
"""Jiriakel @ -FdGHJB8zI"" posts a small blind of 75",2024-04-17T21:06:14.818Z,171338797481805
