entry,at,order
"The player ""akarvat @ oDlSGRCrSp"" quits the game with a stack of 7000.",2024-04-26T17:58:25.033Z,171415430503300
"The player ""Одинокий @ IJTnbMhqJ9"" quits the game with a stack of 0.",2024-04-26T17:52:38.962Z,171415395896200
"-- ending hand #60 --",2024-04-26T17:52:32.950Z,171415395295001
"""akarvat @ oDlSGRCrSp"" collected 5394 from pot with Straight, K High (combination: K♦, Q♣, J♥, 10♣, 9♠)",2024-04-26T17:52:32.950Z,171415395295000
"River: 3♣, 10♣, 9♠, Q♣ [K♦]",2024-04-26T17:52:28.946Z,171415394894600
"Turn: 3♣, 10♣, 9♠ [Q♣]",2024-04-26T17:52:24.931Z,171415394493100
"Flop:  [3♣, 10♣, 9♠]",2024-04-26T17:52:20.923Z,171415394092300
"""akarvat @ oDlSGRCrSp"" shows a J♥, J♦.",2024-04-26T17:52:16.851Z,171415393685101
"""Одинокий @ IJTnbMhqJ9"" shows a 6♦, A♣.",2024-04-26T17:52:16.851Z,171415393685100
"""akarvat @ oDlSGRCrSp"" calls 2697",2024-04-26T17:52:16.003Z,171415393600300
"""Одинокий @ IJTnbMhqJ9"" raises to 2697 and go all in",2024-04-26T17:52:14.284Z,171415393428400
"""akarvat @ oDlSGRCrSp"" raises to 600",2024-04-26T17:52:10.831Z,171415393083100
"""Одинокий @ IJTnbMhqJ9"" calls 200",2024-04-26T17:52:06.115Z,171415392611500
"""akarvat @ oDlSGRCrSp"" posts a big blind of 200",2024-04-26T17:52:04.633Z,171415392463307
"""Одинокий @ IJTnbMhqJ9"" posts a small blind of 100",2024-04-26T17:52:04.633Z,171415392463306
"Player stacks: #2 ""Одинокий @ IJTnbMhqJ9"" (2697) | #4 ""akarvat @ oDlSGRCrSp"" (4303)",2024-04-26T17:52:04.633Z,171415392463303
"-- starting hand #60 (id: srvxpfrfps6d)  (No Limit Texas Hold'em) (dealer: ""Одинокий @ IJTnbMhqJ9"") --",2024-04-26T17:52:04.633Z,171415392463302
"The game's big blind was changed from 150 to 200.",2024-04-26T17:52:04.633Z,171415392463301
"The game's small blind was changed from 75 to 100.",2024-04-26T17:52:04.633Z,171415392463300
"-- ending hand #59 --",2024-04-26T17:52:01.631Z,171415392163102
"""akarvat @ oDlSGRCrSp"" collected 300 from pot",2024-04-26T17:52:01.631Z,171415392163101
"Uncalled bet of 150 returned to ""akarvat @ oDlSGRCrSp""",2024-04-26T17:52:01.631Z,171415392163100
"""Одинокий @ IJTnbMhqJ9"" folds",2024-04-26T17:52:00.799Z,171415392079900
"""akarvat @ oDlSGRCrSp"" bets 150",2024-04-26T17:51:59.633Z,171415391963300
"""Одинокий @ IJTnbMhqJ9"" checks",2024-04-26T17:51:58.044Z,171415391804400
"Flop:  [J♠, 7♠, A♣]",2024-04-26T17:51:56.414Z,171415391641400
"""Одинокий @ IJTnbMhqJ9"" checks",2024-04-26T17:51:55.605Z,171415391560500
"""akarvat @ oDlSGRCrSp"" calls 150",2024-04-26T17:51:54.070Z,171415391407000
"""Одинокий @ IJTnbMhqJ9"" posts a big blind of 150",2024-04-26T17:51:52.502Z,171415391250205
"""akarvat @ oDlSGRCrSp"" posts a small blind of 75",2024-04-26T17:51:52.502Z,171415391250204
"Player stacks: #2 ""Одинокий @ IJTnbMhqJ9"" (2847) | #4 ""akarvat @ oDlSGRCrSp"" (4153)",2024-04-26T17:51:52.502Z,171415391250201
"-- starting hand #59 (id: upslbimlxh4v)  (No Limit Texas Hold'em) (dealer: ""akarvat @ oDlSGRCrSp"") --",2024-04-26T17:51:52.502Z,171415391250200
"-- ending hand #58 --",2024-04-26T17:51:49.591Z,171415390959102
"""akarvat @ oDlSGRCrSp"" collected 150 from pot",2024-04-26T17:51:49.591Z,171415390959101
"Uncalled bet of 75 returned to ""akarvat @ oDlSGRCrSp""",2024-04-26T17:51:49.591Z,171415390959100
"""Одинокий @ IJTnbMhqJ9"" folds",2024-04-26T17:51:48.720Z,171415390872000
"""akarvat @ oDlSGRCrSp"" posts a big blind of 150",2024-04-26T17:51:47.186Z,171415390718605
"""Одинокий @ IJTnbMhqJ9"" posts a small blind of 75",2024-04-26T17:51:47.186Z,171415390718604
"Player stacks: #2 ""Одинокий @ IJTnbMhqJ9"" (2922) | #4 ""akarvat @ oDlSGRCrSp"" (4078)",2024-04-26T17:51:47.186Z,171415390718601
"-- starting hand #58 (id: 1hs1s0uy5hsu)  (No Limit Texas Hold'em) (dealer: ""Одинокий @ IJTnbMhqJ9"") --",2024-04-26T17:51:47.186Z,171415390718600
"-- ending hand #57 --",2024-04-26T17:51:44.240Z,171415390424002
"""akarvat @ oDlSGRCrSp"" collected 300 from pot",2024-04-26T17:51:44.240Z,171415390424001
"Uncalled bet of 150 returned to ""akarvat @ oDlSGRCrSp""",2024-04-26T17:51:44.240Z,171415390424000
"""Одинокий @ IJTnbMhqJ9"" folds",2024-04-26T17:51:43.399Z,171415390339900
"""akarvat @ oDlSGRCrSp"" raises to 300",2024-04-26T17:51:42.201Z,171415390220100
"""Одинокий @ IJTnbMhqJ9"" posts a big blind of 150",2024-04-26T17:51:38.777Z,171415389877705
"""akarvat @ oDlSGRCrSp"" posts a small blind of 75",2024-04-26T17:51:38.777Z,171415389877704
"Player stacks: #2 ""Одинокий @ IJTnbMhqJ9"" (3072) | #4 ""akarvat @ oDlSGRCrSp"" (3928)",2024-04-26T17:51:38.777Z,171415389877701
"-- starting hand #57 (id: dp164yy1j0a8)  (No Limit Texas Hold'em) (dealer: ""akarvat @ oDlSGRCrSp"") --",2024-04-26T17:51:38.777Z,171415389877700
"-- ending hand #56 --",2024-04-26T17:51:35.813Z,171415389581302
"""Одинокий @ IJTnbMhqJ9"" collected 1200 from pot",2024-04-26T17:51:35.813Z,171415389581301
"Uncalled bet of 1872 returned to ""Одинокий @ IJTnbMhqJ9""",2024-04-26T17:51:35.813Z,171415389581300
"""akarvat @ oDlSGRCrSp"" folds",2024-04-26T17:51:34.993Z,171415389499300
"""Одинокий @ IJTnbMhqJ9"" raises to 2472 and go all in",2024-04-26T17:51:30.586Z,171415389058600
"""akarvat @ oDlSGRCrSp"" raises to 600",2024-04-26T17:51:26.876Z,171415388687600
"""Одинокий @ IJTnbMhqJ9"" calls 150",2024-04-26T17:51:22.083Z,171415388208300
"""akarvat @ oDlSGRCrSp"" posts a big blind of 150",2024-04-26T17:51:19.544Z,171415387954405
"""Одинокий @ IJTnbMhqJ9"" posts a small blind of 75",2024-04-26T17:51:19.544Z,171415387954404
"Player stacks: #2 ""Одинокий @ IJTnbMhqJ9"" (2472) | #4 ""akarvat @ oDlSGRCrSp"" (4528)",2024-04-26T17:51:19.544Z,171415387954401
"-- starting hand #56 (id: 9hcp2sbasb1l)  (No Limit Texas Hold'em) (dealer: ""Одинокий @ IJTnbMhqJ9"") --",2024-04-26T17:51:19.544Z,171415387954400
"-- ending hand #55 --",2024-04-26T17:51:16.555Z,171415387655502
"""akarvat @ oDlSGRCrSp"" collected 300 from pot",2024-04-26T17:51:16.555Z,171415387655501
"Uncalled bet of 150 returned to ""akarvat @ oDlSGRCrSp""",2024-04-26T17:51:16.555Z,171415387655500
"""Одинокий @ IJTnbMhqJ9"" folds",2024-04-26T17:51:15.740Z,171415387574000
"""akarvat @ oDlSGRCrSp"" raises to 300",2024-04-26T17:51:14.544Z,171415387454400
"""Одинокий @ IJTnbMhqJ9"" posts a big blind of 150",2024-04-26T17:51:10.124Z,171415387012405
"""akarvat @ oDlSGRCrSp"" posts a small blind of 75",2024-04-26T17:51:10.124Z,171415387012404
"Player stacks: #2 ""Одинокий @ IJTnbMhqJ9"" (2622) | #4 ""akarvat @ oDlSGRCrSp"" (4378)",2024-04-26T17:51:10.124Z,171415387012401
"-- starting hand #55 (id: bp7kjxq1li3w)  (No Limit Texas Hold'em) (dealer: ""akarvat @ oDlSGRCrSp"") --",2024-04-26T17:51:10.124Z,171415387012400
"-- ending hand #54 --",2024-04-26T17:51:07.158Z,171415386715802
"""akarvat @ oDlSGRCrSp"" collected 150 from pot",2024-04-26T17:51:07.158Z,171415386715801
"Uncalled bet of 75 returned to ""akarvat @ oDlSGRCrSp""",2024-04-26T17:51:07.158Z,171415386715800
"""Одинокий @ IJTnbMhqJ9"" folds",2024-04-26T17:51:06.356Z,171415386635600
