entry,at,order
"The player ""Roahppa @ MtPHp8Ur2_"" quits the game with a stack of 6556.",2024-04-26T20:25:20.840Z,171416312084000
"The player ""dumplings0303 @ qo9-z4mZdr"" quits the game with a stack of 0.",2024-04-26T20:01:46.856Z,171416170685600
"-- ending hand #55 --",2024-04-26T20:01:40.794Z,171416170079401
"""Roahppa @ MtPHp8Ur2_"" collected 5832 from pot with Pair, K's (combination: K♥, K♦, 10♦, 7♣, 5♣)",2024-04-26T20:01:40.794Z,171416170079400
"River: 3♥, 2♠, 7♣, 5♣ [K♦]",2024-04-26T20:01:36.790Z,171416169679000
"Turn: 3♥, 2♠, 7♣ [5♣]",2024-04-26T20:01:32.787Z,171416169278700
"Flop:  [3♥, 2♠, 7♣]",2024-04-26T20:01:28.775Z,171416168877500
"""dumplings0303 @ qo9-z4mZdr"" shows a 4♠, 9♠.",2024-04-26T20:01:24.771Z,171416168477101
"""Roahppa @ MtPHp8Ur2_"" shows a K♥, 10♦.",2024-04-26T20:01:24.771Z,171416168477100
"""dumplings0303 @ qo9-z4mZdr"" calls 2916 and go all in",2024-04-26T20:01:23.967Z,171416168396700
"""Roahppa @ MtPHp8Ur2_"" raises to 2916",2024-04-26T20:01:20.682Z,171416168068200
"""dumplings0303 @ qo9-z4mZdr"" posts a big blind of 300",2024-04-26T20:01:17.827Z,171416167782705
"""Roahppa @ MtPHp8Ur2_"" posts a small blind of 150",2024-04-26T20:01:17.827Z,171416167782704
"Player stacks: #4 ""Roahppa @ MtPHp8Ur2_"" (3640) | #7 ""dumplings0303 @ qo9-z4mZdr"" (2916)",2024-04-26T20:01:17.827Z,171416167782701
"-- starting hand #55 (id: eslbbffmqnde)  (No Limit Texas Hold'em) (dealer: ""Roahppa @ MtPHp8Ur2_"") --",2024-04-26T20:01:17.827Z,171416167782700
"-- ending hand #54 --",2024-04-26T20:01:14.917Z,171416167491702
"""Roahppa @ MtPHp8Ur2_"" collected 600 from pot",2024-04-26T20:01:14.917Z,171416167491701
"Uncalled bet of 2916 returned to ""Roahppa @ MtPHp8Ur2_""",2024-04-26T20:01:14.917Z,171416167491700
"""dumplings0303 @ qo9-z4mZdr"" folds",2024-04-26T20:01:14.086Z,171416167408600
"""Roahppa @ MtPHp8Ur2_"" raises to 3216",2024-04-26T20:01:08.335Z,171416166833500
"""dumplings0303 @ qo9-z4mZdr"" calls 300",2024-04-26T20:01:06.303Z,171416166630300
"""Roahppa @ MtPHp8Ur2_"" posts a big blind of 300",2024-04-26T20:01:04.665Z,171416166466505
"""dumplings0303 @ qo9-z4mZdr"" posts a small blind of 150",2024-04-26T20:01:04.665Z,171416166466504
"Player stacks: #4 ""Roahppa @ MtPHp8Ur2_"" (3340) | #7 ""dumplings0303 @ qo9-z4mZdr"" (3216)",2024-04-26T20:01:04.665Z,171416166466501
"-- starting hand #54 (id: sfdqlgbixyyx)  (No Limit Texas Hold'em) (dealer: ""dumplings0303 @ qo9-z4mZdr"") --",2024-04-26T20:01:04.665Z,171416166466500
"-- ending hand #53 --",2024-04-26T20:01:01.726Z,171416166172602
"""dumplings0303 @ qo9-z4mZdr"" collected 300 from pot",2024-04-26T20:01:01.726Z,171416166172601
"Uncalled bet of 150 returned to ""dumplings0303 @ qo9-z4mZdr""",2024-04-26T20:01:01.726Z,171416166172600
"""Roahppa @ MtPHp8Ur2_"" folds",2024-04-26T20:01:00.903Z,171416166090306
"""dumplings0303 @ qo9-z4mZdr"" posts a big blind of 300",2024-04-26T20:01:00.903Z,171416166090305
"""Roahppa @ MtPHp8Ur2_"" posts a small blind of 150",2024-04-26T20:01:00.903Z,171416166090304
"Player stacks: #4 ""Roahppa @ MtPHp8Ur2_"" (3490) | #7 ""dumplings0303 @ qo9-z4mZdr"" (3066)",2024-04-26T20:01:00.903Z,171416166090301
"-- starting hand #53 (id: hyzfppjdaify)  (No Limit Texas Hold'em) (dealer: ""Roahppa @ MtPHp8Ur2_"") --",2024-04-26T20:01:00.903Z,171416166090300
"-- ending hand #52 --",2024-04-26T20:00:57.980Z,171416165798002
"""dumplings0303 @ qo9-z4mZdr"" collected 600 from pot",2024-04-26T20:00:57.980Z,171416165798001
"Uncalled bet of 300 returned to ""dumplings0303 @ qo9-z4mZdr""",2024-04-26T20:00:57.980Z,171416165798000
"""Roahppa @ MtPHp8Ur2_"" folds",2024-04-26T20:00:57.098Z,171416165709800
"""dumplings0303 @ qo9-z4mZdr"" bets 300",2024-04-26T20:00:56.284Z,171416165628400
"""Roahppa @ MtPHp8Ur2_"" checks",2024-04-26T20:00:54.030Z,171416165403001
"Flop:  [K♥, 3♦, 6♦]",2024-04-26T20:00:54.030Z,171416165403000
"""Roahppa @ MtPHp8Ur2_"" checks",2024-04-26T20:00:53.180Z,171416165318000
"""dumplings0303 @ qo9-z4mZdr"" calls 300",2024-04-26T20:00:52.351Z,171416165235100
"""Roahppa @ MtPHp8Ur2_"" posts a big blind of 300",2024-04-26T20:00:50.777Z,171416165077705
"""dumplings0303 @ qo9-z4mZdr"" posts a small blind of 150",2024-04-26T20:00:50.777Z,171416165077704
"Player stacks: #4 ""Roahppa @ MtPHp8Ur2_"" (3790) | #7 ""dumplings0303 @ qo9-z4mZdr"" (2766)",2024-04-26T20:00:50.777Z,171416165077701
"-- starting hand #52 (id: 45fh6xzyzerb)  (No Limit Texas Hold'em) (dealer: ""dumplings0303 @ qo9-z4mZdr"") --",2024-04-26T20:00:50.777Z,171416165077700
"-- ending hand #51 --",2024-04-26T20:00:47.825Z,171416164782502
"""dumplings0303 @ qo9-z4mZdr"" collected 300 from pot",2024-04-26T20:00:47.825Z,171416164782501
"Uncalled bet of 150 returned to ""dumplings0303 @ qo9-z4mZdr""",2024-04-26T20:00:47.825Z,171416164782500
"""Roahppa @ MtPHp8Ur2_"" folds",2024-04-26T20:00:46.982Z,171416164698208
"""dumplings0303 @ qo9-z4mZdr"" posts a big blind of 300",2024-04-26T20:00:46.982Z,171416164698207
"""Roahppa @ MtPHp8Ur2_"" posts a small blind of 150",2024-04-26T20:00:46.982Z,171416164698206
"Player stacks: #4 ""Roahppa @ MtPHp8Ur2_"" (3940) | #7 ""dumplings0303 @ qo9-z4mZdr"" (2616)",2024-04-26T20:00:46.982Z,171416164698203
"-- starting hand #51 (id: jfl5tafufm7v)  (No Limit Texas Hold'em) (dealer: ""Roahppa @ MtPHp8Ur2_"") --",2024-04-26T20:00:46.982Z,171416164698202
"The game's big blind was changed from 200 to 300.",2024-04-26T20:00:46.982Z,171416164698201
"The game's small blind was changed from 100 to 150.",2024-04-26T20:00:46.982Z,171416164698200
"-- ending hand #50 --",2024-04-26T20:00:44.065Z,171416164406502
"""dumplings0303 @ qo9-z4mZdr"" collected 800 from pot",2024-04-26T20:00:44.065Z,171416164406501
"Uncalled bet of 200 returned to ""dumplings0303 @ qo9-z4mZdr""",2024-04-26T20:00:44.065Z,171416164406500
"""Roahppa @ MtPHp8Ur2_"" folds",2024-04-26T20:00:43.220Z,171416164322000
"""dumplings0303 @ qo9-z4mZdr"" bets 200",2024-04-26T20:00:42.407Z,171416164240700
"""Roahppa @ MtPHp8Ur2_"" checks",2024-04-26T20:00:40.215Z,171416164021500
"Turn: Q♦, 2♠, J♦ [7♠]",2024-04-26T20:00:25.186Z,171416162518600
"""dumplings0303 @ qo9-z4mZdr"" calls 200",2024-04-26T20:00:24.353Z,171416162435300
"""Roahppa @ MtPHp8Ur2_"" bets 200",2024-04-26T20:00:22.892Z,171416162289200
"Flop:  [Q♦, 2♠, J♦]",2024-04-26T20:00:15.929Z,171416161592900
"""Roahppa @ MtPHp8Ur2_"" checks",2024-04-26T20:00:15.100Z,171416161510000
"""dumplings0303 @ qo9-z4mZdr"" calls 200",2024-04-26T20:00:12.183Z,171416161218300
"""Roahppa @ MtPHp8Ur2_"" posts a big blind of 200",2024-04-26T20:00:10.417Z,171416161041705
