entry,at,order
"The player ""Pumpkineater69 @ B4pEZB-R0t"" quits the game with a stack of 8000.",2024-04-26T18:35:16.503Z,171415651650300
"The player ""trillveeeeeech @ ENp71Ra0t-"" quits the game with a stack of 0.",2024-04-26T18:29:34.472Z,171415617447200
"-- ending hand #62 --",2024-04-26T18:29:28.466Z,171415616846601
"""Pumpkineater69 @ B4pEZB-R0t"" collected 814 from pot with Pair, 10's (combination: 10♦, 10♥, K♠, 7♥, 6♦)",2024-04-26T18:29:28.466Z,171415616846600
"River: 3♣, 6♦, 10♥, 7♥ [K♠]",2024-04-26T18:29:24.434Z,171415616443400
"Turn: 3♣, 6♦, 10♥ [7♥]",2024-04-26T18:29:20.419Z,171415616041900
"Flop:  [3♣, 6♦, 10♥]",2024-04-26T18:29:16.397Z,171415615639700
"""Pumpkineater69 @ B4pEZB-R0t"" shows a 4♥, 10♦.",2024-04-26T18:29:12.394Z,171415615239402
"""trillveeeeeech @ ENp71Ra0t-"" shows a 8♦, 8♠.",2024-04-26T18:29:12.394Z,171415615239401
"Uncalled bet of 93 returned to ""Pumpkineater69 @ B4pEZB-R0t""",2024-04-26T18:29:12.394Z,171415615239400
"""Pumpkineater69 @ B4pEZB-R0t"" calls 500",2024-04-26T18:29:11.586Z,171415615158600
"""trillveeeeeech @ ENp71Ra0t-"" posts a big blind of 407 and go all in ",2024-04-26T18:28:58.309Z,171415613830907
"""Pumpkineater69 @ B4pEZB-R0t"" posts a small blind of 250",2024-04-26T18:28:58.309Z,171415613830906
"Player stacks: #3 ""trillveeeeeech @ ENp71Ra0t-"" (407) | #5 ""Pumpkineater69 @ B4pEZB-R0t"" (7593)",2024-04-26T18:28:58.309Z,171415613830903
"-- starting hand #62 (id: hd9upkescoth)  (No Limit Texas Hold'em) (dealer: ""Pumpkineater69 @ B4pEZB-R0t"") --",2024-04-26T18:28:58.309Z,171415613830902
"The game's big blind was changed from 300 to 500.",2024-04-26T18:28:58.309Z,171415613830901
"The game's small blind was changed from 150 to 250.",2024-04-26T18:28:58.309Z,171415613830900
"-- ending hand #61 --",2024-04-26T18:28:52.306Z,171415613230603
"""trillveeeeeech @ ENp71Ra0t-"" shows a 5♥, J♦.",2024-04-26T18:28:52.306Z,171415613230602
"""Pumpkineater69 @ B4pEZB-R0t"" collected 7500 from pot with Pair, Q's (combination: Q♥, Q♣, K♥, 10♦, 8♥)",2024-04-26T18:28:52.306Z,171415613230601
"""Pumpkineater69 @ B4pEZB-R0t"" shows a Q♥, 10♦.",2024-04-26T18:28:52.306Z,171415613230600
"""Pumpkineater69 @ B4pEZB-R0t"" calls 1800",2024-04-26T18:28:51.481Z,171415613148100
"""trillveeeeeech @ ENp71Ra0t-"" bets 1800",2024-04-26T18:28:43.695Z,171415612369500
"""Pumpkineater69 @ B4pEZB-R0t"" checks",2024-04-26T18:28:39.410Z,171415611941000
"River: K♥, 8♥, 6♣, 2♥ [Q♣]",2024-04-26T18:28:36.157Z,171415611615700
"""Pumpkineater69 @ B4pEZB-R0t"" calls 600",2024-04-26T18:28:35.291Z,171415611529100
"""trillveeeeeech @ ENp71Ra0t-"" bets 600",2024-04-26T18:28:20.623Z,171415610062300
"""Pumpkineater69 @ B4pEZB-R0t"" checks",2024-04-26T18:28:16.591Z,171415609659100
"Turn: K♥, 8♥, 6♣ [2♥]",2024-04-26T18:28:14.462Z,171415609446200
"""Pumpkineater69 @ B4pEZB-R0t"" calls 600",2024-04-26T18:28:13.648Z,171415609364800
"""trillveeeeeech @ ENp71Ra0t-"" bets 600",2024-04-26T18:28:10.510Z,171415609051000
"""Pumpkineater69 @ B4pEZB-R0t"" checks",2024-04-26T18:28:06.340Z,171415608634000
"Flop:  [K♥, 8♥, 6♣]",2024-04-26T18:28:03.492Z,171415608349200
"""Pumpkineater69 @ B4pEZB-R0t"" calls 750",2024-04-26T18:28:02.656Z,171415608265600
"""trillveeeeeech @ ENp71Ra0t-"" raises to 750",2024-04-26T18:27:53.775Z,171415607377500
"""Pumpkineater69 @ B4pEZB-R0t"" posts a big blind of 300",2024-04-26T18:27:46.985Z,171415606698505
"""trillveeeeeech @ ENp71Ra0t-"" posts a small blind of 150",2024-04-26T18:27:46.985Z,171415606698504
"Player stacks: #3 ""trillveeeeeech @ ENp71Ra0t-"" (4157) | #5 ""Pumpkineater69 @ B4pEZB-R0t"" (3843)",2024-04-26T18:27:46.985Z,171415606698501
"-- starting hand #61 (id: kskymlgxndsg)  (No Limit Texas Hold'em) (dealer: ""trillveeeeeech @ ENp71Ra0t-"") --",2024-04-26T18:27:46.985Z,171415606698500
"""trillveeeeeech @ ENp71Ra0t-"" shows a 4♦, 9♣.",2024-04-26T18:27:43.595Z,171415606359500
"""Pumpkineater69 @ B4pEZB-R0t"" shows a J♦, 8♥.",2024-04-26T18:27:43.540Z,171415606354000
"-- ending hand #60 --",2024-04-26T18:27:42.654Z,171415606265402
"""trillveeeeeech @ ENp71Ra0t-"" collected 300 from pot",2024-04-26T18:27:42.654Z,171415606265401
"Uncalled bet of 150 returned to ""trillveeeeeech @ ENp71Ra0t-""",2024-04-26T18:27:42.654Z,171415606265400
"""Pumpkineater69 @ B4pEZB-R0t"" folds",2024-04-26T18:27:41.790Z,171415606179000
"""trillveeeeeech @ ENp71Ra0t-"" posts a big blind of 300",2024-04-26T18:27:34.541Z,171415605454105
"""Pumpkineater69 @ B4pEZB-R0t"" posts a small blind of 150",2024-04-26T18:27:34.541Z,171415605454104
"Player stacks: #3 ""trillveeeeeech @ ENp71Ra0t-"" (4007) | #5 ""Pumpkineater69 @ B4pEZB-R0t"" (3993)",2024-04-26T18:27:34.541Z,171415605454101
"-- starting hand #60 (id: wv52gmxzquii)  (No Limit Texas Hold'em) (dealer: ""Pumpkineater69 @ B4pEZB-R0t"") --",2024-04-26T18:27:34.541Z,171415605454100
"-- ending hand #59 --",2024-04-26T18:27:28.485Z,171415604848504
"""Pumpkineater69 @ B4pEZB-R0t"" collected 2100 from pot with Two Pair, 5's & 4's (combination: 5♣, 5♠, 4♣, 4♠, A♦)",2024-04-26T18:27:28.485Z,171415604848503
"""Pumpkineater69 @ B4pEZB-R0t"" shows a A♦, 9♠.",2024-04-26T18:27:28.485Z,171415604848502
"""trillveeeeeech @ ENp71Ra0t-"" collected 2100 from pot with Two Pair, 5's & 4's (combination: 5♣, 5♠, 4♣, 4♠, A♥)",2024-04-26T18:27:28.485Z,171415604848501
"""trillveeeeeech @ ENp71Ra0t-"" shows a 3♥, A♥.",2024-04-26T18:27:28.485Z,171415604848500
"""Pumpkineater69 @ B4pEZB-R0t"" calls 1200",2024-04-26T18:27:27.671Z,171415604767100
"""trillveeeeeech @ ENp71Ra0t-"" bets 1200",2024-04-26T18:27:19.119Z,171415603911900
"""Pumpkineater69 @ B4pEZB-R0t"" checks",2024-04-26T18:27:10.515Z,171415603051500
"River: 5♣, 10♦, 5♠, 4♣ [4♠]",2024-04-26T18:27:08.070Z,171415602807000
"""trillveeeeeech @ ENp71Ra0t-"" checks",2024-04-26T18:27:07.180Z,171415602718000
"""Pumpkineater69 @ B4pEZB-R0t"" checks",2024-04-26T18:27:06.122Z,171415602612200
"Turn: 5♣, 10♦, 5♠ [4♣]",2024-04-26T18:26:56.560Z,171415601656000
"""trillveeeeeech @ ENp71Ra0t-"" calls 300",2024-04-26T18:26:55.727Z,171415601572700
"""Pumpkineater69 @ B4pEZB-R0t"" bets 300",2024-04-26T18:26:52.502Z,171415601250200
"Flop:  [5♣, 10♦, 5♠]",2024-04-26T18:26:44.944Z,171415600494400
"""trillveeeeeech @ ENp71Ra0t-"" calls 600",2024-04-26T18:26:44.107Z,171415600410700
"""Pumpkineater69 @ B4pEZB-R0t"" raises to 600",2024-04-26T18:26:42.667Z,171415600266700
"""trillveeeeeech @ ENp71Ra0t-"" calls 300",2024-04-26T18:26:37.651Z,171415599765100
"""Pumpkineater69 @ B4pEZB-R0t"" posts a big blind of 300",2024-04-26T18:26:33.010Z,171415599301005
"""trillveeeeeech @ ENp71Ra0t-"" posts a small blind of 150",2024-04-26T18:26:33.010Z,171415599301004
"Player stacks: #3 ""trillveeeeeech @ ENp71Ra0t-"" (4007) | #5 ""Pumpkineater69 @ B4pEZB-R0t"" (3993)",2024-04-26T18:26:33.010Z,171415599301001
"-- starting hand #59 (id: ubmyeu1ohajl)  (No Limit Texas Hold'em) (dealer: ""trillveeeeeech @ ENp71Ra0t-"") --",2024-04-26T18:26:33.010Z,171415599301000
"""Pumpkineater69 @ B4pEZB-R0t"" shows a A♥, 7♣.",2024-04-26T18:26:29.270Z,171415598927000
"""trillveeeeeech @ ENp71Ra0t-"" shows a 2♠, 4♥.",2024-04-26T18:26:29.110Z,171415598911000
"-- ending hand #58 --",2024-04-26T18:26:28.626Z,171415598862602
"""Pumpkineater69 @ B4pEZB-R0t"" collected 600 from pot",2024-04-26T18:26:28.626Z,171415598862601
"Uncalled bet of 300 returned to ""Pumpkineater69 @ B4pEZB-R0t""",2024-04-26T18:26:28.626Z,171415598862600
"""trillveeeeeech @ ENp71Ra0t-"" folds",2024-04-26T18:26:27.810Z,171415598781000
"""Pumpkineater69 @ B4pEZB-R0t"" raises to 600",2024-04-26T18:26:26.362Z,171415598636200
"""trillveeeeeech @ ENp71Ra0t-"" posts a big blind of 300",2024-04-26T18:26:18.008Z,171415597800805
"""Pumpkineater69 @ B4pEZB-R0t"" posts a small blind of 150",2024-04-26T18:26:18.008Z,171415597800804
"Player stacks: #3 ""trillveeeeeech @ ENp71Ra0t-"" (4307) | #5 ""Pumpkineater69 @ B4pEZB-R0t"" (3693)",2024-04-26T18:26:18.008Z,171415597800801
"-- starting hand #58 (id: g9p3flrto1uc)  (No Limit Texas Hold'em) (dealer: ""Pumpkineater69 @ B4pEZB-R0t"") --",2024-04-26T18:26:18.008Z,171415597800800
"""Pumpkineater69 @ B4pEZB-R0t"" shows a 8♦, 9♥.",2024-04-26T18:26:15.130Z,171415597513000
"-- ending hand #57 --",2024-04-26T18:26:14.370Z,171415597437002
"""trillveeeeeech @ ENp71Ra0t-"" collected 600 from pot",2024-04-26T18:26:14.370Z,171415597437001
"Uncalled bet of 300 returned to ""trillveeeeeech @ ENp71Ra0t-""",2024-04-26T18:26:14.370Z,171415597437000
"""Pumpkineater69 @ B4pEZB-R0t"" folds",2024-04-26T18:26:13.522Z,171415597352200
"""trillveeeeeech @ ENp71Ra0t-"" bets 300",2024-04-26T18:26:06.402Z,171415596640200
"""Pumpkineater69 @ B4pEZB-R0t"" checks",2024-04-26T18:26:02.978Z,171415596297800
"Flop:  [10♠, J♦, 6♦]",2024-04-26T18:26:00.899Z,171415596089900
"""Pumpkineater69 @ B4pEZB-R0t"" checks",2024-04-26T18:26:00.066Z,171415596006600
"""trillveeeeeech @ ENp71Ra0t-"" calls 300",2024-04-26T18:25:57.811Z,171415595781100
"""Pumpkineater69 @ B4pEZB-R0t"" posts a big blind of 300",2024-04-26T18:25:54.890Z,171415595489005
"""trillveeeeeech @ ENp71Ra0t-"" posts a small blind of 150",2024-04-26T18:25:54.890Z,171415595489004
"Player stacks: #3 ""trillveeeeeech @ ENp71Ra0t-"" (4007) | #5 ""Pumpkineater69 @ B4pEZB-R0t"" (3993)",2024-04-26T18:25:54.890Z,171415595489001
"-- starting hand #57 (id: nzlkywdsyrtb)  (No Limit Texas Hold'em) (dealer: ""trillveeeeeech @ ENp71Ra0t-"") --",2024-04-26T18:25:54.890Z,171415595489000
"""Pumpkineater69 @ B4pEZB-R0t"" shows a 6♦, 9♠.",2024-04-26T18:25:49.472Z,171415594947200
"-- ending hand #56 --",2024-04-26T18:25:48.327Z,171415594832702
"""trillveeeeeech @ ENp71Ra0t-"" collected 600 from pot with Pair, 7's (combination: 7♦, 7♠, K♦, J♦, 10♣)",2024-04-26T18:25:48.327Z,171415594832701
"""trillveeeeeech @ ENp71Ra0t-"" shows a K♦, 4♥.",2024-04-26T18:25:48.327Z,171415594832700
"""Pumpkineater69 @ B4pEZB-R0t"" checks",2024-04-26T18:25:47.505Z,171415594750500
"""trillveeeeeech @ ENp71Ra0t-"" checks",2024-04-26T18:25:46.040Z,171415594604000
"River: 3♠, 7♦, 10♣, 7♠ [J♦]",2024-04-26T18:25:45.126Z,171415594512600
"""Pumpkineater69 @ B4pEZB-R0t"" checks",2024-04-26T18:25:44.304Z,171415594430400
"""trillveeeeeech @ ENp71Ra0t-"" checks",2024-04-26T18:25:42.368Z,171415594236800
"Turn: 3♠, 7♦, 10♣ [7♠]",2024-04-26T18:25:40.776Z,171415594077600
"""Pumpkineater69 @ B4pEZB-R0t"" checks",2024-04-26T18:25:39.947Z,171415593994700
"""trillveeeeeech @ ENp71Ra0t-"" checks",2024-04-26T18:25:30.434Z,171415593043400
"Flop:  [3♠, 7♦, 10♣]",2024-04-26T18:25:28.932Z,171415592893200
"""trillveeeeeech @ ENp71Ra0t-"" checks",2024-04-26T18:25:28.102Z,171415592810200
"""Pumpkineater69 @ B4pEZB-R0t"" calls 300",2024-04-26T18:25:23.386Z,171415592338600
"""trillveeeeeech @ ENp71Ra0t-"" posts a big blind of 300",2024-04-26T18:25:14.542Z,171415591454205
"""Pumpkineater69 @ B4pEZB-R0t"" posts a small blind of 150",2024-04-26T18:25:14.542Z,171415591454204
"Player stacks: #3 ""trillveeeeeech @ ENp71Ra0t-"" (3707) | #5 ""Pumpkineater69 @ B4pEZB-R0t"" (4293)",2024-04-26T18:25:14.542Z,171415591454201
"-- starting hand #56 (id: jzewtdstwome)  (No Limit Texas Hold'em) (dealer: ""Pumpkineater69 @ B4pEZB-R0t"") --",2024-04-26T18:25:14.542Z,171415591454200
"-- ending hand #55 --",2024-04-26T18:25:08.533Z,171415590853302
"""Pumpkineater69 @ B4pEZB-R0t"" collected 4200 from pot with Two Pair, J's & 8's (combination: J♥, J♣, 8♦, 8♣, 6♥)",2024-04-26T18:25:08.533Z,171415590853301
"""Pumpkineater69 @ B4pEZB-R0t"" shows a 8♦, J♥.",2024-04-26T18:25:08.533Z,171415590853300
"""trillveeeeeech @ ENp71Ra0t-"" checks",2024-04-26T18:25:07.692Z,171415590769200
"""Pumpkineater69 @ B4pEZB-R0t"" checks",2024-04-26T18:25:05.840Z,171415590584000
"River: J♣, 6♥, 8♣, 4♦ [3♣]",2024-04-26T18:25:03.651Z,171415590365100
"""Pumpkineater69 @ B4pEZB-R0t"" calls 900",2024-04-26T18:25:02.827Z,171415590282700
"""trillveeeeeech @ ENp71Ra0t-"" bets 900",2024-04-26T18:25:01.377Z,171415590137700
"""Pumpkineater69 @ B4pEZB-R0t"" checks",2024-04-26T18:24:53.981Z,171415589398100
"Turn: J♣, 6♥, 8♣ [4♦]",2024-04-26T18:24:51.043Z,171415589104300
"""Pumpkineater69 @ B4pEZB-R0t"" calls 900",2024-04-26T18:24:50.222Z,171415589022200
