entry,at,order
"The player ""clankylemon8 @ sPnAQLGb_Y"" quits the game with a stack of 8000.",2024-04-17T21:42:49.386Z,171339016938600
"The player ""Toup @ PgThHQp0N8"" quits the game with a stack of 0.",2024-04-17T21:37:09.873Z,171338982987300
"-- ending hand #29 --",2024-04-17T21:37:03.864Z,171338982386403
"""Toup @ PgThHQp0N8"" shows a 6♣, 10♥.",2024-04-17T21:37:03.864Z,171338982386402
"""clankylemon8 @ sPnAQLGb_Y"" collected 7120 from pot with Straight, 5 High (combination: 5♣, 4♥, 3♥, 2♦, A♦)",2024-04-17T21:37:03.864Z,171338982386401
"""clankylemon8 @ sPnAQLGb_Y"" shows a 4♥, 5♣.",2024-04-17T21:37:03.864Z,171338982386400
"""clankylemon8 @ sPnAQLGb_Y"" calls 3260",2024-04-17T21:37:03.020Z,171338982302000
"""Toup @ PgThHQp0N8"" raises to 3260 and go all in",2024-04-17T21:37:01.388Z,171338982138800
"""clankylemon8 @ sPnAQLGb_Y"" raises to 2500",2024-04-17T21:36:56.143Z,171338981614300
"""Toup @ PgThHQp0N8"" bets 1000",2024-04-17T21:36:49.309Z,171338980930900
"River: A♦, 2♦, 3♥, 10♣ [10♠]",2024-04-17T21:36:42.039Z,171338980203900
"""clankylemon8 @ sPnAQLGb_Y"" calls 200",2024-04-17T21:36:41.181Z,171338980118100
"""Toup @ PgThHQp0N8"" bets 200",2024-04-17T21:36:39.270Z,171338979927000
"Turn: A♦, 2♦, 3♥ [10♣]",2024-04-17T21:36:35.316Z,171338979531600
"""clankylemon8 @ sPnAQLGb_Y"" checks",2024-04-17T21:36:34.482Z,171338979448200
"""Toup @ PgThHQp0N8"" checks",2024-04-17T21:36:33.115Z,171338979311500
"Flop:  [A♦, 2♦, 3♥]",2024-04-17T21:36:29.858Z,171338978985800
"""Toup @ PgThHQp0N8"" checks",2024-04-17T21:36:29.044Z,171338978904400
"""clankylemon8 @ sPnAQLGb_Y"" calls 100",2024-04-17T21:36:23.357Z,171338978335700
"""Toup @ PgThHQp0N8"" posts a big blind of 100",2024-04-17T21:36:21.321Z,171338978132105
"""clankylemon8 @ sPnAQLGb_Y"" posts a small blind of 50",2024-04-17T21:36:21.321Z,171338978132104
"Player stacks: #2 ""Toup @ PgThHQp0N8"" (3560) | #5 ""clankylemon8 @ sPnAQLGb_Y"" (4440)",2024-04-17T21:36:21.321Z,171338978132101
"-- starting hand #29 (id: gichqgoosvtu)  (No Limit Texas Hold'em) (dealer: ""clankylemon8 @ sPnAQLGb_Y"") --",2024-04-17T21:36:21.321Z,171338978132100
"-- ending hand #28 --",2024-04-17T21:36:18.416Z,171338977841602
"""Toup @ PgThHQp0N8"" collected 200 from pot",2024-04-17T21:36:18.416Z,171338977841601
"Uncalled bet of 400 returned to ""Toup @ PgThHQp0N8""",2024-04-17T21:36:18.416Z,171338977841600
"""clankylemon8 @ sPnAQLGb_Y"" folds",2024-04-17T21:36:17.559Z,171338977755900
"""Toup @ PgThHQp0N8"" raises to 500",2024-04-17T21:36:14.567Z,171338977456700
"""clankylemon8 @ sPnAQLGb_Y"" posts a big blind of 100",2024-04-17T21:36:05.007Z,171338976500705
"""Toup @ PgThHQp0N8"" posts a small blind of 50",2024-04-17T21:36:05.007Z,171338976500704
"Player stacks: #2 ""Toup @ PgThHQp0N8"" (3460) | #5 ""clankylemon8 @ sPnAQLGb_Y"" (4540)",2024-04-17T21:36:05.007Z,171338976500701
"-- starting hand #28 (id: eaq5e6fotgsj)  (No Limit Texas Hold'em) (dealer: ""Toup @ PgThHQp0N8"") --",2024-04-17T21:36:05.007Z,171338976500700
"-- ending hand #27 --",2024-04-17T21:36:02.036Z,171338976203602
"""clankylemon8 @ sPnAQLGb_Y"" collected 200 from pot",2024-04-17T21:36:02.036Z,171338976203601
"Uncalled bet of 400 returned to ""clankylemon8 @ sPnAQLGb_Y""",2024-04-17T21:36:02.036Z,171338976203600
"""Toup @ PgThHQp0N8"" folds",2024-04-17T21:36:01.227Z,171338976122700
"""clankylemon8 @ sPnAQLGb_Y"" raises to 500",2024-04-17T21:35:59.006Z,171338975900600
"""Toup @ PgThHQp0N8"" posts a big blind of 100",2024-04-17T21:35:55.374Z,171338975537405
"""clankylemon8 @ sPnAQLGb_Y"" posts a small blind of 50",2024-04-17T21:35:55.374Z,171338975537404
"Player stacks: #2 ""Toup @ PgThHQp0N8"" (3560) | #5 ""clankylemon8 @ sPnAQLGb_Y"" (4440)",2024-04-17T21:35:55.374Z,171338975537401
"-- starting hand #27 (id: arjpb9f2xonz)  (No Limit Texas Hold'em) (dealer: ""clankylemon8 @ sPnAQLGb_Y"") --",2024-04-17T21:35:55.374Z,171338975537400
"-- ending hand #26 --",2024-04-17T21:35:52.429Z,171338975242902
"""clankylemon8 @ sPnAQLGb_Y"" collected 200 from pot",2024-04-17T21:35:52.429Z,171338975242901
"Uncalled bet of 500 returned to ""clankylemon8 @ sPnAQLGb_Y""",2024-04-17T21:35:52.429Z,171338975242900
"""Toup @ PgThHQp0N8"" folds",2024-04-17T21:35:51.595Z,171338975159500
"""clankylemon8 @ sPnAQLGb_Y"" bets 500",2024-04-17T21:35:39.198Z,171338973919800
"Flop:  [10♠, 6♥, 9♦]",2024-04-17T21:35:33.750Z,171338973375000
"""clankylemon8 @ sPnAQLGb_Y"" checks",2024-04-17T21:35:32.938Z,171338973293800
"""Toup @ PgThHQp0N8"" calls 100",2024-04-17T21:35:31.564Z,171338973156400
"""clankylemon8 @ sPnAQLGb_Y"" posts a big blind of 100",2024-04-17T21:35:26.252Z,171338972625205
"""Toup @ PgThHQp0N8"" posts a small blind of 50",2024-04-17T21:35:26.252Z,171338972625204
"Player stacks: #2 ""Toup @ PgThHQp0N8"" (3660) | #5 ""clankylemon8 @ sPnAQLGb_Y"" (4340)",2024-04-17T21:35:26.252Z,171338972625201
"-- starting hand #26 (id: fda61hyzjk7d)  (No Limit Texas Hold'em) (dealer: ""Toup @ PgThHQp0N8"") --",2024-04-17T21:35:26.252Z,171338972625200
"-- ending hand #25 --",2024-04-17T21:35:23.317Z,171338972331702
"""Toup @ PgThHQp0N8"" collected 200 from pot",2024-04-17T21:35:23.317Z,171338972331701
"Uncalled bet of 200 returned to ""Toup @ PgThHQp0N8""",2024-04-17T21:35:23.317Z,171338972331700
"""clankylemon8 @ sPnAQLGb_Y"" folds",2024-04-17T21:35:22.498Z,171338972249800
"""Toup @ PgThHQp0N8"" bets 200",2024-04-17T21:35:19.480Z,171338971948000
"River: 3♣, 4♥, Q♦, 6♠ [6♣]",2024-04-17T21:35:16.647Z,171338971664700
"""clankylemon8 @ sPnAQLGb_Y"" checks",2024-04-17T21:35:15.841Z,171338971584100
"""Toup @ PgThHQp0N8"" checks",2024-04-17T21:35:14.894Z,171338971489400
"Turn: 3♣, 4♥, Q♦ [6♠]",2024-04-17T21:35:13.016Z,171338971301600
"""clankylemon8 @ sPnAQLGb_Y"" checks",2024-04-17T21:35:12.194Z,171338971219400
"""Toup @ PgThHQp0N8"" checks",2024-04-17T21:35:09.949Z,171338970994900
"Flop:  [3♣, 4♥, Q♦]",2024-04-17T21:35:06.740Z,171338970674000
"""Toup @ PgThHQp0N8"" checks",2024-04-17T21:35:05.918Z,171338970591800
"""clankylemon8 @ sPnAQLGb_Y"" calls 100",2024-04-17T21:35:04.033Z,171338970403300
"""Toup @ PgThHQp0N8"" posts a big blind of 100",2024-04-17T21:35:02.138Z,171338970213805
"""clankylemon8 @ sPnAQLGb_Y"" posts a small blind of 50",2024-04-17T21:35:02.138Z,171338970213804
"Player stacks: #2 ""Toup @ PgThHQp0N8"" (3560) | #5 ""clankylemon8 @ sPnAQLGb_Y"" (4440)",2024-04-17T21:35:02.138Z,171338970213801
"-- starting hand #25 (id: olkx8glhhdn1)  (No Limit Texas Hold'em) (dealer: ""clankylemon8 @ sPnAQLGb_Y"") --",2024-04-17T21:35:02.138Z,171338970213800
"-- ending hand #24 --",2024-04-17T21:34:59.134Z,171338969913402
"""Toup @ PgThHQp0N8"" collected 200 from pot",2024-04-17T21:34:59.134Z,171338969913401
"Uncalled bet of 300 returned to ""Toup @ PgThHQp0N8""",2024-04-17T21:34:59.134Z,171338969913400
"""clankylemon8 @ sPnAQLGb_Y"" folds",2024-04-17T21:34:58.244Z,171338969824400
