entry,at,order
"The player ""FDLT33 @ hUrsNTPtuV"" quits the game with a stack of 7000.",2024-04-26T16:29:13.484Z,171414895348400
"The player ""Master'sCat @ WA1MtVSPAo"" quits the game with a stack of 0.",2024-04-26T16:23:32.246Z,171414861224600
"-- ending hand #36 --",2024-04-26T16:23:26.228Z,171414860622801
"""FDLT33 @ hUrsNTPtuV"" collected 3200 from pot with Flush, Ad High (combination: A♦, 8♦, 7♦, 6♦, 3♦)",2024-04-26T16:23:26.228Z,171414860622800
"River: 7♠, 6♠, 8♦, 3♦ [A♦]",2024-04-26T16:23:22.225Z,171414860222500
"Turn: 7♠, 6♠, 8♦ [3♦]",2024-04-26T16:23:18.219Z,171414859821900
"""Master'sCat @ WA1MtVSPAo"" shows a 5♠, K♣.",2024-04-26T16:23:14.210Z,171414859421001
"""FDLT33 @ hUrsNTPtuV"" shows a 7♦, 6♦.",2024-04-26T16:23:14.210Z,171414859421000
"""Master'sCat @ WA1MtVSPAo"" calls 1300 and go all in",2024-04-26T16:23:13.401Z,171414859340100
"""FDLT33 @ hUrsNTPtuV"" bets 1300",2024-04-26T16:23:11.666Z,171414859166600
"""Master'sCat @ WA1MtVSPAo"" checks",2024-04-26T16:23:09.796Z,171414858979600
"Flop:  [7♠, 6♠, 8♦]",2024-04-26T16:23:06.151Z,171414858615100
"""Master'sCat @ WA1MtVSPAo"" checks",2024-04-26T16:23:05.323Z,171414858532300
"""FDLT33 @ hUrsNTPtuV"" calls 300",2024-04-26T16:23:02.745Z,171414858274500
"""Master'sCat @ WA1MtVSPAo"" posts a big blind of 300",2024-04-26T16:23:01.578Z,171414858157808
"""FDLT33 @ hUrsNTPtuV"" posts a small blind of 150",2024-04-26T16:23:01.578Z,171414858157807
"Player stacks: #2 ""FDLT33 @ hUrsNTPtuV"" (5400) | #7 ""Master'sCat @ WA1MtVSPAo"" (1600)",2024-04-26T16:23:01.578Z,171414858157804
"-- starting hand #36 (id: tqp3awimdhxj)  (No Limit Texas Hold'em) (dealer: ""FDLT33 @ hUrsNTPtuV"") --",2024-04-26T16:23:01.578Z,171414858157803
"The game's big blind was changed from 200 to 300.",2024-04-26T16:23:01.578Z,171414858157802
"The game's small blind was changed from 100 to 150.",2024-04-26T16:23:01.578Z,171414858157801
"The player ""myga7 @ FfIxb8wvUY"" quits the game with a stack of 0.",2024-04-26T16:23:01.578Z,171414858157800
"-- ending hand #35 --",2024-04-26T16:22:55.561Z,171414857556101
"""FDLT33 @ hUrsNTPtuV"" collected 3230 from pot with Straight, 7 High (combination: 7♣, 6♥, 5♠, 4♠, 3♣)",2024-04-26T16:22:55.561Z,171414857556100
"River: 3♣, Q♠, 7♣, 4♠ [6♥]",2024-04-26T16:22:51.526Z,171414857152600
"""myga7 @ FfIxb8wvUY"" shows a Q♣, J♥.",2024-04-26T16:22:47.519Z,171414856751901
