entry,at,order
"The player ""kk_ @ WWq2ifOCX-"" quits the game with a stack of 8000.",2024-04-26T19:54:12.555Z,171416125255500
"The player ""7güevos @ w9IAYKKvBy"" quits the game with a stack of 0.",2024-04-26T19:48:36.698Z,171416091669800
"-- ending hand #35 --",2024-04-26T19:48:30.692Z,171416091069201
"""kk_ @ WWq2ifOCX-"" collected 760 from pot with Pair, 7's (combination: 7♣, 7♥, A♠, K♥, 8♣)",2024-04-26T19:48:30.692Z,171416091069200
"River: 2♣, 7♥, 8♣, 3♠ [K♥]",2024-04-26T19:48:26.651Z,171416090665100
"Turn: 2♣, 7♥, 8♣ [3♠]",2024-04-26T19:48:22.640Z,171416090264000
"Flop:  [2♣, 7♥, 8♣]",2024-04-26T19:48:18.626Z,171416089862600
"""7güevos @ w9IAYKKvBy"" shows a Q♦, 3♦.",2024-04-26T19:48:14.620Z,171416089462001
"""kk_ @ WWq2ifOCX-"" shows a A♠, 7♣.",2024-04-26T19:48:14.620Z,171416089462000
"""kk_ @ WWq2ifOCX-"" calls 380",2024-04-26T19:48:13.809Z,171416089380900
"""7güevos @ w9IAYKKvBy"" raises to 380 and go all in",2024-04-26T19:48:12.454Z,171416089245400
"""kk_ @ WWq2ifOCX-"" posts a big blind of 200",2024-04-26T19:48:07.221Z,171416088722105
"""7güevos @ w9IAYKKvBy"" posts a small blind of 100",2024-04-26T19:48:07.221Z,171416088722104
"Player stacks: #2 ""kk_ @ WWq2ifOCX-"" (7620) | #4 ""7güevos @ w9IAYKKvBy"" (380)",2024-04-26T19:48:07.221Z,171416088722101
"-- starting hand #35 (id: bfr3tyel53bz)  (No Limit Texas Hold'em) (dealer: ""7güevos @ w9IAYKKvBy"") --",2024-04-26T19:48:07.221Z,171416088722100
"-- ending hand #34 --",2024-04-26T19:48:01.211Z,171416088121101
"""kk_ @ WWq2ifOCX-"" collected 7620 from pot with Full House, 10's over 7's (combination: 10♣, 10♥, 10♠, 7♠, 7♥)",2024-04-26T19:48:01.211Z,171416088121100
"River: 7♠, 10♥, 7♥, A♠ [10♠]",2024-04-26T19:47:57.184Z,171416087718400
"Turn: 7♠, 10♥, 7♥ [A♠]",2024-04-26T19:47:53.170Z,171416087317000
"Flop:  [7♠, 10♥, 7♥]",2024-04-26T19:47:49.157Z,171416086915700
"""7güevos @ w9IAYKKvBy"" shows a A♥, K♥.",2024-04-26T19:47:45.154Z,171416086515401
"""kk_ @ WWq2ifOCX-"" shows a 10♣, 9♣.",2024-04-26T19:47:45.154Z,171416086515400
"""kk_ @ WWq2ifOCX-"" calls 3810 and go all in",2024-04-26T19:47:44.293Z,171416086429300
"""7güevos @ w9IAYKKvBy"" raises to 3810",2024-04-26T19:47:42.614Z,171416086261400
"""kk_ @ WWq2ifOCX-"" raises to 600",2024-04-26T19:47:39.494Z,171416085949400
"""7güevos @ w9IAYKKvBy"" posts a big blind of 200",2024-04-26T19:47:35.554Z,171416085555405
"""kk_ @ WWq2ifOCX-"" posts a small blind of 100",2024-04-26T19:47:35.554Z,171416085555404
"Player stacks: #2 ""kk_ @ WWq2ifOCX-"" (3810) | #4 ""7güevos @ w9IAYKKvBy"" (4190)",2024-04-26T19:47:35.554Z,171416085555401
"-- starting hand #34 (id: bpykgzgwtet8)  (No Limit Texas Hold'em) (dealer: ""kk_ @ WWq2ifOCX-"") --",2024-04-26T19:47:35.554Z,171416085555400
"-- ending hand #33 --",2024-04-26T19:47:32.635Z,171416085263502
"""7güevos @ w9IAYKKvBy"" collected 1600 from pot",2024-04-26T19:47:32.635Z,171416085263501
"Uncalled bet of 2590 returned to ""7güevos @ w9IAYKKvBy""",2024-04-26T19:47:32.635Z,171416085263500
"""kk_ @ WWq2ifOCX-"" folds",2024-04-26T19:47:31.801Z,171416085180100
"""7güevos @ w9IAYKKvBy"" raises to 2790 and go all in",2024-04-26T19:47:28.639Z,171416084863900
"""kk_ @ WWq2ifOCX-"" bets 200",2024-04-26T19:47:25.061Z,171416084506100
"Turn: J♠, 7♣, 6♦ [J♦]",2024-04-26T19:47:24.033Z,171416084403300
"""7güevos @ w9IAYKKvBy"" checks",2024-04-26T19:47:23.222Z,171416084322200
"""kk_ @ WWq2ifOCX-"" checks",2024-04-26T19:47:21.297Z,171416084129700
"Flop:  [J♠, 7♣, 6♦]",2024-04-26T19:47:15.533Z,171416083553300
"""7güevos @ w9IAYKKvBy"" calls 600",2024-04-26T19:47:14.699Z,171416083469900
"""kk_ @ WWq2ifOCX-"" raises to 600",2024-04-26T19:47:13.038Z,171416083303800
"""7güevos @ w9IAYKKvBy"" calls 200",2024-04-26T19:47:10.536Z,171416083053600
"""kk_ @ WWq2ifOCX-"" posts a big blind of 200",2024-04-26T19:47:08.326Z,171416082832605
"""7güevos @ w9IAYKKvBy"" posts a small blind of 100",2024-04-26T19:47:08.326Z,171416082832604
"Player stacks: #2 ""kk_ @ WWq2ifOCX-"" (4610) | #4 ""7güevos @ w9IAYKKvBy"" (3390)",2024-04-26T19:47:08.326Z,171416082832601
"-- starting hand #33 (id: rqqfnkklbdop)  (No Limit Texas Hold'em) (dealer: ""7güevos @ w9IAYKKvBy"") --",2024-04-26T19:47:08.326Z,171416082832600
"-- ending hand #32 --",2024-04-26T19:47:05.414Z,171416082541402
"""7güevos @ w9IAYKKvBy"" collected 1200 from pot",2024-04-26T19:47:05.414Z,171416082541401
"Uncalled bet of 2190 returned to ""7güevos @ w9IAYKKvBy""",2024-04-26T19:47:05.414Z,171416082541400
"""kk_ @ WWq2ifOCX-"" folds",2024-04-26T19:47:04.551Z,171416082455100
"""7güevos @ w9IAYKKvBy"" raises to 2790 and go all in",2024-04-26T19:46:58.660Z,171416081866000
"""kk_ @ WWq2ifOCX-"" raises to 600",2024-04-26T19:46:55.384Z,171416081538400
"""7güevos @ w9IAYKKvBy"" posts a big blind of 200",2024-04-26T19:46:51.116Z,171416081111605
"""kk_ @ WWq2ifOCX-"" posts a small blind of 100",2024-04-26T19:46:51.116Z,171416081111604
"Player stacks: #2 ""kk_ @ WWq2ifOCX-"" (5210) | #4 ""7güevos @ w9IAYKKvBy"" (2790)",2024-04-26T19:46:51.116Z,171416081111601
"-- starting hand #32 (id: sinnlndbr0to)  (No Limit Texas Hold'em) (dealer: ""kk_ @ WWq2ifOCX-"") --",2024-04-26T19:46:51.116Z,171416081111600
"-- ending hand #31 --",2024-04-26T19:46:48.159Z,171416080815902
"""kk_ @ WWq2ifOCX-"" collected 1200 from pot",2024-04-26T19:46:48.159Z,171416080815901
"Uncalled bet of 1100 returned to ""kk_ @ WWq2ifOCX-""",2024-04-26T19:46:48.159Z,171416080815900
"""7güevos @ w9IAYKKvBy"" folds",2024-04-26T19:46:47.334Z,171416080733400
"""kk_ @ WWq2ifOCX-"" bets 1100",2024-04-26T19:46:42.423Z,171416080242300
"Turn: 2♠, 3♥, 4♣ [2♦]",2024-04-26T19:46:36.482Z,171416079648200
