entry,at,order
"The player ""inspirasianz @ bNrBnPLl0b"" quits the game with a stack of 8000.",2024-04-26T16:45:43.529Z,171414994352900
"The player ""Sir Foldsalot @ cFjkZlAi73"" quits the game with a stack of 0.",2024-04-26T16:40:10.566Z,171414961056600
"-- ending hand #61 --",2024-04-26T16:40:04.531Z,171414960453101
"""inspirasianz @ bNrBnPLl0b"" collected 2030 from pot with Pair, K's (combination: K♦, K♠, A♠, 10♥, 6♥)",2024-04-26T16:40:04.531Z,171414960453100
"River: K♠, 6♥, 2♦, 3♦ [10♥]",2024-04-26T16:40:00.508Z,171414960050800
"Turn: K♠, 6♥, 2♦ [3♦]",2024-04-26T16:39:56.489Z,171414959648900
"Flop:  [K♠, 6♥, 2♦]",2024-04-26T16:39:52.460Z,171414959246000
"""Sir Foldsalot @ cFjkZlAi73"" shows a Q♥, 8♥.",2024-04-26T16:39:48.451Z,171414958845101
"""inspirasianz @ bNrBnPLl0b"" shows a K♦, A♠.",2024-04-26T16:39:48.451Z,171414958845100
"""inspirasianz @ bNrBnPLl0b"" calls 1015",2024-04-26T16:39:47.627Z,171414958762700
"""Sir Foldsalot @ cFjkZlAi73"" raises to 1015 and go all in",2024-04-26T16:39:46.692Z,171414958669200
"""inspirasianz @ bNrBnPLl0b"" posts a big blind of 300",2024-04-26T16:39:43.386Z,171414958338605
"""Sir Foldsalot @ cFjkZlAi73"" posts a small blind of 150",2024-04-26T16:39:43.386Z,171414958338604
"Player stacks: #1 ""inspirasianz @ bNrBnPLl0b"" (6985) | #2 ""Sir Foldsalot @ cFjkZlAi73"" (1015)",2024-04-26T16:39:43.386Z,171414958338601
"-- starting hand #61 (id: qbpzmg5rj91a)  (No Limit Texas Hold'em) (dealer: ""Sir Foldsalot @ cFjkZlAi73"") --",2024-04-26T16:39:43.386Z,171414958338600
"-- ending hand #60 --",2024-04-26T16:39:40.444Z,171414958044402
"""inspirasianz @ bNrBnPLl0b"" collected 600 from pot",2024-04-26T16:39:40.444Z,171414958044401
"Uncalled bet of 1015 returned to ""inspirasianz @ bNrBnPLl0b""",2024-04-26T16:39:40.444Z,171414958044400
"""Sir Foldsalot @ cFjkZlAi73"" folds",2024-04-26T16:39:39.618Z,171414957961800
"""inspirasianz @ bNrBnPLl0b"" bets 1015",2024-04-26T16:39:37.802Z,171414957780200
"""Sir Foldsalot @ cFjkZlAi73"" checks",2024-04-26T16:39:33.457Z,171414957345700
"Flop:  [6♠, 7♥, 8♠]",2024-04-26T16:39:29.623Z,171414956962300
"""Sir Foldsalot @ cFjkZlAi73"" checks",2024-04-26T16:39:28.799Z,171414956879900
"""inspirasianz @ bNrBnPLl0b"" calls 300",2024-04-26T16:39:26.334Z,171414956633400
"""Sir Foldsalot @ cFjkZlAi73"" posts a big blind of 300",2024-04-26T16:39:24.286Z,171414956428605
"""inspirasianz @ bNrBnPLl0b"" posts a small blind of 150",2024-04-26T16:39:24.286Z,171414956428604
"Player stacks: #1 ""inspirasianz @ bNrBnPLl0b"" (6685) | #2 ""Sir Foldsalot @ cFjkZlAi73"" (1315)",2024-04-26T16:39:24.286Z,171414956428601
"-- starting hand #60 (id: qgzfgyhyx0zb)  (No Limit Texas Hold'em) (dealer: ""inspirasianz @ bNrBnPLl0b"") --",2024-04-26T16:39:24.286Z,171414956428600
"-- ending hand #59 --",2024-04-26T16:39:21.356Z,171414956135602
"""Sir Foldsalot @ cFjkZlAi73"" collected 600 from pot",2024-04-26T16:39:21.356Z,171414956135601
"Uncalled bet of 715 returned to ""Sir Foldsalot @ cFjkZlAi73""",2024-04-26T16:39:21.356Z,171414956135600
"""inspirasianz @ bNrBnPLl0b"" folds",2024-04-26T16:39:20.537Z,171414956053700
"""Sir Foldsalot @ cFjkZlAi73"" raises to 1015 and go all in",2024-04-26T16:39:17.393Z,171414955739300
"""inspirasianz @ bNrBnPLl0b"" posts a big blind of 300",2024-04-26T16:39:14.209Z,171414955420905
"""Sir Foldsalot @ cFjkZlAi73"" posts a small blind of 150",2024-04-26T16:39:14.209Z,171414955420904
"Player stacks: #1 ""inspirasianz @ bNrBnPLl0b"" (6985) | #2 ""Sir Foldsalot @ cFjkZlAi73"" (1015)",2024-04-26T16:39:14.209Z,171414955420901
"-- starting hand #59 (id: caq53dvsgkn6)  (No Limit Texas Hold'em) (dealer: ""Sir Foldsalot @ cFjkZlAi73"") --",2024-04-26T16:39:14.209Z,171414955420900
"-- ending hand #58 --",2024-04-26T16:39:11.263Z,171414955126302
"""Sir Foldsalot @ cFjkZlAi73"" collected 300 from pot",2024-04-26T16:39:11.263Z,171414955126301
"Uncalled bet of 150 returned to ""Sir Foldsalot @ cFjkZlAi73""",2024-04-26T16:39:11.263Z,171414955126300
"""inspirasianz @ bNrBnPLl0b"" folds",2024-04-26T16:39:10.440Z,171414955044000
"""Sir Foldsalot @ cFjkZlAi73"" posts a big blind of 300",2024-04-26T16:39:09.062Z,171414954906205
"""inspirasianz @ bNrBnPLl0b"" posts a small blind of 150",2024-04-26T16:39:09.062Z,171414954906204
"Player stacks: #1 ""inspirasianz @ bNrBnPLl0b"" (7135) | #2 ""Sir Foldsalot @ cFjkZlAi73"" (865)",2024-04-26T16:39:09.062Z,171414954906201
"-- starting hand #58 (id: b5tzia4z6f3p)  (No Limit Texas Hold'em) (dealer: ""inspirasianz @ bNrBnPLl0b"") --",2024-04-26T16:39:09.062Z,171414954906200
"-- ending hand #57 --",2024-04-26T16:39:06.126Z,171414954612602
"""inspirasianz @ bNrBnPLl0b"" collected 300 from pot",2024-04-26T16:39:06.126Z,171414954612601
"Uncalled bet of 150 returned to ""inspirasianz @ bNrBnPLl0b""",2024-04-26T16:39:06.126Z,171414954612600
"""Sir Foldsalot @ cFjkZlAi73"" folds",2024-04-26T16:39:05.272Z,171414954527200
"""inspirasianz @ bNrBnPLl0b"" posts a big blind of 300",2024-04-26T16:39:03.322Z,171414954332207
"""Sir Foldsalot @ cFjkZlAi73"" posts a small blind of 150",2024-04-26T16:39:03.322Z,171414954332206
"Player stacks: #1 ""inspirasianz @ bNrBnPLl0b"" (6985) | #2 ""Sir Foldsalot @ cFjkZlAi73"" (1015)",2024-04-26T16:39:03.322Z,171414954332203
"-- starting hand #57 (id: jyly2twxi2m8)  (No Limit Texas Hold'em) (dealer: ""Sir Foldsalot @ cFjkZlAi73"") --",2024-04-26T16:39:03.322Z,171414954332202
"The game's big blind was changed from 200 to 300.",2024-04-26T16:39:03.322Z,171414954332201
"The game's small blind was changed from 100 to 150.",2024-04-26T16:39:03.322Z,171414954332200
"-- ending hand #56 --",2024-04-26T16:39:00.414Z,171414954041402
"""Sir Foldsalot @ cFjkZlAi73"" collected 400 from pot",2024-04-26T16:39:00.414Z,171414954041401
"Uncalled bet of 615 returned to ""Sir Foldsalot @ cFjkZlAi73""",2024-04-26T16:39:00.414Z,171414954041400
"""inspirasianz @ bNrBnPLl0b"" folds",2024-04-26T16:38:59.595Z,171414953959500
"""Sir Foldsalot @ cFjkZlAi73"" bets 615 and go all in",2024-04-26T16:38:54.167Z,171414953416700
"Flop:  [4♥, 3♥, K♣]",2024-04-26T16:38:49.912Z,171414952991200
"""Sir Foldsalot @ cFjkZlAi73"" checks",2024-04-26T16:38:49.085Z,171414952908500
"""inspirasianz @ bNrBnPLl0b"" calls 200",2024-04-26T16:38:47.587Z,171414952758700
"""Sir Foldsalot @ cFjkZlAi73"" posts a big blind of 200",2024-04-26T16:38:45.903Z,171414952590305
"""inspirasianz @ bNrBnPLl0b"" posts a small blind of 100",2024-04-26T16:38:45.903Z,171414952590304
"Player stacks: #1 ""inspirasianz @ bNrBnPLl0b"" (7185) | #2 ""Sir Foldsalot @ cFjkZlAi73"" (815)",2024-04-26T16:38:45.903Z,171414952590301
"-- starting hand #56 (id: phlm7ylkvwzr)  (No Limit Texas Hold'em) (dealer: ""inspirasianz @ bNrBnPLl0b"") --",2024-04-26T16:38:45.903Z,171414952590300
"-- ending hand #55 --",2024-04-26T16:38:42.991Z,171414952299102
"""inspirasianz @ bNrBnPLl0b"" collected 200 from pot",2024-04-26T16:38:42.991Z,171414952299101
"Uncalled bet of 100 returned to ""inspirasianz @ bNrBnPLl0b""",2024-04-26T16:38:42.991Z,171414952299100
"""Sir Foldsalot @ cFjkZlAi73"" folds",2024-04-26T16:38:42.177Z,171414952217700
"""inspirasianz @ bNrBnPLl0b"" posts a big blind of 200",2024-04-26T16:38:39.588Z,171414951958805
"""Sir Foldsalot @ cFjkZlAi73"" posts a small blind of 100",2024-04-26T16:38:39.588Z,171414951958804
"Player stacks: #1 ""inspirasianz @ bNrBnPLl0b"" (7085) | #2 ""Sir Foldsalot @ cFjkZlAi73"" (915)",2024-04-26T16:38:39.588Z,171414951958801
"-- starting hand #55 (id: 9ufldhel2wm2)  (No Limit Texas Hold'em) (dealer: ""Sir Foldsalot @ cFjkZlAi73"") --",2024-04-26T16:38:39.588Z,171414951958800
"-- ending hand #54 --",2024-04-26T16:38:36.656Z,171414951665602
"""Sir Foldsalot @ cFjkZlAi73"" collected 200 from pot",2024-04-26T16:38:36.656Z,171414951665601
"Uncalled bet of 100 returned to ""Sir Foldsalot @ cFjkZlAi73""",2024-04-26T16:38:36.656Z,171414951665600
"""inspirasianz @ bNrBnPLl0b"" folds",2024-04-26T16:38:35.828Z,171414951582800
