entry,at,order
"The player ""Roshhhyy @ 1dL2npZW8S"" quits the game with a stack of 7000.",2024-04-26T19:01:03.505Z,171415806350500
"The player ""Disco @ ybhusRP6U7"" quits the game with a stack of 0.",2024-04-26T18:55:03.430Z,171415770343000
"-- ending hand #17 --",2024-04-26T18:54:57.427Z,171415769742701
"""Roshhhyy @ 1dL2npZW8S"" collected 460 from pot with Pair, 5's (combination: 5♥, 5♣, A♦, 9♥, 6♦)",2024-04-26T18:54:57.427Z,171415769742700
"River: 6♦, 9♥, 3♠, 5♣ [4♥]",2024-04-26T18:54:53.397Z,171415769339700
"Turn: 6♦, 9♥, 3♠ [5♣]",2024-04-26T18:54:49.388Z,171415768938800
"Flop:  [6♦, 9♥, 3♠]",2024-04-26T18:54:45.378Z,171415768537800
"""Roshhhyy @ 1dL2npZW8S"" shows a A♦, 5♥.",2024-04-26T18:54:41.371Z,171415768137101
"""Disco @ ybhusRP6U7"" shows a J♦, A♣.",2024-04-26T18:54:41.371Z,171415768137100
"""Disco @ ybhusRP6U7"" calls 230 and go all in",2024-04-26T18:54:40.509Z,171415768050900
"""Roshhhyy @ 1dL2npZW8S"" raises to 230",2024-04-26T18:54:31.869Z,171415767186900
"""Disco @ ybhusRP6U7"" posts a big blind of 100",2024-04-26T18:54:28.142Z,171415766814206
"""Roshhhyy @ 1dL2npZW8S"" posts a small blind of 50",2024-04-26T18:54:28.142Z,171415766814205
"Player stacks: #3 ""Disco @ ybhusRP6U7"" (230) | #5 ""Roshhhyy @ 1dL2npZW8S"" (6770)",2024-04-26T18:54:28.142Z,171415766814202
"-- starting hand #17 (id: buhsxlxyzwni)  (No Limit Texas Hold'em) (dealer: ""Roshhhyy @ 1dL2npZW8S"") --",2024-04-26T18:54:28.142Z,171415766814201
"The player ""MR JOEY @ cqCmHXux4B"" quits the game with a stack of 0.",2024-04-26T18:54:28.142Z,171415766814200
"-- ending hand #16 --",2024-04-26T18:54:22.133Z,171415766213301
"""Roshhhyy @ 1dL2npZW8S"" collected 3160 from pot with Flush, As High (combination: A♠, K♠, Q♠, 3♠, 2♠)",2024-04-26T18:54:22.133Z,171415766213300
"River: K♥, K♠, 3♠, 2♠ [Q♠]",2024-04-26T18:54:18.120Z,171415765812000
"""Roshhhyy @ 1dL2npZW8S"" shows a 7♥, A♠.",2024-04-26T18:54:14.079Z,171415765407901
"""MR JOEY @ cqCmHXux4B"" shows a 10♠, 2♦.",2024-04-26T18:54:14.079Z,171415765407900
"""MR JOEY @ cqCmHXux4B"" calls 1480 and go all in",2024-04-26T18:54:13.223Z,171415765322300
"""Roshhhyy @ 1dL2npZW8S"" bets 1480",2024-04-26T18:54:09.840Z,171415764984000
"Turn: K♥, K♠, 3♠ [2♠]",2024-04-26T18:54:05.066Z,171415764506600
"""MR JOEY @ cqCmHXux4B"" checks",2024-04-26T18:54:04.137Z,171415764413700
"""Roshhhyy @ 1dL2npZW8S"" checks",2024-04-26T18:54:02.669Z,171415764266900
"Flop:  [K♥, K♠, 3♠]",2024-04-26T18:53:57.233Z,171415763723300
"""MR JOEY @ cqCmHXux4B"" checks",2024-04-26T18:53:56.351Z,171415763635100
"""Roshhhyy @ 1dL2npZW8S"" calls 100",2024-04-26T18:53:54.410Z,171415763441000
"""Disco @ ybhusRP6U7"" folds",2024-04-26T18:53:52.973Z,171415763297300
"""MR JOEY @ cqCmHXux4B"" posts a big blind of 100",2024-04-26T18:53:48.798Z,171415762879807
"""Roshhhyy @ 1dL2npZW8S"" posts a small blind of 50",2024-04-26T18:53:48.798Z,171415762879806
"Player stacks: #1 ""MR JOEY @ cqCmHXux4B"" (1580) | #3 ""Disco @ ybhusRP6U7"" (230) | #5 ""Roshhhyy @ 1dL2npZW8S"" (5190)",2024-04-26T18:53:48.798Z,171415762879802
"-- starting hand #16 (id: yvrwhsexlxgg)  (No Limit Texas Hold'em) (dealer: ""Disco @ ybhusRP6U7"") --",2024-04-26T18:53:48.798Z,171415762879801
"The player ""jpsexton @ -vl6323fAb"" quits the game with a stack of 0.",2024-04-26T18:53:48.798Z,171415762879800
