entry,at,order
"The player ""ramenmeister @ 8XW1stEZcr"" quits the game with a stack of 7000.",2024-04-17T21:06:08.817Z,171338796881700
"The player ""Lyrialas @ PYUbhE9YTm"" quits the game with a stack of 0.",2024-04-17T21:00:14.758Z,171338761475800
"-- ending hand #87 --",2024-04-17T21:00:08.741Z,171338760874101
"""ramenmeister @ 8XW1stEZcr"" collected 6540 from pot with Two Pair, K's & 8's (combination: K♥, K♣, 8♦, 8♥, 7♥)",2024-04-17T21:00:08.741Z,171338760874100
"River: 8♦, 8♥, 7♥, 7♦ [2♣]",2024-04-17T21:00:04.728Z,171338760472800
"Turn: 8♦, 8♥, 7♥ [7♦]",2024-04-17T21:00:00.722Z,171338760072200
"""ramenmeister @ 8XW1stEZcr"" shows a K♥, K♣.",2024-04-17T20:59:56.679Z,171338759667901
"""Lyrialas @ PYUbhE9YTm"" shows a J♠, A♥.",2024-04-17T20:59:56.679Z,171338759667900
"""Lyrialas @ PYUbhE9YTm"" calls 1770 and go all in",2024-04-17T20:59:55.863Z,171338759586300
"""ramenmeister @ 8XW1stEZcr"" bets 1770",2024-04-17T20:59:48.643Z,171338758864300
"Flop:  [8♦, 8♥, 7♥]",2024-04-17T20:59:45.601Z,171338758560100
"""Lyrialas @ PYUbhE9YTm"" calls 1500",2024-04-17T20:59:44.788Z,171338758478800
"""ramenmeister @ 8XW1stEZcr"" raises to 1500",2024-04-17T20:59:43.116Z,171338758311600
"""Lyrialas @ PYUbhE9YTm"" raises to 600",2024-04-17T20:59:35.022Z,171338757502200
"""ramenmeister @ 8XW1stEZcr"" posts a big blind of 300",2024-04-17T20:59:33.050Z,171338757305005
"""Lyrialas @ PYUbhE9YTm"" posts a small blind of 150",2024-04-17T20:59:33.050Z,171338757305004
"Player stacks: #1 ""Lyrialas @ PYUbhE9YTm"" (3270) | #3 ""ramenmeister @ 8XW1stEZcr"" (3730)",2024-04-17T20:59:33.050Z,171338757305001
"-- starting hand #87 (id: cywaffrgavoe)  (No Limit Texas Hold'em) (dealer: ""Lyrialas @ PYUbhE9YTm"") --",2024-04-17T20:59:33.050Z,171338757305000
"-- ending hand #86 --",2024-04-17T20:59:30.112Z,171338757011202
"""ramenmeister @ 8XW1stEZcr"" collected 600 from pot",2024-04-17T20:59:30.112Z,171338757011201
"Uncalled bet of 300 returned to ""ramenmeister @ 8XW1stEZcr""",2024-04-17T20:59:30.112Z,171338757011200
"""Lyrialas @ PYUbhE9YTm"" folds",2024-04-17T20:59:29.261Z,171338756926100
"""ramenmeister @ 8XW1stEZcr"" raises to 600",2024-04-17T20:59:27.235Z,171338756723500
"""Lyrialas @ PYUbhE9YTm"" posts a big blind of 300",2024-04-17T20:59:22.629Z,171338756262905
"""ramenmeister @ 8XW1stEZcr"" posts a small blind of 150",2024-04-17T20:59:22.629Z,171338756262904
"Player stacks: #1 ""Lyrialas @ PYUbhE9YTm"" (3570) | #3 ""ramenmeister @ 8XW1stEZcr"" (3430)",2024-04-17T20:59:22.629Z,171338756262901
"-- starting hand #86 (id: 9vdxftdwart9)  (No Limit Texas Hold'em) (dealer: ""ramenmeister @ 8XW1stEZcr"") --",2024-04-17T20:59:22.629Z,171338756262900
"-- ending hand #85 --",2024-04-17T20:59:19.691Z,171338755969102
"""Lyrialas @ PYUbhE9YTm"" collected 600 from pot",2024-04-17T20:59:19.691Z,171338755969101
"Uncalled bet of 300 returned to ""Lyrialas @ PYUbhE9YTm""",2024-04-17T20:59:19.691Z,171338755969100
"""ramenmeister @ 8XW1stEZcr"" folds",2024-04-17T20:59:18.836Z,171338755883600
"""Lyrialas @ PYUbhE9YTm"" bets 300",2024-04-17T20:59:17.560Z,171338755756000
"""ramenmeister @ 8XW1stEZcr"" checks",2024-04-17T20:59:15.624Z,171338755562400
"Turn: A♠, 5♣, Q♦ [Q♠]",2024-04-17T20:59:14.016Z,171338755401600
"""Lyrialas @ PYUbhE9YTm"" checks",2024-04-17T20:59:13.180Z,171338755318000
"""ramenmeister @ 8XW1stEZcr"" checks",2024-04-17T20:59:11.292Z,171338755129200
"Flop:  [A♠, 5♣, Q♦]",2024-04-17T20:59:09.675Z,171338754967500
"""ramenmeister @ 8XW1stEZcr"" checks",2024-04-17T20:59:08.859Z,171338754885900
"""Lyrialas @ PYUbhE9YTm"" calls 300",2024-04-17T20:59:07.709Z,171338754770900
"""ramenmeister @ 8XW1stEZcr"" posts a big blind of 300",2024-04-17T20:59:06.073Z,171338754607305
"""Lyrialas @ PYUbhE9YTm"" posts a small blind of 150",2024-04-17T20:59:06.073Z,171338754607304
"Player stacks: #1 ""Lyrialas @ PYUbhE9YTm"" (3270) | #3 ""ramenmeister @ 8XW1stEZcr"" (3730)",2024-04-17T20:59:06.073Z,171338754607301
"-- starting hand #85 (id: umabl0mehuay)  (No Limit Texas Hold'em) (dealer: ""Lyrialas @ PYUbhE9YTm"") --",2024-04-17T20:59:06.073Z,171338754607300
