entry,at,order
"The player ""Flizshynt @ ndqQMokRTP"" quits the game with a stack of 6000.",2024-04-26T19:45:23.925Z,171416072392500
"The player ""Galexy @ wfysw9olaN"" quits the game with a stack of 0.",2024-04-26T19:39:48.724Z,171416038872400
"-- ending hand #13 --",2024-04-26T19:39:42.656Z,171416038265601
"""Flizshynt @ ndqQMokRTP"" collected 700 from pot with Three of a Kind, 9's (combination: 9♠, 9♦, 9♥, A♣, K♣)",2024-04-26T19:39:42.656Z,171416038265600
"River: 9♦, K♣, A♣, 5♦ [9♥]",2024-04-26T19:39:38.564Z,171416037856400
"Turn: 9♦, K♣, A♣ [5♦]",2024-04-26T19:39:34.557Z,171416037455700
"Flop:  [9♦, K♣, A♣]",2024-04-26T19:39:30.550Z,171416037055000
"""Flizshynt @ ndqQMokRTP"" shows a 9♠, 2♥.",2024-04-26T19:39:26.545Z,171416036654501
"""Galexy @ wfysw9olaN"" shows a A♦, 10♥.",2024-04-26T19:39:26.545Z,171416036654500
"""Galexy @ wfysw9olaN"" calls 350 and go all in",2024-04-26T19:39:25.704Z,171416036570400
"""Flizshynt @ ndqQMokRTP"" raises to 350",2024-04-26T19:39:23.887Z,171416036388700
"""Galexy @ wfysw9olaN"" calls 40",2024-04-26T19:39:20.313Z,171416036031300
"""Flizshynt @ ndqQMokRTP"" posts a big blind of 40",2024-04-26T19:39:17.136Z,171416035713605
"""Galexy @ wfysw9olaN"" posts a small blind of 20",2024-04-26T19:39:17.136Z,171416035713604
"Player stacks: #2 ""Galexy @ wfysw9olaN"" (350) | #5 ""Flizshynt @ ndqQMokRTP"" (5650)",2024-04-26T19:39:17.136Z,171416035713601
"-- starting hand #13 (id: fjbssekdz4nw)  (No Limit Texas Hold'em) (dealer: ""Galexy @ wfysw9olaN"") --",2024-04-26T19:39:17.136Z,171416035713600
"-- ending hand #12 --",2024-04-26T19:39:14.223Z,171416035422302
"""Flizshynt @ ndqQMokRTP"" collected 80 from pot",2024-04-26T19:39:14.223Z,171416035422301
"Uncalled bet of 350 returned to ""Flizshynt @ ndqQMokRTP""",2024-04-26T19:39:14.223Z,171416035422300
"""Galexy @ wfysw9olaN"" folds",2024-04-26T19:39:13.387Z,171416035338700
"""Flizshynt @ ndqQMokRTP"" raises to 390",2024-04-26T19:39:11.403Z,171416035140300
"""Galexy @ wfysw9olaN"" posts a big blind of 40",2024-04-26T19:39:08.060Z,171416034806005
"""Flizshynt @ ndqQMokRTP"" posts a small blind of 20",2024-04-26T19:39:08.060Z,171416034806004
"Player stacks: #2 ""Galexy @ wfysw9olaN"" (390) | #5 ""Flizshynt @ ndqQMokRTP"" (5610)",2024-04-26T19:39:08.060Z,171416034806001
"-- starting hand #12 (id: kz4pcvfkjv90)  (No Limit Texas Hold'em) (dealer: ""Flizshynt @ ndqQMokRTP"") --",2024-04-26T19:39:08.060Z,171416034806000
"-- ending hand #11 --",2024-04-26T19:39:05.116Z,171416034511602
"""Flizshynt @ ndqQMokRTP"" collected 80 from pot",2024-04-26T19:39:05.116Z,171416034511601
"Uncalled bet of 390 returned to ""Flizshynt @ ndqQMokRTP""",2024-04-26T19:39:05.116Z,171416034511600
"""Galexy @ wfysw9olaN"" folds",2024-04-26T19:39:04.227Z,171416034422700
"""Flizshynt @ ndqQMokRTP"" bets 390",2024-04-26T19:39:02.429Z,171416034242900
"Flop:  [9♦, 6♥, 3♣]",2024-04-26T19:38:53.798Z,171416033379800
"""Flizshynt @ ndqQMokRTP"" checks",2024-04-26T19:38:52.987Z,171416033298700
"""Galexy @ wfysw9olaN"" calls 40",2024-04-26T19:38:48.108Z,171416032810800
"""Flizshynt @ ndqQMokRTP"" posts a big blind of 40",2024-04-26T19:38:45.677Z,171416032567705
"""Galexy @ wfysw9olaN"" posts a small blind of 20",2024-04-26T19:38:45.677Z,171416032567704
"Player stacks: #2 ""Galexy @ wfysw9olaN"" (430) | #5 ""Flizshynt @ ndqQMokRTP"" (5570)",2024-04-26T19:38:45.677Z,171416032567701
"-- starting hand #11 (id: ee4micdxfkbv)  (No Limit Texas Hold'em) (dealer: ""Galexy @ wfysw9olaN"") --",2024-04-26T19:38:45.677Z,171416032567700
"-- ending hand #10 --",2024-04-26T19:38:42.675Z,171416032267501
"""Galexy @ wfysw9olaN"" collected 80 from pot",2024-04-26T19:38:42.675Z,171416032267500
"""Flizshynt @ ndqQMokRTP"" folds",2024-04-26T19:38:41.776Z,171416032177600
"""Galexy @ wfysw9olaN"" checks",2024-04-26T19:38:37.185Z,171416031718500
"Flop:  [J♥, 8♠, 7♣]",2024-04-26T19:38:34.359Z,171416031435900
"""Galexy @ wfysw9olaN"" checks",2024-04-26T19:38:33.545Z,171416031354500
"""Flizshynt @ ndqQMokRTP"" calls 40",2024-04-26T19:38:31.844Z,171416031184400
"""Galexy @ wfysw9olaN"" posts a big blind of 40",2024-04-26T19:38:19.846Z,171416029984605
"""Flizshynt @ ndqQMokRTP"" posts a small blind of 20",2024-04-26T19:38:19.846Z,171416029984604
"Player stacks: #2 ""Galexy @ wfysw9olaN"" (390) | #5 ""Flizshynt @ ndqQMokRTP"" (5610)",2024-04-26T19:38:19.846Z,171416029984601
"-- starting hand #10 (id: cfxn5mjsrhw6)  (No Limit Texas Hold'em) (dealer: ""Flizshynt @ ndqQMokRTP"") --",2024-04-26T19:38:19.846Z,171416029984600
"-- ending hand #9 --",2024-04-26T19:38:16.845Z,171416029684502
"""Flizshynt @ ndqQMokRTP"" collected 240 from pot",2024-04-26T19:38:16.845Z,171416029684501
"Uncalled bet of 240 returned to ""Flizshynt @ ndqQMokRTP""",2024-04-26T19:38:16.845Z,171416029684500
"""Galexy @ wfysw9olaN"" folds",2024-04-26T19:38:15.945Z,171416029594500
"""Flizshynt @ ndqQMokRTP"" bets 240",2024-04-26T19:38:14.175Z,171416029417500
"Flop:  [K♣, 6♠, J♦]",2024-04-26T19:38:08.639Z,171416028863900
"""Galexy @ wfysw9olaN"" calls 120",2024-04-26T19:38:07.836Z,171416028783600
"""Flizshynt @ ndqQMokRTP"" raises to 120",2024-04-26T19:38:06.080Z,171416028608000
"""Galexy @ wfysw9olaN"" calls 40",2024-04-26T19:38:02.170Z,171416028217000
"""Flizshynt @ ndqQMokRTP"" posts a big blind of 40",2024-04-26T19:38:00.507Z,171416028050705
"""Galexy @ wfysw9olaN"" posts a small blind of 20",2024-04-26T19:38:00.507Z,171416028050704
"Player stacks: #2 ""Galexy @ wfysw9olaN"" (510) | #5 ""Flizshynt @ ndqQMokRTP"" (5490)",2024-04-26T19:38:00.507Z,171416028050701
"-- starting hand #9 (id: gjbzsujh9wgx)  (No Limit Texas Hold'em) (dealer: ""Galexy @ wfysw9olaN"") --",2024-04-26T19:38:00.507Z,171416028050700
"-- ending hand #8 --",2024-04-26T19:37:57.592Z,171416027759202
"""Flizshynt @ ndqQMokRTP"" collected 80 from pot",2024-04-26T19:37:57.592Z,171416027759201
"Uncalled bet of 510 returned to ""Flizshynt @ ndqQMokRTP""",2024-04-26T19:37:57.592Z,171416027759200
"""Galexy @ wfysw9olaN"" folds",2024-04-26T19:37:56.745Z,171416027674500
"""Flizshynt @ ndqQMokRTP"" raises to 550",2024-04-26T19:37:53.449Z,171416027344900
