entry,at,order
"The player ""miekkijoe @ db-lQuE2Ca"" quits the game with a stack of 8000.",2024-04-26T17:53:06.101Z,171415398610100
"The player ""Roahppa @ MtPHp8Ur2_"" quits the game with a stack of 0.",2024-04-26T17:47:20.078Z,171415364007800
"-- ending hand #98 --",2024-04-26T17:47:14.072Z,171415363407201
"""miekkijoe @ db-lQuE2Ca"" collected 1480 from pot with Two Pair, 7's & 6's (combination: 7♣, 7♥, 6♣, 6♦, Q♦)",2024-04-26T17:47:14.072Z,171415363407200
"River: 7♣, 6♦, Q♦, 7♥ [3♦]",2024-04-26T17:47:10.069Z,171415363006900
"Turn: 7♣, 6♦, Q♦ [7♥]",2024-04-26T17:47:06.022Z,171415362602200
"Flop:  [7♣, 6♦, Q♦]",2024-04-26T17:47:01.998Z,171415362199800
"""miekkijoe @ db-lQuE2Ca"" shows a 9♦, 6♣.",2024-04-26T17:46:57.979Z,171415361797901
"""Roahppa @ MtPHp8Ur2_"" shows a 9♣, 2♣.",2024-04-26T17:46:57.979Z,171415361797900
"""Roahppa @ MtPHp8Ur2_"" calls 740 and go all in",2024-04-26T17:46:57.137Z,171415361713700
"""miekkijoe @ db-lQuE2Ca"" raises to 740",2024-04-26T17:46:55.324Z,171415361532400
"""Roahppa @ MtPHp8Ur2_"" calls 300",2024-04-26T17:46:47.739Z,171415360773900
"""miekkijoe @ db-lQuE2Ca"" posts a big blind of 300",2024-04-26T17:46:46.160Z,171415360616005
"""Roahppa @ MtPHp8Ur2_"" posts a small blind of 150",2024-04-26T17:46:46.160Z,171415360616004
"Player stacks: #5 ""Roahppa @ MtPHp8Ur2_"" (740) | #8 ""miekkijoe @ db-lQuE2Ca"" (7260)",2024-04-26T17:46:46.160Z,171415360616001
"-- starting hand #98 (id: epy5q3gmyfmu)  (No Limit Texas Hold'em) (dealer: ""Roahppa @ MtPHp8Ur2_"") --",2024-04-26T17:46:46.160Z,171415360616000
"-- ending hand #97 --",2024-04-26T17:46:43.164Z,171415360316402
"""miekkijoe @ db-lQuE2Ca"" collected 600 from pot",2024-04-26T17:46:43.164Z,171415360316401
"Uncalled bet of 440 returned to ""miekkijoe @ db-lQuE2Ca""",2024-04-26T17:46:43.164Z,171415360316400
"""Roahppa @ MtPHp8Ur2_"" folds",2024-04-26T17:46:42.354Z,171415360235400
"""miekkijoe @ db-lQuE2Ca"" raises to 740",2024-04-26T17:46:40.504Z,171415360050400
"""Roahppa @ MtPHp8Ur2_"" posts a big blind of 300",2024-04-26T17:46:36.010Z,171415359601005
"""miekkijoe @ db-lQuE2Ca"" posts a small blind of 150",2024-04-26T17:46:36.010Z,171415359601004
"Player stacks: #5 ""Roahppa @ MtPHp8Ur2_"" (1040) | #8 ""miekkijoe @ db-lQuE2Ca"" (6960)",2024-04-26T17:46:36.010Z,171415359601001
"-- starting hand #97 (id: bgfghe356ew3)  (No Limit Texas Hold'em) (dealer: ""miekkijoe @ db-lQuE2Ca"") --",2024-04-26T17:46:36.010Z,171415359601000
"-- ending hand #96 --",2024-04-26T17:46:33.104Z,171415359310402
